คำ,POS,ความหมาย
ข 0,?,พยัญชนะตัวที่ ๒ เรียกว่า ขอ ไข่ เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากกหรือแม่กก เช่น มุข เลข.
ขง 0,น.,"กรุง, บางทีเขียนเป็น โขง."
ขงจื๊อ 0,น.,ชื่อศาสนาสำคัญศาสนาหนึ่งของจีน มีศาสดาชื่อขงจื๊อ.
ขจร 0,ก.,ฟุ้งไป.
ขจร 1,น.,"ชื่อไม้เถาชนิด Telosma minor Craib Regan ในวงศ์ Belontiidae ใบมนป้อม ผลเรียวยาว ดอกสีเขียวอมเหลือง กลิ่นหอม กินได้, ขจร ก็เรียก."
ขจรจบ 0,น.,ชื่อหญ้าชนิด Pennisetum pedicellatum Trin. และ P. polystachyon (L.) Schult. ในวงศ์ Gramineae แพร่พันธุ์รวดเร็วมากและปราบยาก หญ้าทั้ง ๒ ชนิดนี้ต้นอ่อนใช้เป็นอาหารสัตว์ ต้นแก่ใช้ทำกระดาษได้.
ขจอก 0,ว.,"กระจอก, ง่อย, ขาเขยก."
ขจัด 0,ก.,กำจัด เช่น ขจัดความสกปรก
ขจัด 1,ก.,"กระจัด, แยกย้ายออกไป."
ขจัดขจาย 0,ก.,กระจัดกระจาย.
ขจ่าง 0,ก.,กระจ่าง เช่น จวบแจ้งขจ่างจา มิกราจำรัสศรี (สรรพสิทธิ์).
ขจาย 0,ก.,"กระจาย, มักใช้เข้าคู่กับคำ ขจร เป็น ขจรขจาย."
ขจาว 0,น.,ต้นกระเชา. (ดู กระเชา).
ขจิต 0,ก.,"ประดับ, ตกแต่ง."
ขจิริด 0,ว.,กระจิริด.
ขจี 0,ว.,"งามสดใส, ใช้ในคำว่า เขียวขจี."
ขจุย 0,ว.,กระจุย.
ขเจา 0,น.,ต้นกระเชา. (ดู กระเชา).
ขณะ 0,น.,"ครู่, ครั้ง, คราว, เวลา, สมัย."
ขด 0,ก.,"ม้วนตัวให้เป็นวง ๆ เช่น งูขด, ทำให้เป็นวง ๆ เช่นนั้น เช่น เอาลวดมาขด, งอหรือทำให้งอ เช่น นอนขด ขดให้เป็นลวดลาย."
ขด 1,น.,"สิ่งที่เป็นวง ๆ, ลักษณนามเรียกของที่เป็นวง ๆ เช่นนั้น เช่น เชือก ๓ ขด."
ขด 2,ก.,"ขยด, เขยิบ, กระเถิบ."
ขดถวาย 0,ก.,ขัดสมาธิ.
ขดาน 0,น.,กระดาน เช่น นางทายขดานผทับแด ไฟสมรลามแล ลืมพาษปธาราราย (สมุทรโฆษ).
ขตอย 0,น.,แมงป่อง.
ขทิง 0,น.,"กระดิ่ง, กระดึง, เช่น ขทิงทอง รนนทดโยง ลยวแล่ง (กำสรวล)."
ขทิง 1,น.,ต้นกระทิง.
ขทิง 2,น.,ปลากระทิง.
ขทึง 0,น.,"กระดิ่ง, กระดึง."
ขทึง 1,น.,ต้นกระทิง.
ข้น 0,ว.,"ลักษณะของเหลวที่มีการรวมตัวกันแน่นเข้า, ไม่ใส"
ข้น 1,ว.,"มีน้อยลงไป, งวด."
ขน 0,น.,"สิ่งที่เป็นเส้นขึ้นตามผิวหนังคนและสัตว์ เช่น ขนตา ขนนก ขนเม่น และใช้ตลอดไปจนถึงที่ขึ้นบนผิวต้นไม้ ผลไม้ ใบไม้ และอื่น ๆ, ราชาศัพท์ว่า พระโลมา."
ขน 1,ก.,เอาสิ่งของเป็นต้นจำนวนมากจากที่หนึ่งไปยังอีกที่หนึ่งโดยบรรทุก หาบ หาม หรือด้วยวิธีอื่น.
ขน 2,น.,"ชื่อหญ้าชนิด Brachiaria mutica (Forssk.) Stapf ในวงศ์ Gramineae ขึ้นในที่ชื้นและชายนํ้า ข้อ กาบใบ และใบมีขน ใช้เป็นอาหารสัตว์, ปล้องขน ก็เรียก."
ขน 3,ก.,กรน เช่น คนนอนหลับขน ว่า คนนอนหลับกรน.
ข้นแค้น 0,ก.,"อัตคัด, ขัดสน, มักใช้เข้าคู่กับคำ ยากจน เป็น ยากจนข้นแค้น."
ขนง 0,น.,"คิ้ว, ใช้เป็นราชาศัพท์ว่า พระขนง."
ขนงเนื้อ 0,น.,หนังสัตว์ที่เผาไฟให้สุกแล้วต้มให้เปื่อย เพื่อปรุงเป็นอาหาร.
ขนด 0,น.,ตัวงูที่ขด
ขนด 1,น.,ลูกบวบจีวร
ขนด 2,น.,โคนหางงู มักเรียกว่า ขนดหาง.
ขนทรายเข้าวัด 0,ก.,"ทำบุญกุศลโดยวิธีนำหรือขนทรายไปก่อพระเจดีย์ทรายเป็นต้นที่วัด, (สำ) หาประโยชน์ให้ส่วนรวม."
ขนน 0,น.,หมอนอิง.
ขนบ 0,น.,"แบบอย่าง, แผน, ระเบียบ"
ขนบ 1,น.,"กลีบ, รอยที่พับ (ของสมุดข่อย หรือผ้าจีบ หรือจีวร เป็นต้น)"
ขนบ 2,น.,ชั้น เช่น ขนบหิน.
ขนบธรรมเนียม 0,น.,แบบอย่างที่นิยมกันมา.
ขนบประเพณี 0,น.,จารีตประเพณีที่วางเป็นระเบียบแบบแผนไว้แล้ว.
ขนพอง 0,น.,ขนตั้งชันฟูขึ้น เกิดจากความตกใจหรือความกลัวเป็นต้น.
ขนพองสยองเกล้า 0,น.,ขนและผมตั้งชันขึ้นเพราะรู้สึกสยดสยองมากเป็นต้น.
ขนเพชร 0,น.,ขนสีขาวที่ขึ้นแปลกเป็นพิเศษ มีลักษณะยาวกว่าปรกติ.
