คำ,POS,ความหมาย
ค 0,?,พยัญชนะตัวที่ ๔ เรียกว่า คอ ควาย เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากกหรือแม่กก เช่น โรค มรรค มารค เทคนิค.
คคน- 0,น.,ฟ้า.
คคนะ 0,น.,ฟ้า.
คคนัมพร 0,น.,ฟ้า.
คคนางค์ 0,น.,ฟ้า.
คคนานต์ 0,น.,ฟ้า.
คง 0,ก.,ยังมียังเป็นอยู่อย่างเดิม เช่น คงความเป็นไท
คง 1,ก.,เป็นคำบอกลักษณะคาดคะเน เช่น คงจะเป็นเช่นนั้น คงมาแล้ว.
คงกระพัน 0,ก.,ทนทานต่อศัสตราวุธ.
คงกระพันชาตรี 0,ก.,ทนทานต่อศัสตราวุธ.
คงแก่เรียน 0,ว.,ที่ได้ศึกษาเล่าเรียนมามาก.
คงขาด 0,ว.,ยังขาด.
คงคลัง 0,ว.,เรียกเงินที่มีอยู่ในคลังในเวลาใดเวลาหนึ่ง ว่า เงินคงคลัง.
คงคา 0,น.,"นํ้า, แม่นํ้า, ใช้เป็นสามัญว่า แม่พระคงคา หมายถึง เจ้าแม่ประจำนํ้า, ชื่อแม่นํ้าสำคัญสายหนึ่งในประเทศอินเดีย. (ป., ส. คงฺคา ว่า ผู้ไปเร็ว, ผู้ไหลเชี่ยว)"
คงคา 1,น.,เรียกส่วนของท่อเหล้าในโรงต้มกลั่น ว่า ท่อคงคา.
คงคา 2,น.,ชื่อหวายชนิดหนึ่ง ต้นเหมือนต้นสามสิบ รากเหมือนรากละหุ่ง ใบเหมือนใบละหุ่ง หัวเป็นแง่ง ยางขาวเหมือนนม.
คงคาเดือด 0,น.,"ชื่อไม้ต้นขนาดกลางชนิด Arfeuillea arborescens Pierre ในวงศ์ Sapindaceae ขึ้นตามป่าเบญจพรรณแล้ง สูง ๘-๑๐ เมตร มีพุ่มใหญ่ ใบเป็นใบประกอบ มีใบย่อย ๓-๔ คู่ ดอกเล็ก สีม่วงดำ หอมมาก ผลมีปีกบาง ๆ ๓ ปีก เปลือกใช้ทำยาได้, ราชบุรีเรียก ตะไล, พายัพเรียก ช้างเผือก."
คงคาลัย 0,น.,"แม่นํ้า, นํ้า, น่านนํ้า."
คงไคยหัตถี 0,น.,คังไคยหัตถี.
คงตัว 0,ว.,ไม่ผันแปร.
คงทน 0,ว.,"ยั่งยืน, ถาวร, ทนทาน."
คงที่ 0,ว.,ไม่เปลี่ยนแปลง.
คงเส้นคงวา 0,ว.,เสมอต้นเสมอปลาย.
คงเหลือ 0,ว.,ยังเหลือ.
คช- 0,น.,"ช้าง, ช้างพลาย."
คชกรรม 0,น.,"กิจการในทางปฏิบัติอันเกี่ยวกับช้าง เช่น การขี่ การฟันขอ, ประเภทตำราว่าด้วยทางปฏิบัติอันเกี่ยวกับช้าง."
คชนาม 0,น.,"นามราหู, อักษรชื่อที่ขึ้นต้นด้วย ย ร ล ว."
คชราช 0,น.,คุดทะราด.
คชลักษณ์ 0,น.,"รูปพรรณสัณฐานของช้างต่าง ๆ ซึ่งดีและชั่ว, ประเภทตำราแสดงรูปพรรณสัณฐานของช้างต่าง ๆ ซึ่งดีและชั่ว ถ้าได้ไว้จะให้คุณหรือโทษแก่เจ้าของ."
คชศาสตร์ 0,น.,วิชาว่าด้วยช้าง มี ๒ ประเภท คือ คชลักษณ์ และ คชกรรม.
คชส่าน 0,น.,ชื่อแตงโมพันธุ์หนึ่ง สีเหลือง เนื้อหวาน.
คชสาร 0,น.,ช้าง.
คชสีห์ 0,น.,สัตว์ในนิยายมีรูปเหมือนราชสีห์ แต่มีงวงเหมือนช้าง.
คชาชาติ 0,น.,"ช้าง, หมู่ช้าง."
คชาชีพ 0,น.,"คนเลี้ยงช้าง, หมอช้าง, ควาญช้าง."
คชาธาร 0,น.,"ช้างทรง, ช้างพระที่นั่ง."
คชาภรณ์ 0,น.,เครื่องประดับช้าง.
คชินทร์ 0,น.,พญาช้าง.
คเชนทร์ 0,น.,พญาช้าง.
คณ- 0,น.,"หมู่, พวก, (ซึ่งแยกมาจากส่วนใหญ่)"
คณ- 1,น.,กลุ่มคนผู้ร่วมกันเพื่อการอย่างใดอย่างหนึ่ง เช่น คณะกรรมการ คณะสงฆ์ คณะนักท่องเที่ยว
