คำ,POS,ความหมาย
ฆ 0,?,พยัญชนะตัวที่ ๖ เรียกว่า ฆอ ระฆัง เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากกหรือแม่กก เช่น เมฆ.
ฆน- 0,น.,"แท่ง, ก้อน."
ฆน- 1,ว.,"แน่น, ทึบ, แข็ง เช่น กรวดกรับอันคละฆนศิลา (ดุษฎีคำฉันท์)."
ฆนะ 0,น.,"แท่ง, ก้อน."
ฆนะ 1,ว.,"แน่น, ทึบ, แข็ง เช่น กรวดกรับอันคละฆนศิลา (ดุษฎีคำฉันท์)."
ฆร- 0,น.,เรือน.
ฆรณี 0,น.,"แม่เรือน, เมีย."
ฆระ 0,น.,เรือน.
ฆราวาส 0,น.,"คนผู้อยู่ครองเรือน, คนทั่ว ๆ ไปที่ไม่ใช่บรรพชิตหรือนักบวช."
ฆ้อง 0,น.,เครื่องตีชนิดหนึ่ง ทำด้วยโลหะผสม รูปร่างเป็นแผ่นวงกลมมีปุ่มนูนกลมตรงกลางสำหรับตี มีขอบยื่นลงมารอบตัว เรียกว่า ใบฉัตร มีหลายชนิด เช่น ฆ้องกระแต ฆ้องชัย ฆ้องวง.
ฆ้องกระแต 0,น.,"ชื่อฆ้องวงขนาดเล็ก ใช้บรรเลงในวงปี่พาทย์มอญ ลักษณะร้านฆ้องเป็นรูปเว้าหงายขึ้น คล้ายฆ้องมอญแต่ปลายไม่สูง วงหนึ่งมีลูกฆ้อง ๑๑ ลูก, ฆ้องขนาดเล็กลูกเดียวแขวนกับไม้ ใช้มือหิ้วหรือแขวนไม้กับไม้ขาหยั่ง ใช้ตีเป็นสัญญาณในการอยู่เวรยามหรือแจ้งข่าวสารต่าง ๆ, ทั้ง ๒ ชนิดเรียกว่า ฆ้องกระแต."
ฆ้องคู่ 0,น.,ฆ้องที่ใช้ตีประกอบการแสดงหนังตะลุงและการเล่นโนรา ชุดหนึ่งมี ๒ ลูก.
