คำ,POS,ความหมาย
ง 0,?,พยัญชนะตัวที่ ๗ เรียกว่า งอ งู เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากงหรือแม่กง เช่น บาง ทอง.
งก 0,ก.,แสดงอาการอยากได้หรือไม่อยากเสียจนเกินควร.
งก 1,ว.,มีอาการสั่นอย่างคนแก่หรืออย่างกลัวหรืออย่างหนาวมาก.
งก 2,น.,ไม้รูปคล้ายตะลุมพุกสำหรับควาญท้ายตีช้างเมื่อต้องการให้ช้างไปเร็ว เรียกว่า ไม้งก.
งก ๆ 0,ว.,อาการที่ทำงานอย่างขยันขันแข็งโดยไม่คำนึงถึงความเหนื่อยยาก เช่น ทำงานง่ก ๆ ทั้งวันจนไม่มีเวลาหยุดพัก.
ง่ก ๆ 0,ว.,อาการที่ทำงานอย่างขยันขันแข็งโดยไม่คำนึงถึงความเหนื่อยยาก เช่น ทำงานง่ก ๆ ทั้งวันจนไม่มีเวลาหยุดพัก.
งก ๆ เงิ่น ๆ 0,ว.,"ตัวสั่น, มีอาการประหม่าตัวสั่นจนทำอะไรไม่ถูก."
งกเงิ่น 0,ว.,"ตัวสั่น, มีอาการประหม่าตัวสั่นจนทำอะไรไม่ถูก."
งง 0,ก.,"ฉงน, คิดไม่ออกเพราะยุ่งยากซับซ้อน, ทำอะไรไม่ถูกเพราะยังตั้งสติไม่อยู่"
งง 1,ก.,อาการมึนเกิดเพราะหัวหรือบริเวณหน้าได้รับความกระทบกระเทือนอย่างแรงเป็นต้น.
งงงวย 0,ก.,"เคลิบเคลิ้ม, เผลอสติ, มึนงง, งวยงง ก็ว่า."
งงงัน 0,ก.,งงจนทำอะไรไม่ถูก.
งงเป็นไก่ตาแตก 0,ก.,งงมากจนทำอะไรไม่ถูก.
งงิด 0,น.,มืด.
งด 0,ก.,หยุดหรือเว้น คือ ไม่กระทำหรือไม่ดำเนินการตามปรกติ เช่น ผู้ป่วยต้องงดอาหารและน้ำตามที่แพทย์สั่ง.
งดงาม 0,ว.,"สวย, ดี, งาม."
งดเว้น 0,ก.,เว้นด้วยการงด คือ หยุดไม่กระทำหรือไม่ดำเนินการตามปรกติ เช่น งดเว้นอบายมุขระหว่างเข้าพรรษา.
งบ 0,น.,"สิ่งที่เป็นแผ่นกลม ๆ เช่น งบนํ้าตาล งบนํ้าอ้อย, เรียกนํ้าตาล นํ้าอ้อย ที่ทำให้เป็นแผ่น ๆ เช่นนั้น ว่า นํ้าตาลงบ นํ้าอ้อยงบ."
งบ 1,น.,ชื่อกับข้าวชนิดหนึ่งคล้ายห่อหมก ห่อด้วยใบไม้ มีใบตองเป็นต้น แล้วปิ้งไฟ.
งบ 2,ก.,ปรุงอาหารด้วยวิธีเช่นนั้น.
งบ 3,ก.,"ปิด, รวม, เช่น งบบัญชี."
งบ 4,น.,วงเงิน เช่น งบค่าก่อสร้างบ้าน.
งบดุล 0,น.,รายการแสดงสินทรัพย์และหนี้สิน เพื่อให้รู้ฐานะการเงินของกิจการ ณ วันใดวันหนึ่ง โดยมีบัญชีกำไรและขาดทุนประกอบด้วย.
งบประมาณ 0,น.,ประมาณการรายรับและรายจ่าย.
งม 0,ก.,"ดำนํ้าลงไปคลำหาของ, คลำหาของในนํ้า"
งม 1,ก.,"โดยปริยายหมายความว่า งุ่มง่าม, ชักช้า, เช่น มัวไปงมอยู่ที่ไหน."
งมเข็มในมหาสมุทร 0,ก.,"ค้นหาสิ่งที่ยากจะค้นหาได้, ทำกิจที่สำเร็จได้ยาก."
งมโข่ง 0,ว.,"งุ่มง่าม, ไม่ทันเหตุการณ์."
งมงาย 0,ก.,หลงเชื่อโดยไม่มีเหตุผล หรือโดยไม่ยอมรับฟังความคิดเห็นหรือเหตุผลของผู้อื่น.
ง่วง 0,ก.,อาการที่ร่างกายอยากนอน.
