คำ,POS,ความหมาย
จ 0,?,พยัญชนะตัวที่ ๘ เรียกว่า จอ จาน เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น กิจ วินิจฉัย ตำรวจ.
จก 0,ก.,"ฉก เช่น ระวังงูจะจกเอา, ล้วง เช่น รู้สึกเหมือนกับว่ามีมือใครมาจกกระเป๋า, ควัก เช่น น้องคงแอบมาจกเงินไป ๕๐๐ บาท, ขุด เช่น จกแรง ๆ หน่อย ทำอย่างนี้พรุ่งนี้ก็ไม่ได้สักหลุม, คุ้ย, สับ เช่น เอาจอบจกลงไปตรงนั้นซิ"
จก 1,ก.,เอาตัวมา เช่น คุณต้องไปจกตัวเขามาให้ได้.
จกอบ 0,น.,"ภาษีสินค้าผ่านด่าน, ภาษีปากเรือ, จังกอบ ก็เรียก."
จง 0,*ก.,"เป็นคำช่วยกริยา บอกความบังคับ เช่น จงปฏิบัติตามระเบียบวินัย, หรือบอกความหวัง เช่น จงมีความสุขความเจริญ."
จ่ง 0,ว.,จง.
จ๋ง 0,น.,"เรียกลูกชายคนที่ ๑๐ ว่า ลูกจ๋ง, คู่กับ ลูกหญิงคนที่ ๑๐ ว่า ลูกอัง."
จงกรม 0,ก.,เดินไปมาโดยมีสติกำกับอย่างพระเดินเจริญกรรมฐาน เรียกว่า เดินจงกรม.
จงกรมแก้ว 0,น.,พระพุทธรูปปางหนึ่งยืนย่างพระบาทซ้าย พระหัตถ์ทั้ง ๒ ประสานพระเพลา มีเรือนแก้ว.
จงกล 0,น.,"บัว, บัวสาย, เช่น อันประดับด้วยอรพินธุเนานึก บุณฑรึกจงกล (ม. คำหลวง วนปเวสน์)"
จงกล 1,น.,สิ่งที่ทำให้มีรูปร่างคล้ายดอกบัวชนิดหนึ่ง สำหรับเป็นส่วนประกอบเครื่องใช้ เครื่องประดับตกแต่งต่าง ๆ เช่น จงกลเชิงเทียน จงกลปลายพระทวย จงกลปิ่น จงกลดาวเพดาน
จงกล 2,น.,ก้านของพู่ที่ประดับหัวม้าติดอยู่กับขลุมทั้ง ๒ ข้าง ตั้งขึ้นไป.
จงกลนี 0,น.,"บัว, บัวดอกคล้ายบัวขม มีเกสรซ้อนหลายชั้น แตกก้านต่อดอกแล้วมีดอกต่อกัน ๓ ดอกบ้าง ๔ ดอกบ้าง. (ทมิฬ เจ็ง ว่า แดง กาฬนีร ว่า บัว หมายความว่า บัวแดง)."
จงเกลียดจงชัง 0,ก.,ผูกใจเกลียดชังอย่างยิ่ง.
จงโคร่ง 0,น.,"ชื่อสัตว์สะเทินนํ้าสะเทินบกชนิด Bufo asper Gravenhorst ในวงศ์ Bufonidae เป็นคางคกที่ใหญ่ที่สุดในประเทศไทย ผิวหนังเป็นตุ่มขรุขระทั่วตัว ตุ่มที่หลังมีขนาดใหญ่ ส่วนใหญ่ลำตัวสีน้ำตาลดำและน้ำตาลเหลือง ท้องสีขาวหม่นบางตัวมีจุดสีแดงเล็ก ๆ ยางขาวมีฤทธิ์ทำให้มึนเมา อาศัยในป่าบริเวณริมลำธารหรือน้ำตก, กระทาหอง กระหอง หรือ กง ก็เรียก."
จงใจ 0,ก.,"ตั้งใจ, หมายใจ, เจตนา."
จงดี 0,ว.,"ให้ดี, ให้เรียบร้อย."
จงรัก 0,ก.,ผูกใจรักด้วยความเคารพนับถือหรือรู้คุณอย่างยิ่ง.
จงรักภักดี 0,ก.,ผูกใจรักด้วยความเคารพนับถือหรือรู้คุณอย่างยิ่ง.
จงอร 0,ก.,"จงทำให้ดีใจ, จงทำให้ปลาบปลื้ม, เช่น ใครรู้แห่งพระแพศยันดร บอกจงอรใจกู (ม. คำหลวง ชูชก)."
