คำ,POS,ความหมาย
ฉ 0,?,พยัญชนะตัวที่ ๙ เรียกว่า ฉอ ฉิ่ง เป็นอักษรสูง ใช้เป็นพยัญชนะต้น.
ฉ 1,ว.,"หก, สำหรับประกอบหน้าศัพท์อื่น."
ฉก 0,ก.,ฉวยหรือชิงเอาโดยเร็ว
ฉก 1,ก.,"สับ, โขก, เช่น งูฉก."
ฉก 2,น.,"ชื่อปาล์มชนิด Arenga westerhoutiiGriff. ในวงศ์ Palmae ขึ้นตามป่าดิบชื้นทางภาคใต้ ใบด้านล่างเป็นคราบสีเทา ไม่ใคร่หักหรือพับ จั่นเป็นพวงห้อย ออกผลเป็นทะลายใหญ่, รังกับ รังไก่ หรือ หลังกับ ก็เรียก."
ฉกจวัก 0,ก.,ชูหัวขึ้นแผ่พังพานทำท่าจะฉก (ใช้แก่งู).
ฉกฉวย 0,ก.,ยื้อแย่งเอาไปต่อหน้า.
ฉกชิง 0,ก.,แย่งชิงเอาไปซึ่งหน้า.
ฉกรรจ์ 0,ว.,"ห้าวหาญ เช่น ใจฉกรรจ์, แข็งแรงสมบูรณ์ เช่น วัยฉกรรจ์ ชายฉกรรจ์, รุนแรงอาจถึงตาย เช่น แผลฉกรรจ์."
ฉกรรจ์ลำเครื่อง 0,น.,ทหารที่เลือกคัดและแต่งเครื่องรบพร้อมที่จะเข้ารบได้ทันที เช่น พลฉกรรจ์ลำเครื่องแสนหนึ่ง ช้างเครื่องแปดร้อย (พงศ. เลขา).
ฉกษัตริย์ 0,น.,"กษัตริย์ ๖ พระองค์, ชื่อกัณฑ์ที่ ๑๒ ของมหาชาติ."
ฉกาจ 0,ว.,"เก่งกาจ, ดุร้าย, กล้าแข็ง."
ฉกาจฉกรรจ์ 0,ว.,"เก่งกาจ, ดุร้าย, กล้าแข็ง."
ฉกามาพจร 0,น.,สวรรค์ ๖ ชั้น ได้แก่ ๑. จาตุมหาราชหรือจาตุมหาราชิกหรือจาตุมหาราชิกา ๒. ดาวดึงส์ ๓. ยามา ๔. ดุสิต ๕. นิมมานรดี ๖. ปรนิมมิตวสวัตดี.
ฉกามาวจร 0,น.,สวรรค์ ๖ ชั้น ได้แก่ ๑. จาตุมหาราชหรือจาตุมหาราชิกหรือจาตุมหาราชิกา ๒. ดาวดึงส์ ๓. ยามา ๔. ดุสิต ๕. นิมมานรดี ๖. ปรนิมมิตวสวัตดี.
ฉง 0,ว.,"ชื่อแมลงพวกมวนหลายชนิดในสกุล Leptocorisa วงศ์ Alydidae ลำตัวแคบ สีน้ำตาล ยาวประมาณ ๑.๕ เซนติเมตร ดูดกินน้ำเลี้ยงเมล็ดอ่อนของข้าวทำให้เมล็ดลีบ ที่พบบ่อยได้แก่ ชนิด L. oratorius (Fabricius) และชนิด L. acuta (Thunberg), กระฉง หรือ ฉง ก็เรียก."
ฉงน 0,ก.,"สงสัย, ไม่แน่ใจ, แคลงใจ."
ฉงาย 0,ก.,สงสัย.
ฉงาย 1,ว.,"ไกล, ห่าง."
ฉทวาร 0,น.,ทวารทั้ง ๖ คือ ตา หู จมูก ลิ้น กาย และใจ.
ฉทานศาลา 0,น.,"ศาลาเป็นที่ทำทาน ๖ แห่ง, บางทีเขียนว่า ศาลาฉทาน."
ฉทึง 0,น.,"แม่นํ้า เช่น ฉทึงธารคีรีเหวผา (ดุษฎีสังเวย), ใช้ว่า จทึง ชทึง ชรทึง สทิง สทึง หรือ สรทึง ก็มี."
ฉนวน 0,น.,ทางเดินซึ่งมีเครื่องกำบัง ๒ ข้าง สำหรับพระมหากษัตริย์หรือเจ้านายฝ่ายในเสด็จขึ้นลงหรือเข้าออก.
ฉนวน 1,ก.,"กำบัง, คั่น, กั้น."
ฉนวน 2,น.,"วัตถุที่ไฟฟ้าหรือความร้อนผ่านไม่ได้สะดวก, วัตถุที่ไม่เป็นตัวนำไฟฟ้าหรือความร้อน."
ฉนวน 3,น.,ดินแดนที่มีทางออกทะเลหรือที่ทำให้ดินแดนถูกแยกออกเป็น ๒ ฟาก.
ฉนวน 4,น.,"ชื่อไม้ต้นขนาดกลางชนิด Dalbergia nigrescens Kurz ในวงศ์ Leguminosae เนื้อไม้อ่อน ไม่ทนทาน, สนวน หรือ ชนวน ก็เรียก."
ฉนัง 0,น.,"หม้อ, โบราณเขียนเป็น ฉนงง ก็มี เช่น ฉนงงบ่อมาทนนสาย แสบท้อง (กำสรวล)."
ฉนาก 0,น.,"ชื่อปลาทะเลขนาดใหญ่ในสกุล Anoxypristis และ Pristis วงศ์ Pristidae เป็นปลากระดูกอ่อนอยู่ในกลุ่มปลากระเบน ขนาดยาวได้ถึง ๒ เมตร มีเหงือก ๕ คู่อยู่ใต้ส่วนหัว บริเวณปลายสุดของหัวมีแผ่นกระดูกยื่นยาวมาก ขอบทั้ง ๒ ข้างมีซี่กระดูกแข็งคล้ายฟันเลื่อยเรียงห่างกันอย่างสมํ่าเสมอข้างละ ๑ แถวโดยตลอด ชนิด A. Cuspidata Latham หรือ P. cuspidatus Latham มี ๑๖-๒๙ คู่, ชนิด P. microdon Latham มี ๑๔-๒๓ คู่."
ฉนำ 0,น.,ปี.
ฉบบ 0,น.,"แบบ, เล่มหนังสือ, เรื่อง."
ฉบัง 0,น.,ชื่อกาพย์ชนิดหนึ่ง บทละ ๑๖ คํา แบ่งเป็น ๓ วรรค วรรคที่ ๑ และ ๓ มี ๖ คํา วรรคที่ ๒ มี ๔ คํา เช่น (สามัคคีเภท). (ข. จฺบำง).
ฉบัด 0,ว.,"ชัด, สันทัด, ทันทีทันใด, เช่น เจ้าช้างจึ่งรู้ฉบัด (ลอ), เร่งยอมนุญาตเยาวฉบัด (สรรพสิทธิ์)."
ฉบับ 0,น.,"หนังสือเรื่องเดียวกันซึ่งมีข้อความหรือสำนวนแตกต่างกันเป็นต้น เช่น พจนานุกรม ฉบับราชบัณฑิตยสถาน, ต้นเดิมของหนังสือที่พิมพ์หรือเขียน เรียกว่า ต้นฉบับ"
ฉบับ 1,น.,ลักษณนามเรียกหนังสือเล่มหรือหนังสือเป็นแผ่นที่ถือว่าเป็นหน่วยหนึ่ง ๆ เช่น จดหมาย ๓ ฉบับ สลากกินแบ่ง ๕ ฉบับ หนังสือสัญญา ๒ ฉบับ.
ฉบับกระเป๋า 0,ว.,ที่มีขนาดเล็กสามารถพกพาไปได้สะดวก เช่น พจนานุกรมฉบับกระเป๋า คอมพิวเตอร์ฉบับกระเป๋า.
ฉพีสติม- 0,ว.,ที่ ๒๖ เช่น ฉพีสติม-สุรทิน ว่า วันที่ ๒๖ (แห่งเดือนสุริยคติ).
ฉม 0,น.,"กลิ่นหอม, เครื่องหอม."
ฉมบ 0,น.,"ผีผู้หญิงที่ตายในป่าและสิงอยู่ในบริเวณที่ตาย มีรูปเห็นเป็นเงา ๆ แต่ไม่ทำอันตรายใคร เช่น อนึ่งเปนสัจว่าเปนฉมบจะกละกะสือ แลมาฟ้องร้องเรียนแก่มุขลูกขุนก็ดี ๒๐ (สามดวง), ชมบ หรือ ทมบ ก็ว่า."
ฉมบ 1,น.,"ไม้ปักเป็นเครื่องหมายกำหนดแนวหรือตำแหน่งสำหรับขุดหลุมจะปลูกเรือน, ชะมบ ก็ว่า."
ฉมวก 0,น.,"เครื่องมือแทงปลาเป็นต้น มีง่ามเป็น ๑, ๓ หรือ ๕ ขา ที่ปลายขาทำเป็นเงี่ยง มีด้ามยาว."
ฉมวย 0,ก.,"ฉวย, จับ"
ฉมวย 1,ก.,ได้.
ฉมวย 2,ว.,"แม่น, ขลัง."
ฉม่อง 0,น.,คนตีฆ้อง เช่น พานรนายฉม่องว่องไว คุมคนธรรพ์ไป ประจานให้ร้องโทษา (คำพากย์).
ฉมัง 0,ว.,"แม่น เช่น มือฉมัง, ขลัง เช่น เป่ามนตร์ฉมัง."
ฉมัน 0,น.,สมัน.
ฉมา 0,น.,แผ่นดิน.
ฉมำ 0,ว.,"แม่น, ไม่ผิด, ขลัง."
ฉล 0,น.,ความฉ้อโกง.
ฉล 1,ก.,โกง.
ฉลวย 0,ว.,สวยสะโอดสะอง.
ฉลวยฉลาด 0,ว.,ปัญญาดีงาม.
ฉลอง 0,ก.,"ทำบุญหรือบูชาสิ่งใดสิ่งหนึ่งเป็นงานเอิกเกริกเพื่อแสดงความปีติยินดี เช่น ฉลองพระ ฉลองหนังสือ ฉลองอายุ, จัดงานเอิกเกริกเพื่อแสดงความยินดีในโอกาสต่าง ๆ เช่น ฉลองปริญญา, บางทีใช้เข้าคู่กับคำ เฉลิม เป็น เฉลิมฉลอง."
ฉลอง 1,ก.,"แทน, ทดแทน, เช่น ฉลองคุณ."
ฉลอง 2,ก.,"จำลอง, รอง, แทน, ช่วย."
ฉลอง 3,ก.,ข้าม ในคำว่า ท่าฉลอง คือ ท่าสำหรับข้าม.
ฉลองได 0,น.,"ไม้เกาหลัง, นารายณ์หัตถ์ หรือ สนองได ก็เรียก."
ฉลองพระกรน้อย 0,น.,"ชื่อเสื้อชั้นในที่แขนต่อแถบรัด, คู่กับฉลองพระองค์ทรงประพาส, พระกรน้อย ก็ว่า."
ฉลองพระเนตร 0,น.,แว่นตา.
ฉลองพระบาท 0,น.,รองเท้าของพระมหากษัตริย์.
ฉลองพระศอ 0,น.,สร้อยนวม.
ฉลองพระหัตถ์ 0,น.,"ช้อนส้อม, ตะเกียบ, มีดสำหรับโต๊ะอาหาร, ใช้ว่า ฉลองพระหัตถ์ช้อนส้อม ฉลองพระหัตถ์ตะเกียบ ฉลองพระหัตถ์มีด."
ฉลองพระองค์ 0,น.,"เสื้อ, เสื้อผ้า, เครื่องแต่งกาย."
ฉลองศรัทธา 0,ก.,ตอบแทนเต็มที่.
ฉลององค์ 0,น.,"เสื้อ, เสื้อผ้า, เครื่องแต่งกาย."
ฉลอม 0,น.,ชื่อเรือต่อชนิดหนึ่ง คล้ายเรือกระแชง หัวท้ายงอนเรียว กลางป่อง ตัวเรือเป็นเหลี่ยม กระดานข้างเรือเป็นทับเกล็ด นิยมใช้ตามหัวเมืองชายทะเลแถบปากอ่าว สำหรับบรรทุกสินค้าหรือหาปลา สมัยโบราณเวลาเกิดศึกสงครามก็จะถูกเกณฑ์ไปใช้ในราชการทัพด้วย อาจติดใบหรือไม่ก็ได้.
ฉลอมท้ายญวน 0,น.,ชื่อเรือใบเดินทะเลรูปท้ายตัด ใช้ทางทะเลด้านตะวันออก.
ฉละ 0,น.,"ชื่อปาล์มชนิด Salacca zalacca (Gaertn.) Voss ในวงศ์ Palmae ขึ้นเป็นกอคล้ายระกำ ผลสีคลํ้า ไม่มีหนาม เนื้อสีขาวหนาล่อน รสหวาน, สละชวา ก็เรียก. (เทียบ ม. salak)"
ฉลัก 0,ก.,"สลัก, แกะให้เป็นลวดลาย."
ฉลับ 0,ก.,สลับ เช่น แล่นลล้าวฉลับพล (สมุทรโฆษ).
ฉลาก 0,น.,สิ่งเช่นติ้ว ตั๋ว หรือแผ่นกระดาษเล็ก ๆ เป็นต้น ซึ่งทำเป็นเครื่องหมายกำหนดไว้เนื่องในการเสี่ยงโชคเสี่ยงทายเป็นต้น
ฉลาก 1,น.,ป้ายบอกชื่อยา ใช้ปิดขวดยารักษาโรค เรียกว่า ฉลากยา
ฉลาก 2,น.,สลาก ก็ว่า
ฉลาก 3,น.,รูป รอยประดิษฐ์ เครื่องหมาย หรือข้อความใด ๆ ที่แสดงไว้ที่ภาชนะหรือหีบห่อบรรจุสินค้า เช่น ฉลากยา ฉลากเครื่องสำอาง.
ฉลากบาง 0,น.,ชื่อเรือชนิดหนึ่ง.
ฉลาง 0,น.,"ชื่อชนชาติเดิมพวกหนึ่ง อยู่ทางทะเลด้านตะวันตกของแหลมมลายู, ชาวนํ้า หรือ ชาวเล ก็เรียก. (ม. ว่า ซะลัง)"
ฉลาง 1,น.,ชื่อผ้าที่มีลายชนิดหนึ่ง เรียกว่า ผ้าลายฉลาง เช่น พวกโขลนเลวลายฉลางกับริ้วญวน (ขุนช้างขุนแผน).
ฉลาด 0,ว.,"เฉียบแหลม, ไหวพริบดี, ปัญญาดี."
ฉลาด 1,น.,"ชื่อปลานํ้าจืดชนิด Notopterus notopterus (Pallas) ในวงศ์ Notopteridae รูปร่างคล้ายปลากราย หัวและลำตัวแบนข้างมาก ท้องเป็นสันคม ปากตํ่า สันหัวแอ่นลงเล็กน้อย ครีบหลังเด่นแต่มีขนาดเล็กเท่า ๆ กันกับครีบอก ครีบท้องเล็กมาก ครีบก้นยาวต่อเนื่องกับครีบหางซึ่งเล็กและมีขอบกลม พื้นลำตัวสีขาว หลังเทา ไม่มีจุดสีเด่นหรือลวดลายสีเข้มใด ๆ ขนาดยาวได้ถึง ๓๕ เซนติเมตร ใช้ทำอาหารประเภททอดมัน ปลาเห็ด หรือลูกชิ้นได้รสชาติดี, ฉลาด หรือ ตอง ก็เรียก."
ฉลาดเฉลียว 0,ว.,"มีปัญญาและไหวพริบดี, เฉลียวฉลาด ก็ว่า."
ฉลาม 0,น.,"ชื่อปลาทะเลหลายวงศ์ในอันดับ Lamniformes เป็นปลากระดูกอ่อน ขนาดยาวได้ถึง ๒๑.๔ เมตร ส่วนใหญ่มีช่องเหงือก ๕ คู่อยู่ข้างส่วนหัว แฉกบนของหางยกสูงขึ้นและยาวมาก ตัวผู้ขอบในของครีบท้องขยายใหญ่มีแท่งอวัยวะสืบพันธุ์ เรียกว่า ตะเกียบหรือเดือย บางชนิดเป็นปลาผิวนํ้า เช่น ฉลามหนู [ Scoliodon sorrakowah (Cuvier) หรือ S. laticaudus Müller & Henle], ฉลามเสือ เสือทะเล พิมพา หรือ ตะเพียนทอง [ Galeocerdo cuvieri (Peron & Le Sueur)] บางชนิดอยู่ตามพื้นท้องทะเล เช่น ฉลามกบหรือฉลามหิน [ Chiloscyllium plagiosum (Bennett)] บางชนิดอยู่ในนํ้าลึกมาก เช่น ฉลามนํ้าลึก ( Squalus acanthiasLinn.) บางชนิดขนาดใหญ่มาก เช่น ฉลามวาฬ ( Rhincodon typus Smith) ชนิดที่หัวแผ่แบน เรียก ฉลามหัวค้อน หรือ อ้ายแบ้ เช่น ชนิด Sphyrna leweni (Griffith & Smith)."
ฉลามเสือ 0,น.,"ชื่อปลาฉลามขนาดใหญ่ชนิด Galeocerdo cuvieri (Peron & Le Sueur) ในวงศ์ Carcharinidae มีฟันใหญ่เป็นรูปสามเหลี่ยม ขอบจักเป็นฟันเลื่อย พื้นลำตัวและครีบสีน้ำตาลหม่น มีลายพาดขวางตลอดข้างลำตัวถึงปลายหาง ซึ่งอาจแตกเป็นจุดเห็นกระจายอยู่ทั่วไปหรือจางหมดไปเมื่อโตขึ้น หางยาว ดุร้ายมาก ขนาดยาวได้ถึง ๗ เมตร, ตะเพียนทอง พิมพา หรือ เสือทะเล ก็เรียก."
ฉลาย 0,ก.,"สลาย, แตกพัง, ทลาย, ละลาย."
ฉลิว 0,น.,เฉลว.
ฉลีก 0,ก.,"ฉีก, ทำให้ขาดจากกัน"
ฉลีก 1,ก.,แยกออกจากกัน.
ฉลุ 0,ก.,"ปรุ, สลัก."
ฉลุกฉลวย 0,ว.,รวดเร็ว.
ฉลุลาย 0,ก.,"ฉลุให้เป็นลาย, ลายที่ฉลุแล้ว เรียกว่า ลายฉลุ."
ฉลู 0,น.,ชื่อปีที่ ๒ ของรอบปีนักษัตร มีวัวเป็นเครื่องหมาย.
ฉวย 0,ก.,คว้า จับ หรือหยิบเอาโดยเร็ว.
ฉวย 1,สัน.,"ถ้า, แม้."
ฉวยฉาบ 0,ก.,จิกหรือหยิบแล้วบินหรือพาไป เช่น ฉวยฉาบคาบนาคี เป็นเหยื่อ (เห่เรือ).
ฉวะ 0,น.,"ร่างสัตว์หรือคนที่ตายแล้ว, ซากศพ."
