คำ,POS,ความหมาย
ช 0,?,พยัญชนะตัวที่ ๑๐ เรียกว่า ชอ ช้าง เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ราช คช กริช แซนด์วิช.
ช 1,*ว.,"ในภาษาบาลีและสันสกฤต ถ้าใช้ประกอบท้ายคำบางคำ แปลว่า เกิด เช่น บงกช ว่า เกิดในเปือกตม หมายถึง บัว, วาริช ว่า เกิดในน้ำ หมายถึง ปลา, ทวิช ว่า เกิด ๒ ครั้ง หมายถึง พราหมณ์, นก."
ชก 0,ก.,กำหมัดแล้วพุ่งตรงไปยังที่หมาย เช่น ชกหน้า.
ชกมวย 0,ก.,ใช้หมัดต่อยกันตามกติกา.
ชกมวย 1,น.,ชื่อกีฬาประเภทหนึ่ง ที่คู่ชกชกกันตามกติกา.
ชกมวย 2,น.,ชื่อเพลงไทย อัตรา ๒ ชั้น หน้าทับปรบไก่.
ชกลม 0,ก.,กำหมัดแล้วพุ่งออกไป เป็นการออกกำลังกายอย่างหนึ่ง.
ชกา 0,น.,นกสาลิกา.
ชค- 0,น.,แผ่นดิน เช่น ชคสัตว์ ว่า สัตว์ที่อาศัยแผ่นดิน.
ชคดี 0,น.,แผ่นดิน เช่น แลเนืองนองด้วยมนุษยชาติ เดียรดาษชคดี (ม. คำหลวง วนปเวสน์).
ชคัตตรัย 0,น.,โลก ๓ เช่น ชคัตตรยาพดง ว่า ผู้เป็นยอดของโลก ๓ (ม. คำหลวง วนปเวสน์).
ชง 0,ก.,"เทนํ้าร้อนลงบนใบชาหรือสมุนไพรบางชนิดเป็นต้น เพื่อสกัดสาร กลิ่น หรือรสที่ต้องการ เช่น ชงชาจีน ชงชาดอกคำฝอย, ใช้น้ำร้อนทำให้ละลาย เช่น ชงนม, เทน้ำร้อนจากกาลงในภาชนะอื่น ในคำว่า ชงน้ำร้อน เช่น ชงน้ำร้อนใส่กระติก."
ชงคา 0,น.,"คำสั่ง, คำพูด, เช่น ชุลีกรรับชงคาครรไล (นิ. เกาะแก้วกัลกตา)."
ชงโค 0,น.,ชื่อไม้ต้นขนาดกลางชนิด Bauhinia purpurea L. ในวงศ์ Leguminosae ดอกสีชมพูอมแดงหรือม่วงแดง.
ชงโคดอกเหลือง 0,น.,"ชื่อพรรณไม้ ๒ ชนิดในวงศ์ Leguminosae ปลายใบเว้าลึกเป็น ๒ แฉก คือ ชนิด Bauhiniamonandra Kurz เป็นไม้ต้น ดอกสีขาวนวล มีลายสีชมพู ออกเป็นช่อสั้น ๆ และชนิด B. tomentosa L. เป็นไม้พุ่ม ดอกสีเหลือง ห้อยลง, ชงโคดอกเหลือง ก็เรียก."
ชงฆ์ 0,น.,"แข้ง, ราชาศัพท์ว่า พระชงฆ์."
ชงฆ- 0,น.,"แข้ง, ราชาศัพท์ว่า พระชงฆ์."
ชงฆา 0,น.,"แข้ง, ราชาศัพท์ว่า พระชงฆ์."
ชงโลง 0,น.,"เครื่องมือชนิดหนึ่งสำหรับวิดน้ำ ลักษณะคล้ายลูกฟักผ่าซีกและตัดครึ่ง สานด้วยไม้ไผ่ มีคันยาวต่อออกไปทางท้ายสำหรับจับ ผูกโยงแขวนไว้กับขาหยั่ง แล้วจับคันจ้วงน้ำสาดออกไปยังที่ที่ต้องการ, ชงโลง ก็ว่า, อีสานเรียก กะโซ้, พายัพเรียก กระโจ้, ปักษ์ใต้เรียก โพง."
ชงโลง 1,น.,"ชื่อปลาน้ำจืดชนิด Hemibagrus nemurus (Valenciennes) ในวงศ์ Bagridae ไม่มีเกล็ด หัวแบน หนวดยาวถึงครีบก้น ข้างลำตัวสีเหลือง ด้านหลังสีน้ำตาลดำ มีชุกชุมทั่วไป แม้ในเขตน้ำกร่อยใกล้ปากแม่น้ำ ขนาดยาวได้ถึง ๖๕ เซนติเมตร, กดขาว หรือ ชงโลง ก็เรียก."
ชฎา 0,น.,เครื่องสวมศีรษะ รูปคล้ายฝาชี มียอดยาวเรียวแหลม.
ชฎากลีบ 0,น.,เครื่องราชศิราภรณ์อย่างหนึ่ง มีวงขอบเป็นอย่างมาลัยรักร้อย ตอนบนเป็นจอมรูปกรวย มีมาลัยรักร้อยคั่นอีกชั้นหนึ่ง ยอดสูงเรียว ปลายมีลักษณะเป็นกลีบ ๕ กลีบ เรียกว่า พระชฎากลีบ.
ชฎาเดินหน 0,น.,เครื่องราชศิราภรณ์อย่างหนึ่ง ลักษณะคล้ายพระชฎากลีบ แต่ปลายไม่มีกลีบและปัดไปทางด้านหลังเล็กน้อย ปักพระยี่ก่าข้างซ้าย เรียกว่า พระชฎาเดินหน.
ชฎาธาร 0,น.,ผู้ทรงไว้ซึ่งชฎา.
ชฎาพอก 0,น.,ลอมพอกที่ประดับมาลัยรักร้อย และมีเกี้ยวรัดรอบส่วนที่ต่อขึ้นไปเป็นปลายชฎา.
ชฎามหากฐิน 0,น.,เครื่องราช-ศิราภรณ์อย่างหนึ่ง ลักษณะเป็นจอมรวบขึ้นไปตั้งแต่มาลัยรักร้อย ปลายยาวเรียวปัดไปทางด้านหลังเล็กน้อย ปักพระยี่ก่าข้างซ้าย เรียกว่า พระชฎามหากฐิน.
ชฎามังษี 0,น.,"โกฐชฎามังษี. (ดู โกฐชฎามังษี, โกฐชฎามังสี ที่ โกฐ)."
