คำ,POS,ความหมาย
ซ 0,?,พยัญชนะตัวที่ ๑๑ เรียกว่า ซอ โซ่ เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้นและเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ก๊าซ.
ซ่ก 0,ก.,เปียกชุ่มจนถึงหยด เช่น เหงื่อซ่ก บิดผ้าน้ำยังซ่กอยู่เลย เอามาถูพื้นได้อย่างไร.
ซ่ก 1,ว.,มาก เช่น หิวซ่ก.
ซ่ง 0,น.,"โซ่ง, ซงดำ หรือ ไทดำ ก็เรียก. (ดู โซ่ง)."
ซงดำ 0,น.,"โซ่ง, ซ่ง หรือ ไทดำ ก็เรียก. (ดู โซ่ง)."
ซ่งฮื้อ 0,น.,ชื่อปลานํ้าจืดชนิด Hypophthalmichthys nobilis (Richardson) ในวงศ์ Cyprinidae ปากเล็กอยู่ปลายสุดของหัว ไม่มีหนวด หัวโต เกล็ดเล็ก ลำตัวสีเงิน ยาวป้อม แบนข้างเล็กน้อย ท้องกลม หากินอยู่ตามพื้นท้องน้ำ มีถิ่นเดิมอยู่ในประเทศจีน นำเข้ามาเลี้ยงเป็นอาหาร ขนาดยาวได้ถึง ๒๐ เซนติเมตร.
ซง้า 0,น.,ปีมะเมีย.
ซด 0,ก.,อาการที่กินนํ้าร้อน นํ้าชา หรือนํ้าแกงเป็นต้น อาจมีเสียงดัง.
ซ่น 0,น.,"ส้น, ส่วนท้ายของเท้า, ส่วนท้ายของบางสิ่งบางอย่าง เช่น ซ่นปืน."
ซ้น 0,ก.,อาการที่กระดูกข้อมือข้อเท้าเป็นต้นถูกกระแทกโดยแรงทำให้เคลื่อนเลยที่เดิมเข้าไป.
ซน 0,ก.,อาการที่อยู่ไม่สุขจับโน่นฉวยนี่หรือเล่นไม่เป็นเรื่องเป็นราวทำให้เดือดร้อนเสียหาย.
ซน 1,ก.,รุนฟืนที่ไหม้ไฟบ้างแล้วซุกเข้าไปในกองไฟเรียกว่า ซนฟืน หรือ ซนไฟ.
ซบ 0,ก.,ก้มหน้าหรือหัวแนบลงไป เช่น ซบหน้าลงกับหมอน นอนซบหัวที่ตักแม่.
ซบเซา 0,ว.,"หงอยก๋อย, เงียบเหงา, ไม่เบิกบาน"
ซบเซา 1,ว.,ไม่คึกคักเช่นเดิม เช่น ตลาดการค้าเดี๋ยวนี้ซบเซาไป.
