คำ,POS,ความหมาย
ญ 0,?,พยัญชนะตัวที่ ๑๓ เรียกว่า ญอ หญิง เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น ปัญญา สัญชาติ ผจญ โคโลญ.
ญญ่าย 0,ว.,"แตกจากหมู่, กระจัดกระจาย, ในคำว่า หนีญญ่ายพ่ายจแจ้น (จารึกสยาม)."
ญวน 0,น.,"ชื่อประเทศและชนชาติหนึ่งอยู่ทางทิศใต้ของประเทศจีน และทางทิศตะวันออกของประเทศลาวและเขมร, ปัจจุบันเรียกว่า เวียดนาม."
ญวน 1,น.,"ชื่อปลาทะเลขนาดเล็กถึงขนาดกลางชนิด Lactarius lactarius (Bloch & Schneider) ในวงศ์ Lactariidae ลำตัวกว้าง แบนข้าง หัวโต ปากกว้างและเชิดขึ้น เกล็ดหลุดง่าย มีครีบหลัง ๒ ตอน ตอนที่ ๒ ยาวและมีลักษณะคล้ายครีบก้นซึ่งอยู่ตรงข้ามและยาวกว่าเล็กน้อย ลำตัวสีเงินตลอด ที่ขอบด้านบนของแผ่นปิดเหงือกมีจุดสีดำเด่น ครีบต่าง ๆ สีเหลืองอ่อน พบตลอดชายฝั่ง ขนาดยาวได้ถึง ๔๐ เซนติเมตร, ขนุน ญวน ซับขนุน หรือ สาบขนุน ก็เรียก."
ญวนหก 0,น.,การแสดงกายกรรมอย่างหนึ่ง.
ญัตติ 0,น.,"คำสวดประกาศเป็นภาษาบาลี เสนอให้ที่ประชุมสงฆ์ทราบเพื่อทำกิจของสงฆ์ร่วมกัน, คำเผดียงสงฆ์ ก็ว่า"
ญัตติ 1,น.,ข้อเสนอเพื่อให้มีการดำเนินการอย่างหนึ่งอย่างใดในกิจการของสภาที่ทำหน้าที่นิติบัญญัติ
ญัตติ 2,น.,ข้อเสนอเพื่อลงมติ เช่น ผู้แทนราษฎรเสนอญัตติเข้าสู่สภาเพื่อขอให้ที่ประชุมลงมติว่าจะเห็นชอบด้วยหรือไม่
ญัตติ 3,น.,หัวข้อโต้วาที เช่น โต้วาทีในญัตติว่า ขุนช้างดีกว่าขุนแผน.
ญัตติขอเปิดอภิปรายทั่วไป 0,น.,มาตรการสำคัญอย่างหนึ่งของระบบรัฐสภาที่ฝ่ายนิติบัญญัติใช้ควบคุมและตรวจสอบฝ่ายบริหาร และฝ่ายบริหารใช้ประโยชน์จากฝ่ายนิติบัญญัติในการรับฟังความคิดเห็นจากฝ่ายนิติบัญญัติ.
ญาณ 0,น.,"ปัญญาหยั่งรู้หรือกำหนดรู้ที่เกิดจากอำนาจสมาธิ, ความสามารถหยั่งรู้เป็นพิเศษ."
ญาณ- 0,น.,"ปัญญาหยั่งรู้หรือกำหนดรู้ที่เกิดจากอำนาจสมาธิ, ความสามารถหยั่งรู้เป็นพิเศษ."
ญาณวิทยา 0,น.,ปรัชญาสาขาหนึ่งว่าด้วยบ่อเกิด ลักษณะ หน้าที่ ประเภท ระเบียบวิธี และความสมเหตุสมผลของความรู้.
ญาณศาสตร์ 0,น.,ตำราพยากรณ์.
ญาติ 0,น.,คนในวงศ์วานที่ยังนับรู้กันได้ทางเชื้อสายฝ่ายพ่อหรือฝ่ายแม่.
ญาติ- 0,น.,คนในวงศ์วานที่ยังนับรู้กันได้ทางเชื้อสายฝ่ายพ่อหรือฝ่ายแม่.
ญาติกา 0,น.,ญาติ.
ญาติกาญาติโก 0,น.,เหล่าเครือญาติ.
ญาติโกโหติกา 0,น.,เหล่าเครือญาติ.
ญาติดี 0,ก.,"ทำเป็นดีด้วย, ทำดีด้วย, เช่น เธอไม่ต้องมาญาติดีกับฉัน."
ญาติธรรม 0,น.,"ญาติในทางธรรม, ผู้มีความสัมพันธ์กันฉันญาติเพราะนับถือศาสนาหรือลัทธิของศาสนาร่วมกัน."
ญาติมิตร 0,น.,ญาติและเพื่อนฝูง.
ญาติมิตร 1,ก.,ร่วมวงเล่นไพ่ตอง เช่น ไปญาติมิตรกัน.
ญาติสืบสายโลหิต 0,น.,ญาติที่มีความสัมพันธ์กันทางสายเลือด.
ญาติสืบสาโลหิต 0,น.,ญาติที่มีความสัมพันธ์กันทางสายเลือด.
ญิบ 0,ว.,"สอง เช่น ญิบพัน ว่า สองพัน, หญิบ ก็ใช้."
ญี่ 0,น.,"สอง, เรียกลูกชายคนที่ ๒ ว่า ลูกญี่, คู่กับ ลูกหญิงคนที่ ๒ ว่า ลูกอี่."
ญี่ปุ่น 0,น.,ชื่อประเทศและชนชาติหนึ่งอยู่ในหมู่เกาะทางทิศตะวันออกของประเทศจีน.
เญยธรรม 0,น.,ธรรมที่ควรรู้.
ไญยธรรม 0,น.,ธรรมที่ควรรู้.
