คำ,POS,ความหมาย
ฎ 0,?,พยัญชนะตัวที่ ๑๔ เรียกว่า ฎอ ชฎา เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น กฎ มงกุฎ.
ฎีกา 0,น.,คำอธิบายขยายความ เช่น ฎีกาพาหุง
ฎีกา 1,น.,ชื่อคัมภีร์หนังสือที่แก้หรืออธิบายคัมภีร์อรรถกถา
ฎีกา 2,น.,หนังสือที่เขียนนิมนต์พระสงฆ์
ฎีกา 3,น.,ใบแจ้งการขอเบิกเงินจากคลัง
ฎีกา 4,น.,ใบบอกบุญเรี่ยไร
ฎีกา 5,น.,คำร้องทุกข์ที่ราษฎรทูลเกล้าฯ ถวายต่อพระมหากษัตริย์
ฎีกา 6,น.,ชื่อศาลยุติธรรมสูงสุดของประเทศไทย ซึ่งเรียกว่า ศาลฎีกา
ฎีกา 7,น.,การคัดค้านคำพิพากษาหรือคำสั่งศาลชั้นต้นหรือศาลอุทธรณ์ เพื่อเสนอให้ศาลฎีกาพิจารณาพิพากษาหรือวินิจฉัยชี้ขาด
ฎีกา 8,น.,ใบเรียกเก็บเงิน.
ฎีกา 9,ก.,ยื่นคำร้องขอหรือคำคัดค้านต่อศาลฎีกา เช่น คดีนี้จะฎีกาหรือไม่.
