คำ,POS,ความหมาย
ด 0,?,พยัญชนะตัวที่ ๒๐ เรียกว่า ดอ เด็ก เป็นอักษรกลางใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น มดกัด.
ดก 0,ว.,"มาก, มากกว่าปรกติ, (มักใช้แก่สิ่งที่เกิดมีขึ้นตามธรรมชาติ) เช่น ต้นไม้ออกดอกออกผลมากกว่าปรกติ เรียกว่า มีดอกดก มีผลดก, ไก่ที่ไข่มากกว่าปรกติ เรียกว่า ไก่ไข่ดก, หญิงที่มีลูกถี่และมากกว่าปรกติ เรียกว่า แม่ลูกดก, คนที่มีผมมากกว่าปรกติ เรียกว่า คนผมดก"
ดก 1,ว.,"โดยปริยายใช้เป็นคำพูดประชด เช่น พูดว่า คงได้ดกละ หมายความว่า ไม่มีหวังที่จะได้, มีดกละ หมายความว่า ไม่มี."
ด๊ก ๆ 0,ว.,อาการที่รีบไปทำสิ่งใดสิ่งหนึ่งให้ด้วยความเต็มใจหรือสมัครใจ เช่น พอเจ้านายอยากได้ต้นไม้มาประดับห้อง เขาก็ด๊ก ๆ ไปหามาให้ พอเช้าขึ้นมาเขาก็ด๊ก ๆ พาลูกไปส่งโรงเรียน.
ดกดื่น 0,ว.,"มากหลาย, มีอยู่ทั่วไป, เช่น สวนนี้มีกล้วยน้ำว้าอยู่ดกดื่น หน้านี้มีมะปรางดกดื่น."
ดง 0,น.,"ป่าลึกที่มีต้นไม้ใหญ่ขึ้นหนาแน่น เช่น ดงพญาเย็น, ที่ซึ่งมีต้นไม้อย่างใดอย่างหนึ่งขึ้นหนาแน่น เช่น ดงกล้วย, โดยปริยายเรียกย่านที่มีคนหรือสัตว์ประเภทเดียวกันรวมอยู่ด้วยกันมาก ๆ (มักใช้แก่คนไม่ดีหรือสัตว์ที่ดุร้าย) เช่น ดงผู้ร้าย ดงเสือ."
ดง 1,ก.,เอาหม้อที่หุงข้าวได้ที่และรินนํ้าข้าวออกจากหม้อแล้วยกขึ้นตั้งไฟอ่อน ๆ เอียงและหมุนไปโดยรอบเพื่อให้ข้าวระอุ.
ดงดาน 0,น.,ป่าทึบ.
ดงดิบ 0,น.,"ป่าในเขตอากาศร้อนบริเวณเส้นศูนย์สูตร ซึ่งมีฝนตกชุกเกือบตลอดปี มีต้นไม้สีเขียวไม่ผลัดใบ, ป่าที่มีต้นไม้หนาแน่นเขียวชอุ่มอยู่ทั้งปี."
ดงดึก 0,น.,ป่าลึกเข้าไปไกล.
ดงวาย 0,น.,ของถวาย เช่น แต่งกระยาดงวาย ของฝากหมากปลามาไหว้ (จารึกนครชุม).
ด้น 0,ก.,"มุ่งหน้าฝ่าไป เช่น หนทางไกลเท่าใดก็จะด้นไปหา, ด้นดั้น หรือ ดั้นด้น ก็ว่า"
ด้น 1,ก.,"เย็บเป็นฝีเข็มขึ้นทีลงทีสลับกันไปเรื่อย ๆ, ด้นปล่อย ก็เรียก"
ด้น 2,ก.,กิริยาที่หนอนชอนไชในผลไม้เป็นต้น
ด้น 3,ก.,ว่ากลอนปากเปล่าโดยไม่เคร่งครัดตามหลักสัมผัส เรียกว่า ด้นกลอน.
