คำ,POS,ความหมาย
ต 0,?,พยัญชนะตัวที่ ๒๑ เรียกว่า ตอ เต่า เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น จิต เมตตา ฟุต.
ตก 0,ก.,"พลัดลง, หล่นลง, เช่น ตกบันได ตกต้นไม้"
ตก 1,ก.,"ไหลลง, หยดลงมา, เช่น ฝนตก"
ตก 2,ก.,ลดลง เช่น ฝีมือตก แรงตก พระอาทิตย์ตก
ตก 3,ก.,ล่วงเข้าเวลา เช่น ตกเย็น ตกดึก
ตก 4,ก.,เรียกสีที่ละลายออกหรือจางไปในเวลาซักหรือถูกแดดเป็นต้น ว่า สีตก
ตก 5,ก.,อยู่ในภาวะที่ไม่น่าพอใจ เช่น ตกทุกข์ ตกระกำลำบาก ตกยาก
ตก 6,ก.,มาถึง เช่น ของที่สั่งตกมาแล้ว
ตก 7,ก.,ออก เช่น คำสั่งตกแล้ว ตกลูก
ตก 8,ก.,ขาดหายไป เช่น เขียนหนังสือตก
ตก 9,ก.,ไม่ได้ขึ้นยานพาหนะเพราะไปไม่ทันหรือไม่มีค่าโดยสาร เช่น ตกรถ ตกเรือ
ตก 10,ก.,ลดลงตํ่า เป็นอาการแสดงว่ากลัว ยอมแพ้ หรือหมดกำลัง เป็นต้น เช่น คอตก หัวตก หางตก.
ตก 11,ว.,สำเร็จ เช่น แก้ตก ปลงตก คิดตก.
ตก 12,ก.,เอาเบ็ดเกี่ยวเหยื่อหย่อนลงไปให้ปลาหรือกุ้งกินแล้ววัดหรือสาวขึ้นมา เช่น ตกปลา ตกกุ้ง
ตก 13,ก.,เอาเงินหรือสิ่งของให้ไปก่อน แล้วคิดเอาเป็นพืชผลภายหลังตามแต่จะตกลงกัน.
ตกกระ 0,ว.,มีลักษณะเป็นจุดดำ ๆ เล็กบ้างโตบ้างที่ผิวกายคน สัตว์ หรือสิ่งอื่น ๆ.
ตกกระไดพลอยโจน 0,ว.,เมื่อพลาดไปแล้วก็ยอมเลยตามเลยเพื่อไม่ให้เสียเชิง.
ตกกล้า 0,ก.,เพาะข้าวปลูกลงในแปลงเพาะกล้าสำหรับนาดำ.
ตกขอบ 0,ว.,"ที่สุดข้างใดข้างหนึ่ง เช่น ขวาตกขอบ, เต็มที่ เช่น ฮาตกขอบ."
ตกขาว 0,น.,"โรคระดูขาว, มุตกิด ก็เรียก."
ตกข่าว 0,ก.,ไม่รู้ข่าวที่คนอื่น ๆ รู้.
ตกข้าว 0,น.,วิธีการที่นายทุนรับซื้อข้าวตามจำนวนที่กำหนดกับชาวนาตอนที่ข้าวลัดใบแล้ว โดยตกลงกันว่านายทุนจะให้เงินแก่ชาวนาก่อน แล้วชาวนาจะให้ข้าวเปลือกแก่นายทุนหลังจากนวดข้าวเสร็จแล้ว.
ตกขุย 0,ก.,ออกผลเป็นเมล็ดเล็ก ๆ (ใช้แก่ไม้ไผ่).
