คำ,POS,ความหมาย
ถ 0,?,พยัญชนะตัวที่ ๒๒ เรียกว่า ถอ ถุง เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น รถ นาถ.
ถก 0,ก.,"ดึงรั้งให้สูงขึ้นอย่างถกผ้านุ่งถกแขนเสื้อ, ดึงให้หลุดลอกออกมาอย่างถกหนังหัว"
ถก 1,ก.,"จั่วไพ่ที่กำลังรอกินด้วยตัวเอง, ถ้าจั่วไพ่ขึ้นมาเข้าเศียรที่กำลังรอกินด้วยตัวเอง เรียกว่า ถกเศียร, ถลก ก็ว่า"
ถก 2,ก.,ทึ้งให้หลุดออก เช่น ถกหญ้า ถกเถาวัลย์
ถก 3,ก.,โดยปริยายหมายความว่า ยกเอาขึ้นมาพิจารณากันด้วยเหตุผล เช่น ถกปัญหา.
ถกเขมร 0,ก.,"นุ่งผ้าโจงกระเบนดึงชายให้สูงร่นขึ้นไปเหนือเข่า, ขัดเขมร ก็ว่า."
ถกเถียง 0,ก.,ยกเอาขึ้นมาพูดโต้แย้งกัน.
ถกล 0,ก.,"ก่อสร้าง, ตั้ง, ตั้งขึ้น, ตั้งไว้, เช่น ปางถกลกำแพงพระ พิศณุโลกย แล้วแฮ (ยวนพ่าย)"
ถกล 1,ก.,"งาม เช่น ถือทวนถกลเถกองงา อังกุสอ่าองกาย (ม. คำหลวง มหาราช), ใช้แผลงเป็น ดำกล ก็มี."
ถงัน 0,ก.,เผ่นไป.
ถงาด 0,ก.,"ทำท่าเผ่น, เยื้องท่า, ชะโงก, เงื้อม, ผ่านไป."
ถด 0,ก.,"ขยับออกไปเล็กน้อย, กระถด ก็ว่า."
ถดถอย 0,ก.,"ย่อท้อ, ลดน้อยลง เช่น เรี่ยวแรงถดถอย"
ถดถอย 1,ก.,"กระเถิบถอย, ถอยถด ก็ใช้."
ถนน 0,น.,"ทางที่ทำขึ้น, ลักษณนามว่า สาย, เส้น, สนน ก็ว่า, โบราณเขียนเป็น ถนล. (จารึกวัดป่ามะม่วง)."
ถนนลาดยาง 0,น.,ถนนที่เทผิวจราจรด้วยยางมะตอยผสมกับหินย่อยหรือทรายเป็นต้น.
ถนนส่วนบุคคล 0,น.,ถนนที่เจ้าของสงวนสิทธิไว้เป็นส่วนบุคคล แม้จะเปิดให้ประชาชนใช้เป็นการทั่วไปหรือเป็นครั้งคราวก็ตาม.
ถนนสาธารณะ 0,น.,ถนนที่เป็นของรัฐหรือหน่วยงานของรัฐ และประชาชนทั่วไปมีสิทธิใช้เป็นทางสัญจรได้.
ถนป 0,น.,"เด็ก, เด็กกินนม."
ถนอม 0,ก.,"คอยระวังประคับประคองไว้ให้ดี เช่น ถนอมนํ้าใจ, ใช้อย่างระมัดระวังเพื่อไม่ให้เสียหรือหมดเร็ว เช่น ถนอมของกินของใช้ ถนอมแรง, เก็บไว้อย่างดี เช่น ถนอมเอาไว้ก่อน, สนอม ก็ว่า."
ถนอมอาหาร 0,ก.,เก็บผัก ผลไม้ หรือเนื้อสัตว์ไว้ให้อยู่ได้นาน ๆ ด้วยกรรมวิธีบางอย่างเพื่อกันเสียหรือเสื่อมคุณภาพ.
ถนะ 0,น.,"ถัน, นม, เต้านม."
ถนัด 0,ก.,"สันทัด, ชำนาญ, เช่น ถนัดแต่งกลอน."
