คำ,POS,ความหมาย
ท 0,?,พยัญชนะตัวที่ ๒๓ เรียกว่า ทอ ทหาร เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ประมาท บท.
ท 1,?,"ใช้ประสมกับตัว ร อ่านเป็นเสียง ซอ ในคำบางคำ เช่น ทราบ แทรก ทรง และในคำบางคำที่มาจากภาษาบาลีและสันสกฤต เช่น ทรัพย์ อินทรีย์ มัทรี, ที่อ่านเป็นเสียง ทร (ไม่ใช่ ซ) ก็มี เช่น ภัทรบิฐ อินทรา นิทรา อิเล็กทรอนิกส์."
ท 2,*ว.,"ใช้เป็นคำนำหน้านาม แปลว่า คน, ผู้, เช่น ทมูลทนาย ทแกล้วทหาญ, ท่าน เช่น ทชี."
ทก 0,ว.,ทุก เช่น ทกพวก ทกพาย.
ทก 1,น.,นํ้า.
ทกล้า 0,น.,ผู้กล้า.
ทแกล้ว 0,น.,ผู้กล้า.
ท่ง 0,น.,ทุ่ง.
ทงัน 0,ว.,"ตระหง่าน, กว้างใหญ่, สูงใหญ่."
ทชี 0,น.,นักบวช เช่น พระบาททงงสองฉลองขึ้นเหนือเกล้า ทชีเถ้ากาฬเทพิลน้นน (ม. คำหลวง ทศพร).
ทด 0,ก.,"กันไว้, กั้นไว้, ทำให้นํ้าท่วมท้นขึ้นมาด้วยทำนบเป็นต้น เช่น ทดนํ้า"
ทด 1,ก.,เพิ่ม
ทด 2,ก.,แทน เช่น ทดข้าวทดปลา.
ทดแทน 0,ก.,"ตอบแทน เช่น เราต้องทดแทนคุณแผ่นดิน, ชดใช้หรือชดเชยสิ่งที่เสียไป เช่น ทำของเขาเสียหายไป ก็ต้องหาของใหม่มาทดแทน."
ทดโทร่ห์ 0,ก.,"การคิดประทุษร้าย, ใช้เข้าคู่กับคำ กบฏ เป็น กบฏทดโทร่ห์, ทดโท่ ก็ว่า."
ทดรอง 0,ก.,ออกเงินรองจ่ายไปก่อน.
ทดลอง 0,ก.,"ลองทำ, ลองให้ทำ, ทดสอบข้อสมมุติฐานเป็นต้น."
ทดเลข 0,ก.,ยกจำนวนเลขครบสิบไปบวกกับผลของหลักหน้า.
