คำ,POS,ความหมาย
น 0,?,พยัญชนะตัวที่ ๒๕ เรียกว่า นอ หนู เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น จาน.
น 1,น.,ชื่อคณะฉันท์ มีลหุล้วน เรียกว่า น คณะ.
น.ส. 0,น.,คำเรียกหนังสือรับรองการทำประโยชน์ ที่กรมที่ดินออกให้แก่ผู้ครอบครองที่ดิน. (ดู หนังสือรับรองการทำประโยชน์).
นก 0,น.,ชื่อสัตว์มีกระดูกสันหลังเลือดอุ่น มี ๒ เท้า ๒ ปีก และมีขนปกคลุมร่างกาย ออกลูกเป็นไข่ก่อนแล้วจึงฟักเป็นตัว.
นก 1,น.,เครื่องสับแก๊ปปืนให้ลั่น.
นกกระจอก 0,น.,ดอกไม้ไฟชนิดหนึ่ง จุดแล้วจะพุ่งออกจากรังไปได้ไกล เรียกเต็มว่า นกกระจอกออกจากรัง
นกกระจอก 1,น.,ชื่อไพ่จีนชนิดหนึ่งมี ๑๑๔ ตัว
นกกระจอก 2,น.,เรียกปากที่มีแผลเปื่อยที่มุมปาก ว่า ปากนกกระจอก.
นกกระจอก 3,น.,"ชื่อปลาทะเลในสกุล Parexocoetus และ Cypselurus วงศ์ Exocoetidae ปากอยู่ปลายสุดของหัว เชิดขึ้นเล็กน้อย ตาโต หัวและด้านหลังแบนลงเล็กน้อยเป็นเหลี่ยมด้านท้องเกือบกลม ครีบหลังและครีบก้นอยู่ค่อนไปทางหางซึ่งเป็นแฉกลึกโดยแฉกล่างยาวกว่าแฉกบน ครีบอกใหญ่ใช้ร่อนถลาไปเหนือผิวนํ้าคล้ายปีก ลำตัวยาวเพรียว ส่วนบนลำตัวสีเขียวหรือนํ้าเงิน ข้างท้องสีขาวเงิน อาศัยอยู่บริเวณผิวนํ้า ขนาดยาว ๑๐-๓๐ เซนติเมตร, ปลาบิน ก็เรียก."
นกกระจอกทอง 0,น.,ชื่อเพลงไทย อัตรา ๒ ชั้น หน้าทับปรบไก่
นกกระจอกทอง 1,น.,ชื่อเพลงไทยประเภทเพลงเถา
นกกระจอกทอง 2,น.,ชื่อเพลงไทยประเภทเพลงตับ.
นกกระทุง 0,น.,"ชื่อไม้เถาชนิด Aristolochia elegans Mast. ในวงศ์ Aristolochiaceae ดอกลาย โคนดอกเป็นกระพุ้งเหมือนเหนียงนกกระทุง, นกกระทุง ก็เรียก."
นกกะปูด 0,น.,คนที่ชอบพูดเปิดเผยความลับของผู้อื่น.
นกกางปีก 0,น.,กลอักษรแบบหนึ่ง บังคับคำซ้ำ ๑ คู่ โดยมีคำอื่นคั่นกลาง ๑ คำ ทุกวรรค มีลักษณะเหมือนนกกางปีกบิน เวลาอ่านให้อ่านคำซ้ำที่ละไว้นั้นด้วยจึงจะได้ความครบถ้วน เช่น สองกระษัตริย์ศัลย์ให้รันทด แสนกำสดสุดคิดพิไสมย ต่างองค์ทรงโศกาไลย พระภูวไนยนารถให้หวาดทรวง (ศิริวิบุลกิตติ์) อ่านว่า สองกระษัตริย์กระศัลย์ให้รันทด แสนกำสดสุดคิดสุดพิไสมย ต่างองค์ต่างทรงโศกาไลย พระภูวไนยภูวนารถให้หวาดทรวง.
นกเขา 0,น.,ชื่อเหยี่ยวขนาดกลาง ในสกุล Accipiter วงศ์ Accipitridae สีเทานํ้าตาลมีลายตลอดตัว อกสีนํ้าตาลลายกระขาว มักอยู่ตามลำพัง เกาะซ่อนตัวบนต้นไม้เพื่อคอยโฉบล่าเหยื่อ มีหลายชนิด เช่น เหยี่ยวนกเขาหงอน [A. trivergatus (Temminck)]เหยี่ยวนกเขาชิครา [A. badius (Gmelin)] เหยี่ยวนกเขาพันธุ์ญี่ปุ่น [A. gularis (Temminck & Schlegel)].
นกเขา 1,น.,ดูใน นก ๑.
