คำ,POS,ความหมาย
ป 0,?,พยัญชนะตัวที่ ๒๗ เรียกว่า ปอ ปลา เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น บาป เนปจูน สัปดาห์.
ปก 0,ก.,แผ่ออกคลุมเบื้องบน เช่น ตะไคร้ใบปกดิน.
ปก 1,น.,"กระดาษหรือผ้าหรือหนังเป็นต้นที่หุ้มอยู่ภายนอกสมุดหรือหนังสือเป็นต้น, ใบปก ก็เรียก"
ปก 2,น.,"แผ่นผ้าที่ติดปากกระเป๋าเสื้อ, แผ่นผ้าที่ติดกับคอเสื้อพับตลบลงมาหรือแบะออกทั้ง ๒ ข้าง เช่น ปกเชิ้ต ปกเสื้อนอก."
ปก 3,น.,แว่นแคว้น เช่น ได้ขึ้นเสวยราชย์เป็นพระยาผ่านในปกเมืองเนืองทั้งปกเขม ครั้นเต็มสมบูรณ์สามสิบแปดข้าว เข้าศักราชเจ็ดร้อยห้าสิบแปด กลายท่านได้ปราบต์ทั้งปกกาวชาวด้านหนตีนเถิงฝั่งของ (จารึกวัดบูรพาราม).
ปก 4,น.,ปลาแก้มชํ้า. (ดู แก้มชํ้า).
ปกกระพอง 0,น.,แผ่นผ้าที่ปิดตรงกระหม่อมของช้างหลวง.
ปกเกศ 0,ก.,"ปกเกล้า, คุ้มครอง."
ปกครอง 0,ก.,"ดูแล, คุ้มครอง, ระวังรักษา"
ปกครอง 1,ก.,บริหาร.
ปกคลุม 0,ก.,แผ่คลุมอยู่เบื้องบน.
ปกติ 0,ว.,"ธรรมดา เช่น ตามปกติ, เป็นไปตามเคย เช่น เหตุการณ์ปกติ, ไม่แปลกไปจากธรรมดา เช่น อาการปกติ, ปรกติ ก็ว่า."
ปกป้อง 0,ก.,คุ้มครองป้องกัน.
ปกปักรักษา 0,ก.,ดูแลรักษา.
ปกปิด 0,ก.,"ปิดไม่ให้รู้หรือไม่ให้เห็น, ปิดไว้เป็นความลับ."
ปกรณ์ 0,น.,"คัมภีร์, ตำรา, หนังสือ."
ปกรณัม 0,น.,"ปกรณ์, เรื่อง, เช่น ปักษีปกรณัม."
ปการ 0,น.,"อย่าง, ชนิด."
ปกิณก- 0,ว.,"เรี่ยราย, เบ็ดเตล็ด, กระจาย, ระคนกัน, คละกัน, (มักใช้ประกอบหน้าศัพท์) เช่น ปกิณกคดี."
ปกิณกะ 0,ว.,"เรี่ยราย, เบ็ดเตล็ด, กระจาย, ระคนกัน, คละกัน, (มักใช้ประกอบหน้าศัพท์) เช่น ปกิณกคดี."
ปกีรณัม 0,ก.,"จำแนกหรือกระจายออกไป, เขียนเป็น ปกีรณำ ก็มี เช่น ปกีรณำพจนาดถ์."
ปโกฏิ 0,น.,"ชื่อมาตรานับ = ๑๐๐,๐๐๐,๐๐๐,๐๐๐,๐๐๐ (เท่ากับสิบล้านโกฏิ). (ป.). (ดู โกฏิ)."
ปง 0,ว.,"เสียงดังเช่นนั้น, ปงปัง ก็ว่า."
ป่ง 0,น.,"พื้นดินที่มีเกลือสินเธาว์ผุดเกรอะกรังอยู่, ป่าหรือดินที่มีป่ง เรียกว่า ป่าป่ง ดินป่ง, เรียกผีที่เชื่อว่ามีอยู่ในที่เช่นนั้น ว่า ผีป่ง, เรียกลักษณะที่นั่งบนห้างที่ใช้ไม้ขัดและผูกเป็นแคร่บนต้นไม้หรือบนกอไผ่เพื่อคอยเฝ้าดูหรือยิงสัตว์ที่มากินดินป่ง ว่า นั่งป่ง, โป่ง ก็ว่า."
ปงช้าง 0,น.,"ชื่อพรรณไม้ ๒ ชนิดในสกุล Stemona วงศ์ Stemonaceae คือ ชนิด S. collinsiae Craib เป็นไม้เถาล้มลุก, กะเพียดช้าง หรือ ปงช้าง ก็เรียก"
ปงปัง 0,น.,กลองสองหน้าขนาดเล็ก หน้ากลองกว้างประมาณ ๘ นิ้ว มีด้ามถือสำหรับกวัดแกว่งให้ลูกตุ้มกระทบหน้ากลองให้เกิดเสียง.
ปงปัง 1,ว.,"เสียงดังเช่นนั้น, ปง ก็ว่า."
ปฎล 0,น.,"หลังคา, เพดาน, ชั้น."
ปฏัก 0,น.,ประตัก.
ปฏิ- 0,*ว.,"คำอุปสรรคในภาษาบาลีใช้นำหน้าศัพท์อื่น แปลว่า เฉพาะ เช่น ปฏิทิน, ตอบ เช่น ปฏิพากย์, ทวน เช่น ปฏิโลม, กลับ เช่น ปฏิวัติ."
ปฏิกรณ์ 0,น.,"เครื่องที่ใช้สำหรับก่อให้เกิดปฏิกิริยาแตกสลายทางนิวเคลียร์อย่างสมํ่าเสมอและควบคุมได้เพื่อผลิตพลังงาน สารกัมมันตรังสี เครื่องชนิดนี้มีหลายแบบ และใช้เชื้อเพลิงนิวเคลียร์ซึ่งมักเป็นแท่งยูเรเนียม, มักเรียกว่า เครื่องปฏิกรณ์ปรมาณู."
ปฏิกรรมสงคราม 0,น.,การชดใช้ค่าเสียหายที่ฝ่ายชนะสงครามเรียกร้องเอาจากฝ่ายแพ้.
ปฏิการ- 0,น.,"การสนองคุณ, การตอบแทนคุณ, คู่กับ อุปการะ"
ปฏิการ- 1,น.,การซ่อมแซม.
ปฏิการะ 0,น.,"การสนองคุณ, การตอบแทนคุณ, คู่กับ อุปการะ"
ปฏิการะ 1,น.,การซ่อมแซม.
ปฏิกิริยา 0,น.,การกระทำตอบสนอง
ปฏิกิริยา 1,น.,การกระทำต่อต้าน
ปฏิกิริยา 2,น.,ผลของการกระทำซึ่งเป็นเหตุให้เกิดกิริยาสะท้อนมาเป็นอีกอย่างหนึ่ง
ปฏิกิริยา 3,น.,การเกิดการเปลี่ยนแปลงทางเคมีของสาร.
ปฏิกูล 0,ว.,สกปรกน่ารังเกียจ เช่น สิ่งปฏิกูล.
ปฏิคคหิต 0,ก.,รับเอา เช่น เราก็ปฏิคคหิตด้วยศรัทธา (ม. คำหลวง วนปเวสน์).
ปฏิคคหิต 1,ว.,อันรับเอาแล้ว.
ปฏิคม 0,น.,"ผู้ต้อนรับ, ผู้รับแขก, ผู้ดูแลต้อนรับ."
ปฏิคหิต- 0,ก.,รับเอา เช่น เราก็ปฏิคคหิตด้วยศรัทธา (ม. คำหลวง วนปเวสน์).
ปฏิคหิต- 1,ว.,อันรับเอาแล้ว.
ปฏิคาหก 0,น.,"ผู้รับทาน หมายถึง สมณพราหมณ์ เช่น วันรุ่งพรุ่งนี้จะมีเหตุด้วยปฏิคาหก ยาจกจะมารับพระราชทาน (ม. ร่ายยาว กุมาร), คู่กับ ทายก คือ ผู้ถวายจตุปัจจัยแก่ภิกษุสามเณร."
ปฏิฆะ 0,น.,"ความคับแค้น, ความกระทบกระทั่ง, ความขึ้งเคียด (โทสะ)."
ปฏิชีวนะ 0,น.,เรียกยาประเภทที่มีสารที่สกัดจากผลผลิตของเชื้อจุลินทรีย์ ใช้ฆ่าหรือยับยั้งการแพร่พันธุ์ของแบคทีเรีย ว่า ยาปฏิชีวนะ.
ปฏิญญา 0,น.,การให้คำมั่นสัญญาหรือการแสดงยืนยันโดยถือเอาสิ่งศักดิ์สิทธิ์หรือความสุจริตใจเป็นที่ตั้ง.
ปฏิญญาสากลว่าด้วยสิทธิมนุษยชน 0,น.,การให้คำมั่นสัญญาหรือการแสดงยืนยันถึงสิทธิหรืออำนาจอันชอบธรรมของมนุษย์ซึ่งเป็นที่ยอมรับกันทั่วไป.
