คำ,POS,ความหมาย
ผ 0,?,พยัญชนะตัวที่ ๒๘ เรียกว่า ผอ ผึ้ง เป็นอักษรสูง ใช้เป็นพยัญชนะต้น.
ผก 0,ก.,"หกกลับ, ปก"
ผก 1,ก.,"แอบ, ซ่อน, ดัก."
ผกผงก 0,ก.,ผงกหัวขึ้นเหลียวดู.
ผกผัน 0,ก.,"หกหัน, ผันกลับ."
ผกเรือก 0,น.,ต้นไทร.
ผกา 0,น.,ดอกไม้.
ผกากรอง 0,น.,"ชื่อไม้พุ่มหลายชนิดในสกุล Lantana วงศ์ Verbenaceae เช่น ชนิด L. camara L. ลำต้นตรง กิ่งสี่เหลี่ยมมีหนามเล็กห่าง ๆ ช่อดอกเป็นกระจุกสีชมพู หรือ แดงอมเหลือง ปลูกเป็นไม้ประดับ และแพร่พันธุ์จนเป็นวัชพืชในบางท้องที่, ก้ามกุ้ง ก็เรียก, ชนิด L. sellowiana Link et Otto ลำต้นเลื้อย กิ่งไม่มีหนาม ดอกสีม่วง, ผกากรองเลื้อย ก็เรียก, ทั้ง ๒ ชนิดนี้เป็นไม้ต่างประเทศ, ชนิด L. trifolia L. ขึ้นในป่าโปร่งระดับสูงทางภาคเหนือ ลำต้นกลม ดอกสีม่วง."
ผกาย 0,น.,ดาว
ผกาย 1,น.,"แสงกระจาย, โดยมากใช้ว่า ประกาย."
ผการาย 0,น.,เรียกต้นหมากที่เพิ่งออกดอกประปราย.
ผคม 0,ก.,"ไหว้, แผลงเป็น บังคม ก็ได้."
ผง 0,น.,สิ่งละเอียด เช่น ตำแป้งจนเป็นผง
ผง 1,น.,"เศษสิ่งของเล็ก ๆ หรือละเอียดที่เหลือหรือร่วงจากวัสดุต่าง ๆ, มักเรียกว่า ขี้ผง หรือ เศษผง."
ผง 2,ว.,ที่ละเอียด เช่น นมผง แป้งผง.
ผงก 0,ก.,"ยกหัวขึ้นน้อย ๆ, ก้มหัวลงแล้วเงยขึ้นโดยเร็วแสดงอาการยอมรับหรือเห็นด้วย."
ผงขาว 0,น.,ยาเสพติดร้ายแรงชนิดหนึ่ง มีองค์ประกอบส่วนใหญ่เป็นสารประเภทแอลคาลอยด์ คือ มอร์ฟีน เฮโรอีน และแอลคาลอยด์อื่น ๆ ที่ได้จากฝิ่น ลักษณะเป็นของแข็ง เมื่อทำให้ร้อนจะแปรสภาพเป็นไอ.
ผงเข้าตาตัวเอง 0,น.,เมื่อปัญหาหรือความเดือดร้อนเกิดแก่ผู้อื่น ช่วยแก้ไขให้เขาได้ แต่เมื่อเกิดแก่ตน กลับแก้ไขไม่ได้.
ผงคลี 0,น.,"ฝุ่นละเอียด, ละออง."
ผงชูรส 0,น.,เกลือกรดชนิดหนึ่งชื่อโซเดียมไฮโดรเจนกลูทาเมต หรือโมโนโซเดียมกลูทาเมต มีสูตร HOOC·(CH_2)_2·CH(NH_2)·COONa ลักษณะเป็นผลึกสีขาว ใช้ในการปรุงแต่งรสอาหาร.
ผงซักฟอก 0,น.,สารอินทรีย์ชนิดหนึ่ง ลักษณะเป็นผง มีหลายชนิด มีองค์ประกอบที่สำคัญแตกต่างกัน เช่น ประกอบด้วยโซเดียมลอริลซัลเฟต (sodium lauryl sulphate) หรือโซเดียมอัลคิลอะริลซัลโฟเนต (sodium alkyl aryl sulphonate) เป็นต้น ใช้ประโยชน์ในการซักฟอกได้ดีกว่าสบู่ ทั้งใช้ซักฟอกในนํ้าอ่อน นํ้ากระด้าง หรือนํ้าเค็มได้ดี.
ผงฟู 0,น.,สารผสมชนิดหนึ่ง ซึ่งเมื่อเปียกนํ้าหรือทำให้ร้อนจะให้แก๊สคาร์บอนไดออกไซด์ออกมา มีองค์ประกอบที่สำคัญ คือ โซเดียมไฮโดรเจนคาร์บอเนต มีสูตร NaHCO_3 ปนแป้ง ผสมคลุกเคล้ากับสารอื่นซึ่งมักเป็นกรดทาร์ทาริก มีสูตร HOOC·CHOH·CHOH· COOH หรือโพแทสเซียมไฮโดรเจนทาร์เทรต มีสูตร KHC_4H_4O_6 หรือแคลเซียมไดไฮโดรเจนฟอสเฟต มีสูตร Ca(H_2PO_4)_2 หรือสารส้ม ใช้ประโยชน์ทำให้ขนมปังและขนมบางประเภทมีเนื้อฟูพรุน.
ผงม 0,ก.,ประคบประหงม.
ผงร 0,ก.,"หงาย, ชูขึ้น, ทรงไว้, เช่น ข้าแต่พระผู้ผงรแผ่นแผ้ว (ม. คำหลวง จุลพน)"
ผงร 1,ก.,ชะเง้อขึ้น เช่น เสือผกผงร (เสือโค).
ผงอน 0,น.,"แผ่นดิน, (โบ) เขียนว่า ผงร ก็มี."
ผงอน 1,ก.,"เอี้ยว, เลี้ยว."
ผงอบ 0,ว.,"อ่อนเพลียมาก, จวนจะสิ้นใจ."
ผงะ 0,ก.,แสดงอาการชะงักงันและถอยไปข้างหลังเล็กน้อยเมื่อประสบเหตุการณ์ประจันหน้าที่เป็นอันตราย น่าขยะแขยง หรือน่ากลัวเป็นต้น โดยกะทันหันไม่ทันรู้ตัวหรือคาดหมายมาก่อน.
ผงาด 0,ว.,"สง่า, เด่น, ผาดโผน."
ผง่าน 0,ว.,ผงาด เช่น ทั้งอกไหล่ก็ผายผึ่งผง่านโง (ม. คำหลวง ชูชก).
ผจง 0,น.,ความตั้งใจ.
ผจง 1,ก.,"ตั้งใจทำให้ดี, บรรจง, เช่น ผจงแต่ง ผจงจัด."
ผจญ 0,ก.,"พยายามต่อสู้, พยายามเอาชนะ, เช่น มารผจญ, ต่อสู้ดิ้นรนเพื่อเอาชนะ เช่น ผจญความทุกข์ยาก ผจญอุปสรรค, ประจญ หรือ ประจัญ ก็ว่า."
ผจญภัย 0,ก.,ออกไปเสี่ยงสู้ภัยอันตราย.
ผจัญ 0,ก.,"พยายามต่อสู้, พยายามเอาชนะ, เช่น มารผจญ, ต่อสู้ดิ้นรนเพื่อเอาชนะ เช่น ผจญความทุกข์ยาก ผจญอุปสรรค, ประจญ หรือ ประจัญ ก็ว่า."
ผจาน 0,ก.,"เปิดเผยความชั่ว, ประจาน."
ผชุม 0,ก.,ประชุม.
ผณิ 0,น.,งู.
ผณิน 0,น.,งู.
ผณินทร 0,น.,พญางู คือ นาคราช.
ผณินทรสมพัตสร 0,น.,"ปีงูใหญ่, ปีมะโรง."
ผณิศวร 0,น.,พญางู คือ นาคราช.
ผด 0,น.,ชื่อโรคผิวหนังชนิดหนึ่ง ขึ้นเป็นผื่นเม็ดเล็ก ๆ ตามผิวหนัง มักเกิดในเวลาที่มีอากาศร้อนอบอ้าว มีอาการคัน.
ผดุง 0,ก.,"ประดุง, คํ้า, คํ้าจุน, ระวัง, อุดหนุน."
ผดุงครรภ์ 0,น.,ผู้ทำการคลอดบุตรแผนปัจจุบัน.
ผเดิน 0,ก.,"เดิน, ใช้ บันเดิน ก็มี."
ผทม 0,ก.,"นอน (ใช้แก่เจ้านาย), ประทม หรือ บรรทม ก็ใช้."
ผทมเพลิง 0,ก.,อยู่ไฟ.
ผนบบ้านหล่อ 0,น.,จำหล่อ.
ผนวก 0,ก.,"เพิ่มเข้า, บวกเข้า, เช่น ผนวกดินแดน."
ผนวช 0,ก.,"บวช, นิยมใช้ว่า ทรงพระผนวช ทรงผนวช."
ผนัง 0,น.,"ฝาที่ก่ออิฐถือปูน, ฝาทึบที่โบกปูน, โดยปริยายหมายถึง สิ่งที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น ผนังถ้ำ."
ผนิด 0,ก.,ปิดให้แน่น เช่น พอเขียนหมดเข้าผนิดปิดตรา (อิเหนา).
ผนึก 0,ก.,"ติดให้แน่น เช่น ผนึกซอง ผนึกตรา, อัดให้แน่นเป็นปึก เช่น ผนึกกระดาษหลาย ๆ แผ่นให้เป็นปึกเดียวกัน, ปิดให้แน่น เช่น ผนึกไห, รวมกันให้เป็นปึกแผ่น เช่น ผนึกกำลัง."
ผนึก 1,น.,การนำช้างเล็กไปโดยใช้ช้างใหญ่ขนาบไป
ผนึก 2,น.,เครื่องใช้ที่มีลักษณะแคบสำหรับสอดใส่สิ่งของ.
ผม 0,น.,"ขนที่ขึ้นอยู่บนศีรษะ โดยปรกติเป็นเส้นยาว, บางทีก็ใช้เข้าคู่กับคำ เผ้า เป็น ผมเผ้า หรือ เผ้าผม."
ผม 1,ส.,"คำใช้แทนตัวผู้พูด เพศชาย ใช้พูดโดยสุภาพ, เป็นสรรพนามบุรุษที่ ๑."
ผมแกละ 0,น.,ผมเด็กผู้ชายที่เอาไว้เป็นแหยมตรงแง่ศีรษะ.
ผมจุก 0,น.,"ผมเด็ก ๆ ที่ขมวดเอาไว้ตรงขม่อม, จุก หรือ หัวจุก ก็เรียก."
ผมชิงเกิล 0,น.,ทรงผมผู้หญิงที่ซอยผมด้านหลังไล่ระดับกันลงมาถึงต้นคอ.
ผมดอกกระทุ่ม 0,น.,ทรงผมผู้หญิงที่ตัดสั้นแล้วหวีเสยให้เป็นพุ่มคล้ายดอกกระทุ่ม ไม่มีจอน.
ผมทรงมหาดไทย 0,น.,"ทรงผมผู้ชายที่โกนรอบศีรษะ แต่ไว้ยาวตรงกลางกระหม่อม แล้วหวีแต่งเรือนผมตามแต่จะเห็นงาม, ผมหลักแจว ก็ว่า."
ผมทัด 0,น.,ทรงผมผู้หญิงที่มีผมยื่นยาวทั้ง ๒ ข้างจอนผมสำหรับทัดหู.
ผมนาง 0,น.,"ชื่อปลาทะเลชนิด Alectis ciliaris (Bloch), A. indicus (Rüppell), Carangoides armatus (Rüppell) และ C. hedlandensis (Whitley) ในวงศ์ Carangidae รูปร่างแตกต่างกัน ส่วนใหญ่ลำตัวสั้น กว้าง แบนข้างมาก คอดหางเล็ก เกล็ดละเอียด เว้นแต่ที่ส่วนปลายของเส้นข้างตัว โดยเฉพาะบริเวณคอดหางเกล็ดจะขยายใหญ่เป็นสันแข็ง มีกระดูกเป็นหนาม ๒ อัน โผล่อยู่หน้าครีบก้น และพับลงในร่องได้ ที่สำคัญคือ ต่างก็มีส่วนหน้าของทั้งครีบหลังตอนที่ ๒ และครีบก้นที่เป็นเส้นยาวมาก ลำตัวสีเงิน เฉพาะใกล้สันหลังเป็นสีฟ้าอมเทา ในระยะที่เป็นปลาขนาดเล็กจะมีลายพาดขวางเป็นบั้งสีเทาอยู่หลายแถบ เส้นครีบที่เป็นลายยาวมีสีคลํ้าหรือดำ จึงได้ชื่อว่า ผมนาง เฉพาะปลาขนาดเล็กของชนิด A. indicus (Rüppell) ยังมีครีบท้องยาวมากและมีขนาดยาวได้ถึง ๑๕๐ เซนติเมตร, โฉมงาม ก็เรียก."
ผมบ๊อบ 0,น.,ทรงผมผู้หญิงที่ตัดปลายด้านหลังให้เสมอกัน ยาวราวระดับต้นคอ.
ผมปีก 0,น.,ทรงผมผู้หญิงที่ไว้ผมยาวแต่เฉพาะกลางกระหม่อมคล้ายผมทรงมหาดไทย ด้านหลังยาวประบ่า.
ผมเป๋ 0,น.,ทรงผมผู้ชายที่หวีแสกข้าง.
ผมเปีย 0,น.,"ผมที่ไว้ยาวบริเวณท้ายทอย, ผมที่ถักห้อยยาวลงมา, เปีย หรือ หางเปีย ก็เรียก."
ผมโป่ง 0,น.,ทรงผมผู้หญิงที่มีช้องหนุนให้ผมโป่งแล้วเกล้าเป็นมวย.
ผมไฟ 0,น.,"ผมเดิมของทารกที่ติดมาแต่กำเนิด, ที่เรียกว่าผมไฟนั้นเพราะแต่เดิมมารดาทารกต้องอยู่ไฟ."
ผมมวย 0,น.,ทรงผมที่ไว้ยาวแล้วเกล้าเป็นมวย.
ผมมหาดไทย 0,น.,"ทรงผมผู้ชายที่โกนรอบศีรษะ แต่ไว้ยาวตรงกลางกระหม่อม แล้วหวีแต่งเรือนผมตามแต่จะเห็นงาม, ผมหลักแจว ก็ว่า."
ผมม้า 0,น.,ทรงผมผู้หญิงที่หวีส่วนหนึ่งลงมาปรกหน้าผากราวระดับคิ้ว.
ผมรองทรง 0,น.,ทรงผมผู้ชายที่ตัดข้างล่างสั้น ข้างบนยาว.
ผมลานบิน 0,น.,ทรงผมผู้ชายที่ตัดข้างล่างสั้นเกรียน ข้างบนราบเสมอกัน.
ผมสองสี 0,ว.,มีอายุแล้ว หมายถึง คนที่มีผมหงอกบ้างแล้ว เช่น เขาเป็นคนผมสองสีแล้ว.
ผมสองสี 1,น.,"คนมีอายุแล้ว (มักใช้พูดในเชิงกระทบกระเทียบ) เช่น ผมสองสีแล้วยังทำเป็นเด็ก ผมสองสีแล้วยังพูดจาเชื่อถือไม่ได้, สองผม ก็ว่า."
ผมหลักแจว 0,น.,ผมทรงมหาดไทย.
ผยอง 0,ก.,เผ่นโผน
ผยอง 1,ก.,"ลำพอง, เย่อหยิ่ง, ฮึกเหิม."
ผย่ำเผยอ 0,ก.,ปํ้า ๆ เป๋อ ๆ เช่น ทำหาวเรอพูดผยํ่าเผยอ (พงศ. เลขา).
ผรณ- 0,น.,"การแผ่ไป, การซ่านไป."
ผรณาปีติ 0,น.,ปีติที่เกิดแล้วทำให้รู้สึกซาบซ่านไปทั่วร่างกาย.
ผรสุ 0,น.,ขวาน.
ผริต 0,ก.,"แผ่ไป, ซ่านไป."
ผริต- 0,ก.,"แผ่ไป, ซ่านไป."
ผรุพก 0,น.,กระโถน.
ผรุส- 0,ว.,"หยาบ, หยาบคาย."
ผรุสวาจา 0,น.,คำหยาบ.
ผรุสวาท 0,น.,คำหยาบ.
ผล 0,น.,ส่วนของพืชที่เจริญมาจากรังไข่ เช่น ผลมะม่วง ผลมะปราง
ผล 1,น.,สิ่งที่เกิดจากการกระทำ เช่น ผลแห่งการทำดี ผลแห่งการทำชั่ว
ผล 2,น.,ประโยชน์ที่ได้รับ เช่น ทำนาได้ผล เรียนได้ผล
ผล 3,น.,"ในพระพุทธศาสนา เป็นชื่อแห่งโลกุตรธรรม มี ๔ ชั้น คือ โสดาปัตติผล สกิทาคามิผล อนาคามิผล อรหัตผล, คู่กับ มรรค"
ผล 4,น.,ลักษณนามเรียกผลไม้ เช่น มะม่วง ๒ ผล มะปราง ๓ ผล
ผล 5,น.,"จำนวนที่ได้จากการคำนวณ เช่น ๕ กับ ๗ บวกกัน ได้ผลเท่ากับ ๑๒, ผลลัพธ์ ก็ว่า."
ผลก 0,ว.,"บ่อย ๆ, เนือง ๆ."
ผลคุน 0,น.,เดือนผาลคุน คือ เดือน ๔ ตกในราวเดือนมีนาคม.
ผลคุนี 0,น.,"ชื่อดาวนักษัตรมี ๔ ดวง เรียกว่า ดาวเพดาน ๒ ดวงหน้า เรียกว่า บุรพผลคุนี เป็นดาวฤกษ์ที่ ๑๑ คือ ดาววัวตัวผู้ หรือ ดาวงูเมีย, อีก ๒ ดวงหลัง เรียกว่า อุตรผลคุนี เป็นดาวฤกษ์ที่ ๑๒ คือ ดาวเพดาน หรือ ดาววัวตัวเมีย."
ผลคุนีบูรพมาส 0,น.,วันเพ็ญในนักษัตรอุตรผลคุนี.
ผลง 0,ก.,"ปลิดปลง, ฆ่าให้ตาย."
ผลพลอยได้ 0,น.,สิ่งที่ได้รับนอกเหนือจากผลที่ได้ตามความมุ่งหมาย.
