คำ,POS,ความหมาย
พ 0,?,พยัญชนะตัวที่ ๓๐ เรียกว่า พอ พาน เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น ภพ ภาพ สรรพ ผลลัพธ์.
พก 0,น.,ริมผ้านุ่งที่ดึงรวบขึ้นมาไขว้ไว้ที่บริเวณสะดือ มีลักษณะคล้ายถุงเล็ก ๆ เรียกว่า ชายพก ใส่เงินหรือหมากเป็นต้น
พก 1,น.,แผ่นดิน.
พก 2,ก.,"เอาเก็บหรือซ่อนไว้ในพกหรือในสิ่งอื่นที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น พกมีด พกปืน พกนาฬิกา, เรียกสิ่งที่นำติดตัวไปในลักษณะเช่นนั้น เช่น มีดพก ปืนพก นาฬิกาพก"
พก 3,ก.,"พัง, ทำลาย, เช่น ดุจพสุธาพังดังพสุธาพก (ม. ร่ายยาว มหาราช)"
พก 4,ก.,"ผก, หก, ตก"
พก 5,ก.,วก เช่น ภายหลังมาจึงพราหมณ์ชูชก พกมาทวงทอง (ม. คำหลวง ชูชก).
พก- 0,น.,นกยาง.
พกจร 0,น.,ประพฤติอย่างนกยาง คือ คนหน้าซื่อใจคดหรือหน้าเนื้อใจเสือ.
พกนุ่น 0,ว.,"ใจเบา, ใช้เข้าคู่กับคำ พกหิน ในสำนวนว่า พกหินดีกว่าพกนุ่น."
พกพ่าย 0,ว.,"แตก, ทำลาย."
พกลม 0,ว.,"มีแต่ลม คือ เหลวไหล, พูดจาไม่จริง, ใช้เข้าคู่กับคำ โกหก เป็น โกหกพกลม."
พกหิน 0,ว.,"ใจหนักแน่น, ใช้เข้าคู่กับคำ พกนุ่น ในสำนวนว่า พกหินดีกว่าพกนุ่น."
พกา 0,น.,นกยาง.
พกา 1,น.,นกยาง.
พกุระ 0,น.,เขาสัตว์สำหรับเป่า.
พกุล 0,น.,ต้นพิกุล.
พง 0,น.,ดงหญ้าหรือดงไม้ที่เป็นหมู่ ๆ หรือที่รก ๆ เช่น ป่าดงพงพี รกเป็นพง.
พง 1,น.,"ชื่อไม้ล้มลุกชนิด Saccharum arundinaceum Retz. ในวงศ์ Gramineae มักขึ้นตามชายนํ้า ชายป่า และชายเขาที่ชุ่มชื้น, พง ก็เรียก."
พงพี 0,น.,ป่าดง.
พงศ์ 0,น.,"เชื้อสาย, เทือกเถา, เหล่ากอ, สกุล."
พงศ- 0,น.,"เชื้อสาย, เทือกเถา, เหล่ากอ, สกุล."
พงศกร 0,น.,"ผู้ตั้งวงศ์, บรรพบุรุษ."
พงศธร 0,น.,"ผู้ดำรงวงศ์สกุล, ผู้สืบสกุล."
พงศ์พันธุ์ 0,น.,พวกพ้องที่เนื่องมาแต่วงศ์.
พงศา 0,น.,ผู้มีชาติสกุล.
พงศา 1,น.,"เชื้อสาย, เทือกเถา, เหล่ากอ, สกุล."
พงศาวดาร 0,น.,เรื่องราวของเหตุการณ์เกี่ยวกับประเทศชาติหรือพระมหากษัตริย์ผู้เป็นประมุขของประเทศชาตินั้น เช่น พงศาวดารกรุงศรีอยุธยา พงศาวดารกรุงรัตนโกสินทร์.
พงศาวดาร 1,น.,"เชื้อสาย, เทือกเถา, เหล่ากอ, สกุล."
พงศาวลี 0,น.,แผนลำดับเครือญาติ.
พงศาวลี 1,น.,"เชื้อสาย, เทือกเถา, เหล่ากอ, สกุล."
พจน- 0,น.,"คำพูด, ถ้อยคำ."
พจน์ 0,น.,"คำพูด, ถ้อยคำ."
พจน์ 1,น.,สัญลักษณ์ที่แทนจำนวนจริงหรือจำนวนเชิงซ้อน ซึ่งจะเป็นจำนวนเดียวหรือหลายจำนวนคูณหรือหารกันก็ได้.
พจนา 0,น.,"การเปล่งวาจา, การพูด"
พจนา 1,น.,คำพูด.
พจนา 2,น.,"คำพูด, ถ้อยคำ."
พจนานุกรม 0,น.,หนังสือว่าด้วยถ้อยคำในภาษาใดภาษาหนึ่ง เรียงตามลำดับตัวอักษร โดยทั่ว ๆ ไปจะบอกความหมายและที่มาของคำเป็นต้นด้วย.
พจนานุกรม 1,น.,"คำพูด, ถ้อยคำ."
พจนารถ 0,น.,เนื้อความของคำพูด.
พจนารถ 1,น.,"คำพูด, ถ้อยคำ."
พจนีย์ 0,ว.,ควรว่ากล่าว.
พจนีย์ 1,น.,คำติเตียน.
พจมาน 0,น.,คำพูด.
พจี 0,น.,"คำพูด, ถ้อยคำ."
พชระ 0,น.,เพชร.
พญา 0,น.,เจ้าแผ่นดิน เช่น พญาลิไทย
พญา 1,น.,"ผู้เป็นใหญ่, ผู้เป็นหัวหน้า, (มักใช้นำหน้านามอื่น) เช่น พญานาค พญาหงส์."
พญากาสัก 0,น.,"ชื่อไม้พุ่มชนิด Leea macrophylla Roxb. ex Hornem. ในวงศ์ Leeaceae ใบใหญ่ ใช้ทำยาได้, พญากาสัก เสือนั่งร่ม หรือ ตาลปัตรฤๅษี ก็เรียก."
พญาขามป้อม 0,น.,"ชื่อไม้ต้นพวกเมล็ดเปลือยชนิด Cephalotaxus griffithii Hook.f. ในวงศ์ Cephalotaxaceae, มะขามป้อมดง ก็เรียก."
พญาขามป้อม 1,น.,ชื่อไม้ต้นพวกเมล็ดเปลือยชนิด Dacryarpus imbricatus (Blume) de Laub. ในวงศ์ Podocarpaceae.
พญาฉัททันต์ 0,น.,ชื่อกล้วยไม้อิงอาศัยชนิด Vandopsis gigantea (Lindl.) Pfitzer ในวงศ์ Orchidaceae ดอกสีเหลืองประนํ้าตาล.
พญาช้างเผือก 0,น.,"ชื่อพรรณไม้ ๒ ชนิดย่อยของชนิด Hiptage bengalensis (L.) Kurz ในวงศ์ Malpighiaceae ขึ้นตามป่าเบญจพรรณทั่วไป ใบเดี่ยว ค่อนข้างกลมมน ขอบหยักตื้น ๆ ออกตรงข้ามกัน ดอกสีขาวอมชมพู ชนิดย่อยแรก H. bengalensis (L.) Kurz subsp. bengalensisเป็นไม้เถาเนื้อแข็ง, โนรา ก็เรียก, และชนิดย่อยที่ ๒ H. bengalensis (L.) Kurz subsp. candicans (Hook. f.) Sirirugsa เป็นไม้พุ่มหรือไม้ต้นขนาดเล็ก, พญาช้างเผือก ก็เรียก."
พญาณ 0,น.,พยาน.
พญาดาบหัก 0,น.,"ชื่อไม้พุ่มชนิด Brucea javanica (L.)Merr. ในวงศ์ Simaroubaceae เมล็ดใช้ทำยาได้, กาจับหลัก หรือ พญาดาบหัก ก็เรียก, ปักษ์ใต้เรียก กะดัด."
พญาเดิน 0,น.,ชื่อเพลงไทยประเภทเพลงหน้าพาทย์ ใช้บรรเลงประกอบการเดินของตัวละครผู้สูงศักดิ์.
