คำ,POS,ความหมาย
ฟ 0,?,พยัญชนะตัวที่ ๓๑ เรียกว่า ฟอ ฟัน เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น เสิร์ฟ ไมโครเวฟ.
ฟก 0,ว.,"บวมชํ้า, บอบช้ำ."
ฟกช้ำ 0,ว.,"บวมชํ้า, บอบช้ำ."
ฟกช้ำดำเขียว 0,ว.,บวมชํ้าตามร่างกายเพราะถูกกระทบกระแทกอย่างแรง.
ฟ้ง 0,ก.,ฟุ้ง.
ฟรักโทส 0,น.,"นํ้าตาลชนิดหนึ่ง ประเภทโมโนแซ็กคาไรด์ ชนิดคีโทเฮ็กโซส ลักษณะเป็นของแข็ง สีขาว หลอมละลายที่ ๑๐๒ °ซ. มีปรากฏในผลไม้สุกที่มีรสหวาน นํ้าผึ้ง นํ้าต้อยของดอกไม้ มีรสหวานมากกว่านํ้าตาลทราย, เลวูโลส ก็เรียก."
ฟรี 0,ว.,ไม่เสียมูลค่าหรือไม่ได้ค่าตอบแทนใด ๆ เช่น เรียนฟรี ทำงานฟรี
ฟรี 1,ว.,ว่างจากงาน เช่น วันนี้ฟรี
ฟรี 2,ว.,อิสระ เช่น ล้อฟรี.
ฟรีบาร์ 0,ว.,เปิดบาร์ให้กินฟรีโดยไม่จำกัด ในคำว่า เปิดฟรีบาร์ (มักใช้แก่การเลี้ยงสุราเมรัย).
ฟลูออรีน 0,น.,ธาตุลำดับที่ ๙ สัญลักษณ์ F เป็นอโลหะ ลักษณะเป็นแก๊สสีเขียวแกมเหลือง มีสมบัติคล้ายคลอรีนแต่ให้ปฏิกิริยาเคมีไวกว่า.
ฟ่อ 0,ว.,เสียงดังเช่นนั้นอย่างงูเห่าขู่.
ฟ้อ 0,ว.,เสียงดังเช่นนั้นอย่างงูเห่าขู่.
ฟ้อ 1,ว.,"เพริศพริ้ง, กระชุ่มกระชวย, สดชื่น, เช่น หนุ่มฟ้อ ยังฟ้ออยู่."
ฟอก 0,ก.,ทำให้สะอาดหมดจด เช่น ฟอกผ้า ฟอกจิตใจ.
ฟอกเงิน 0,ก.,การโอน รับโอน หรือเปลี่ยนสภาพทรัพย์สินที่เกี่ยวกับการกระทำความผิดบางประการ เพื่อซุกซ่อนหรือปกปิดแหล่งที่มาของทรัพย์สินนั้น หรือเพื่อช่วยเหลือผู้อื่นมิให้ต้องรับโทษหรือรับโทษน้อยลง หรือการปกปิดอำพรางการได้มา ฯลฯ ซึ่งทรัพย์สินที่เกี่ยวกับการกระทำความผิด.
ฟอกน้ำตาล 0,ก.,เอาเปลือกไข่ใส่ลงไปในขณะเชื่อมน้ำตาล เพื่อให้น้ำเชื่อมใสสะอาด.
ฟอกผ้า 0,ก.,เอาสบู่เป็นต้นถูผ้าเพื่อให้สะอาด.
ฟอกพยาน 0,ก.,ไต่ถามไล่เลียงพยาน.
ฟอกโลหิต 0,ก.,อาการที่แก๊สออกซิเจนซึ่งหายใจเข้าไปแล้วเปลี่ยนเลือดดำเป็นเลือดแดง.
ฟอกหนัง 0,ก.,เอาหนังดิบมาแช่นํ้าแล้วหมักไว้เพื่อทำเป็นหนังฟอก.
ฟ่อง 0,ว.,"อาการที่ลอยสูง เด่น หรืออยู่ตามลำพัง, มักใช้เข้าคู่กับคำ ลอย เป็น ลอยฟ่อง, เช่น หมาตายลอยฟ่อง ลูกโป่งลอยฟ่องอยู่บนท้องฟ้า."
ฟ้อง 0,ก.,"กล่าวหาหรือกล่าวโทษต่อผู้ใหญ่หรือต่อศาล เช่น ฟ้องครู ฟ้องศาล, แสดงให้รู้ เช่น มีหลักฐานฟ้องอยู่ในตัว"
ฟ้อง 1,ก.,"โดยปริยายหมายความว่า ขัดกัน, ไม่ตรงกัน, เช่น ข้อความข้างต้นกับข้างปลายฟ้องกันเอง."
ฟ้อง 2,น.,คำฟ้อง.
ฟอง 0,น.,ต่อมนํ้าที่ผุดหรือปุดขึ้นเป็นรูปโป่ง ๆ อาจเป็นต่อมเดียว หรือรวมกันเป็นแพก็ได้.
ฟอง 1,น.,ไข่ เช่น ไก่ตกฟอง
ฟอง 2,น.,ลักษณนามใช้เรียกไข่เป็ดหรือไข่ไก่เป็นต้น เช่น ไข่ฟองหนึ่ง ไข่ ๒ ฟอง.
ฟอง 3,ก.,"คะนอง, กำเริบ."
ฟอง 4,น.,คลื่น เช่น ฟองฟัดซัดดลกรรทบนาวี (สรรพสิทธิ์).
ฟ้องกลับ 0,ก.,ฟ้องให้โจทก์กลับตกเป็นจำเลยในคดีอาญาด้วยเรื่องที่โจทก์ฟ้องมาก่อน เช่น ฟ้องกลับว่าฟ้องเท็จหรือเบิกความเท็จ.
ฟองกาม 0,ก.,กำเริบกาม.
ฟ้องตัวเอง 0,ก.,"แสดงความผิดของตนออกมาให้ผู้อื่นรู้โดยไม่ได้ตั้งใจ, แสดงความเท็จออกมาให้ปรากฏ."
ฟองเต้าหู้ 0,น.,"ชื่อหนึ่งของหินยิปซัม เรียกว่า หินฟองเต้าหู้, เกลือจืด ก็ว่า."
