คำ,POS,ความหมาย
ภ 0,?,พยัญชนะตัวที่ ๓๒ เรียกว่า ภอ สำเภา เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น ปรารภ ลาภ.
ภควดี 0,น.,ใช้เป็นคำเรียกสตรีที่เคารพ เช่น พระมหิษี พระอุมา พระลักษมี.
ภควัต 0,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภควันต์ 0,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภควัม 0,น.,"พระเครื่องรางชนิดหนึ่ง มีพระพักตร์ควํ่าและปิดทวารทั้ง ๙ คือ ตา ๒ หู ๒ จมูก ๒ ปาก ๑ ทวารหนัก ๑ ทวารเบา ๑, โดยปริยายใช้เรียกคนที่ทำหน้าควํ่าหน้างอไม่รับแขก ว่า ทำหน้าเป็นภควัม หรือ หน้าควํ่าเป็นภควัม"
ภควัม 1,น.,หินชนิดหนึ่งซึ่งมีรูปร่างอย่างนั้น.
ภควา 0,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภควาน 0,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภคะ 0,น.,"โชคดี, ความเจริญ, เกียรติ."
ภคันทลา 0,น.,โรคริดสีดวงทวารหนัก.
ภคินี 0,น.,"พี่หญิง, น้องหญิง."
ภณะ 0,ก.,"กล่าว, พูด, บอก."
ภณิดา 0,น.,"ผู้พูด, ผู้บอก."
ภบท. 0,น.,แบบพิมพ์ใบเสร็จรับเงินที่ทางราชการออกให้แก่ผู้เสียภาษีบำรุงท้องที่.
ภพ 0,น.,"โลก, แผ่นดิน"
ภพ 1,น.,วัฏสงสาร.
ภมการ 0,น.,ช่างกลึง.
ภมร 0,น.,"แมลงผึ้ง, แมลงภู่, ใช้ว่า ภุมระ ก็มี"
ภมร 1,น.,เครื่องกลึง.
ภมร 2,ก.,หมุน.
ภมรเคล้า 0,น.,ชื่อท่ารำแบบหนึ่ง โดยมือข้างหนึ่งตั้งวงสูง ระดับแง่ศีรษะ มืออีกข้างหนึ่งจีบหงายใกล้มือสูง เอียงศีรษะข้างเดียวกับมือสูง.
ภมริน 0,น.,"ผึ้งทั่วไป, ใช้ว่า ภุมริน ก็ได้."
ภมรี 0,น.,"ผึ้ง, ผึ้งตัวเมีย, ผึ้งทั่วไป, ใช้ว่า ภุมรี ก็ได้."
ภมุ 0,น.,คิ้ว.
ภมุกะ 0,น.,คิ้ว.
ภมุกา 0,น.,คิ้ว.
ภย- 0,น.,"ความกลัว, ของที่น่ากลัว."
ภยันตราย 0,น.,ภัยและอันตราย.
ภยาคติ 0,น.,ความลำเอียงเพราะความกลัว เป็นอคติ ๑ ในอคติ ๔ ได้แก่ ฉันทาคติ โทสาคติ ภยาคติ และโมหาคติ.
ภรณี 0,น.,"ดาวฤกษ์ที่ ๒ มี ๓ ดวง เห็นเป็นรูปแม่ไก่, ดาวก้อนเส้า ก็เรียก."
ภรณีภู 0,น.,ผู้เกิดจากดาวภรณี คือ พระราหู.
ภรต 0,น.,"ผู้เต้นรำ, ผู้แสดงละคร."
ภรต- 0,น.,"ผู้เต้นรำ, ผู้แสดงละคร."
ภรตวรรษ 0,น.,แผ่นดินแห่งท้าวภรต คือ อินเดีย.
ภรตศาสตร์ 0,น.,วิชาฟ้อนรำทำเพลง.
ภรรดร 0,น.,"ผัว เช่น ปัญหามีแต่จักหา ภรรดาสมศักดิ์สมศรี หาได้ใช่ง่ายชายดี สมกับเทวีลูกเรา (กนกนคร), ใช้ว่า ภัสดา ก็ได้, โบราณใช้ว่า ภรัสดาษ ก็มี."
ภรรดา 0,น.,"ผัว เช่น ปัญหามีแต่จักหา ภรรดาสมศักดิ์สมศรี หาได้ใช่ง่ายชายดี สมกับเทวีลูกเรา (กนกนคร), ใช้ว่า ภัสดา ก็ได้, โบราณใช้ว่า ภรัสดาษ ก็มี."
ภรรยา 0,น.,"ภริยา, เมีย, หญิงที่เป็นคู่ครองของชาย, คู่กับ สามี."
ภระ 0,ก.,"เลี้ยงดู, คํ้าจุน."
ภระมร 0,น.,ภมร.
ภระมรี 0,น.,ภมรี.
ภรัสดาษ 0,น.,"ภรรดา, ผัว."
ภราดร 0,น.,"พี่ชาย, น้องชาย."
ภราดรภาพ 0,น.,ความเป็นฉันพี่น้องกัน.
ภราดา 0,น.,"พี่ชาย, น้องชาย."
ภราตร- 0,น.,"พี่ชาย, น้องชาย."
ภราตรภาพ 0,น.,ความเป็นฉันพี่น้องกัน.
ภราตฤ- 0,น.,"พี่ชาย, น้องชาย."
ภราตฤภาพ 0,น.,ความเป็นฉันพี่น้องกัน.
ภริยา 0,น.,"ภรรยา, เมีย, หญิงที่เป็นคู่ครองของชาย, คู่กับ สามี."
ภรู 0,น.,คิ้ว.
ภรูมณฑล 0,น.,คิ้ว.
ภฤงคาร 0,น.,"หม้อนํ้า, เต้านํ้า."
ภฤดก 0,น.,ลูกจ้าง.
ภฤดี 0,น.,"ค่าจ้าง, สินจ้าง."
ภฤตย์ 0,น.,"คนรับใช้, คนใช้."
ภฤศ 0,ว.,"มาก, กล้า, จัด."
ภฤษฏ์ 0,ก.,"ตก, ร่วง, หล่น. [ส. ภฺรษฺฏ (ภฺรํศฺ ธาตุ); ป. ภฏฺ]."
ภฤษฏ์ 1,ก.,ปิ้ง เคี่ยว หรือคั่วแล้ว. [ส. ภฺรษฺฏ (ภฺรชฺชฺ ธาตุ); ป. ภฏฺ].
ภว- 0,น.,"ความเกิด, ความมี, ความเป็น"
ภว- 1,น.,ภพ.
ภวกษัย 0,น.,"ความสิ้นภพ, นิพพาน."
