คำ,POS,ความหมาย
ย 0,?,พยัญชนะตัวที่ ๓๔ เรียกว่า ยอ ยักษ์ เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตราเกยหรือแม่เกย เช่น ลุย สาย.
ยก 0,ก.,เอาขึ้นให้สูงจากที่เดิมทั้งโดยตรงและโดยปริยาย
ยก 1,ก.,"เคลื่อนไป, พากันไป, เช่น ยกทัพ ยกพวก"
ยก 2,ก.,"งดเว้น, เพิกถอน, เช่น ยกโทษ ยกภาษี ยกคำสั่ง"
ยก 3,ก.,มอบ เช่น ยกลูกสาวให้ ยกสมบัติให้
ยก 4,ก.,อ้าง เช่น ยกตัวอย่าง.
ยก 5,น.,เรียกผ้าไหมชนิดหนึ่งที่ทอยกเป็นดอกให้เป็นลายเด่นขึ้น ว่า ผ้ายก.
ยก 6,น.,มาตราวัดไม้ คือ หน้ากว้าง ๑ ศอก ยาว ๑๖ วา หนา ๑ นิ้ว เป็น ๑ ยก ตามอัตราไม้นิ้ว
ยก 7,น.,กำหนดเวลาระยะหนึ่ง ๆ หรือจำนวนหนึ่ง เช่น มวยยกหนึ่งกำหนด ๒-๓ นาที เฆี่ยนยกหนึ่งกำหนด ๓๐ ที
ยก 8,น.,กระดาษแผ่นหนึ่งขนาด ๓๑ x ๔๒ นิ้ว ถ้าพิมพ์ได้ ๔ หน้า เรียกว่า ขนาด ๔ หน้ายก ถ้าพิมพ์ได้ ๘ หน้า ๑๖ หน้า หรือ ๓๒ หน้า เรียกว่า ขนาด ๘ หน้ายก ๑๖ หน้ายก หรือ ๓๒ หน้ายก
ยก 9,น.,กำหนดเวลาที่พระรูปหนึ่ง ๆ เทศน์ ๓ วันบ้าง ๗ วันบ้าง เรียกว่า ยกหนึ่ง เป็นต้น.
ยกกระบัตร 0,น.,ตำแหน่งข้าราชการสังกัดกระทรวงวัง มีหน้าที่ออกไปประจำอยู่ตามหัวเมืองเพื่อสอดส่องอรรถคดี
ยกกระบัตร 1,น.,"ตำแหน่งเจ้าพนักงานเกี่ยวกับอรรถคดี ตรงกับ พนักงานอัยการ หรือ อัยการ ในปัจจุบัน, ยกบัตร หรือ พนักงานรักษาพระอัยการ ก็เรียก"
ยกกระบัตร 2,น.,เจ้าหน้าที่ในการจัดหาเครื่องใช้ของทหาร
ยกกระบัตร 3,น.,เขียนเป็น ยุกกระบัตร ก็มี.
ยกกระเปาะ 0,ก.,ยกขอบขึ้นเป็นรูปทรงกระบอกขนาดเล็ก เพื่อใช้ฝังเพชรพลอยในงานโลหะรูปพรรณ.
ยกกลีบ 0,ก.,"ยกกลีบผ้าโจงกระเบนข้างหลังให้โก่งขึ้น, รีดกางเกงตามแนวพับด้านหน้าและด้านหลังขาให้เป็นสันขึ้น."
ยกเก็จ 0,ก.,"ทำเก็จให้ยื่นออกมาจากฝาผนัง กำแพง ฐาน หรือเชิงกลอน, คู่กับ ย่อเก็จ."
ยกครัว 0,ว.,หมดทั้งครอบครัว เช่น ตายยกครัว.
ยกครู 0,ก.,"ทำพิธีบูชาครูเป็นประจำปี กล่าวคือ นำขันล้างหน้า ผ้าขาว เงิน ไปบูชาครูเป็นการคำนับ, ทำพิธีมอบตัวให้เป็นศิษย์ของครู กล่าวคือ นำดอกไม้ ธูป เทียน หญ้าแพรก ดอกมะเขือ ไปบูชาครู."
ยกเครื่อง 0,ก.,ซ่อมใหญ่เครื่องยนต์ของรถยนต์หรือเรือยนต์เป็นต้น.
ยกเค้า 0,ก.,เอาต้นทุนหรือกองทุนไปหมด (ใช้แก่การพนัน) เช่น แทงยกเค้า
ยกเค้า 1,ก.,ขโมยทรัพย์สินไปหมด เช่น เขาถูกยกเค้า.
ยกตนข่มท่าน 0,ก.,"ยกย่องตัวเองและข่มผู้อื่น, พูดทับถมผู้อื่นแสดงให้เห็นว่าตัวเหนือกว่า."
ยกตัวขึ้นเหนือลม 0,ก.,"ปัดความผิดให้พ้นตัว, ยกตัวเองให้พ้นผิด, ยกตนเหนือคนอื่น."
ยกทรง 0,น.,เสื้อชั้นในหญิงที่ยกเต้านมเพื่อให้ได้รูปทรง.
ยกธงขาว 0,ก.,ยอมแพ้.
ยกนะ 0,น.,ตับ.
ยกนิ้ว 0,ก.,ยอมให้เป็นเยี่ยม.
ยกบัตร 0,น.,"ตำแหน่งเจ้าพนักงานเกี่ยวกับอรรถคดี ตรงกับ พนักงานอัยการ หรือ อัยการ ในปัจจุบัน, ยกกระบัตร หรือ พนักงานรักษาพระอัยการ ก็เรียก, เขียนเป็น ยกบัตร์ ก็มี."
ยกพื้น 0,น.,พื้นที่สูงกว่าบริเวณโดยรอบ.
ยกพื้น 1,ก.,ทำพื้นให้สูงขึ้น.
ยกฟ้อง 0,ก.,พิพากษาให้คดีตกไป มีผลให้ผู้ฟ้องแพ้คดี.
ยกภูเขาออกจากอก 0,ก.,"โล่งอก, หมดวิตกกังวล, ปลดเปลื้องภาระที่หนักอกหนักใจให้หมดไป."
ยกมือ 0,ก.,แสดงว่าเห็นด้วย.
ยกเมฆ 0,ก.,"เพ่งดูเมฆเมื่อเห็นเป็นรูปอะไรแล้ว ก็ถือเป็นนิมิตเพื่อทำนายว่าดีหรือร้าย เช่นในเวลาจะยกทัพ ถ้าเห็นเมฆเป็นรูปพระนารายณ์ ก็ถือว่าเป็นนิมิตที่ดี ควรยกทัพได้ เช่น ตรงเข้าไปในป่าแล้วปลุกตัว เป่าทั่วด้วยคาถาประกาศิต ขยับยืนยกเมฆดูนิมิต เห็นรูปนารายณ์เรืองฤทธิ์ติดอัมพร (ขุนช้างขุนแผน), ถ้าเห็นเมฆเป็นรูปคนหัวขาดหรือแขนขาดขาขาด เป็นนิมิตไม่ดี ไม่ควรยกทัพ แม้ผู้ทรงวิทยาคุณอาจบริกรรมต่อหัวหรือแขนขาให้สมบูรณ์ได้ ถึงกระนั้นก็ไม่ถือว่าเป็นนิมิตที่ดี ไม่ควรยกทัพ เช่น กอดอกยกเมฆดูนิมิต ก็วิปริตเป็นรูปคนหัวหาย จะยกต่อคอแขนไม่ติดกาย เถนสำคัญมั่นหมายไม่คืนมา (ขุนช้างขุนแผน)"
ยกเมฆ 1,ก.,"เดาเอา, นึกคาดเอาเอง, กุเรื่องขึ้น."
ยกยอ 0,ก.,"ยกย่อง, สรรเสริญ, พูดส่งเสริมให้ดีขึ้น"
ยกยอ 1,ก.,ยกย่องเกินความจริง.
ยกย่อง 0,ก.,เชิดชู.
ยกยอด 0,ก.,ทำพิธีเอายอดเมรุยอดปราสาทขึ้น
ยกยอด 1,ก.,เก็บเอาสิ่งที่ทำค้างไว้ไปทำให้เสร็จในคราวเดียวกัน
ยกยอด 2,ก.,เก็บเอาความเจ็บแค้นไว้แก้แค้นในคราวเดียว
ยกยอด 3,ก.,โอนจำนวนเงินจากหน้าหนึ่งไปอีกหน้าหนึ่ง.
ยกยอปอปั้น 0,ก.,"ยกให้, มอบให้, เช่น ยกยอปอปั้นลูกสาวให้เขาไป"
ยกยอปอปั้น 1,ก.,ยกย่องเกินจริง เช่น ยกยอปอปั้นให้เป็นคุณหญิง.
ยกเลิก 0,ก.,"เพิกถอน, ไม่ใช้ต่อไป, (กฎ) ทำให้สิ้นผลเพื่อไม่ให้ใช้ต่อไป."
ยกเว้น 0,ก.,"ไม่เกี่ยวด้วย, กันเอาออก, ยอมให้เป็นพิเศษ."
ยกเว้น 1,บ.,"นอกจาก, เว้นแต่, เว้นเสียแต่."
ยกไว้ 0,ก.,"งดไว้, พักไว้, หยุดไว้."
ยกหยิบ 0,ก.,หยิบยก เช่น จะยกหยิบธิบดีเป็นที่ตั้ง (นิ. ภูเขาทอง).
ยกหางตัวเอง 0,ก.,ยกตนเองว่าดีว่าเก่ง.
ยกเหลี่ยม 0,ก.,ยกหน้ากระดานขึ้นเป็นสันคมไปทางยาว เช่น ยกเหลี่ยมอกเลาของบานประตู.
ยกใหญ่ 0,ว.,"มากมาย, เป็นการใหญ่, เช่น ร้องไห้เสียยกใหญ่."
ยง 0,ว.,"อร่ามเรือง, มักใช้เป็นส่วนท้ายของสมาส เช่น โฉมยง ยุพยง."
ยง 1,ว.,"ยั่งยืน, มั่นคง, คงทน, ยืนนาน, เช่น อยู่ยงคงกระพัน ยืนยง."
ยง 2,ว.,"กล้าหาญ เช่น ยงยุทธ์ เยี่ยมยง, เก่งกล้าสามารถ เช่น ตัวยง."
ยงโย่ 0,ก.,"กิริยาที่นั่งยอง ๆ หรือยืนขยับตัวขึ้น ๆ ลง ๆ ก้ม ๆ เงย ๆ ไม่เป็นระเบียบ, โยงโย่ ก็เรียก."
ยงโย่ยงหยก 0,ก.,กิริยาที่จะยืนก็ไม่ใช่จะนั่งก็ไม่เชิง.
ยชุรเวท 0,น.,"ชื่อคัมภีร์ที่ ๒ ของพระเวท กล่าวถึงพิธีบูชาสำคัญหลายพิธี เช่น พิธีราชสูยะ พิธีอัศวเมธ รายละเอียดในการประกอบพิธีและเรื่องเล่าแต่งเป็นร้อยแก้ว ส่วนบทสวดเป็นฉันท์นำมาจากฤคเวท. (ส.). (ดู เวท, เวท- ประกอบ)."
ยติ 0,น.,"ผู้สำรวมอินทรีย์, พระภิกษุ."
ยติ 1,น.,การหยุดเป็นจังหวะตามกำหนดในการอ่านฉันท์.
ยติภังค์ 0,น.,โทษของฉันท์อย่างหนึ่ง คือ คำไม่หมดตรงที่กำหนดไว้ตามข้อบังคับ แต่เลยไปวรรคหลัง เช่น ปางเมื่อพระองค์ปรมพุท- ธวิสุทธศาสดา
ยติภังค์ 1,น.,"เครื่องหมายขีดสั้น - ใช้เป็นเครื่องหมายให้รู้ว่าพยางค์หน้ากับพยางค์หลังนั้นติดกันหรือเป็นคำเดียวกัน ตัวที่เขียนแยกนั้นจะอยู่ในบรรทัดเดียวกันหรือคนละบรรทัดก็ได้, เขียนเป็น ยัติภังค์ ก็มี."
ยถากรรม 0,ว.,"ตามบุญตามกรรม, ตามแต่จะเป็นไป."
ยถาภูตญาณ 0,น.,ความรู้ตามความเป็นจริง.
ย่น 0,ก.,"ร่นให้สั้นหรือให้เร็วเข้า เช่น ย่นหนทาง ย่นเวลา, หดร่นเข้าไป เช่น คอย่น, ร่นเป็นริ้วรอย เช่น หน้าย่น, ไม่เรียบ เช่น เสื้อผ้าย่น."
ยนต์ 0,น.,"เครื่องกลไก, เครื่องจักรที่ให้กำเนิดพลังงานหรือทำให้วัตถุเคลื่อนที่."
ยนตร์ 0,น.,"เครื่องกลไก, เครื่องจักรที่ให้กำเนิดพลังงานหรือทำให้วัตถุเคลื่อนที่."
ย่นย่อ 0,ว.,ทำให้สั้น เช่น กล่าวโดยย่นย่อพอได้ความ
ย่นย่อ 1,ว.,ท้อถอย เช่น อย่าได้ย่นย่อ
ย่นย่อ 2,ว.,ย่อย่น ก็ว่า.
ยม- 0,น.,เทพเจ้าผู้เป็นใหญ่ประจำโลกของคนตาย
ยม- 1,น.,"ชื่อดาวเคราะห์แคระในระบบสุริยะ มองไม่เห็นด้วยตาเปล่า อยู่ห่างดวงอาทิตย์ประมาณ ๕,๙๐๐ ล้านกิโลเมตร มีเส้นผ่าศูนย์กลางอยู่ระหว่าง ๒,๕๘๐ ถึง ๓,๕๓๐ กิโลเมตร ทางโคจรเป็นวงรีมาก ทำให้ส่วนหนึ่งของทางโคจรอยู่ภายในวงโคจรของดาวเนปจูน, ดาวพลูโต ก็เรียก."
ยม 0,ก.,ร้องไห้.
ยม 1,น.,เทพเจ้าผู้เป็นใหญ่ประจำโลกของคนตาย
ยม 2,น.,"ชื่อดาวเคราะห์แคระในระบบสุริยะ มองไม่เห็นด้วยตาเปล่า อยู่ห่างดวงอาทิตย์ประมาณ ๕,๙๐๐ ล้านกิโลเมตร มีเส้นผ่าศูนย์กลางอยู่ระหว่าง ๒,๕๘๐ ถึง ๓,๕๓๐ กิโลเมตร ทางโคจรเป็นวงรีมาก ทำให้ส่วนหนึ่งของทางโคจรอยู่ภายในวงโคจรของดาวเนปจูน, ดาวพลูโต ก็เรียก."
ยม 3,น.,ชื่อไม้ต้นหลายชนิดหลายสกุล ในวงศ์ Meliaceae เช่น ยมหิน (Chukrasia tabularisA. Juss.) ยมหอม (Toona ciliataM. Roem.).
ยมก 0,น.,"คู่, แฝด, ๒ ชั้น"
ยมก 1,น.,เรียกเครื่องหมายรูปดังนี้ ๆ ว่า ไม้ยมก สำหรับอ่านซํ้าความหรือซํ้าคำข้างหน้า ๒ หน.
ยมกปาฏิหาริย์ 0,น.,ปาฏิหาริย์ที่แสดงเป็นคู่ ๆ เป็นปาฏิหาริย์ที่พระพุทธเจ้าทรงกระทำที่ต้นมะม่วงซึ่งเรียกว่าคัณฑามพพฤกษ์ คือ ทรงบันดาลท่อนํ้าท่อไฟออกจากส่วนของพระกายเป็นคู่ ๆ กัน.
ยมขันธ์ 0,น.,ชื่อยามที่เป็นอัปมงคล.
ยมโดย 0,น.,ชื่อเฟินอิงอาศัยชนิด Lycopodium squarrosum J.R. Forst. ในวงศ์ Lycopodiaceae.
