คำ,POS,ความหมาย
ร 0,?,"พยัญชนะตัวที่ ๓๕ เรียกว่า รอ เรือ เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น การ วาร, เมื่อสะกดพยัญชนะที่ไม่มีสระอื่นเกาะต้องอ่านเหมือนมีสระ ออ อยู่ด้วย เช่น กร (กอน) กุญชร (กุนชอน), ถ้าตามพยัญชนะอื่น แต่มิได้ทำหน้าที่เป็นตัวสะกดและมีพยางค์อื่นตาม พยัญชนะที่อยู่หน้าตัว ร มักออกเสียงประสมสระ ออ และตัว ร ออกเสียง ระ เช่น จรลี (จอ-ระ-ลี) หรดี (หอ-ระ-ดี)."
รก 0,ว.,"ที่กระจัดกระจายอยู่เกลื่อนกลาดไม่เป็นระเบียบเรียบร้อย เช่น ทิ้งกระดาษไว้รกบ้าน, ที่งอกหรือขึ้นรวมกันอยู่อย่างยุ่งเหยิงไม่เป็นระเบียบเรียบร้อย เช่น หญ้ารก ป่ารก, น่ารำคาญเพราะไม่เป็นระเบียบ เช่น รกตา รกหู รกสมอง."
รก 1,น.,เครื่องสำหรับหล่อเลี้ยงเด็กในครรภ์แนบอยู่กับมดลูก มีสายล่ามมาที่สะดือเด็ก
รก 2,น.,"สิ่งที่เป็นเส้นคล้ายรากไม้ที่ห้อยอยู่ตามกิ่งไม้บางอย่างเช่นมะดัน เรียกว่า รกมะดัน, บางทีเป็นแผ่นห่อกาบไม้เช่นต้นมะพร้าว เรียกว่า รกมะพร้าว."
รกชัฏ 0,ว.,"รกยุ่ง, รกอย่างป่าทึบ."
รกช้าง 0,น.,หญ้ารกช้าง. [ดู กะทกรก (๒)].
รกบิน 0,น.,รกที่ไม่ออกมาตามปรกติภายหลังคลอด แต่กลับตีขึ้นข้างบน.
รกฟ้า 0,น.,"ชื่อไม้ต้นขนาดใหญ่ชนิด Terminalia alata Heyne ex Roth ในวงศ์ Combretaceae ขึ้นตามป่าเต็งรัง เปลือกให้นํ้าฝาดสีแดงใช้ย้อมสี ใช้ทำยาได้, กอง ก็เรียก."
รกราก 0,น.,"ภูมิลำเนาเดิม, บ้านเกิด, หลักแหล่ง, เช่น คุณมีรกรากอยู่ที่ไหน"
รกราก 1,น.,เชื้อสาย.
รกร้าง 0,ว.,รกเพราะปล่อยทิ้งไว้ เช่น ที่รกร้าง ที่ดินรกร้างว่างเปล่า.
รกเรี้ยว 0,ว.,รกมาก เช่น ป่ารกเรี้ยว.
รกเรื้อ 0,ว.,รกมาก เช่น สวนรกเรื้อไม่ได้ดูแลเสียนาน.
รง 0,น.,ชื่อไม้ต้นชนิด Garcinia hanburyi Hook.f. ในวงศ์ Guttiferae ใบเดี่ยว เรียงตรงข้าม ทุกส่วนมียางสีเหลือง.
รง 1,น.,ชื่อยางไม้ที่ได้จากไม้ต้น ๒ ชนิดในสกุล Garcinia วงศ์ Guttiferae คือ มะพูด [G. dulcis (Roxb.) Kurz] และรง (G. hanburyi Hook.f.) ชนิดแรกให้ยางสีเขียว ๆ อมเหลืองเรียก รงกา ชนิดหลังให้ยางสีเหลืองเรียก รง ใช้ทำยาและเขียนหนังสือหรือระบายสี รงนั้นถ้าใช้ทองคำเปลวผสมเขียนตัวหนังสือหรือลวดลายต่าง ๆ เรียกว่า รงทอง.
รงกุ์ 0,น.,ชื่อสัตว์ในพวกเนื้อชนิดหนึ่ง.
รงค์ 0,น.,"สี, นํ้าย้อม"
รงค์ 1,น.,"ความกำหนัด, ตัณหา, ความรัก"
รงค์ 2,น.,"ที่ฟ้อนรำ, โรงละคร"
รงค์ 3,น.,"สนามรบ, ลาน."
รงค- 0,น.,"สี, นํ้าย้อม"
รงค- 1,น.,"ความกำหนัด, ตัณหา, ความรัก"
รงค- 2,น.,"ที่ฟ้อนรำ, โรงละคร"
รงค- 3,น.,"สนามรบ, ลาน."
รงควัตถุ 0,น.,สีต่าง ๆ.
รงรอง 0,ว.,"สดใส, งดงาม, รุ่งเรือง, รังรอง ก็ว่า."
รจนา 0,ก.,"ตกแต่ง, ประพันธ์. (ป., ส.)."
รจนา 1,ว.,งาม.
รจเรข 0,น.,การขีดเขียน.
รจเรข 1,ว.,งาม.
รจเรข 2,ก.,แต่ง.
รจเลข 0,น.,การขีดเขียน.
รจเลข 1,ว.,งาม.
รจเลข 2,ก.,แต่ง.
รจิต 0,ก.,"ตกแต่ง, ประดับ, เรียบเรียง."
รจิต 1,ว.,งดงาม.
รชกะ 0,น.,"คนย้อมผ้า, คนซักผ้า."
รชตะ 0,น.,เงิน.
รชนิ 0,น.,"เวลาคํ่า, กลางคืน."
รชนี 0,น.,"เวลาคํ่า, กลางคืน."
รชนีกร 0,น.,พระจันทร์.
รชนีจร 0,น.,ผู้เที่ยวไปกลางคืน
รชนีจร 1,น.,รากษส.
รชะ 0,น.,"ธุลี, ละออง"
รชะ 1,น.,ความกำหนัด.
รณ 0,น.,"เสียง, เสียงดัง"
รณ 1,น.,สงคราม.
รณ 2,ก.,"รบ, รบศึก."
รณ- 0,น.,"เสียง, เสียงดัง"
รณ- 1,น.,สงคราม.
รณ- 2,ก.,"รบ, รบศึก."
รณเกษตร 0,น.,สนามรบ.(ส.).
รณภู 0,น.,สนามรบ.(ส.).
รณภูมิ 0,น.,สนามรบ.(ส.).
รณรงค์ 0,น.,การรบ
รณรงค์ 1,น.,สนามรบ.
รณรงค์ 2,ก.,"ต่อสู้, โฆษณาชักชวนอย่างต่อเนื่องโดยมีเจตนาที่จะต่อสู้เพื่อให้บรรลุเป้าหมายตามที่ต้องการ เช่น รณรงค์หาเสียงในการเลือกตั้ง รณรงค์ให้คนไทยใช้ของไทย."
รณสถาน 0,น.,สนามรบ.(ส.).
รด 0,ก.,เท ราด สาด ฉีด หรือโปรยน้ำหรือของเหลวไปยังสิ่งใดสิ่งหนึ่งเพื่อให้เปียกหรือให้เปียกชุ่ม เช่น รดน้ำต้นไม้ เอาน้ำรดตัว
รด 1,ก.,โดยปริยายหมายถึงอาการที่คล้ายคลึงเช่นนั้น เช่น เยี่ยวรดที่นอน นกขี้รดหลังคา.
รดน้ำ 0,น.,"วิธีการเขียนจิตรกรรมเป็นลวดลายสีทองบนพื้นลงรักหรือทาชาด เรียกว่า ลายปิดทองรดนํ้า, ต่อมาเรียกสั้นลงเป็น ลายรดนํ้า."
รดน้ำ 1,ก.,หลั่งนํ้าในพิธีต่าง ๆ เช่น รดน้ำบ่าวสาวในพิธีแต่งงาน รดน้ำขอพรผู้ใหญ่ในวันสงกรานต์.
รดี 0,น.,รติ.
รตนะ 0,น.,รัตน์.
รตะ 0,น.,"ความสุข, ความสนุก."
รตะ 1,ก.,"ยินดี, ชอบใจ, สนุก."
รติ 0,น.,"ความยินดี, ความชอบใจ"
รติ 1,น.,"ความรัก, ความกำหนัด, แผลงใช้ว่า ฤดี หรือ รดี ก็ได้."
รถ 0,น.,ยานที่มีล้อสำหรับเคลื่อนไป เช่น รถม้า รถยนต์ รถไฟ.
รถ- 0,น.,ยานที่มีล้อสำหรับเคลื่อนไป เช่น รถม้า รถยนต์ รถไฟ.
รถกระบะ 0,น.,รถชนิดหนึ่งใช้บรรทุกสิ่งของ ทำตัวถังเป็นรูปอย่างกระบะ.
รถกุดัง 0,น.,รถบรรทุกชนิดหนึ่ง เดิมใช้บรรทุกสินค้าจากกุดังเก็บสินค้าที่ท่าเรือ ปัจจุบันใช้บรรทุกสินค้าเป็นต้น.
รถเก๋ง 0,น.,รถยนต์ที่มีหลังคาเครื่องบังแดดบังฝน มีทั้งชนิดติดตายตัวและเปิดปิดได้ ปรกตินั่งได้ไม่เกิน ๗ คน.
รถเข็น 0,น.,รถที่ไม่มีเครื่อง ต้องใช้คนเข็นหรือดันไป เช่น รถเข็นคนไข้.
รถแข่ง 0,น.,รถยนต์มีที่นั่งตอนเดียว ติดตั้งเครื่องยนต์กำลังแรงม้าสูง ใช้แข่งประลองความเร็ว.
รถคฤห 0,น.,รถที่มีหลังคาทรงจั่วซ้อนกัน ๒ ชั้น บางทีก็เป็นจตุรมุข สำหรับชักศพเจ้านายตั้งแต่ชั้นพระองค์เจ้าลงมา มีม้าลาก.
รถเครื่อง 0,น.,"จักรยานยนต์, รถที่มีล้อ ๒ ล้อเหมือนกับรถจักรยาน ขับเคลื่อนด้วยกำลังเครื่องยนต์, มอเตอร์ไซค์ ก็ว่า."
รถจักร 0,น.,"รถหัวขบวนรถไฟ มีเครื่องยนต์ใช้ลากจูงรถไฟทั้งขบวน, หัวรถจักร ก็เรียก."
รถจักรยาน 0,น.,รถถีบ
รถจักรยาน 1,น.,รถที่ขับเคลื่อนด้วยกำลังของผู้ขับขี่ที่มิใช่เป็นการลากเข็น.
รถจักรยานยนต์ 0,น.,รถจักรยานที่มีเครื่องยนต์
รถจักรยานยนต์ 1,น.,รถที่ขับเคลื่อนด้วยกำลังเครื่องยนต์ กำลังไฟฟ้า หรือพลังงานอื่น และมีล้อไม่เกิน ๒ ล้อ ถ้ามีพ่วงข้างมีล้อเพิ่มอีกไม่เกิน ๑ ล้อ.
รถจี๊ป 0,น.,รถยนต์แบบหนึ่ง ใช้ในวัตถุประสงค์ต่าง ๆ ได้แทบทุกภูมิประเทศ มีความคล่องตัวสูง.
รถเจ๊ก 0,น.,รถลากสำหรับให้ผู้โดยสารนั่ง มีล้อขนาดใหญ่ ๒ ล้อ มีคนจีนเป็นผู้ลาก.
รถฉุกเฉิน 0,น.,รถดับเพลิงและรถพยาบาลของทางราชการ หรือรถอื่นที่ได้รับอนุญาตให้ใช้ไฟสัญญาณแสงวับวาบหรือให้ใช้เสียงสัญญาณไซเรนหรือเสียงสัญญาณอย่างอื่น.
รถดับเพลิง 0,น.,รถใช้ในการดับไฟที่ไหม้อาคารบ้านเรือนต่าง ๆ เป็นต้น มีอุปกรณ์ในการดับไฟ เช่น ถังน้ำสำรอง สายสูบน้ำ หัวสูบ ระหว่างวิ่งไปเพื่อดับไฟจะเปิดไซเรนขอทางให้ยวดยานอื่นหลีกทางให้.
รถโดยสารประจำทาง 0,น.,รถบรรทุกคนโดยสารที่เดินตามทางที่กำหนดไว้ และเรียกเก็บค่าโดยสารเป็นรายคนตามอัตราที่วางไว้เป็นระยะทางหรือตลอดทาง.
รถตีนตะขาบ 0,น.,รถชนิดหนึ่งซึ่งมีสายพานหุ้มล้อ สามารถขับเคลื่อนไปในภูมิประเทศที่เป็นทุ่งนาป่าเขาได้ดีกว่ารถที่ใช้ล้อธรรมดา.
รถตุ๊ก ๆ 0,น.,รถสามล้อเครื่องรับจ้างบรรทุกผู้โดยสาร.
รถตู้ 0,น.,ตู้รถไฟที่ใช้บรรทุกสินค้าเป็นต้นภายในโล่ง มักปิดทึบทั้ง ๔ ด้าน
รถตู้ 1,น.,รถยนต์ขนาดกลาง รูปร่างคล้ายกล่อง มักมีประตูเปิดปิดด้านเดียว บรรทุกผู้โดยสารได้ประมาณ ๑๒-๑๕ คน.
รถไต่ถัง 0,น.,"การแสดงผาดโผนชนิดหนึ่งโดยขับขี่รถจักรยานยนต์วนไปรอบ ๆ ภายในถังไม้รูปทรงกระบอกขนาดใหญ่, ที่ใช้จักรยานสองล้อ หรือ รถยนต์ ก็มี."
รถถ่อ 0,น.,ยานพาหนะชนิดหนึ่งสำหรับเจ้าหน้าที่การรถไฟใช้ถ่อค้ำยันให้แล่นไปบนรางรถไฟ.
รถถีบ 0,น.,รถจักรยานสองล้อ.
รถทัวร์ 0,น.,รถปรับอากาศขนาดใหญ่ที่รับผู้โดยสารเดินทางไปยังต่างจังหวัด.
รถทัศนาจร 0,น.,รถยนต์ขนาดใหญ่ที่รับผู้โดยสารไปท่องเที่ยว.
รถแท็กซี่ 0,น.,รถยนต์รับจ้างสาธารณะ โดยสารได้ไม่เกิน ๗ คน.
รถแทรกเตอร์ 0,น.,รถทุ่นแรง ใช้ลากหรือขับเคลื่อนอุปกรณ์อย่างอื่นที่ติดเข้าไปกับตัวรถตามลักษณะงานที่ใช้ มี ๒ แบบ คือ แบบตีนตะขาบ และแบบล้อซึ่งมีล้อหลังใหญ่กว่าล้อหน้า.
รถนอน 0,น.,ตู้รถไฟที่มีที่นอนให้ผู้โดยสารนอนในเวลาค่ำคืน.
รถนาค 0,น.,รถชลประทานสำหรับสูบน้ำเข้านา.
รถบดถนน 0,น.,รถสำหรับบดดินให้เรียบหรือบดถนนให้ราบ มีลูกกลิ้งขนาดใหญ่สำหรับบดอยู่ข้างหน้า และมีล้อเหล็กขนาดใหญ่ ๒ ล้ออยู่ข้างหลัง.
รถบรรทุก 0,น.,รถที่ใช้บรรทุกสิ่งของ มีหลายขนาด.
รถบ้าน 0,น.,รถส่วนบุคคล.
รถบุปผชาติ 0,น.,รถที่ใช้ดอกไม้สดประดับให้เป็นรูปต่าง ๆ.
