คำ,POS,ความหมาย
ฤ 0,?,เป็นรูปสระในภาษาสันสกฤต เมื่อไทยนำมาใช้ออกเสียงเป็น ริ รึ หรือ เรอ เช่น ฤทธิ์ [ริด] ฤดู [รึดู] ฤกษ์ [เริก].
ฤ 1,ว.,"หรือ, ไม่, เช่น จะมีฤ ว่า จะมีหรือ, ฤบังควร ว่า ไม่บังควร."
ฤกษ์ 0,น.,"คราวหรือเวลาที่กำหนดหรือคาดว่าจะให้ผล เช่น ฤกษ์ดี ฤกษ์ร้าย, มักนิยมใช้ในทางดี เช่น หาฤกษ์แต่งงาน หาฤกษ์ยกเสาเอก."
ฤกษ์ 1,น.,หมี
ฤกษ์ 2,น.,"ดาวจระเข้, ดาวนพเคราะห์."
ฤกษ์ 3,น.,เรียกดาวที่มีลักษณะเป็นกลุ่มแก๊สทรงกลมที่สามารถแผ่รังสีออกได้รอบตัว ว่า ดาวฤกษ์.
ฤกษณะ 0,น.,"การดู, การเห็น."
ฤกษ์บน 0,น.,ฤกษ์ที่ดาวนพเคราะห์เสวยประจำวัน มี ๒๗ ฤกษ์.
ฤกษ์พานาที 0,น.,ระยะเวลาที่เป็นฤกษ์.
ฤกษ์ล่าง 0,น.,ฤกษ์ที่ประกอบฤกษ์บน มี ๙ ฤกษ์.
ฤคเวท 0,น.,"ชื่อคัมภีร์ที่ ๑ ของพระเวท ใช้ภาษาสันสกฤตรุ่นเก่าที่สุด ประพันธ์เป็นฉันท์ มีอายุประมาณ ๕๐๐ ถึง ๑,๐๐๐ ปีก่อนพุทธกาล, อิรุพเพท ก็ว่า. (ส.; ป. อิรุพฺเพท). (ดู เวท, เวท- ประกอบ)."
ฤชา 0,น.,ค่าธรรมเนียม.
ฤชากร 0,น.,เงินที่ได้จากค่าธรรมเนียม.
ฤชุ 0,ว.,"ตรง, ซื่อ."
ฤณ 0,น.,"หนี้, หนี้สิน"
ฤณ 1,น.,ภาระ.
ฤดี 0,น.,"รติ, ความยินดี, ใจ."
ฤดียา 0,ก.,"เกลียด, รังเกียจ, ดูถูก."
ฤดู 0,น.,"ส่วนของปีซึ่งแบ่งโดยถือเอาภูมิอากาศเป็นหลัก มักแบ่งออกเป็น ๓ ช่วง คือ ฤดูฝน ฤดูหนาว และฤดูร้อน หรือเป็น ๔ ช่วง คือ ฤดูใบไม้ผลิ ฤดูร้อน ฤดูใบไม้ร่วง และฤดูหนาว ที่แบ่งเป็น ๒ ช่วง คือ ฤดูแล้งกับฤดูฝน ก็มี, เวลาที่กำหนดสำหรับงานต่าง ๆ เช่น ฤดูเก็บเกี่ยว ฤดูทอดกฐิน ฤดูถือบวช, เวลาที่เหมาะ เช่น ฤดูสัตว์ผสมพันธุ์"
ฤดู 1,น.,"คราว, สมัย, เช่น ฤดูนํ้าหลาก."
ฤดูกาล 0,น.,"เวลา, คราว, เช่น ฝนไม่ตกตามฤดูกาล."
ฤต 0,น.,"กฎ, วินัย, (เช่นในพระศาสนา)"
ฤต 1,น.,"ธรรมเนียม, ความจริง, ความชอบธรรม."
ฤติยา 0,ก.,"เกลียด, รังเกียจ, ดูถูก."
ฤตุ 0,น.,ฤดู.
ฤตุสนาน 0,น.,การอาบนํ้าของหญิงอินเดียในวันที่ ๔ หลังจากมีระดู.
ฤทธา 0,น.,อำนาจศักดิ์สิทธิ์ เช่น รุ่งเรืองฤทธาศักดาเดช (อิเหนา).
ฤทธิ์ 0,น.,"อำนาจศักดิ์สิทธิ์, แรงอำนาจ, เช่น เทวดามีฤทธิ์."
ฤทัย 0,น.,"ใจ, ความรู้สึก. (กร่อนมาจาก หฤทัย)."
ฤษภ 0,น.,วัวตัวผู้.
ฤษยา 0,น.,ริษยา.
ฤษี 0,น.,"ฤๅษี, นักบวชพวกหนึ่ง มีมาก่อนพุทธกาล สละบ้านเรือนออกไปบำเพ็ญพรตแสวงหาความสงบ."
ฤๅ 0,น.,เป็นรูปสระในภาษาสันสกฤต ซึ่งเป็นเสียงยาวของ ฤ เมื่อไทยนำมาใช้ออกเสียงเป็น รือ รี เช่น ฤๅษี [รือสี] ตฤๅ [ตฺรี].
ฤๅ 1,ว.,"หรือ, อะไร, ไม่ใช่"
ฤๅ 2,ว.,โดยมากใช้ในบทร้อยกรอง เช่น กวีฤๅแล้งแหล่งสยาม.
ฤๅชุ 0,ว.,"ตรง, ซื่อ."
ฤๅชุตา 0,น.,"ความตรง, ความซื่อสัตย์."
ฤๅดี 0,น.,"ฤดี, ความยินดี, ใจ."
ฤๅทัย 0,น.,"ฤทัย, ใจ, ความรู้สึก."
ฤๅเยา 0,ว.,"มิใช่เยา, มิใช่น้อย, ไม่เยา."
