คำ,POS,ความหมาย
ล 0,?,พยัญชนะตัวที่ ๓๖ เรียกว่า ลอ ลิง เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น กาล พาล ฟุตบอล.
ลก 0,ว.,หก
ลก 1,ว.,"เรียกลูกชายคนที่ ๖ ว่า ลก, คู่กับ ลูกหญิงคนที่ ๖ ว่า อก."
ล่ก ๆ 0,ว.,อาการที่ทำอย่างรีบร้อนหรืออย่างลวก ๆ เช่น ทำงานล่ก ๆ เพื่อให้ทันเวลา ทำงานล่ก ๆ เอาดีไม่ได้.
ลการ 0,น.,ใบเรือ.
ลกุจ 0,น.,มะหาด.
ลคุฑ 0,น.,ไม้ตะบอง.
ลคุฬ 0,น.,ไม้ตะบอง.
ลฆุ 0,ว.,"เบา, เร็ว."
ลฆุจิต 0,ว.,มีใจเบา.
ลฆุภาพ 0,น.,"ความเบา, ความสะดวก, ความง่ายดาย."
ลฆุโภชน์ 0,น.,"เครื่องว่าง, อาหารว่าง."
ลง 0,ก.,"ไปสู่เบื้องตํ่าหรือไปสู่เบื้องที่ถือว่าตรงข้ามกับขึ้น เช่น นํ้าลง เครื่องบินลง, ไปสู่พื้นดินและพื้นอื่น ๆ เช่น ลงดิน ลงบันได ลงเรือ"
ลง 1,ก.,เอาเครื่องมือจับสัตว์นํ้าวางขึง หรือปัก เพื่อจับสัตว์นํ้า เช่น ลงข่าย ลงลอบ ลงอวน ลงเบ็ด
ลง 2,ก.,จด เช่น ลงบัญชี
ลง 3,ก.,ทำพิธีจารึกมนตร์หรือสิ่งศักดิ์สิทธิ์ เช่น ลงเลขลงยันต์ ลงนะหน้าทอง ลงกระหม่อม
ลง 4,ก.,ยอม เช่น ผู้น้อยต้องลงผู้ใหญ่
ลง 5,ก.,ตีพิมพ์ออกเผยแพร่ เช่น เอาข่าวไปให้หนังสือพิมพ์ลง ลงแจ้งความ
ลง 6,ก.,ตกลงปลงใจแล้วก็ปักใจถือเอาเป็นแน่ เช่น ลงได้ทำเป็นไม่ทิ้ง ลงสู้แล้วไม่ถอย
ลง 7,ก.,ปลูก เช่น ลงมะพร้าว ลงลิ้นจี่
ลง 8,ก.,ลด เช่น ราคาทองลง ค่าเงินดอลลาร์ลง
ลง 9,ก.,ตก เช่น นํ้าค้างลง ฝนลง หมอกลง
ลง 10,ก.,เฆี่ยน เช่น ลงไม้ เอาหวายลงหลัง
ลง 11,ก.,ท้องเดิน เช่น ทั้งลงทั้งราก.
ลง 12,ว.,อาการที่ไปสู่เบื้องตํ่า เช่น ไหลลง เลื่อนลง ถอยลง
ลง 13,ว.,มากกว่าเดิม เช่น เลวลง ผอมลง ถูกลง สั้นลง.
ล่ง 0,ว.,"โล่ง, ว่าง, เปล่า, ไม่มีเครื่องกำบัง."
ลงกระหม่อม 0,ก.,ลงยันต์บนกระหม่อม แล้วเสกเป่าให้อยู่ยงคงกระพันเป็นต้น.
ลงกลอน 0,ก.,"ใส่กลอน, เดิมหมายถึงใส่กลอนล่าง."
ลงกา 0,น.,ชื่อเมืองของทศกัณฐ์ในเรื่องรามเกียรติ์.
ลงโกศ 0,ก.,"บรรจุศพลงในโกศ, เข้าโกศ ก็ว่า."
ลงขัน 0,ก.,"เอาเงินใส่ลงในขันเป็นต้นเพื่อช่วยในงานต่าง ๆ เช่น งานตัดจุก, ช่วยกันออกเงินเพื่อการใดการหนึ่ง เช่น ลงขันซื้อตู้เย็นไว้ใช้เป็นส่วนกลาง ลงขันเพื่อรวมเงินเป็นค่าอาหารในเวลาเดินทาง."
ลงข่าว 0,ก.,ตีพิมพ์ข่าวออกเผยแพร่.
ลงเข็ม 0,ก.,"ตอกเสาเข็มเพื่อฝังเป็นรากสิ่งก่อสร้างกันทรุด, ตอกเข็ม ก็ว่า."
ลงแขก 0,ก.,ร่วมแรงเพื่อนบ้านมาช่วยกันทำงานเช่นดำนา เกี่ยวข้าว ให้ลุล่วงเร็วขึ้นโดยไม่รับค่าจ้าง และผลัดเปลี่ยนช่วยกันไปตามความจำเป็นของแต่ละบ้าน
ลงแขก 1,ก.,รุมกันข่มขืนกระทำชำเราหญิง.
ลงคราม 0,ก.,เอาผ้าขาวที่ซักแล้วชุบลงในน้ำผสมครามอ่อน ๆ ก่อนนำขึ้นตาก เพื่อให้ผ้าขาวนวลเมื่อแห้งแล้ว.
ลงความเห็น 0,ก.,มีความเห็นร่วมกัน.
ลงคอ 0,ว.,อาการที่ทำสิ่งที่ขัดต่อคุณธรรมหรือศีลธรรมเป็นต้นโดยไม่ตะขิดตะขวง เช่น แม่หาเงินมาด้วยความยากลำบากลูกยังขโมยได้ลงคอ เด็กตัวเท่านี้แม่ยังตีได้ลงคอ.
ลงคะแนน 0,ก.,แสดงความเห็นโดยลงเป็นคะแนน.
ลงเงิน 0,ก.,เอาเงินมารวมกันเพื่อทำกิจการต่าง ๆ เช่น ลงเงินกันจัดรถไปทัศนาจร.
ลงจอบ 0,ก.,ใช้จอบขุดดิน.
ลงจอบลงเสียม 0,ก.,ใช้จอบขุดดิน.
ลงชื่อ 0,ก.,"เขียนชื่อ, ลงลายมือชื่อ, ลงนาม ก็ว่า."
ลงดาบ 0,ก.,ประหารชีวิตด้วยการใช้ดาบฟันคอให้ขาด เช่น เพชฌฆาตลงดาบนักโทษ.
ลงแดง 0,ก.,ท้องเดินและถ่ายเป็นเลือดออกมามาก (มักใช้แก่คนอดฝิ่น).
ลงตัว 0,ว.,ไม่มีเศษ ในคำว่า หารลงตัว.
ลงตัว 1,ก.,พอดี เช่น เรื่องนี้ลงตัวแล้ว.
ลงถม 0,ก.,"ใช้น้ำยาเคมีใส่ลงในพื้นที่เป็นร่องระหว่างลวดลายในเครื่องเงิน แล้วใช้ความร้อนอบให้น้ำยาติดและให้พื้นเป็นสีดำ, ถม ถมดำ หรือ ถมยา ก็เรียก."
ลงถมยาสี 0,ก.,"ใช้น้ำยาเคมีใส่ลงในพื้นที่เป็นร่องระหว่างลวดลายในเครื่องเงิน แล้วใช้ความร้อนอบให้น้ำยาติดและให้พื้นเป็นสีต่าง ๆ, เรียกสั้น ๆ ว่า ลงยา."
ลงทอง 0,ก.,ปิดทองตามลวดลาย เช่น ลวดลายแกะไม้ลงทอง.
ลงท้อง 0,ก.,ท้องเดิน.
ลงทะเบียน 0,ก.,"จดเป็นหลักฐาน เช่น จดหมายลงทะเบียน, ลงชื่อรายงานตัวเป็นหลักฐาน เช่น ลงทะเบียนเข้าร่วมสัมมนา, ลงชื่อแสดงความจำนงเข้าเรียน เช่น ลงทะเบียนเรียนภาคที่ ๑."
ลงทัณฑ์ 0,ก.,ลงโทษผู้กระทำผิดต่อวินัยทหารหรือตำรวจ.
