คำ,POS,ความหมาย
ว 0,?,"พยัญชนะตัวที่ ๓๗ เรียกว่า วอ แหวน เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้นและใช้เป็นตัวสะกดในมาตราเกอวหรือแม่เกอว เช่น กล่าว นิ้ว, ใช้ประสมกับรูปไม้หันอากาศเป็นสระอัวในคำที่ไม่มีตัวสะกด เช่น ตัว มัว, ใช้เป็นสระอัวในคำที่มีตัวสะกด เช่น สวย รวม."
วก 0,ก.,"หักเลี้ยวกลับ เช่น รถเลยที่หมายแล้ววกกลับ, ในบทกลอนใช้แผลงเป็น พก ก็มี."
วกวน 0,ก.,"ลดเลี้ยวไปมา, คดไปคดมา, เช่น ทางเข้าออกวกวน, อ้อมไปอ้อมมา, ย้อนไปย้อนมา, เช่น ให้การวกวน เขียนหนังสือวกวนอ่านไม่เข้าใจ."
วกะ 0,น.,หมาป่า.
วกุละ 0,น.,ต้นพิกุล.
วง 0,น.,"รูปที่มีเส้นที่โค้งเข้ามาบรรจบกัน ล้อมรอบเป็นขอบเขตสิ่งใดสิ่งหนึ่ง เช่น วงกลม วงรี, โดยปริยายหมายถึงลักษณะที่รวมกันเป็นหมู่เป็นกลุ่ม เช่น วงราชการ วงดนตรี"
วง 1,น.,"ส่วนสัดของมือที่ใช้ในการรำ, คู่กับ เหลี่ยม คือ ส่วนสัดของขาที่ใช้ในการรำ"
วง 2,น.,ลักษณนามใช้เรียกของที่เป็นวง เช่น แหวนวงหนึ่ง หรืออาการที่คนหลาย ๆ คนนั่งหรือยืนล้อมกันเป็นวง เช่น ไพ่วงหนึ่ง ระบำชาวไร่ ๒ วง นั่งล้อมวงกินข้าว ๓ วง หรือการเล่นที่มีคนหลาย ๆ คนร่วมกันเป็นชุดเป็นคณะ เช่น เครื่องสายวงหนึ่ง แตรวงวงหนึ่ง ดนตรี ๒ วงประชันกัน.
วง 3,ก.,"ล้อมรอบ, ทำเครื่องหมายเป็นรูปวงอย่างเอาดินสอเขียนเป็นรูปวงหมายไว้ หรือใช้ด้ายหรือเชือกอ้อมมาบรรจบกัน เช่น วงสายสิญจน์."
วงก์ 0,น.,เบ็ด.
วงก์ 1,ว.,"คด, โค้ง, ลดเลี้ยว"
วงก์ 2,ว.,"คดโกง, ไม่ซื่อตรง."
วงกต 0,น.,"ชื่อภูเขาลูกหนึ่งในเรื่องมหาเวสสันดรชาดก ซึ่งมีทางเข้าออกวกวนอาจทำให้หลงทางได้, เรียกสั้น ๆ ว่า เขาวงก์ ก็มี, เรียกสิ่งที่ทำคล้ายคลึงเช่นนั้นในงานเทศน์มหาชาติหรืองานรื่นเริงอื่น ๆ เพื่อความสนุก ว่า เขาวงกต, โดยปริยายหมายถึงวกวนหาทางออกไม่ได้."
วงกบ 0,น.,กรอบประตูหรือหน้าต่าง.
วงกลม 0,น.,รูปวงที่กลมรอบมีรัศมีจากจุดศูนย์กลางไปถึงขอบมีขนาดเท่ากันหมด
วงกลม 1,น.,รูปที่เกิดจากเซตของจุดบนระนาบเซตหนึ่งที่อยู่ห่างจากจุดศูนย์กลางเป็นระยะเท่ากัน.
วงการ 0,น.,กลุ่มบุคคลที่มีอาชีพหรือความสนใจอย่างเดียวหรือในแนวเดียวกัน เช่น วงการธุรกิจ วงการบันเทิง วงการครู.
วงแขน 0,น.,อ้อมแขน เช่น โอบไว้ในวงแขน ได้ถ้วยรางวัลมา กอดไว้ในวงแขนไม่ยอมวาง.
วงเครื่องสาย 0,น.,ชื่อวงดนตรีไทยประเภทหนึ่ง ประกอบด้วยเครื่องดนตรีที่ใช้สายเป็นต้นกำเนิดของเสียง เช่น ซอ จะเข้ คุมจังหวะด้วยโทน ฉิ่ง และรำมะนา.
วงเครื่องสายผสม 0,น.,ชื่อวงดนตรีประเภทหนึ่ง ใช้เครื่องสายยืนพื้น แต่นำเอาเครื่องดนตรีชนิดอื่นมาผสมด้วย เช่น นำออร์แกนมาผสมเรียกว่า เครื่องสายผสมออร์แกน นำเปียโนมาผสม เรียกว่า เครื่องสายผสมเปียโน.
วงเงิน 0,น.,"จำนวนเงินที่กำหนดไว้เพื่อทำสิ่งใดสิ่งหนึ่ง เช่น ค้ำประกันในวงเงิน ๒๐,๐๐๐ บาท ซื้อของได้ในวงเงิน ๑,๐๐๐ บาทเท่านั้น."
วงจร 0,น.,"เส้นทางที่กระแสไฟฟ้าเคลื่อนที่ผ่านไปครบรอบ, โดยปริยายหมายถึงสิ่งที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น วงจรชีวิต."
วงจรชีวิต 0,น.,"การเวียนว่ายตายเกิด, ลักษณาการของชีวิตที่มีพัฒนาการเป็นขั้น ๆ ไปตามลำดับและในที่สุดก็จะเวียนมาบรรจบ ณ จุดเริ่มต้นใหม่ แล้วเวียนซ้ำต่อไปอีก เช่น ผีเสื้อออกไข่ แล้วไข่กลายเป็นตัวหนอน หนอนกลายเป็นดักแด้ ดักแด้กลายเป็นผีเสื้อ แล้วผีเสื้อก็ออกไข่ ฯลฯ."
วงจรปิด 0,น.,วงจรไฟฟ้าที่มีกระแสไฟฟ้ากำลังเคลื่อนที่อยู่ครบวงจร.
วงจรเปิด 0,น.,วงจรไฟฟ้าที่กระแสไฟฟ้าเคลื่อนที่ไม่ครบวงจร.
วงเดือน 0,น.,ชื่อเลื่อยชนิดหนึ่ง ลักษณะเป็นแผ่นกลม มีฟันอยู่โดยรอบ.
วงนอก 0,น.,"บุคคลหรือกลุ่มบุคคลที่ไม่มีส่วนเกี่ยวข้องกับกิจการหรือเรื่องใดเรื่องหนึ่งโดยตรง เช่น ผู้ที่ไม่ใช่สมาชิกถือเป็นคนวงนอก, ตรงข้ามกับ วงใน."
วงใน 0,น.,"บุคคลหรือกลุ่มคนที่เกี่ยวข้องกับกิจการหรือเรื่องใดเรื่องหนึ่งโดยตรง เช่น ข่าวนี้รู้มาจากวงในของราชการ เรื่องนี้พูดกันแต่วงในของคณะรัฐมนตรี, ตรงข้ามกับ วงนอก."
วงปี่พาทย์ดึกดำบรรพ์ 0,น.,ชื่อวงปี่พาทย์ประสมชนิดหนึ่งที่นำเครื่องดนตรีที่มีเสียงแหลมออกไปทำให้เกิดเสียงทุ้มนุ่มนวล เกิดขึ้นในสมัยรัชกาลที่ ๕.
วงพาด 0,น.,รั้วสี่เหลี่ยมภายในเพนียด ใช้ล้อมช้าง ทำด้วยซุงเป็นต้น ๆ ปักเรียงรายเว้นระยะพอให้คนลอดเข้าออกได้ มีไม้ตีพาดเสาเหล่านั้นให้ยึดติดกันโดยรอบ.
วงมโหรี 0,น.,ชื่อวงดนตรีไทยประเภทหนึ่ง ประกอบด้วยเครื่องดนตรีผสมทั้งดีด สี ตี เป่า ใช้บรรเลงเพื่อขับกล่อมมี ๕ แบบ คือ ๑. วงมโหรีเครื่องสี่ ๒. วงมโหรีเครื่องหก ๓. วงมโหรีเครื่องเดี่ยว ๔. วงมโหรีเครื่องคู่ ๕. วงมโหรีเครื่องใหญ่
วงรี 0,น.,รูปวงที่กลมเรียวอย่างลูกสมอหรือเมล็ดข้าวสาร
วงรี 1,น.,รูปคล้ายรูปไข่ที่เกิดจากเซตของจุดบนระนาบเซตหนึ่ง โดยผลบวกของระยะจากจุดแต่ละจุดไปยังจุดตรึงอยู่กับที่ ๒ จุด มีค่าคงตัวเสมอ.
วงเล็บ 0,น.,"เครื่องหมายวรรคตอนรูปดังนี้ ( ) สําหรับใช้กันข้อความที่ขยายหรืออธิบายจากข้อความอื่น และข้อความในระหว่างวงเล็บนั้นจะอ่านหรือเว้นเสียก็ได้ ไม่ทำให้เนื้อความนอกจากนั้นเสียไป เช่น จึงสรุปได้ว่ามนุษย์หรือขันธ์ ๕ นั้น ได้สร้างโลภะ (ความอยากได้) โทสะ (ความโกรธ) และโมหะ (ความหลง) ให้แก่ตัวเองทั้งสิ้น, ใช้กันข้อความซึ่งบอกที่มาของคำหรือข้อความ เช่น สิลา น. หิน, ก้อนหิน."
วงเล็บ 1,น.,"ใช้กันนามเต็มหรือบรรดาศักดิ์ที่เขียนใต้ลายมือชื่อ เช่น+C27 ใช้กันตัวอักษรหรือตัวเลขที่เป็นหัวข้อหรือที่เป็นเลขหมายบอกเชิงอรรถ ส่วนตัวอักษรหรือตัวเลขที่เป็นหัวข้ออาจใช้เพียงเครื่องหมายวงเล็บปิดก็ได้ เช่น วันรุ่งแรมสามค่ำเป็นสำคัญ (๑) อภิวันท์ลาบาทพระชินวร ข้อ (ก) ข้อ ๑), ใช้ในวิชาคณิตศาสตร์และสูตรทางวิทยาศาสตร์เพื่อกั้นตัวเลขหรือสัญลักษณ์ไว้เป็นกลุ่ม เช่น a^2 - b^2 = (a + b)(a - b), Al_2(SO_4)_3, นขลิขิต ก็ว่า."
วงเล็บปีกกา 0,น.,"เครื่องหมายวรรคตอนรูปดังนี้ { } สำหรับใช้ควงคำหรือข้อความซึ่งอยู่คนละบรรทัดเข้าด้วยกันเพื่อให้รู้ว่าเป็นกลุ่มเดียวกันหรือเชื่อมโยงกัน อาจใช้เพียงข้างใดข้างหนึ่งก็ได้ เช่น+C163 ใช้ในวิชาคณิตศาสตร์ เพื่อกั้นสมาชิกของเซตหรือกั้นกลุ่มตัวเลขหรือกลุ่มสัญลักษณ์ที่มีวงเล็บแบบอื่นอยู่แล้วไว้เป็นกลุ่มเดียวกัน เช่น A = {2, 4, 6, 8}, 2x - 5{7 - (x - 6) + 3x} - 28 = 39."
