คำ,POS,ความหมาย
ศ 0,?,พยัญชนะตัวที่ ๓๘ เรียกว่า ศอ ศาลา เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ปราศจาก อัศวิน อากาศ.
ศก 0,น.,ผม เช่น พระศกพระพุทธรูป.
ศก 1,น.,"ระบบการคำนวณนับเวลาเรียงลำดับกันเป็นปี ๆ โดยถือเอาเหตุการณ์ใดเหตุการณ์หนึ่งเป็นจุดเริ่มต้น ดังในคำว่า รัตนโกสินทรศก ซึ่งถือเอาปีเริ่มสร้างกรุงรัตนโกสินทร์เป็นจุดเริ่มต้น, บางทีก็ใช้เป็นคำย่อของศักราช เช่น พุทธศก คริสต์ศก"
ศก 2,น.,คำเรียกปีหนึ่ง ๆ ของจุลศักราช เพื่อให้ทราบว่าเป็นปีที่ลงท้ายด้วย ๑ ๒ ... หรือ ๐ เช่น ถ้าลงท้ายด้วย ๑ เรียกว่า เอกศก ลงท้ายด้วย ๒ เรียกว่า โทศก ... ลงท้ายด้วย ๐ เรียกว่า สัมฤทธิศก
ศก 3,น.,ปี เช่น ศกนี้ ศกหน้า วันเถลิงศก.
ศกฏะ 0,น.,เกวียน.
ศกละ 0,น.,"ส่วน, ซีก."
ศกุน 0,น.,นก.
ศกุนต์ 0,น.,นก.
ศกุนิ 0,น.,นก.
ศกุนี 0,น.,นกตัวเมีย.
ศงกา 0,น.,ความสงสัย.
ศจี 0,น.,ชายาพระอินทร์.
ศฐะ 0,น.,"คนโกง, คนล่อลวง"
ศฐะ 1,น.,คนโอ้อวด.
ศดก 0,น.,หมวด ๑๐๐.
ศต- 0,น.,ร้อย (๑๐๐).
ศตกะ 0,น.,"หมวด ๑๐๐, มีจำนวน ๑๐๐, ใช้ ศดก ก็มี."
ศตบาท 0,น.,"ตะขาบ, ตะเข็บ, กิ้งกือ."
ศตปที 0,น.,"ตะขาบ, ตะเข็บ, กิ้งกือ."
ศตพรรษ 0,น.,รอบ ๑๐๐ ปี.
ศตภิษัช 0,น.,"ดาวฤกษ์ที่ ๒๔ มี ๔ ดวง เห็นเป็นรูปทิมทองหรือมังกร, ดาวพิมพ์ทอง หรือ ดาวยักษ์ ก็เรียก."
ศตภิษัช 1,น.,"ดาวฤกษ์ที่ ๒๔ มี ๔ ดวง เห็นเป็นรูปทิมทองหรือมังกร, ดาวพิมพ์ทอง หรือ ดาวยักษ์ ก็เรียก."
ศตวรรษ 0,น.,รอบ ๑๐๐ ปี.
ศตสังวัตสร์ 0,น.,เวลานานชั่ว ๑๐๐ ปี.
ศตะ 0,น.,ร้อย (๑๐๐).
ศตัฆนี 0,น.,อาวุธอย่างร้ายแรงฆ่าคนได้ทีละ ๑๐๐ คน.
ศนิ 0,น.,ดาวพระเสาร์.
ศนิวาร 0,น.,"วันเสาร์, โสรวาร ก็ว่า."
ศพ 0,น.,"ซากผี, ร่างคนที่ตายแล้ว."
ศพละ 0,ว.,"หลายสี, ด่าง, ลาย, พร้อย, กระ"
ศพละ 1,ว.,"วุ่น, รำคาญ."
ศมนะ 0,น.,การทำให้สงบ.
ศมะ 0,น.,"ความสงบ, ความนิ่ง."
ศยนะ 0,น.,"การนอน, การหลับ"
ศยนะ 1,น.,"ที่นอน, ฟูก, เบาะ."
ศยะ 0,ก.,นอน
ศยะ 1,ก.,หลับ
ศยะ 2,ก.,"อยู่, พักผ่อน, มักใช้เป็นส่วนท้ายสมาส."
ศยาม 0,ว.,"ดำ, คลํ้า."
ศยามล 0,น.,สีดำ.
ศยามล 1,ว.,"ผิวคลํ้า, ดำ."
ศร 0,น.,"อาวุธชนิดหนึ่ง ประกอบด้วยคันสำหรับยิง เรียกว่า คันศร กับลูกที่มีปลายแหลม เรียกว่า ลูกศร, เรียกสายคันศร ว่า สายศร, เรียกอาการที่ยิงลูกศรออกไป ว่า แผลงศร หรือ ยิงศร"
ศร 1,น.,ปืน.
ศรนารายณ์ 0,น.,"ชื่อไม้ล้มลุกชนิด Agave sisalana Perrine ในวงศ์ Agavaceae ใบใหญ่หนาและแข็ง ปลายเป็นหนามแหลม ใบให้ใยใช้ทำสิ่งทอได้, สับปะรดเทศ ก็เรียก."
ศรภะ 0,น.,สัตว์ในนิยาย ว่ากันว่ามี ๘ เท้า มีแรงมากกว่าช้างและสิงโต.
ศรมณะ 0,น.,"ผู้ปฏิบัติบำเพ็ญพรต, พระสงฆ์."
ศรรกรา 0,น.,ก้อนกรวด
ศรรกรา 1,น.,นํ้าตาลกรวด.
ศรวณะ 0,น.,"ดาวฤกษ์ที่ ๒๒ มี ๓ ดวง เห็นเป็นรูปหามผีหรือโลง, ดาวหลักชัย หรือ ดาวพระฤๅษี ก็เรียก."
ศรวณะ 1,น.,"ดาวฤกษ์ที่ ๒๒ มี ๓ ดวง เห็นเป็นรูปหามผีหรือโลง, ดาวหลักชัย หรือ ดาวพระฤๅษี ก็เรียก."
ศรวณีย์ 0,ว.,"พึงได้ยิน, ควรได้ยิน"
ศรวณีย์ 1,ว.,"น่าฟัง, น่าชม."
ศรวิษฐา 0,น.,"ชื่อหนึ่งของดาวฤกษ์ธนิษฐา มี ๔ ดวง, ดาวกา ดาวไซ ดาวเศรษฐี หรือ ดาวธนิษฐะ ก็เรียก."
ศรศิลป์ไม่กินกัน 0,ก.,ทำอันตรายกันไม่ได้ เช่น ถ้อยทีศรศิลป์ไม่กินกัน (รามเกียรติ์ ร. ๖)
ศรศิลป์ไม่กินกัน 1,ก.,"ไม่ถูกกัน, ไม่ลงรอยกัน, ไม่ชอบหน้ากัน, เช่น พี่น้องคู่นี้ศรศิลป์ไม่กินกัน เจอหน้ากันเมื่อใดต้องทะเลาะกันเมื่อนั้น."
ศระวณะ 0,น.,"ดาวฤกษ์ที่ ๒๒ มี ๓ ดวง เห็นเป็นรูปหามผีหรือโลง, ดาวหลักชัย หรือ ดาวพระฤๅษี ก็เรียก."
ศระวณะ 1,น.,"ดาวฤกษ์ที่ ๒๒ มี ๓ ดวง เห็นเป็นรูปหามผีหรือโลง, ดาวหลักชัย หรือ ดาวพระฤๅษี ก็เรียก."
ศรัณย์ 0,ว.,ซึ่งเป็นที่พึ่ง.
ศรัณยู 0,น.,ผู้เป็นที่พึ่ง.
ศรัถนะ 0,น.,"การปล่อย, การหย่อน."
ศรัท 0,น.,ฤดูสารท.
ศรัทธา 0,น.,"ความเชื่อ, ความเลื่อมใส, เช่น สิ้นศรัทธา ฉันมีศรัทธาในความดีของเขา บางทีก็ใช้เข้าคู่กับคำ ประสาทะ เป็น ศรัทธาประสาทะ."
ศรัทธา 1,ก.,"เชื่อ, เลื่อมใส, เช่น เขาศรัทธาในการรักษาแบบแพทย์แผนโบราณ."
ศรัย 0,น.,"ที่พักพิง, ที่พึ่ง, ที่อาศัย, ที่ร่มเย็น."
ศราทธ์ 0,น.,การทำบุญให้แก่ญาติผู้ล่วงลับไปแล้ว.
ศราทธ- 0,น.,การทำบุญให้แก่ญาติผู้ล่วงลับไปแล้ว.
ศราทธพรต 0,น.,พิธีทำบุญให้แก่ญาติผู้ล่วงลับไปแล้ว.
ศราพ 0,น.,"การได้ยิน, การฟัง."
ศราพก 0,น.,"สาวก, ศิษย์."
ศรายุธ 0,น.,อาวุธคือศร.
ศราวก 0,น.,"สาวก, ศิษย์."
ศราวณะ 0,น.,ชื่อเดือนที่ ๙ แห่งจันทรคติ.
ศราวณะ 1,ว.,เกี่ยวกับดาวศรวณะ.
ศราวรณ์ 0,น.,เครื่องกำบังลูกศร คือ โล่.
ศราสน์ 0,น.,คันศร.
ศรี 0,น.,"มิ่ง, สิริมงคล, ความรุ่งเรือง, ความสว่างสุกใส, ความงาม, ความเจริญ, เช่น ศรีบ้าน ศรีเรือน ศรีเมือง, ใช้นำหน้าคำบางคำเป็นการยกย่อง เช่น พระศรีรัตนตรัย วัดพระศรีรัตนศาสดาราม."
ศรี 1,น.,พลู. (ม.)
ศรี 2,น.,หมากพลู เรียกว่า พระศรี.
ศรี 3,น.,ผู้หญิง.
ศรี 4,น.,ลักษณนามใช้แก่คน เช่น พระปิตุราชมาตุรงค์ทรงพระสรวล เห็นสมควรคู่ครองกันสองศรี (อภัย).
ศรีตรัง 0,น.,ชื่อไม้ต้น ๒ ชนิดในสกุล Jacaranda วงศ์ Bignoniaceae ต้นอาจสูงได้ถึง ๑๐ เมตร ใบเป็นฝอยเล็ก คือ ชนิด J. filicifolia (G. Anderson) D. Don ดอกสีม่วงปนน้ำเงิน และชนิด J. mimosifolia D. Don ดอกสีม่วง.
ศรียะลา 0,น.,"ชื่อไม้ต้นหลายชนิดในสกุล Saraca วงศ์ Leguminosae เช่น อโศกนํ้า ( S. indica L.) ดอกสีส้มหรือแสด, โสก ก็เรียก, อโศกเหลือง ( S. thaipingensis Cantley ex Prain) ดอกสีเหลือง, โศก หรือ ศรียะลา ก็เรียก."
ศรีสังคีต 0,น.,ชื่อเพลงไทยประเภทเพลงโหมโรง.
ศรุตะ 0,ก.,"ได้ยิน, ได้ฟัง"
ศรุตะ 1,ก.,"มีชื่อเสียง, มีผู้รู้จัก."
ศรุติ 0,น.,"สิ่งที่ได้ยิน, กิตติศัพท์"
ศรุติ 1,น.,พระเวท.
ศฤคาล 0,น.,หมาจิ้งจอก.
ศฤงค์ 0,น.,เขาสัตว์
ศฤงค์ 1,น.,ยอดของสถานที่ต่าง ๆ.
ศฤงคาร 0,น.,"สิ่งให้เกิดความรัก, บริวารหญิงผู้บำเรอความรัก เช่น สาวศฤงคารคนใช้ (ม. คำหลวง ทานกัณฑ์)."
ศฤงคารรส 0,น.,รส ๑ ใน ๙ รสของวรรณคดี มีเนื้อเรื่องเกี่ยวกับความรัก เช่น เรื่องลิลิตพระลอมีเนื้อเรื่องเป็นศฤงคารรส.
ศฤงคาริน 0,ว.,ผู้มีศฤงคาร.
ศฤงคารี 0,ว.,ผู้มีศฤงคาร.
ศลภะ 0,น.,แมลงมีปีก.
ศลัถ 0,น.,"ลุ่ย, หลุด"
ศลัถ 1,น.,"หลวม, ไม่แน่น."
ศลิษฏ์ 0,ว.,"ติด, แนบ, เกี่ยวข้อง."
ศลิษา 0,น.,การกอดรัด.
ศวศุระ 0,น.,"พ่อตา, พ่อผัว."
ศวะ 0,น.,ศพ.
ศวัส 0,น.,วันพรุ่งนี้.
ศวัสนะ 0,น.,การหายใจ.
ศวา 0,น.,หมา.
ศวาน 0,น.,หมา.
ศวาสะ 0,น.,"การหายใจ, ลมหายใจ."
ศศ- 0,น.,"กระต่าย, รอยดำที่ปรากฏในดวงจันทร์ ซึ่งถือกันว่าคล้ายกระต่าย."
ศศธร 0,น.,ทรงไว้ซึ่งรูปกระต่าย คือ ดวงจันทร์.
ศศพินทุ์ 0,น.,ดวงจันทร์.
ศศลักษณ์ 0,น.,ดวงจันทร์.
ศศะ 0,น.,"กระต่าย, รอยดำที่ปรากฏในดวงจันทร์ ซึ่งถือกันว่าคล้ายกระต่าย."
ศศิ 0,น.,“ซึ่งมีกระต่าย” คือ ดวงจันทร์.
ศศิ 1,น.,ชื่อยาม ๑ ใน ๘ ยามในเวลากลางคืน.(ดู ยาม).
ศศิกษัย 0,น.,พระจันทร์แรม.
ศศิขัณฑ์ 0,น.,เสี้ยวพระจันทร์.
ศศิเคราะห์ 0,น.,จันทรคราส.
ศศิธร 0,น.,ดวงจันทร์.
ศศิน 0,น.,“ซึ่งมีกระต่าย” คือ ดวงจันทร์.
ศศิมณฑล 0,น.,ดวงพระจันทร์.
ศศิวิมล 0,ว.,บริสุทธิ์เพียงจันทร์.
ศศี 0,น.,“ซึ่งมีกระต่าย” คือ ดวงจันทร์.
ศสา 0,น.,แตงกวา.
ศอ 0,น.,"คอ, ราชาศัพท์ ว่า พระศอ."
ศอก 0,น.,"ส่วนของแขน ตรงข้ามกับข้อพับ, ข้อศอก ก็ว่า"
ศอก 1,น.,ช่วงของแขนตั้งแต่ปลายสุดของข้อพับไปถึงปลายนิ้วกลาง
ศอก 2,น.,มาตราวัดตามวิธีประเพณี ๑ ศอก เท่ากับ ๒ คืบ.
ศอกกลับ 0,ก.,หมุนตัวตีศอกทางด้านหลัง เป็นท่ามวยไทยท่าหนึ่ง
ศอกกลับ 1,ก.,"โดยปริยายหมายความว่า ย้อนว่าสวนคำ, พูดตอบสวนควัน, เช่น พอเขาว่ามาก็ศอกกลับไป."
ศอกกำ 0,น.,ระยะตั้งแต่ข้อศอกจนสุดกำมือ โบราณใช้เป็นหน่วยวัดระยะ เช่น ๔ ศอกกับศอกกำมาหนึ่ง.
ศอกกำมา 0,น.,ระยะตั้งแต่ข้อศอกจนสุดกำมือ โบราณใช้เป็นหน่วยวัดระยะ เช่น ๔ ศอกกับศอกกำมาหนึ่ง.
ศอกคู้ 0,น.,"ชื่อหนึ่งของดาวฤกษ์หัสตะ มี ๕ ดวง, ดาวศีรษะช้าง ดาวหัสต หรือ ดาวหัฏฐะ ก็เรียก."
ศอกตูม 0,น.,ระยะตั้งแต่ข้อศอกจนสุดกำมือ โบราณใช้เป็นหน่วยวัดระยะ เช่น ๔ ศอกกับศอกกำมาหนึ่ง.
ศักดา 0,น.,อำนาจ เช่น อวดศักดา แผลงศักดา.
ศักดิ์ 0,น.,"อำนาจ, ความสามารถ, เช่น มีศักดิ์สูง ถือศักดิ์"
ศักดิ์ 1,น.,กำลัง
ศักดิ์ 2,น.,ฐานะ เช่น มีศักดิ์และสิทธิแห่งปริญญานี้ทุกประการ
ศักดิ์ 3,น.,"หอก, หลาว."
ศักดิ- 0,น.,"อำนาจ, ความสามารถ, เช่น มีศักดิ์สูง ถือศักดิ์"
ศักดิ- 1,น.,กำลัง
ศักดิ- 2,น.,ฐานะ เช่น มีศักดิ์และสิทธิแห่งปริญญานี้ทุกประการ
ศักดิ- 3,น.,"หอก, หลาว."
ศักดินา 0,น.,อำนาจหรือสิทธิที่พระเจ้าแผ่นดินพระราชทานให้แก่ไพร่ฟ้าข้าแผ่นดินตามศักดิ์ของแต่ละคน เดิมเป็นการถือครองที่ดินคิดเป็นจำนวนไร่ ต่อมาถือเป็นการกำหนดสถานะ สิทธิ หน้าที่ และความรับผิดชอบของคนในสังคม เช่น มหาอุปราช มีศักดินา ๑๐๐๐๐๐ เจ้าพระยาจักรี มีศักดินา ๑๐๐๐๐ ภิกษุรู้ธรรม เสมอนา ๖๐๐ ไพร่มีครัว มีศักดินา ๒๐ ยาจก วณิพก ทาส ลูกทาส มีศักดินา ๕ (สามดวง)
ศักดินา 1,น.,คำประชดเรียกชนชั้นสูงหรือผู้ดีมีเงินว่าพวกศักดินา.
