คำ,POS,ความหมาย
ษ 0,?,พยัญชนะตัวที่ ๓๙ เรียกว่า ษอ ฤๅษี เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น เศรษฐี พิษ อังกฤษ.
ษมา 0,ก.,"กล่าวคำขอโทษ, ขมา ก็ว่า."
ษมา 1,น.,"การยกโทษให้เมื่ออีกฝ่ายหนึ่งยอมรับผิด, ขมา ก็ว่า."
ษมายุมแปลง 0,น.,เครื่องขมาโทษที่ชายนำไปคำนับพ่อแม่หญิงเพื่อขอโทษในการที่ลักพาลูกสาวท่านไป.
ษัฏ 0,ว.,หก. (ใช้ในคำสมาส เมื่อนำหน้าพยัญชนะพวกอโฆษะ).
ษัฏกะ 0,น.,หมวด ๖ คือรวมสิ่งละ ๖.
ษัฑ 0,ว.,หก. (ใช้ในคำสมาส เมื่อนำหน้าพยัญชนะพวกโฆษะ เว้นจาก ณ ม ย).
ษัณ 0,ว.,หก. (ใช้ในคำสมาส เมื่อนำหน้าตัว ณ ม ย).
ษัษ 0,ว.,หก. (คำสมาสใช้ ษัฏ บ้าง ษัฑ บ้าง ษัณ บ้างตามวิธีสนธิ).
ษัษฏี 0,น.,จำนวน ๖๐.
ษัษฐะ 0,ว.,ที่ ๖.
ษัษฐี 0,น.,วันที่ ๖ หรือ วัน ๖ คํ่า.
โษฑศะ 0,ว.,สิบหก.
โษฑศัน 0,ว.,สิบหก.
