คำ,POS,ความหมาย
ส 0,?,พยัญชนะตัวที่ ๔๐ เรียกว่า สอ เสือ เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น รส สัมผัส สวิส.
ส 1,?,"คำประกอบหน้าคำอื่นที่มาจากภาษาบาลีและสันสกฤต บ่งความว่า กอบด้วย, พร้อมด้วย, เช่น สเทวก ว่า พร้อมด้วยเทวดา."
สก- 0,ว.,ของตน.
สก 0,น.,ผม.
สก 1,ก.,สะเด็ดนํ้า เช่น เอาข้าวที่ซาวนํ้าแล้วใส่ในตะแกรงเพื่อให้นํ้าแห้ง เรียกว่า สก.
สกฏ- 0,น.,เกวียน.
สกฏภาระ 0,น.,ของบรรทุกเกวียน.
สกฏะ 0,น.,เกวียน.
สกทาคามิผล 0,น.,"ธรรมที่พระสกทาคามีได้บรรลุ. (ป. สกทาคามิผล, สกิทาคามิผล; ส. สกฤทาคามินฺ + ผล). (ดู ผล)."
สกทาคามิมรรค 0,น.,"ทางปฏิบัติที่ให้สำเร็จเป็นพระสกทาคามี. (ส. สกฤทาคามินฺ + มารฺค; ป. สกทาคามิมคฺค, สกิทาคามิมคฺค). (ดู มรรค)."
สกทาคามี 0,น.,"“ผู้มาสู่กามภพอีกครั้งหนึ่ง” เป็นชื่อพระอริยบุคคลชั้นที่ ๒ ใน ๔ ชั้น คือ พระโสดาบัน พระสกทาคามี พระอนาคามี และพระอรหันต์, บางทีก็เรียกสั้น ๆ ว่า พระสกทาคา หรือ พระสกิทาคา."
สกนธ์ 0,น.,"ขันธ์, กอง, ส่วนร่างกาย, ร่างกาย."
สกปรก 0,ว.,"เปรอะหรือเปื้อนด้วยสิ่งที่ถือว่าน่าเกลียดหรือที่ไม่พึงประสงค์ เช่น เสื้อผ้าสกปรก เนื้อตัวสกปรกด้วยฝุ่นละออง, ขุ่นมัว, ไม่สะอาดหมดจด, เช่น น้ำสกปรก จิตใจสกปรก, ลักษณะกิริยาวาจาที่แสดงออกอย่างหยาบคาย เช่น พูดจาสกปรก, โดยปริยายหมายถึงอาการที่คล้ายคลึงเช่นนั้น เช่น เขาเป็นคนสกปรก เล่นสกปรก."
สกรณีย์ 0,น.,ผู้ยังมีหน้าที่จะต้องทำ.
สกรรจ์ 0,ว.,"ร้าย, ดุร้าย"
สกรรจ์ 1,ว.,"เก่งกาจ, แข็งแรง, โดยมากใช้ ฉกรรจ์."
