คำ,POS,ความหมาย
ฮ 0,?,พยัญชนะตัวที่ ๔๔ เรียกว่า ฮอ นกฮูก เป็นอักษรต่ำ ตัวสุดท้ายของพยัญชนะไทย ใช้เป็นพยัญชนะต้น.
ฮกเกี้ยน 0,น.,"ชาวจีนในมณฑลฮกเกี้ยนของประเทศจีน, ชาวจีนที่มีถิ่นฐานเดิมอยู่ในมณฑลฮกเกี้ยน."
ฮด 0,ก.,"รด, รดนํ้าให้"
ฮด 1,ก.,พิธีรดนํ้าเนื่องในการแต่งตั้งพระ.
ฮวงซุ้ย 0,น.,"ที่ฝังศพของชาวจีน, ฮวงจุ้ย ก็ว่า."
ฮวน 0,น.,คำที่จีนใช้เรียกคนต่างชาติ.
ฮ้วนหมู 0,น.,"ชื่อไม้เถาชนิด Dregea volubilis (L. f.) Benth. ex Hook. f. ในวงศ์ Asclepiadaceae มียางขาวเป็นพิษ ใบมนหรือรูปไข่ ปลายแหลม โคนใบเว้าหรือป้าน ออกเป็นคู่ตรงข้ามกันตามลำต้น ดอกสีเขียวอ่อนเป็นพวงกลม ใช้ทำยา, ฮ้วนหมู ก็เรียก."
ฮวบ 0,ว.,อย่างรวดเร็ว (มักใช้แก่กริยาลงหรือทรุด) เช่น ลงฮวบ ทรุดฮวบ.
ฮวบฮาบ 0,ว.,อาการที่ขึ้น ลง หรือลดอย่างรวดเร็ว.
ฮ่อ 0,น.,"จีนพวกหนึ่งที่มีถิ่นฐานเดิมอยู่ทางตอนใต้ของประเทศจีน มีมณฑลยูนนานเป็นต้น, จีนฮ่อ ก็เรียก"
ฮ่อ 1,น.,ลายเส้นที่เขียนเป็นไพรคิ้ว ไพรปาก บนหน้าโขน ประกอบด้วยเส้นสีแดง ดินแดง และสีทอง เรียกว่า ลายฮ่อ หรือ เส้นฮ่อ
ฮ่อ 2,น.,ลายที่เขียนเป็นอย่างแถบผ้าสะบัดกลับไปมา ใช้เขียนเพื่อแบ่งภาพเป็นตอน ๆ ในงานจิตรกรรมฝาผนังหรือจิตรกรรมภาพพระบฏ เรียกว่า ลายฮ่อ.
ฮ้อ 0,ว.,ดี.
ฮอกกี้ 0,น.,กีฬากลางแจ้งชนิดหนึ่ง เล่นในสนามหรือบนลานนํ้าแข็งก็ได้ ผู้เล่นแบ่งออกเป็น ๒ ฝ่าย ฝ่ายละ ๑๑ คน ทั้ง ๒ ฝ่ายพยายามใช้ไม้ตีลูกให้เข้าไปในประตูของฝ่ายตรงข้าม.
ฮอด 0,ก.,"รอด, พ้น, ถึง."
ฮ่อม 0,น.,ต้นคราม. [ดู คราม ๓ (๒)].
ฮอมดง 0,น.,"ชื่อไม้พุ่มชนิด Dichroa febrifuga Lour. ในวงศ์ Hydrangeaceae ดอกสีม่วงนํ้าเงิน ใช้ทำยาได้, ฮอมดง ก็เรียก."
ฮ่อมดง 0,น.,"ชื่อไม้พุ่มชนิด Dichroa febrifuga Lour. ในวงศ์ Hydrangeaceae ดอกสีม่วงนํ้าเงิน ใช้ทำยาได้, ฮอมดง ก็เรียก."
ฮ่อมเมือง 0,น.,ต้นคราม. [ดู คราม ๓ (๒)].
