คำ,POS,ความหมาย
ก็ 0,สัน.,สำหรับต่อและแต่งความ
ก๊ก 0,น.,"พวก, หมู่, เหล่า"
กก 0,น.,"ต้น, ลำต้น, เช่น กกไม้ = ต้นไม้ , กกเสา = ต้นเสา, โคน เช่น กกขา = โคนขา"
กก 1,น.,"ชื่อนก เช่น นกกา นกเงือก, บางถิ่นเรียก นกคอก้าก หรือนกกกวาก"
กก 2,น.,ต้นปรือ. (นม)
กก 3,ก.,"แนบไว้กับอก, กอด"
กก 4,ว.,"ก่อน, แรก, ครั้งแรก เช่น ลูกกก = ลูกคนแรก, ไก่ขันกก ไก่ขันครั้งแรกหลังเที่ยงคืน"
ก๊ก ๆ 0,ว.,มีเสียงดังอย่างนั้น
ก๊ก ๆ เก๊ก ๆ 0,ว.,มีเสียงดังอย่างนั้น
กกแข้ว 0,น.,โคนฟันที่ต่อจากรากขึ้นมาตรงเหงือกหุ้ม เช่น กกแข้วใค่ = เหงือกบวม
กกแนน 0,น.,บุพเพสันนิวาส
กกเปื่อย 0,น.,ไม้ตะแบก
กกมิ่ง 0,น.,มิ่งขวัญที่เคยสร้างสมอบรมมา มักใช้คู่กันกับคำว่า กกแนน
กกหูก 0,น.,ชิ้นผ้าพร้อมด้ายทางยืนที่เหลือติดฟืมเพื่อต่อกับเส้นด้ายที่จะทอครั้งใหม่
กกเหลือก 0,น.,"ลิ้นไก่ บางถิ่น, หมายถึง โคนลิ้นไก่"
กง 0,น.,สิ่งที่เป็นวงกลม หรือขอบ เช่น กงเกียน = กงเกวียน
ก่ง 0,ก.,"ทำให้โค้ง, โน้ม, ก่อง"
ก้ง 0,น.,ชื่อผักชนิดหนึ่ง เรียก ผักก้งหรือผักตาก้ง
กง 1,น.,"เขต, แดน, บริเวณ"
ก่ง 1,ว.,"โค้ง, ปกครอง, เช่น ผู้ก่งพื้น = ผู้ปกครองแผ่นดิน"
ก้ง 1,ว.,"กลม, มน, เช่น มืนตาม้งก้ง, ใหญ่ เช่น ผักตาก้ง"
กง 2,ว.,"ตรง เช่น คนกง = คนซื่อตรง, บางถิ่น หมายถึง ดื้อ, พยศ, ไม่ทำตาม คำนี้อาจเพี้ยนมาจาก โกง"
กง 3,น.,เครื่องมือดีดปุยฝ้ายก่อนนำไปปั่นเป็นเส้น เรียกว่า กงดีดฝ้าย
กงกวัก 0,น.,"เครื่องมือสำหรับกรอด้าย, กรอไหม"
ก่งเกื้อ 0,ว.,"เอื้อเฟื้อ, สนับสนุน"
กงแก้ว 0,น.,ดวงชะตา
ก่งโก้ย 0,ว.,อาการเดินหลังโกง เคลื่อนไปช้า ๆ
ก่งโก๊ะ 0,ว.,"อาการยืน หรือเดินไม่น่าดู เช่น เดินขากางสำหรับคนร่างใหญ่, สำหรับคนร่างเล็กว่า ก่องเก๊าะ"
กงไกว 0,น.,สว่าน
ก่งจ่ง 0,ว.,อาการที่โค้งงอของไม้ หรือหลังคน เช่น นั่งก่งจ่ง
กงชาตา 0,น.,ดวงชะตา
ก่งด่ง 0,ว.,อาการชี้ขึ้นแต่ปลายโค้งลง เช่น หางวัว
ก้งตาเว็น 0,น.,พระอาทิตย์ทรงกลด
กงราฐ 0,น.,"เขตเมือง, บริเวณเมือง"
กงโลก 0,น.,จักรวาล
กฎ 0,น.,"ข้อกำหนด, คำบังคับ, ข้อบัญญัติ"
กฎี 0,น.,ที่อยู่ของพระภิกษุสามเณร
กฎุมพีศ 0,น.,กฎุมพี (ป.กฎมพิก)
กฏก 0,ว.,"เผ็ด, ร้อน"
กฐิน 0,น.,ผ้าที่นำไปทอดถวายพระสงฆ์ที่จำพรรษาครบไตรมาสแล้ว
กฐินแล่น 0,น.,จุลกฐิน ได้แก่ กฐินที่ทอดวันสุดท้ายเขตกฐิน คือ วันเพ็ญเดือนสิบสอง เป็นกฐินที่เร่งรีบต้องทำให้เสร็จภายในวันนั้น
กฐินฮังโฮม 0,น.,กฐินสามัคคี
กฐินแฮ 0,น.,จุลกฐิน ได้แก่ กฐินที่ทอดวันสุดท้ายเขตกฐิน คือ วันเพ็ญเดือนสิบสอง เป็นกฐินที่เร่งรีบต้องทำให้เสร็จภายในวันนั้น
กณิการ์ 0,น.,พรรณดอกไม้ชนิดหนึ่ง ดอกสีขาว ก้านดอกสีเหลือง ใช้ย้อมผ้าได้ (ป.กณิการ)
กด 0,น.,"ชื่อนก = นกกด มี ๒ ชนิด คือ นกกดปูด หรือนกกดปืด = นกกะปูด, นกกดฮ่อย = นกกดไฟ"
กด 1,น.,ชื่อปลา = ปลากด
กด 2,น.,ตรงกับโทศก ตามจุลศักราช
กด 3,ก.,"กำหนด, บังคับลง, ข่มลง"
กดขี่ 0,ก.,ข่มให้อยู่ในอำนาจ
กดซง 0,ว.,"ว่างท่า, ไว้ท่า"
กดเพศ 0,ก.,"ไว้ตัว, สงวนท่าที"
กดว่า 0,ก.,"รู้สึกว่า, ดูเหมือนว่า"
กดวาด 0,ก.,"วางตัว, วางท่าทาง, สงวนท่าทาง"
กตเวที 0,ว.,ผู้ตอบแทนคุณท่าน
กตัญญ 0,ว.,ผู้รู้คุณท่าน เป็นคำคู่กับ กตเวที (ป.)
กติกา 0,น.,"ข้อตกลง, ข้อบังคับ, เงื่อนไขที่กำหนดไว้"
กถา 0,น.,"คำ, ถ้อยคำ, เรื่อง"
กถาพัน 0,น.,"คาถาจำนวน ๑,๐๐๐ คาถา"
กถาพัน 1,น.,คาถาจำนวนพันคาถา
กถามุข 0,น.,"คำนำ, ข้อความเบื้องต้นของเรื่อง, คำที่เป็นแนวทาง (ป.)"
กทลี 0,น.,"กล้วย, ส่วนมากว่า กุทลี (ป.)"
ก่น 0,ก.,"ขุดดิน หรือถากที่สูงให้ต่ำลง, ในปัจจุบันมีความหมายอย่างเดียวกับขุด"
ก้น 0,น.,"อวัยวะส่วนล่างสุดของลำตัว, ส่วนล่างของภาชนะ"
ก้น 1,น.,ข้างหลัง เช่นไปนำก้น = เดินตามหลัง
กนก 0,น.,ทองคำ (ป.)
ก้นกบ 0,น.,ปลายกระดูกสันหลังที่สุดลงมาข้างหลัง
ก้นกอกยา 0,น.,ก้นบุหรี่
กนโก 0,น.,ไม้ยืนต้นชนิดหนึ่ง ใบใช้เป็นผักได้
ก้นโกน 0,น.,ต้นหว้าชนิดหนึ่ง ผลมีลักษณะก้นกลวงลึกเข้าไป
ก้นขี้ 0,น.,ทวารหนัก
ก้นขี้ทั่ง 0,น.,ก้นกระแทก
ก้นคก 0,น.,พรรณไม้ชนิดหนึ่ง = ชะมดด้าว
ก้นแงน 0,น.,"ก้นงอน, ส่วนมากว่า ดากแงน ถ้าขนาดใหญ่ว่า ก้นเงน"
ก้นจ้ำ 0,น.,ไม้พุ่มชนิดหนึ่ง
ก้นจ้ำ 1,ว.,ก้นเป็นจุดดำ
ก้นชัน 0,น.,พริกชี้ฟ้า
ก้นชัน 1,น.,มดชนิดหนึ่ง เรียก มดก้นชัน
ก้นดาก 0,น.,ทวารหนัก
ก้นโดก 0,น.,นกชนิดหนึ่ง = โพระดก
ก้นต่ง 0,น.,ก้นใหญ่
ก้นตั้ง 0,น.,พริกชี้ฟ้าหรือพริกก้นตั้ง (ลย.)
ก่นโต่น 0,ว.,"เปลือย, ไม่มีสิ่ง ปกปิด, ล่อนจ้อน, โดดเดี่ยว, เช่น เหลือคนเดียวก่นโต่น"
ก้นถ้วย 0,น.,พรรณไม้พุ่มชนิดหนึ่ง
ก้นไป้ 0,น.,ก้นใหญ่
ก้นลีบ 0,น.,ก้นปอด
