คำ,POS,ความหมาย
ขง 0,น.,"เขต, แดน, ถิ่น, อาณาเขต"
ขง 1,ว.,โคง งอ
ขงโลก 0,น.,จักรวาล
ขจร 0,น.,ไม้เถาชนิดหนึ่ง
ขจวน 0,ว.,ละเอียด เช่น มุ่นกะจวน = แตกละเอียด
ขด 0,น.,ขนด
ขด 1,ก.,"ทำให้โค้งอ เช่น ขดเบ็ด, ม้วนตัวเข้าเป็นวง เช่น งูขด"
ขด 2,ว.,งอ เช่น หลังขดหลังงอ
ขดคีคู้ 0,ก.,นอนคุดคู้
ขดง 0,น.,รากไม้ชนิดหนึ่งใช้เป็นยา
ขดตะหมาด 0,ก.,นั่งขัดสมาธิ
ขดสมาธิ 0,ก.,นั่งขัดสมาธิ
ขดาน 0,น.,"สิ่งที่ทำเป็นแผ่นใช้เขียนมีหลายชนิด เช่น กระดานที่ทำด้วยไม้ ทานํ้ามันยางผสมเขม่า เรียกว่า กะดานดำ, กระดานชนวนทำด้วยไม้ ทาด้วยรัก ผสมกับเศษกระเบื้องที่บดละเอียดและสมุก สำหรับเขียนด้วยดินสอพอง เรียกว่า กะดานไม้, กระดานชนวนที่ทำด้วย หินเนื้ออ่อน เรียกว่า กะดานหิน"
ขตอย 0,น.,พริกป่า
ขน 0,น.,สิ่งที่เป็นเส้นขึ้นตามผิวหนิงคนและสัตว์และใช้ตลอดไปจนถึงที่ขึ้นบนผิวต้นไม้ ผลไม้ ใบไม้และอื่นๆ; หญ้าชนิดหนึ่ง; ตัวบุ้งชนิดหนึ่ง เรียก แมงบ้งขน
ขน 1,ก.,นำเอาสิ่งของไปหรือมา
ขนคีงลุก 0,น.,ขนพองเกิดจากความตกใจกลัวหรือดีใจพิเศษ.
ขนง 0,น.,"เขต เช่น ขนงเมือง = เขตเมือง, คันคู เช่น ขึ้นขนงทอง = ขนบนคันคู"
ขนง 1,น.,คิ้ว (ข.)
ขนจิว 0,น.,ขนที่ขึ้นพิเศษมีลักษณะยาว = ขนเพชร
ขนนกโดดโต้ง 0,น.,"ขนอุย, ขนละเอียด, ขนฮุย"
ขนปั่ว 0,น.,"ขนอุย, ขนละเอียด, ขนฮุย"
ขนหนาว 0,น.,ขนลุก
ขนหัวพอง 0,ก.,"สยองเกล้า, ผมตั้งชันชึ้น"
ขนัง 0,ก.,"ขังไว้, ผูกไว้, เช่นขนังขวน = ขังไว้ในจวน"
ขนัน 0,น.,ไม้เถาชนิดหนึ่งผลคล้ายขนุน
ขนัน 1,ก.,"กั้น, ขวางเช่น ขนันตันหนทาง; บัง, ล้อม, ขัน, ทำไห้ตึง, ทำให้แน่น"
ขนับ 0,น.,เครื่องดักนกและคางคาวสานด้วยด้าย=ตาข่าย
ขนาง 0,น.,คานที่ยกขึ้นเป็นคู่ สำหรับวางของใหญ่ เช่น ท่อนชุง เป็นต้น เพึ่อเลื่อยเป็นกระดาน.
ขนางเฮือ 0,น.,คานเรือ.
ขนาด 0,น.,"สัดส่วนของคน, สัตว์และสิ่งของ"
ขนาด 1,ว.,"วิเศษ, เลิศ เก่งกล้า เช่น ดีเถิงขนาด"
ขนาน 0,ก.,"ตั้ง, เรียก, เช่น ขนานนาม = ตั้งชี่อ"
ขนาน 1,ก.,"เคียงคู่กันไป, ทยอยกันไป เช่น น้ำขนานฟอง, เฮือขนาน = เรือพ่วงที่ผูกคู่กัน"
ขนาบ 0,ก.,"ประกบเข้าให้แน่น เช่นเอาไม้ขนาบทั้งข้างล่าง ข้างบน หรือขนาบข้าง เป็นต้น; ประชิดเข้าไปทั้ง ๒ ข้าง เช่น กองทัพตีขนาบ, ติดชิดกันอยู่ทั้ง ๒ ข้าง เช่น ที่ดินขนาบ; ดุดันเอา เช่น ถูกขนาบ"
ขนาย 0,น.,งาช้างพังหรือช้างสีดอมีขนาดสั้นและเล็กกว่างาทั่วไป.
ขนิษฐา 0,น.,น้อง คู่กับเชษฐา
ขนิษฐา 1,น.,น้องสาว (ป.)
ขนุน 0,น.,ขนุนป่า
ขบ 0,น.,ปลาชนิดหนึ่ง = ปลาคางเบือน หรือปลาเบี้ยว.
ขบ 1,ก.,กัด เช่น เสือขบ = เสือกัด
ขบแข้ว 0,ก.,ขบเขี้ยวเคี้ยวฟัน
ขบแข้วยุ้มก้น 0,สำ.,ตั้งใจทำด้วยความานะพยายามอย่างเอาจริงเอาจัง
ขบถ 0,น.,"การประทุษร้ายต่อทางอาณาจักร, การไม่ซื่อต่อราชการ, ผู้ทรยศ"
ขบเผาะ 0,น.,เรียก ผลมะม่วงอ่อน ๆ ขนาดหัวแม่มือว่ามะม่วงขบเผาะ หมายเอาเสียงเวลาเอาฟันขบดังเผาะ; โดยปริยายหมายถึง เด็กหญิงที่เพิ่งเริ่มแตกเนื้อสาว
ขบวน 0,น.,"หมู่, รูปร่าง, แนว"
ข่ม 0,*ก.,"กดลง, บังคับไวั, รังแก"
ขม 0,น.,บวบชนิดหนึ่งมีรสขม
ขม 1,ก.,แค้น หรือเจ็บใจ เช่น เห็นเขาว่าอย่าเคียดอย่าขม
ขม 2,ว.,รสอย่างหนึ่ง เช่น รสสะเดา หรือบอระเพ็ด
ขม 3,*ก.,"ขมขื่น แค้นใจ, เจ็บใจ, ขุ่นเคือง, โกรธสุมอยู่ข้างใน"
ขมขื่น 0,สำ.,ขุ่นข้องหมองใจ
ข่มแพ้ 0,ก.,ข่มเอาชนะ
ขมล่ำล่ำ 0,ว.,รสขมพอดี
ขมวน 0,ว.,"ผุ, ยุ่ย, เช่น ปลาเป็นขมวน = ปลาแห่งที่ผุยุ่ย เพราะตัวขมวนบ่อน"
ขมวย 0,น.,ขุย
ขมวย 1,น.,ดินที่มดหรือสัตว์ด่าง ๆ ขุดคุ้ยขึ้นมาทิ้งกองไว้ข้างบน = ขุย
ข่มหลบ 0,น.,ไม้สองตัวสำหรับทับตับหญ้าที่มุงหลังคา = กบทู.
ข่มเหง 0,น.,ไมัสองท่อนสำหรับพาดทับโลงศพบนเชิงตะกอน เพื่อกันไม่ให้ศพตกจากเชิงตะกอน
ข่มเหง 1,*ก.,ใช้กำลังรังแก
