คำ,POS,ความหมาย
คคนะ 0,น.,"ฟ้า (ป., ส.)"
คง 0,น.,แม่น้ำสายหนึ่งในภาคพายัพของประเทศไทย
คง 1,ก.,"ยังมียังเป็นอยู่อย่างเดิม, ยั่งยืน"
คง 2,ว.,"ทนทานต่อศัตราวุธ, คงกระพัน"
คง 3,ว.,"เป็นคำบอกลักษณะคาดคะเน เช่น คงซิมา = คงจะมา, คงซิได้ = คงจะได้"
คงขาด 0,ว.,ยังขาด
คงคลัง 0,ว.,ยังอยู่ในคลัง
คงคา 0,น.,"ชื่อแม่น้ำสายหนึ่งในอินเดีย, แม่น้ำ, ทะเล (ป., ส.)"
คงตัว 0,ว.,ไม่ผันแปร
คงตัวอยู่ 0,ว.,ยังมีอยู่
คงทน 0,ว.,"ยั่งยืน, ถาวร, ทนทาน"
คงที่ 0,ว.,ไม่เปลี่ยนแปลง
ค้งน้ง 0,ว.,"คำบอกลักษณะโค้ง หรือโก่งมาก ใช้สำหรับขนาดใหญ่ (เอก.) ค้งน้งเค้งเน้ง, โค้งโน้งเค้งเน้ง (พหู.) , สำหรับขนาดเล็ก ค้องน้อง (เอก.), ค้องนอ้งแค้งแน้ง (พหู.)"
คงไว้ 0,ว.,"รักษาไว้, สงวนไว้, ให้มีอยู่ต่อไป"
คงเส้นคงวา 0,ว.,เสมอต้นเสมอปลาย
คงเหลือ 0,ว.,ยังเหลือ
ค้งอฺย้ง 0,ว.,"คำบอกลักษณะสูงมากใช้สำหรับขนาดใหญ่ (เอก.) ค้งอฺย้งเค้งเอฺย้ง, โค้งโอฺย้งเค้งเอย้ง (พหู.) สำหรับขนาดใหญ่ ค้องอฺย้อง (เอก.) ค้องอฺย้องแค้งแอฺย้ง (พหู.)"
คช 0,น.,"ช้าง (ป., ส.)"
คชสาร 0,น.,"ช้างใหญ่, ช้างสำคัญ"
คชสิงห์ 0,น.,สัตว์ในนิยาย มีรูปเหมือนราชสีห์ แต่มีงวงเหมือนช้าง
คชสีห์ 0,น.,สัตว์ในนิยาย มีรูปเหมือนราชสีห์ แต่มีงวงเหมือนช้าง
คณนา 0,ก.,"นับ (ป., ส.)"
คณะ 0,น.,"พวก, หมู่"
คณา 0,น.,"พวก, หมู่"
คณาจารย์ 0,น.,"อาจารย์ของหมู่, คณะอาจารย์ (ป., ส.)"
คเณศ 0,น.,พระผู้เป็นใหญ่ในความขัดข้อง เป็นชื่อเทพเจ้าองค์หนึ่งมีเศียรเป็นช้าง ถือว่า ถ้าบูชาแล้วป้องกันความขัดข้องที่จะเกิดขึ้นได้
คด 0,น.,ก้อนหินที่มีในสัตว์ หรือต้นไม้ถือกันว่าเป็นของขลัง
คด 1,ก.,"งอ, โกง, ไม่ตรง"
คดโกง 0,ก.,"ประพฤติทุจริต, ไม่ซื่อตรง"
คดเคี้ยว 0,ว.,"คดไปคดมา, ลดเลี้ยว, วกไปวกมา"
คดี 0,น.,เรื่อง
คดีธรรม 0,น.,เรื่องทางธรรม เรื่องทางศาสนา
คดีโลก 0,น.,"เรื่องทางโลก, เรื่องเกี่ยวกับชาวบ้าน หรือชาวโลก"
คติ 0,น.,"การไป, ความเป็นไป (ป., ส.)"
คติ 1,น.,"แบบอย่าง, วิธี, แนวทาง (ป.,ส.)"
คทา 0,น.,ตะบอง (ป.)
ค่น 0,ก.,"เคล็ด, แพลง, เช่น ตีนค่น = เท้าเคล็ด"
ค้น 0,ก.,พยายามหาวิธีสืบ เสาะ แสวงหา เป็นต้น
คน 0,น.,มนุษย์
คน 1,ก.,ใช้มือหรือสิ่งอื่นกวนสิ่งที่เกาะกันอยู่ให้กระจาย หรือกวนสิ่งต่าง ๆ ให้เข้ากัน
ค้นคว้า 0,ก.,สืบค้นหาข้อมูลอย่างถ้วน
คนง่าว 0,น.,คนโง่
คนดาย 0,น.,คนที่ยังไม่เคยบวชและไร้การศึกษา
คนดิบ 0,น.,คนที่ยังไม่ได้บวช
คนโถง 0,น.,นักเลง
คนทา 0,น.,ไม้พุ่มชนิดหนึ่งลำต้นมีหนามชอบขึ้นเป็นหมู่ตามป่าโปร่ง ดอกสีขาว ผลกลม รสขม
คนที 0,น.,เต้าน้ำ
คนโท 0,น.,เต้าน้ำ
คนโท 1,น.,หม้อน้ำขนาดเล็ก คอยาว
คนธรรพ 0,น.,ชาวสวรรค์พวกหนึ่งเป็นบริวารของท้าวธตรฐมีความชำนาญในดนตรีและขับร้อง
คนน้อย 0,น.,ภาพในแก้วตา
คนใบ้ 0,น.,คนโง่
คนผู้แม่ 0,น.,กะเทย
คนมอง 0,น.,กะเทย
คนละ 0,ว.,ต่างหากจากกัน เช่น หนังสือคนละเล่ม
คนเล 0,ก.,"ระคนปนกัน, สับสน"
คนวน 0,น.,สิ่งที่เป็นสื่อ
คนหลวก 0,น.,"คนฉลาด, นักปราชญ์"
คนหลัก 0,น.,"คนฉลาด, นักปราชญ์"
คนหาญ 0,น.,ผู้ที่รับราชการในหน้าที่ป้องกันประเทศ
ค้นหูก 0,ก.,จัดเส้นไหม หรือด้ายสำหรับทอผ้าให้มีจำนวน พอเหมาะสมกันกับช่องฟันฟืม
คบ 0,ก.,เข้าเป็นพวกกัน
คบ 1,ก.,"จวบ, พบ เช่น ทางคบ = ทางบรรจบกัน, ทางแยก"
คบค้า 0,ก.,ไปมาหาสู่เข้าเป็นพวกเดียวกัน
คบคิด 0,ก.,ร่วมคิดกันโดยไม่เปิดเผย
คบงัน 0,ก.,"ฉลอง, สมโภช"
คบเมื่อ 0,สัน.,"พอเมื่อ, จวบเวลา"
คบรพ 0,ก.,แสดงความเคารพ
คบหา 0,ก.,ไปมาหาสู่เข้าเป็นพวกเดียวกัน
คม 0,น.,"ส่วนบางมากจนสามารถบาดได้ เช่น คมมีด, คมดาบ"
คม 1,ว.,"ไม่ทื่อ เช่น มีดคม, ดาบคม, ไม่ทึบ, เฉียบแหลม เช่น ปัญญาคม หรือผญาคม"
คมขำ 0,ว.,งามขำ
คมคาย 0,ว.,"เฉลียวฉลาด, แววดี"
คมในฝัก 0,ว.,ฉลาดลึก
คมบาง 0,น.,ชื่อหญ้าชนิดหนึ่ง ขอบใบคม
คมปาว 0,น.,ต้นไม้ชนิดหนึ่ง ขอบใบคม
คมรพ 0,ก.,แสดงความเคารพ
คมรพ 1,ก.,เคารพ
ครก 0,น.,เครื่องใช้มีหลุมสำหรับรอตำ หรือขโลกด้วยสาก
ครกกระเบือ 0,น.,ครกสำหรับใช้ทำครัว
ครกดำแจ่ว 0,น.,ครกสำหรับใช้ทำครัว
ครกมอง 0,น.,ครกกระเดื่อง
ครกมือ 0,น.,ครกตำข้าวที่ใช้มือยกสากตำ
