คำ,POS,ความหมาย
ฆราวาส 0,น.,"คนทั่ว ๆ ไปที่ไม่ใช่นักบวช, คนผู้อยู่ครองเรือน (ป.)"
ฆ้อง 0,น.,"เครื่องตีให้เกิดเสียงอย่างหนึ่งทำด้วยโลหะผสม รูปร่างเป็นแผ่นกลมงองุ้มลงมารอบตัว มีปุ่มกลมตรงกลางสำหรับตี เรียกต่าง ๆ กัน เช่น ฆ้องวง, ฆ้องโหม่ง"
ฆ้อง 1,น.,น้ำที่พองโป่งขึ้นในเวลาฝนตกแล้วแตกดับไป
ฆ้องสบัดชัย 0,น.,ฆ้องตีในงานมงคล หรือยาตราทัพ
ฆาต 0,น.,"การฆ่า, การทำลาย"
ฆาต 1,ก.,ตี
ฆาตกร 0,น.,ผู้ร้ายฆ่าคน
ฆาตกรรม 0,น.,การฆ่าคน
โฆรวิส 0,น.,งูพิษ
โฆรวิส 1,ว.,มีพิษร้าย
โฆษ 0,น.,"เสียงกึกก้อง, เสียงดัง, เสียงสนั่น"
โฆษ 1,ก.,ตีให้มีเสียงดังก้อง
โฆษก 0,น.,"ผู้พูด, ผู้ประกาศ, ผู้ป่าวร้อง, ผู้โฆษณา"
โฆษณา 0,น.,"การเผยแพร่หนังสือออกไปยังสาธรณชน, การป่าวร้อง, การป่าวประกาศ"
โฆษณาการ 0,น.,"การป่าวร้องให้ทราบ, การแจ้งความให้ทราบ"
โฆษิต 0,ก.,"กึกก้อง, ป่าวร้อง"
