คำ,POS,ความหมาย
งก 0,น.,ไม่รูปคล้ายตะลุมพุกสำหรับควาญท้ายตีช้างเมื่อต้องการให้ช้างไปเร็ว หรือในเวลาคล้องช้าง เรียกว่า ไม้งก
งก 1,ก.,แสดงอาการอยากได้ หรือไม่อยากเสียจนเกินควร
งก 2,ว.,"ปิด, ไม่ตรง"
งก ๆ 0,ว.,อาการผงกหัวขึ้นลง เช่น กะปอมสั่นหัวมก ๆ
งก ๆ 1,ว.,"มีอาการสั่นอย่างคนแก่ หรืออย่างกลัวหรืออย่างหนาวมากกว่า สั่นงก ๆ ใช้สำหรับสิ่งใหญ่, ถ้าสิ่งเล็กว่า ง็อก ๆ"
งก ๆ งัก ๆ 0,ว.,อาการสั่นที่เกิดจากความหนาว เป็นต้น ใช้สำหรับคนหรือสัตว์ขนาดใหญ่ ถ้าขนาดเล็กว่า วัก ๆ
งง 0,ก.,"คิดไม่ออก, ฉงน"
งง 1,ว.,"กง, งอน, แอ่น, ส่วนมากว่า โงง"
งงงวย 0,ก.,"เคลิบเคลิ้ม, หลงไหล"
งด 0,ก.,"หยุดหรือเว้น, ส่วนมากว่า โจะ"
งด ๆ 0,ว.,"หนาวจนสั่น, อาการที่สะท้าน, เช่น สั่นหงด ๆ"
งบ 0,น.,"จำนวนที่รวมแล้ว, กำหนดหรือประมาณการที่ตั้งเป็นรายรับ หรือรายจ่าย อย่างงบเงินรายรับ งบเงินรายจ่าย เป็นต้น"
งบ 1,ก.,"ปิด, รวม"
งม 0,ก.,ควานหาของในน้ำหรือในที่มืด
งมงมซาวซาว 0,สำ.,"ลองผิดลองถูก, ทำโดยไม่สันทัด, ไม่ชำนาญ, ทำสุ่มไป, ทำอย่างงก ๆ เงิ่น ๆ"
งมงมทาวทาว 0,สำ.,"ลองผิดลองถูก, ทำโดยไม่สันทัด, ไม่ชำนาญ, ทำสุ่มไป, ทำอย่างงก ๆ เงิ่น ๆ"
งมงำ 0,สำ.,เอาใจใส่
งวก 0,ก.,"ผิน, หันขวับ, เช่น งวกซ้ายแลขวา"
งวก 1,ก.,"หัน, ผินอย่างเร็ว"
งวง 0,น.,ส่วนที่ยื่นโค้งเป็นวงสำหรับหิ้ว หรือถือสิ่งของอย่างตะกร้า เป็นต้น เช่น งวงคุ
ง้วง 0,น.,แมลงชนิดหนึ่งในจำพวกจักจั่นแต่ตัวใหญ่กว่า ปีกยาว โปร่งแสง ตัวสีน้ำตาล หัวเขียว ๆ ตาแดง
งวง 1,น.,"จมูกของช้างที่ยื่นยาวออกไป ตรงปลายมีจะงอยสำหรับจับของอย่างมือ, เรียกสิ่งที่ห้อยเป็นงวงออกมาจากคอตาลมะพร้าว เป็นต้นว่า งวง เช่น งวงตาล, งวงมะพร้าว, เรียกสิ่งที่่มีลักษณะคล้ายคลึงเช่นนั้น เช่น งวงครุ, งวงผีเสื้อ"
ง้วง 1,ก.,อาการที่ร่างกายอ่อนเพลีย อยากนอนหลับ = ง่วง
ง้วงกลางดง 0,น.,งูชนิดหนึ่งคล้ายงูเขียว แต่ตัวเล็กและยาวกว่าเลื้อยตามพุ่มไม้อย่างเชื่องช้ากว่างูชนิดหนึ่งอื่น
ง้วงเงี้ยง ๆ 0,ว.,"อาการเลื้อยคดไปมาช้า ๆ อย่างงูถูกตีสันหลังเดาะ, สำหรับขนาดเล็กว่าง้องแง้ง ๆ"
งวงช้าง 0,น.,พืชล้มลุกชนิดหนึ่ง มีดอกสีขาว ช่อของดอกมีสัณฐานคล้ายงวงช้าง
ง่วงเหงา 0,ว.,"อาการเศร้าซึม, เหงาหงอย, โศกเศร้า"
งวด 0,น.,คราวที่กำหนด
งวด 1,น.,"ลดลงไป, พร่องลงไป, แห้งลงไป"
งวด 2,ว.,จวนแจ้ง
ง้วน 0,น.,เศษละอองดอกไม้ที่สัตว์จำพวกผึ้ง หรือชันโรงนำมาสะสมและกลั่นเป็นน้ำหวานแล้ว
ง้วน 1,น.,ต้นไม้ชนิดหนึ่ง ยางมีพิษ ใบเหมือนใบเงิน ดอกสีแดง ต้นคล้ายต้นสลอด
ง้วน 2,น.,ยาพิษ เช่น เอาง้วนใส่ปลา เอายาใส่เข้า (ให้กิน)
ง้วนดิน 0,น.,ดินที่มีกลิ่นหอม รสมัน กินได้
ง้วนหมู 0,น.,ไม้เถาชนิดหนึ่ง มียางขาวเป็นพิษ ใบมนหรือรูปไข่ปลายแหลม ฐานใบเว้าหรือป้านออกเป็นคู่ตรงข้ามกันตามลำต้นดอกสีเขียวอ่อนเป็นพวงกลม ใช้ทำยา
งวม 0,ก.,"คว่ำ, ครอบ, ปิด, ส่วนมากว่า งุม"
ง่วม 0,ว.,งองุ้มลง เช่น ควายเขาง่วม ควายเขางุ้ม
งวาก 0,ก.,"ผิน, หันขวับ, เช่น งวกซ้ายแลขวา"
งวาก 1,ก.,"หัน, ผินอย่างเร็ว"
งว้าง 0,?,ดู ง้วง
งว้างกลางดง 0,น.,งูชนิดหนึ่งคล้ายงูเขียว แต่ตัวเล็กและยาวกว่าเลื้อยตามพุ่มไม้อย่างเชื่องช้ากว่างูชนิดหนึ่งอื่น
งวำ 0,ก.,"กลับ, คว่ำ, ครอบ (ดูงำ)"
