คำ,POS,ความหมาย
จ๊ก 0,ก.,"อาการกระทำของสัตว์บางชนิด เช่น ม้า ใช้เท้าหน้าโขก, สับ"
จก 0,น.,"เครื่องมือขุดดินชนิดหนึ่ง, ส่วนมากทำด้วยเหล็ก."
จก 1,น.,ชื่อชนชาติลาวพวกหนึ่ง ซึ่งตามพงศาวดาร โยนก เรียก ลาวจก (ลาวจักราช) ต้นตระกูลขุนเจือง ลำดับถึงพญาเม็งราย ผู้สร้างนครเชียงใหม่
จก 2,ก.,"ล้วง, ควัก, ทิ่ม"
จ๊ก ๆ 0,ว.,มีเสียงดังอย่างนั้น เช่น เสียงขุดดินแข็ง เป็นต้น
จกโจโคเล 0,ก.,"ล้วง, รื้อ หรือควานหาเอาสิ่งของที่ปะปนกันอยู่"
จกโจโคเล 1,สำ.,สับสน
จง 0,ก.,"หมาย, หวัง, ตั้งใจ, เป็นคำช่วยกริยา บอกความ บังคับ หรือความหวัง"
จง 1,ว.,"คค, ใช้สำหรับแขนและขา"
จ่ง 0,*ก.,"เป็นคำช่วยกริยา บอกความบังคับ หรือความหวัง = จง, จุ่ง"
จ้ง 0,ว.,"คค, ใช้สำหรับแขนและขา"
จ่ง 1,ก.,"เหลือไว้, แบ่งไว้, ยั้งไว้"
จ่ง 2,*ก.,"เป็นคำช่วยกริยา บอกความบังคับ หรือความหวัง = จง, จุ่ง"
จงก่ง 0,ว.,อาการที่โค้งงอของไม้ หรือหลังคน เช่น นั่งก่งจ่ง
จ่งก่ง 0,ว.,อาการที่โค้งงอของไม้ หรือหลังคน เช่น นั่งก่งจ่ง
จงกล 0,น.,บัวชนิดหนึ่ง = บัวสาย
จงกลนี 0,น.,บัวชนิดหนึ่ง ดอกคล้ายดอกบวบขม แต่มี เกสรหลายชั้น = บัวแดง
จงกลม 0,ก.,"เดินกลับไปกลับมา เพื่อเปลี่ยนอริยาบถ และทำจิตให้เป็นสมาธิ, โบราณว่า จมกม. (ส. ป.)"
จ่งโจ๊ะ 0,ว.,ลักษณะการยืนหลังค่อมก้มหน้าขาถ่างสำหรับคนร่างใหญ่
จงลวา 0,น.,พวกทหารม้า
จงอาง 0,น.,งูพิษที่มีขนาดใหญ่ที่สุดในโลก โตเต็มวัยยาวประมาณ ๔.๕ เมตร ตัวสีเขียวอมเทา หรือสีคล้ำ ชูคอนแผ่แม่เบี้ยได้ พบทั้งในป่าโปร่งและปาทึบ
จ๊ด 0,ว.,ลักษณะสิ่งของที่ถูกตัดขาดทันที
จด 0,ก.,"บันทึก, เขียน, หมายไว้"
จด 1,ก.,"จดให้ถึงกัน, ถึง"
จด 2,ก.,"เร่ง, รวดเร็ว"
จ๊ด ๆ 0,ว.,อาการกระโดดจังหวะถี่ต่อเนื่องกัน
จ๊ดทด 0,ว.,ลักษณะของตอไม้ ต้นไม้ที่เรียงกันอยู่เป็นแถวเป็นแนว
จ๊ดป๊ด 0,ว.,"ลักษณะของสิ่งที่ขาดสั้น, ห้วน หรือพูดห้วน, ไม่มีหางเสียง เช่น เว้าจ๊ดป๊ด"
จ๊ดป๊ด 1,ว.,ลักษณะสีหน้าซีดเซียวเพราะประหม่าหรือตกใจ
จดหมาย 0,น.,"หนังสือที่ส่งไปมาถึงกัน, ลักษณะนามเรียก ก้าน"
