คำ,POS,ความหมาย
ฉ 0,*ว.,"หก, สำหรับประกอบหน้าศัพท์อื่น เช่น ฉกามาพจร, ฉกามาวจร, สวรรค์หกชั้น คือ ๑. จาตุมหาราชิกา ๒. ดาวดึงสา ๓. ยามา ๔. ดุสิตา ๕. นิมมานรดี ๖. ปรมินมิตวสวดี (ป.)"
ฉก 0,ก.,"ฉกฉวย, แย่งเอา, วิ่งราว"
ฉกรรจ์ 0,ว.,"ร้าย, ดุร้าย, เก่งกาจ, แข็งแรง, เช่น ฉกรรจ์ผี = ผีดุ"
ฉกษัตริย์ 0,น.,"กษัตริย์ ๖ พระองค์ คือ ๑. พระเจ้ากรุงสญชัย ๒. พระนางผุสดี ๓. พระเวสสันดร ๔. นางมัทรี ๕. ชาลี ๖. กัณหา, ชื่อกัณฑ์ที่ ๑๒ แห่งมหาชาติ ๑๓ กัณฑ์ (ป.ส.)"
ฉกาจ 0,ว.,"เก่งกาจ, ดุร้าย, กล้าแข็ง"
ฉขัตติย์ 0,น.,"กษัตริย์ ๖ พระองค์ คือ ๑. พระเจ้ากรุงสญชัย ๒. พระนางผุสดี ๓. พระเวสสันดร ๔. นางมัทรี ๕. ชาลี ๖. กัณหา, ชื่อกัณฑ์ที่ ๑๒ แห่งมหาชาติ ๑๓ กัณฑ์ (ป.ส.)"
ฉงน 0,ก.,"สงสัย, ไม่แน่ใจ, เคลือบแคลง, ส่วนมากว่า สนเทห์, สังกา, สงกา"
ฉงาย 0,ว.,"ไกล, ห่าง (ข.)"
ฉทวาร 0,น.,"ประตูทั้ง ๖ คือ ตา, หู, จมูก, ลิ้น, กาย และใจ"
ฉทานศาลา 0,น.,ศาลาเป็นที่ทำงาน ๖ แห่ง
ฉนวน 0,น.,ต้นไม้ในจำพวกไม้ชิงชัน
ฉนัง 0,น.,หม้อ (ข.)
ฉนาก 0,น.,ชื่อปลาน้ำเค็มชนิดหนึ่ง ปากส่วนบนยื่นออกไปข้างหน้าเหมือนฟันเลื่อย
ฉนำ 0,น.,ปี
ฉบับ 0,น.,"ตำรับ, แบบ, วิธี, เช่น ""ช่างบั้งไฟเฮ้ดฉบับใด"""
ฉม 0,ว.,"กลิ่นหอม, เครื่องหอม"
ฉมวก 0,น.,เครื่องมือสำหรับแทงปลา มีสามแฉกปลายมีเงี่ยงด้ามยาว
ฉลาด 0,น.,ชื่อปลาน้ำจืดชนิดหนึ่ง ตัวแบน ๆ คล้ายปลากราย
ฉศก 0,น.,เลขหกที่เป็นตัวท้ายแห่งจุลศักราช โบราณว่า กัด
ฉอ 0,ก.,"โกง, ฉ้อโกง"
ฉะกุล 0,น.,"วงศ์, เชื้อสาย, เผ่าพันธุ์"
ฉัททันต์ 0,น.,ช้างเผือกตระกูลหนึ่ง
ฉันทาคติ 0,น.,ความลำเอียงเพราะรักใคร่ชอบใจ (ป.)
ฉันทานุมัติ 0,น.,การรับมอบหมาย
ฉัพพรรณรังสี 0,น.,รัศมี ๖ ประการ คือ ๑. นิล เขียวเหมือนดอกอัญชัญ ๒. ปีด เหลืองเหมือนหรดาลทอง ๓. โลหิต แดงเหมือนตะวันอ่อน ๔. โอทาต ขาวเหมือนแผ่นเงิน ๕. มัญเชฐ สีหงสบาทเหมือนดอกเซ่ง หรือหงอนไก่ ๖. ปภัสร เลื่อมพรายเหมือนแก้วผลึก (ป.)
ฉาก 0,น.,"เครื่องบัง, เครื่องกั้น, ภาพที่เขียนในเวทีเล่นละครให้เป็นรูปต่าง ๆ เช่น รุปห้องเรียนเพื่อประกอบเรื่องที่เล่นละคร"
ฉาก 1,น.,"เครื่องสำหรับวัดมุมซึ่งมี ๙๐ องศา, มุมที่กางได้ ๙๐ องศา เรียกว่า มุมฉาก"
ฉาง 0,น.,ยุ้ง หรือโรงที่เก็บวัตถุสิ่งของ เช่น ข้าว หรือเกลือที่มีจำนวนมาก
ฉาตกภัย 0,น.,"ถัยจากการอดอาหาร, โดยปริยาย หมายถึง ข้าวยากหมากแพง"
ฉาบ 0,น.,เครื่องตีชนิดหนึ่ง ทำด้วยโลหะสำหรับทำจังหวะ
ฉาบ 1,น.,"ทา, เคลือบ"
ฉาย 0,น.,"ที่ร่ม, เงา"
ฉาย 1,น.,ชื่อรองซึ่งตั้งเป็นภาษามคธ หรือบาลีของพระภิกษุเวลาอุปสมบท
ฉาย 2,ก.,"ส่องแสงออกไป เช่น ฉายไฟฉาย, ฉายหนัง"
ฉายา 0,น.,"ที่ร่ม, เงา"
ฉายา 1,น.,ชื่อรองซึ่งตั้งเป็นภาษามคธ หรือบาลีของพระภิกษุเวลาอุปสมบท
ฉายา 2,ก.,"ส่องแสงออกไป เช่น ฉายไฟฉาย, ฉายหนัง"
ฉ่ำฉา 0,น.,ไม้ต้นเนื้อออกใช้ทำลังบรรจุสิ่งของ ใช้สำหรับเลี้ยงครั่ง
ฉิ่ง 0,น.,เครื่องดนตรีชนิดหนึ่งทำด้วยโลหะ สำหรับอกจังหวะเข้ากับ ดนตรีอื่น ๆ
ฉิมพลี 0,น.,ไม้งิ้ว (ป.)
ฉีก 0,ก.,"ทำให้ขาดออกจากกัน เช่น ใช้มือฉีกเสื้อผ้า หรือใบตองออกจากกัน, แยกออกจากกัน, ส่วนมากว่า จีก"
ฉีด 0,ก.,"ทำให้ของเหลวพุ่งไป เช่น ฉีดยา, การไหล หรือพุ่งไปตามกัน เช่น โลหิตไหลตามเส้นทางเดินในร่างกาย"
ฉุน 0,ก.,โกรธ
ฉุน 1,ว.,เมา เช่น ยาฉุน = ยาเส้นรสเมามาก
ฉุย 0,ก.,"เฉียดไป, เฉี่ยวไป"
ฉูน 0,ก.,โกรธ
เฉ่ง 0,ก.,"ชำระสะสางเงินที่ได้เสียกัน หรือเงินที่ค้างกันอยู่, ส่วนมากหมายถึง การจ่ายเงิน"
เฉพาะ 0,ก.,"เจาะจง, เพ่งตรง, ตรงตัว"
เฉพาะ 1,ว.,"เผชิญ, แต่, จำกัด, เท่านี้, เท่านั้น"
เฉย 0,ก.,"ละเลย, ทอดทิ้ง, ไม่เหลียวแล"
เฉย 1,ว.,"นิ่ง, ไม่เอาใจใส่"
เฉลย 0,ก.,"แก้ความ, พูดแก้, พูดตอบ, ตอบคำทักท้วง"
เฉลา 0,ว.,"สวย, งาม, เกลี้ยงเกลา"
เฉลิม 0,ก.,"ทำเสริม, เพิ่มเติม, วิเศษ, ยอด"
เฉลียง 0,น.,"ระเบียง, ซีก, เฉียง"
เฉลี่ยง 0,น.,"ยาน, คานหาม"
เฉลียว 0,ก.,"นึกขึ้นได้, คิดขึ้นได้"
เฉวียง 0,ก.,"เอียง, เบี่ยง, ตะแคง, ทแยง"
เฉียง 0,ก.,"ทแยง, เบี่ยง, ข้าง, ฝ่าย"
แฉ่ง 0,น.,เครื่องดนตรีชนิดหนึ่งทำด้วยโลหะ คล้ายฉิ่งแต่ใหญ่กว่า (ฉาบ)
แฉ้มแล่ม 0,ว.,"แช่มช้อย, งดงาม"
แฉล้ม 0,ว.,"แช่มช้อย, งดงาม"
โฉด 0,ว.,"โง่, เขลา"
โฉนด 0,น.,หนังสือสำคัญสำหรับถือกรรมสิทธิ์ที่ดิน ซึ่งเจ้าพนักงานออกให้แก่เจ้าของที่ดิน
โฉม 0,น.,"รูปร่าง, ซวดทรง (โบ.)"
โฉมเฉลา 0,ว.,"สวย, งาม, เกลี้ยงเกลา"
โฉมเฉลา 1,ว.,รูปงามสดใส (ดู เฉลา)
