คำ,POS,ความหมาย
ชก 0,ก.,"ต่อย, กระแทก, ทิ่มด้วยหมัด"
ชง 0,ก.,เทน้ำร้อนลงบนใบชา หรือยาเพื่อให้รสออก
ชงโค 0,น.,ไม้ยืนต้นมีสองชนิด คือ ชนิดดอกสีแดง และดอกสีม่วงใช้เป็นไม้ประดับ
ชงโคขี้ไก่ 0,น.,ไม้ต้นมี ๒ ชนิด ชนิดหนึ่งเป็นไม้พุ่มขนาดกลาง ใบดกหนาทึบใบเป็นแฝดแตกกลาง ออกดอกสีขาว มีฝักเล็ก ๆ และดูคล้ายแฝดติดกัน ใบมีรสเปรี้ยวและฝาด อีกชนิดหนึ่งเป็นไม้เถาใช้เปลือกทำปอได้
ชงฆ์ 0,น.,แข้ง
ชฎา 0,น.,"ผมที่เกล้าเป็นมวยสูงขึ้น, เครื่องสวมศีรษะรูปคล้ายมงกุฎ"
ชฎิล 0,น.,"ผู้มีผมเกล้าเป็นชฎา, นักพรดนิกายหนึ่งที่เรียกว่า ฤาษี"
ชดช่อย 0,ก.,ช่วยเหลือ
ชน 0,น.,คน
ชน 1,น.,ว่านชนิดหนึ่งเรียก ว่านชน
ชน 2,ก.,"เอาศีรษะปะทะกัน, ต่อสู้กันของสัตว์ ใช้เขาปะทะกัน"
ชนก 0,น.,ชายผู้ให้กำเนิด = พ่อ
ชนนี 0,น.,หญิงผู้ให้กำเนิด = แม่
ชนบท 0,น.,บ้านนอก
ชนม์ 0,น.,การเกิด
ชนมพรรษา 0,น.,อายุ
ชนวน 0,น.,หินชนิดหนึ่งประกอบด้วยแท่งหินแผ่นบาง ๆ เนื้อละเอียดช้อนติดกันหลาย ๆ ชั้น
ชนวน 1,น.,สิ่งที่เป็นสื่อ
ชนะ 0,ก.,"ตรงข้ามกับแพ้, มีชัย, เช่น บ่ชนะ = ไม่ไหว, บ่ชนะซิกิน = กินไม่หมด, กินไม่ไหว, บ่ชนะซิไล่ = ไล่ไม่ไหว, บ่ชนะซิเว้า = พูดเท่าไรก็ไม่เชื่อฟัง"
ชนิด 0,น.,"อย่าง, แผนก"
ชบา 0,น.,พรรณไม้ดอกประเภทหนึ่ง มีสองชนิด คือชนิดดอกสีแดง และชนิดดอกสีขาว
ชม 0,ก.,"ดูด้วยความเพลิดเพลิน เช่น ชมนก, ชมป่า"
ชมชื่น 0,น.,พรรณไม้ชนิดหนึ่ง ใบทำยาได้
ชมชื่น 1,ก.,"สนุก, รื่นรมย์, สดชื่น"
ชมพู 0,น.,"พรรณไม้หว้าชนิดมีลูกใหญ่, ส่วนมากเรียก ชุมพู"
ชมพู 1,ว.,"สีแดงปนขาว, มักเรียกว่า สีหมากหว้าชมพู"
ชมพูทวีป 0,น.,ประเทศอินเดีย
ชมา 0,น.,แมว (ข.)
ชมา 1,ว.,"ทั้งคู่, ทั้งสอง (ข.)"
ชย 0,น.,"ความแก่, ความชำรุดทรุดโทรม"
ชรทึง 0,น.,แม่น้ำ
ชระทึง 0,น.,แม่น้ำ
ชล 0,น.,น้ำ
ชลชาติ 0,น.,สัตว์น้ำ
ชลธาร์ 0,น.,"แม่น้ำ, ลำน้ำ"
ชลธาร 0,น.,"แม่น้ำ, ลำน้ำ"
ชลนัยน์ 0,น.,น้ำตา
ชลนา 0,น.,น้ำตา
ชลเนตร 0,น.,น้ำตา
ชลประทาน 0,น.,การทดน้ำและการระบายน้ำเพื่อการเพาะปลูก
ชลมารค 0,น.,"สายน้ำ, ทางน้ำ"
ชลสกาย 0,น.,"บ่อ, สระ"
ชลาธาร 0,น.,"บ่อ, สระ"
ชลาลัย 0,น.,"ทะเล, แม่น้ำ"
ชลาศัย 0,น.,"บ่อ, สระ, ทะเล, ปลา"
ชลี 0,ก.,ไหว้ ย่อมาจาก อัญชลี แผลงเป็น เองชุลี
ชลี 1,ก.,"ประณมมือ, ไหว้"
ชเล 0,น.,"ทะเล, ในน้ำ"
ช่วง 0,ก.,"แข่ง, แข่งขัน (ใช้แก่ความเร็ว) เช่น ช่วงเฮือ = แข่งเรือ แล่นช่วงกัน = วิ่งแข่งกัน"
ช่วง 1,ว.,"นำหน้า, ล้ำหน้า, เลย"
ช่วงชิง 0,ก.,"แย่ง, ชิง"
ช่วงใช้ 0,ก.,รับใช้ เช่น ข้าช่วงใช้ = ทาสรับใช้
ชวด 0,น.,"ปีที่หนึ่งในปีนักษัตร, ปีหนู"
ชวด 1,ก.,"พลาดหวัง, ไม่ได้ดังใจ"
ชวด 2,ว.,"พ้น, เกิน, ถึง, เช่น ชวดชรา = ถึงชรา, ชวดประมาณ เกินประมาณ, พ้นประมาณ"
ชวน 0,ก.,"ชักนำ, ขอให้ทำตาม, โน้มน้าว"
ชวน 1,น.,"ความเร็ว, ความไว, ความเร็วของปัญญา หรือความคิด"
ชวนหัว 0,น.,การแสดงที่ทำให้ขบขัน หรือก่อให้เกิดการหัวเราะ
ช่วย 0,ก.,"สิ่งเสริมให้สำเร็จประโยชน์, ป้องกัน"
ชวร 0,น.,"ไข้, ความไข้"
ชวร 1,ก.,"เป็นไข้, ป่วย (ป., ส.)"
ชวลิต 0,ว.,"รุ่งเรือง, รุ่งโรจน์, สว่าง"
ชวา 0,น.,ชนชาวเกาะชวา หรือเมืองชวา
ชวา 1,น.,นครหลวงพระบางสมัยโบราณ เรียก เมืองชวา
ชวา 2,น.,ปี่ชนิดหนึ่ง เรียก ปี่ชวา
ชวา 3,น.,นกชนิดหนึ่ง = นกเขาชวา
ชวาล 0,น.,"ความรุ่งเรือง, เปลวไฟ, โคมไฟ, สว่าง"
ชวาล 1,ว.,"ลุกโพลง, สว่างโพลง (ป.)"
ชวาลา 0,น.,ตะเกียง (ป.)
ช่อ 0,น.,"สิ่งที่เป็นกลุ่มเป็นพวง เช่น ก้อนเมฆ, ใบ หรือ ดอกไม้"
ช่อ 1,น.,บทหรือข้อใช้สำหรับมนต์คาถา ว่า “มนต์ ช่อหนึ่ง คาถาสองช่อ’'
ช่อง 0,น.,"รูที่สามารถมองทะลุได้, ปล่อง, โอกาส, ทาง"
ช้อง 0,น.,ผมเทียมสำหรับเสริม หรือแทนผมจริง เช่น “ผมบ่หลายได้ดื่มช้องพี่น้องบ่หลายให้ดื่มเสี่ยว’'
ช้อง 1,น.,ต้นไม้ชนิดหนึ่งใช้ทำยาได้
ช้องแมว 0,น.,ต้นไม้ชนิดหนึ่งใช้ทำยาได้
ช้อน 0,น.,เครื่องมือจับปลาชนิดหนึ่ง ถักด้วยเชือกป่านหรือด้ายเป็นตา ๆ มีคันถือช้อนลงไปในน้ำ
ชอน 0,น.,แมลงชนิดหนึ่งเรียก แมงชอน
ชอน 1,ก.,เหลือบมอง.
ชอนไซ 0,ก.,สอดแทรกแหวกไป
ชอนแลน 0,ก.,สอดส่ายสายตาดู
ชอบ 0,ก.,"พอใจ, รักใคร่, ถูกต้อง, ถูกใจ, ถูกกัน, ส่วนมาก ว่า มัก"
ช่อฟ้า 0,น.,ไม้เครื่องโบสถ์ ศาลา หรือ ปราสาทที่วางบนใบระการูปเหมือนหัวนาคชูขึ้นเบื้องบน
ช่อย 0,ก.,"สิ่งเสริมให้สำเร็จประโยชน์, ป้องกัน"
ช้อย 0,ว.,"งาม, เบิกบาน, อ่อนโยน, อ่อนไปทั้งตัว"
ช้อยม้อย 0,ว.,"เหนื่อยมาก, อ่อนเพลียม่าก, เงียบหาย, เงียบสนิท"
ชะ 0,ก.,"ชำระ, ล้าง, รื้อ, ค้น"
ชะงอก 0,น.,"หินที่งอกออกไป, ส่วนมากเรียกงอก"
ชะง่อน 0,น.,"ก้อนหินที่เป็นปุ่มเป็นก้อนยื่นออกไปจากฐานตามภูเขา, ส่วนมากเรียก ง่อน, โง่น"
ชะงัก 0,ก.,หยุดทันที
ชะงัด 0,ว.,"แม่นยำ, ขลัง, แน่นอน, ได้จริง"
ชะง้า 0,น.,เห็ดชนิดหนึ่งดอกใหญ่ มีพิษ เบื่อเมา
ชะงุ้ม 0,ว.,เป็นเพิงยื่นงุ้มลงมา
ชะเง้อ 0,ก.,ชูคอขึ้นมอง
ชะเงื้อม 0,ว.,ยื่นออกจากที่สูง
ชะแง้ 0,ก.,แหงนหน้าดู
ชะโงก 0,ก.,ยื่นหน้าออกไปดู
ชะช่อน 0,ว.,"งาม, สดใส"
ชะโด 0,น.,ปลาชนิดหนึ่งมีเกล็ดตัวกลมคล้ายปลาช่อน
ชะตา 0,น.,"เวลาที่เป็นกำเนิดของคน และสิ่งของที่สำคัญที่เกี่ยวกับเวลาเช่นนั้น, รูปวงกลมแบ่งออกเป็น ๑๒ ราศี ที่โหรผูกขึ้น เรียกว่า ดวงชะตา;โดยปริยาย หมายถึง ลักษณะที่ปรากฏของบุคคล เช่น ที่กล่าวว่าถูกชะตา มักว่า ชาตา"
ชะนี 0,น.,สัตว์ป่าชนิดหนึ่งคล้ายลิง แต่ไม่มีหาง แขนยาว
ชะเนาะ 0,น.,ไม้สำหรับขันบิดเชือกที่ผูกให้แน่น
ชะบุ 0,ว.,"ตููม (ใช้แก่ดอกไม้) โดยปริยายหมายถึง งาม, น่ารัก, สะฟู, จุบุ"
ชะพ่ม 0,ว.,"สะพรั่ง, พรั่งพร้อม"
ชะลอม 0,น.,เครื่องจักสานชนิดหนึ่ง สานด้วยตอกเป็นตาห่าง ๆ สำหรับใส่สิ่งของ
ชะแลง 0,น.,เหล็กทั้งแท่งมีปลายแบนสำหรับงัดสิ่งของ หรือขุดดิน
ชะแลบ 0,ว.,"งาม, ละเอียด, นิ่มนวล"
ชัก 0,ก.,"ฉุด, ลาก, เหนี่ยวรั้ง, เช่น ชักว่าว"
ชัก 1,ก.,"เอาออก, คัดออกไว้, อาการของคน หรือสัตว์ที่กล้ามเนื้อกระตุกเมื่อเวลาเจ็บหรือจวนตาย"
ชักงัก 0,ก.,หยุดทันที
ชัง 0,ก.,"เกลียด, ไม่ชอบ"
ชั่ง 0,น.,"มาตราเงินไทยจำนวน ๘๐ บาท, มาตราสำหรับกำหนดน้ำหนักเท่ากับน้ำหนักเงิน ๘๐ บาท, แต่ชั่งจีน หนักเท่ากับ ๔๐ บาท"
ชั่ง 1,ก.,"ทำให้รู้จักน้ำหนัก, สอบน้ำหนัก, ชั่งใจ, ทำใจให้แน่, ตัดสินใจ, กำหนดใจให้แน่นอนด้วยการไตร่ตรอง"
ชัชวาล 0,ว.,"สว่าง, รุ่งเรือง, โพลงขึ้น (ป.)"
ชัฎ 0,น.,"ปาทึบ, ป่ารก (ป.)"
ชัด 0,ว.,"เด่น, เห็นชัดเจน, ถูกต้องแน่นอน, ส่วนมากว่า จะแจ้ง"
ชั้น 0,น.,"ที่สำหรับวางของอย่างหนึ่ง มีพื้นซ้อนกันคล้ายตู้ แต่ไม่มีบานปิด, สิ่งที่ทับกันเป็นแผ่น ๆ , เช่น ขนมชั้น สิ่งที่ซ้อนกันเป็นตอน ๆ , เช่นฉัตรห้าชั้น, ความลดหลั่นกัน, เช่น ชั้นวรรณะ, ขั้นตอน, ลำดับ, เช่น ชั้น ๑, ชั้น ๒"
ชัน 0,ก.,"ตั้ง, ลุก, ตรงขึ้นไป, เช่น ชันเข่า, ขนชัน"
ชัน 1,ว.,"ไม่ลาด, สูงตั้งตรงขึ้นไป"
ชั้นเชิง 0,น.,"กระบวนการซับซ้อน, เล่ห์กล, อุบาย"
ชันษะ 0,น.,อายุ
ชันสูตร 0,ก.,"ตรวจตรา, สอบสวนเอาเหตุผล"
ชัย 0,น.,"ความแก่, ความชำรุดทรุดโทรม"
ชัย 1,น.,"ความชนะ, ชัยภูมิ = พื้นที่อันมีชัย ; โดยปริยาย หมายความว่าทำเลที่เหมาะ, ชัยศรี = ความสง่าผ่าเผยด้วยความชนะ, ใช้ประกอบกับชื่อต่าง ๆ ที่ถือว่าเป็นมงคล, เช่น ธุงชัย = ธงชัย, สูตรชัย = สวดชัยมงคลคาถา"
ชั่ว 0,น.,"ชั้น, สมัย, เช่น ชั่วพ่อ, ชั่วลูก, ชั่วหลาน; ตอน, ระยะ, เช่น ทาง ๒ ชั่ว ๒ ชั่ว; ตลอด, สิ้น, เช่น ชั่วเคี้ยวหมากจืด, ชั่วนึ่งข้าวสุก"
ชั่ว 1,ว.,"ไม่ดี, เลว, เสีย, ชั่วช้า, เลวทราม"
ชั่วโมง 0,น.,ระยะเวลา ๖๐ นาที
ชั่วลาง 0,น.,"ตลอดมา, สืบต่อกันมาเป็นระยะนานแล้ว, เช่น ""ไทว่าไว้หลายชั้นชั่วลาง"" (ฮุ่ง.)"
ช้า 0,ว.,"นาน, ไม่เร็ว, ไม่ไว"
ชา 0,น.,"ไม้พุ่มชนิดหนึ่งมี ๒ ชนิด ชนิดใบเล็กใช้ใบชงน้ำร้อนกิน และปลูกเป็นไม้ดัด, ชนิดใบใหญ่เรียก ใบเหมี้ยง ใช้หมักผสมเครื่องปรุงแล้วอมแทนหมาก"
ชา 1,น.,กัญชา
ชา 2,ว.,"อาการเป็นเหน็บ เนื้อตัวขาดความรู้สึก, ส่วนมากว่า มึนชา, มึนเชีย"
ชาก 0,ก.,"ดึงอย่างแรง, กระตุก, กระชาก"
ช้าคราม หรือ 0,น.,ไม้พุ่มชนิดหนึ่ง ใบคล้ายครามแต่ใช้ทำสีย้อมผ้าไม่ได้
ช้าง 0,น.,"สัตว์สี่เท้าชนิดหนึ่ง ตัวโตกว่าสัตว์สี่เท้าทั้งปวง มีงวงและงา ช้างตัวเมียเรียก ช้างแม่, ช้างตกมันเรียก ช้างย้อย, ช้างตัวผู้มีงาเดียวเรียก ช้างสีดอ หรือช้างดอ"
ช่าง 0,ก.,"ชำนาญในการฝีมือ หรือศิลปะ เช่น ช่างเกวียน, ช่างมีด เป็นต้น"
ช่าง 1,ก.,"ปล่อย, วางธุระ, ทำเนา, เช่น ช่างเถาะ = ช่างเถอะ, ช่างแหล้ว = ช่างเป็นไร"
ช่าง 2,ก.,"คำพูคที่แสดงความสงสัยแคลงใจ เช่น ช่างว่าแท้ = ทำไมจึงพูดเช่นนั้น, ช่างเฮ็ดแท้ = ทำไมจึงทำเช่นนั้น"
ช้างน้าว 0,น.,พืชชนิดหนึ่ง = ปลงพิษ
ช้างน้ำ 0,น.,สัตว์ชนิดหนึ่งรูปร่างเหมือนช้าง อาศัยอยู่ในน้ำ
ช่างแม่มึง 0,*ก.,(ปาก) เป็นคำด่า หรือพูดด้วยความโกรธ
ช่างหัวมึง 0,*ก.,(ปาก) เป็นคำด่า หรือพูดด้วยความโกรธ
ช่างหีแม่มึง 0,*ก.,(ปาก) เป็นคำด่า หรือพูดด้วยความโกรธ
ช้าช่อน 0,ว.,"งาม, สดใส"
ชาญ 0,ว.,"ชำนาญ, รู้, ว่องไว, คล่องแคล่ว"
ชาด 0,น.,"วัสดุสีแดงสด เป็นผงก็มี เป็นก้อนก็มี ใช้ทำยาและผสมน้ำมัน สำหรับประทับตราและทาสิ่งของ, ส่วนมากเรียก น้ำหาง"
ชาด 1,ว.,สีแดง
ชาดก 0,น.,"เรื่องของพระพุทธเจ้าที่มีมาในชาติก่อน ๆ , เป็นชื่อคัมภีร์ใน พระพุทธศาสนา ส่วนหนึ่งในเก้าส่วนที่ เรียกว่า นวังคสัตถุศาสน์ (ป.)"
ชาตรี 0,น.,คนเก่งทางฝีมือ ศิลปะ หรือวิชาอาคม (ส.)
ชาตะ 0,ก.,เกิด (ป.)
ชาตา 0,น.,"เวลาที่เป็นกำเนิดของคน และสิ่งสำคัญที่เกี่ยวกับเวลาเช่นนั้น, ทำพิธีต่ออายุเรียกว่า เอาชาตา หรือสูตรชาตา"
ชาติ 0,น.,"การเกิด, การเป็นขึ้นมา, พวก, ตระกูล, ครัว, เหล่า, กำเนิด, ชนิด, จำพวก, หมู่, ชั้น, ประเทศ"
ชาน 0,น.,"พื้นเรือนนอกชายคา เช่น นอกชาน, พื้นที่นอกตัวเมือง หรือนอกกำแพงเมืองออกไปเรียก ชานเมือง เป็นต้น"
ชานดัง 0,น.,ริมฝีปากข้างบนต่อจากรูจมูกลงมา
ชานมน 0,น.,หน้ามุขที่ไม่มีชานเล็กที่ต่อออกมาจากเรือนใหญ่ (ชานมนเทียร)
ชานุ 0,น.,เข่า (ป.)
ชาม 0,น.,ภาชนะสำหรับใส่อาหารกินชนิดหนึ่ง
ชาย 0,น.,"เพศผู้ (สำหรับคน), เพศตรงข้ามกับหญิง"
ชายชเร 0,น.,"ชายซัดเซพเนจร, ชายจรจัด, เช่น ""ชายชเรเหล้า สาวบ่เอาก็ตามช่าง"""
ชายเหิน 0,น.,ไม้ดอกชนิดหนึ่ง ดอกสีเหลือง กลิ่นหอม
ชายฮาม 0,น.,"ชายหนุ่ม, หนุ่มใหญ่"
ชายา 0,น.,เมีย (ป.)
ชาระ 0,น.,"ชายชู้, ชายที่รัก (ป.)"
ชารี 0,น.,"หญิงชู้, หญิงที่รัก (ป.)"
ชาลา 0,น.,"ความรุ่งเรือง, เปลวไฟ, โคมไฟ"
ชาลา 1,น.,"ชายเรือน, พื้นภายนอกเรือน (ป.)"
ช่าลื้อ 0,ก.,ลือโด่งดัง
ชาว 0,น.,"หมู่, พวก, ผู้อาศัยอยู่, คนที่อยู่ประจำถิ่นใดถิ่นหนึ่ง, เช่น ชาวโลก, ชาวบ้าน, ชาวเมือง เป็นต้น, ส่วนมากว่า ไทย"
ชำ 0,ก.,"แช่, ฝังไว, เช่น “แม่นจัก ชำ แช่ไว้ในน้ำก็เบ่าวาง"" (ศิลป์.)"
ช้ำ 0,ว.,"เจ็บ, ระบบ, บวม"
ช้ำ 1,ว.,สีแดงแก่ อย่างสีลูกหว้าสุกเต็มที่
ชำนะ 0,ก.,"ชนะ, ปราบ (ภาษาไทยเติมพูดว่า แพ้)"
ชำนาญ 0,ก.,"รู้ละเอียด, ทำได้คล่อง"
ชำนิ 0,ก.,"รู้แน่, รู้ชัดเจน"
ชำราบ 0,ก.,"ซึมซาบ, ทราบ, รู้"
ชำลา 0,ว.,"ที่ผึ่งแดด, ปิ้ง ย่างยังไม่แห้งสนิท (ใช้แก่ ปลาหรือเนื้อ)"
ชำฮะ 0,ก.,"ชำระ, สะสาง, ทำให้ดี, เช่น อาบน้ำชำระกาย; พิจารณาตัดสินให้, เช่น ชำฮะความ; ปัครังควาน, เช่น สูตรชำฮะงี เป็นต้น"
ชิ 0,*ว.,"เป็นกริยานุเคราะห์ ให้นำหน้าคำกริยาอื่นที่บอกเวลา อนาคต เช่น ชิอยู่, ชิไป"
ชิง 0,ก.,"แบ่งเอามา, หยิบฉวยเอาต่อหนำต่อตา หรือจากมือ"
ชิงยาด 0,ก.,"แย่ง, ชิง"
ชิน 0,น.,"บุญกรรม, วาสนา"
ชิ้น 0,น.,เนื้อสัตว์
ชิ้นโค้น 0,น.,"ก้อนเนื้อ, เนื้อชิ้นใหญ่ ส่วนมาก หมายถึง ก้อนเนื้อที่ย่างแล้ว"
ชิ้นจิก 0,น.,เนื้อทำเป็นริ้วตากแห้ง
ชิ้นต่อง 0,น.,เนื้อทำเป็นริ้วตากแห้ง
ชิ้นต่อน 0,น.,ก้อนเนื้อขนาดเล็กกว่าชิ้นโค้น
ชินบุตร 0,น.,สาวกของพระพุทธเจ้า (ป.)
