คำ,POS,ความหมาย
ซก ๆ 0,ว.,อาการเดินเซ่อ หรือซุ่มซ่าม เช่น ย่างซก ๆ
ซกงก 0,ว.,"ลักษณะสิ่งของขนาดใหญ่ที่ยื่นงอออกมา เช่น งูยอคอซกงก = งูชูคอขึ้นสูง, ถ้าขนาดเล็ก เรียก ซ็อกง็อก"
ซกเซ็ก ๆ 0,ว.,อาการเดินไม่เป็นปกติของคนอ่อนเพลียเหมือนจะสิ้นเรี่ยวแรง
ซกมก 0,ว.,อาการนั่ง หรือยืนคอตกซึมเศร้า ใช้สำหรับสิ่งใหญ่ถ้าสิ่งเล็กว่า ซ็อกม็อก
ซกลก 0,ว.,"ไม่เรียบร้อย, ซุ่มซ่าม, เช่น ""ซกลก บ่ถืกโฉลกโซกโลกบ่ลืกตา"" ใช้ควบกับคำว่า โซกโลก เป็น ซกลกโซกโลก ก็ได้"
ซง 0,น.,"รูปร่าง, ทรวดทรง"
ซ้ง 0,น.,"พื้นที่ที่ยื่นล้ำไป, แหลม"
ซง 1,ว.,"เงียบเหงา, ไม่สดชื่น, ซึม"
ซ้ง 1,?,ดู จัง
ซง 2,ว.,"คาดว่า, น่าจะ, คล้ายจะ เช่น ซงซิเป็นไข้ = คล้ายจะเป็นไข้, ลูกไก่ตัวนี้ซงซิตาย = ลูกไก่ตัวนี้คาดว่าต้องตาย"
ซงมง 0,ว.,ซึมเศร้า
ซด 0,น.,ส่วนของเรือที่ติดอยู่ข้าง ๆ ภายนอกฝา
ซด 1,น.,เฉลียงเรือน
ซด 2,น.,"เฉลียง, ระเบียง"
ซด 3,ก.,สูดน้ำเข้าไปในปาก เช่น ซดน้ำแกง
ซด ๆ 0,ว.,ลักษณะของเหลวที่ไหล หรือหยดออกมาอย่างต่อเนื่อง เช่น เหงื่อไหลซด ๆ หรือเลือดย้อยซด ๆ
ซ้น 0,ก.,"ซุก เช่น ไก่เอาหัวซ้นปีก, เคลื่อน, เคล็ด เช่น มือซ้น, พึ่ง, อาศัย, เช่น ซ้นฮ่มไม้, ขอซ้นเพิ่งบุญ"
ซบ 0,น.,เครื่องจักสาน หรือสิ่งอื่นที่ใช้บรรจุหรือห่อสิ่งของ
ซบเกียน 0,น.,เครื่องจักสานสำหรับบรรทุกข้าวเปลือกที่วางไว้บนเกวียน
ซบน้ำอ้อย 0,น.,ใบอ้อย หรือกาบกล้วยแห่งที่ใช้ห่อน้ำอ้อยหลาย ๆ งบรวมกัน
ซบบาตร 0,น.,ถลกบาตร
ซบมีด 0,น.,"ฝักมีด, ปลอกมีด"
ซบลบ 0,ว.,"ที่เรียกกันอยู่เป็นจำนวนมาก เช่น ตั้งซบลบ, ยืนซบลบ, เรียงกันซบลบ"
ซบหมอน 0,น.,ปลอกหมอน
ซวง 0,น.,เครื่องจักสานสำหรับปลาชนิดหนึ่ง ลักษณะปากบานก้นสอบ ใช้ดักปลาในที่น้ำไหลเชี่ยว = กะหูด
ซวง 1,น.,งูใหญ่ในวรรณคดี
ซวง 2,น.,ตำหนิสีแดงเป็นเสนียดที่มีในหญิงหรือชาย
ซวง 3,ก.,ยื่นมือทั้งสองคว้าจับ เช่น ซวงอุ้ม
ซวง 4,น.,โรคชนิดหนึ่ง = โรคงูสวัด
ซวง 5,น.,งูทางไสยศาสตร์ที่ถูกคุณ
ซวด 0,ก.,มอบสิ่งของไว้กับผู้อื่นเพื่อประกันเงินกู้ โดยสัญญาว่าเขาจะไถ่ถอนคืน
ซวด 1,ก.,"จำนำ, จำนอง"
ซวด 2,ก.,"รู้สึกตื่นตัว, ได้สติ เช่น ซวดฮู้เมื่อ = รู้สึกตัวตื่นขึ้น"
ซวด 3,ว.,เสียงดังกราว เช่น ตบมือดังซวด ๆ
ซวดเซ 0,ก.,"เอนไป, ถลาไป, เสียหลัก"
ซวดทรง 0,น.,"รูปร่าง, รูปพรรณ, สัณฐาน"
ซวดน้ำ 0,ก.,"ดำน้ำอยู่นานโดยใช้คาถาหรือเวทย์มนต์, ดำน้ำ"
ซวดลวด 0,ว.,"ซุกซน, ทะลึ่ง, แสดงกิริยาไม่เหมาะสม, ตะกละ"
ซวน 0,ก.,"เซ, ตั้งตัวไม่ตรง"
ซ้วน 0,น.,"เครื่องตัก, เครื่องช้อน"
ซวน 1,ก.,"ระเบิด, ปะทุออก เช่น บั้งไฟววน"
ซ้วน 1,ก.,"ตัก, ช้อน, ช่วยเหลือ, รับภาระแทน"
ซ้วนชู 0,ก.,อุปถัมภ์
ซวนเซ 0,ก.,"เซ, ตั้งตัวไม่ตรง"
ซ่วมง่วม 0,ก.,"งองุ้มลง ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็กว่า ซ่อมง่อม"
ซวย 0,น.,กรวย
ซวย 1,น.,ปลาสวาย บางถิ่นเรียก ปลาอี้ปอ
ซวย 2,ว.,"โชคไม่ดี, เคราะห์ร้าย"
ซวยปลา 0,น.,ครีบปลา
ซวยมือ 0,น.,กรวยสวมนิ้วมือใช้ในการฟ้อนรำ
ซวยลวย 0,ว.,ลักษณะสิ่งที่ยาวอวบเรียงกันอยู่จำนวนมาก
ซ้วยล้วย 0,ว.,สลวย
ซวาง 0,น.,งูใหญ่ในวรรณคดี
ซวาด 0,ว.,เสียงดังกราว เช่น ตบมือดังซวด ๆ
ซว้าน 0,ก.,"ตัก, ช้อน, ช่วยเหลือ, รับภาระแทน"
ซวาย 0,น.,กรวย
ซอ 0,น.,"เครื่องดนตรีประเภทสี มี ๒ ชนิด คือ ซอด้วง, ซออู้"
ซ้อ 0,ว.,"ดื้อ, ด้าน, เรียกของที่สุกยากว่า ซ้อไฟ"
ซอก 0,ก.,"ค้นหา, เสาะหา, แสวงหา"
ซ็อกง็อก 0,ว.,"ลักษณะสิ่งของขนาดใหญ่ที่ยื่นงอออกมา เช่น งูยอคอซกงก = งูชูคอขึ้นสูง, ถ้าขนาดเล็ก เรียก ซ็อกง็อก"
ซ็อกม็อก 0,ว.,อาการนั่ง หรือยืนคอตกซึมเศร้า ใช้สำหรับสิ่งใหญ่ถ้าสิ่งเล็กว่า ซ็อกม็อก
ซ้อง 0,ก.,ทำพร้อมกัน เช่น ซ้องสาธุการ
ซอง 0,น.,"สิ่งที่ทำขึ้นสำหรับสอดใส่สิ่งอื่น เช่น ซองจดหมาย, ซองพลู"
ซอง 1,น.,"สิ่งที่มีลักษณะคู่กัน เช่น ต้นไม้ที่ขึ้นคู่กันจากโคนเดียวกัน, วัวที่เข้าคู่กันสวยงามเสมอเหมือนกัน เรียก งัวซอง"
ซอง 2,น.,ซอกหรือช่องแคบที่สำหรับทำขึ้นสำหรับเอาช้างม้า วัวควายเข้าไปในที่บังคับ
ซ้องซ่อ 0,ก.,ยื่นออกเป็นช่อ ๆ ขึ้นเป็นแนวสลวย
ซ้องซ่อยอมืด 0,ก.,พนมมือขึ้นพร้อม ๆ กันหลายคน
ซองปาก 0,น.,ตะกร้อสวมปากสัตว์
ซ่องล่อง 0,ว.,ลักษณะของสิ่งที่เคียงกันเป็นคู่ เช่น เขางัวตั้งช่องล่อง เป็นต้น
ซองหาง 0,น.,สายรัดโคนหางม้า หรือช้าง ติดอยู่กับอานม้าหรือกูบ
ซ่อแซ่ 0,ว.,เสียงดังอย่างนั้น เช่น เสียงน้ำต้มเริ่มเดือด เป็นต้น
ซอด 0,ก.,"ทะลุปุโปร่ง เช่น คึดซอด, รั่ว เช่น หม้อก้นซอด, ถึง เช่น มาบ่ทันซอด"
ซอด 1,ว.,"ตลอด, จนกระทั่ง เช่น นอนซอดแจ้ง"
ซอน 0,ก.,"แทรก, แซง"
ซ่อน 0,ก.,"บัง, แอบแฝง, เร้นไม่ให้เห็ฯ"
ซ้อน 0,น.,ดอกมะลิซ้อน
ซ้อน 1,ก.,"ทับกัน เช่น วางสิ่งของซ้อนกัน, นอนร่วมกัน"
ซ้อนกิ่ง 0,น.,ซ่อนกลิ่น
ซ้อนบ่อน 0,ก.,"ทับกัน เช่น วางสิ่งของซ้อนกัน, นอนร่วมกัน"
ซอนแลน 0,ก.,"ชำเลืองดู, สอดสายตา เช่น ซอนแลนตาใส่สาว"
ซ่อม 0,น.,ยุ้งเก็บข้าวเปลือกที่สานด้วยไม้ไผ่
ซ้อม 0,ก.,ตำข้าวครั้งที่สามเพื่อใช้ข้าวกล้องเป็นข้าวสาร
ซ้อม 1,ก.,"ทำให้เกิดความชำนาญขึ้น เช่น ซ้อมมวย, ซ้อมเพลง"
ซอม 0,น.,"ใบ, ดอก, ช่อที่แตกออกเป็นพวง (ช่อ)"
ซอม 1,ก.,"พิจารณา, สังเกต, จับตาดู เช่น ซอมเบิ่ง"
ซอมซ่อ 0,ว.,ลักษณะอาการหดหู่ ไม่องอาจผึ่งผาย
ซอมซ่อ 1,ว.,"แต่งตัวไม่เรียบร้อย ไม่หรูหรา ใช้สำหรับขนาดเล็กหรือเด็ก, ถ้าขนาดใหญ่หรือชรา ว่า โซมโซ่"
ซอมลอม 0,ก.,"พลอยกับเขา, เอาเปรียบ เช่น ซอมลอมกิน = พลอยกิน หรือคอยกินอย่างเดียวไม่ช่วย"
ซ่อม่อ 0,ว.,อาการนั่งจ๋องอยู่กับที่อย่างคนสิ้นคิด
ซ้อม้อ 0,ว.,อาการนั่งจ๋องอยู่กับที่อย่างคนสิ้นคิด
ซ้อย 0,ว.,"ล่าสุด, ทีหลัง, เช่น ภายซ้อย = ภายซ้อย, หลานซ้อยหลานสุดท้อง (ฮุ่ง) หมดกำลัง เช่น เมื่อซ้อยม้อย = อ่อนเพลีย"
ซอย 0,น.,ทางที่แยกออกไปจากทางใหญ่
ซอย 1,ก.,"หั่น เช่น ซอยยา = หั่นใบยา, ซอยซา = หั่นกัญชา, เลื่อยไม้ที่ยังเป็นท่อนใหญ่ให้เป็นชิ้นเล็กลง เช่น หลานสุดท้อง (ฮุ้ง) ซอยไม้"
ซ้อยม้อย 0,ว.,สนิท เช่น มิดซ้อยม้อย = เงียบสนิท
ซ้อยม้อย 1,ว.,"อาการเหนื่อยอ่อน, ตาปรอย"
ซอยลอย 0,ว.,ลักษณะที่เหยียดตรงไป เช่น นั่งเหยียดขาซอยลอย
ซ้อยล้อย 0,ว.,"อาการสิ่งของที่มีลักษณะเคียงขนานกันอย่างมีระเบียบสวยงามเรียบร้อย เช่น นั่งเหยียดขาเฮียงกันว้อยล้อย, วางเฮียงกันซ้อยล้อย"
ซะ 0,ก.,"เขี่ยออกจากกัน, ค้นกระจาย, กระจาย, แผ่ซ่าน เช่น ค้นสิ่งของซะซาย, ไก่เขี่ยดินซะเต็มลานบ้าน"
ซะคอง 0,น.,ไม้เลื้องชนิดหนึ่งใบคล้ายพุทรา แต่ไม่มีขน ลำต้นและกิ่งมีหนามแหลม
ซะคอม 0,น.,"หินชนิดหนึ่งมักมีอยู่ตามชายน้ำที่ไหลเชี่ยวลักษณะกลมแข็งมากขนาดเท่าผลชะคอม เช่น ""บ่แม่นแนว ทรายผงแฮ ซะคอม แคมน้ำ"""
ซะงะ 0,ว.,"ลักษณะนั่งแบะขา หรือถ่างขาใช้แก่ของขนาดใหญ่ , ถ้าขนาดเล็กว่า ซะแงะ"
ซะง้า 0,น.,ชื่อปีไทยโบราณ = ปีมะเมีย
ซะงาบซะเงย 0,ว.,อาการเงยหน้าชื้นอ้าปากหายใจพะงาบ ๆ
ซะงาม 0,ว.,"พะงาบ, งาบ เช่น หัวใจซะงาบ"
ซะง้ำ 0,ว.,สูงและยื่นชะโงกออกมา
ซะงุ้ม 0,ว.,เป็นเพิงยื่นงุ้มลงมา
ซะแงะ 0,น.,ผักชนิดหนึ่ง = สระแหน่
ซะซะ 0,ว.,"ไหลโซม, ไหลไม่ขาดสาย เช่น เหื่อย้อยซะซะ"
ซะซาย 0,ว.,"เรี่ยราด, กระจัดกระจาย"
ซะซายอยายอยัง 0,ว.,"เรี่ยราดไป. กระหยาดกระหยาย หรือ กระซะกระซาย, ซะซาย"
ซะซายอยายอยัง 1,ก.,กระจัดกระจาย
ซะพ่ม 0,ว.,"สะพรั่ง, พรั่งพร้อม"
ซะออน 0,ว.,"ซาบซึ้ง, ประทับใจ"
ซัก 0,น.,ต้นไม้ชนิดหนึ่ง ผลใช้แทนสบู่ซักผ้า
ซัก 1,ก.,ทำให้สะอาด
ซักไซ้ 0,ว.,มาก เช่น เดิ๊กคักไค้ = ดึกมาก
ซักไซ้ 1,ว.,"ยิ่งนัก, มาก, ได้ที่, เช่น เด็กซักไซ้"
ซักสั่น 0,ก.,"เขย่า, ทำให้คลอน"
ซัง 0,ว.,"คค, ใช้สำหรับแขนและขา"
ซั้ง 0,น.,"เรียกตอก สานทางตั้งหรือทางยืนว่า ดอกซั้ง, เรียกด้ายทอหูกทางยาวหรือแนวตั้งว่า ด้ายซั้ง"
ซั้ง 1,ว.,"ไม่สด, เกือบจะเน่า ใช้สำหรับเนื้อและปลาที่กำลังจะเน่า"
ซั้ง 2,ว.,ตั้งตรงขึ้น
ซั้งมั้ง 0,ว.,อาการที่แน่นิ่งอยู่กับที่ ขยับเขยื้อนไปไหนไม่ได้ เช่น อฺยืนซั้งมั้งอยู่
ซั้งลั้ง 0,ว.,ตั้งเรียงกันเป็นแถว
ซัด 0,ก.,"ซึม, ไหลออก (ใช้แก่น้ำ), เรียกน้ำที่ไหลซึมออกมาว่าน้ำซับ, ส่วนมากว่า น้ำจั้น"
ซัด 1,ก.,"พุ่งออกไป, เช่น เอากำปั้นซัดปาก, ซัดหินแฮ่, ซัดข้าวสาร"
ซัด 2,สำ.,"ลงมือ, เอาเลย"
ซั้น 0,ว.,นั่นแหละ
ซั้น 1,ว.,"ติด ๆ กัน, ถี่ยิบ เช่น ไก่ขันซั้น"
ซั้นตั่ว 0,ว.,"อย่างนั้นแหละ, อย่างนั้นซิ"
ซั้นตี้ 0,ว.,"อย่างนั้นหรือ, งั้นรึ, เช่น เฮ้ดซั้นตี้, เฮ้ดซั้นบ่ = ทำอย่างนั้นหรือ"
ซั้นบ่ 0,ว.,"อย่างนั้นหรือ, งั้นรึ, เช่น เฮ้ดซั้นตี้, เฮ้ดซั้นบ่ = ทำอย่างนั้นหรือ"
ซั่นแล้ว 0,ว.,นั่นแหละ
ซั้นแล้ว 0,ว.,"ใช่แล้ว, อย่างนั้นแหละ"
ซับ 0,ก.,"เอาผ้า หรือกระดาษทาบที่เปียกน้ำให้แห้ง, ส่วนมากว่า จูบ"
ซับ 1,น.,"เรียกพื้นที่ซึ่งมีน้ำไหลซึมออกมาว่า ซับ, ส่วนมากว่า ซำ"
ซับ 2,ก.,"กระซิบ, ส่วนมากว่า ซิ่ม หรือ ซ่ำ"
ซับ 3,ว.,"ชำนาญ, คล่อง เช่น ช่างตัดเสื้อซับหลาย"
ซัว 0,น.,โรคผิวหนังชนิดหนึ่ง เรียก กลากซัว ลักษณะเป็นเม็ดสาก ๆ ทั่วร่างกาย
ซั้ว 0,น.,"ชื่ออาหารชนิดหนึ่งจำพวกแกง มักต้มอาหารให้สุกก่อนแล้วจึงนำมาหั่นหรือฉีกเป็นชิ้นเล็ก ๆ ใส่ลงไปในหม้อต้มใหม่พร้อมกันกับเครื่องปรุง หรือจะปรุงในถ้วยต่างหาก ก็ได้ เช่น ซั้วไก่, ซั้วกบ"
ซัวะ 0,ก.,"แซะ, เช่น ซัวะขี้ยาง, ซัวะหน่อไม้"
ซ่า 0,ก.,"ลือ, เลื่องลือ, กระฉ่อน"
ซ้า 0,น.,"กระเช้า, ตะกร้า เช่น ซ้าหมาก"
ซา 0,ก.,"เอาใจใส่, ถือเป็นสำคัญ, ถือสา เช่น ""อย่าถือคนบ้า อย่าซาคนเมา"""
ซา 1,ว.,"ไม่เกลี้ยง, ระคาย, สาก, เช่น แนวเหล็กกล้า มันถึกหินซา"
ซา 2,ว.,"ถ่วงดุลย์, เสมอเหมือนกัน ลักษระการทำงานคู่กันเสมอกัน, มีสมรรถภาพเท่ากัน เช่น หาบขงให้ซากัน, เฮ็ดเวียกซากัน"
ซาก 0,น.,"ร่างที่ทรุดโทรมไปแล้วเหลือแต่โครงร่าง ""นางนั่งไห้ขอนช้า ซากผัว"" (ศิลป์.)"
ซาก 1,ก.,"กระชาก, ดึงอย่างแรง"
ซาก 2,ว.,"เพิ่งจะ, บังเอิญ เช่น ซากพ้อ = เพิ่งจะเคยพบ, ซากได้กิน"
ซากลาก 0,ว.,ลักษณะซากของต้นไม้ กิ่งไม้แห้ง เสาหรือไม้ปลายแหลมตั้งเรียงกันอยู่เป็นจำนวนมาก
ซ้าโก 0,น.,ต้นตาลดำ
ซ้าคราม 0,น.,ไม้ต้นชนิดหนึ่งใบคล้ายใบคราม = ชะคราม
ซาง 0,น.,โรคมักเกิดแก่เด็กมีอาการปวดหัวตัวร้อน มีเม็ดขึ้นในปาก ในคอ ลิ้นเป็นฝ้า ตัวร้อน เท้าเย็น
ซาง 1,น.,พืชในตระกูลไม้ไผ่ไม่มีหนาม ปล้องยาว
ซาง 2,น.,ไม้ยืนต้นชนิดหนึ่ง ผลเล็กกลม สุกแล้วรสหวาน
ซ่างซะ 0,ว.,"รุ่มร่าม, รุงรัง, รุ่งริ่ง"
ซ่างล่าง 0,ว.,ลักษณะสิ่งของที่เป็นคู่ยาวสูงขึ้น ส่วนล่างแคบ ส่วนบนกว้างออก
ซาด 0,น.,ไม้ต้นชนิดหนึ่ง = ไม้เหียง
ซาด 1,ว.,ขวิด (ใช้แก่วัวควาย)
ซ้านม้าน 0,ว.,"ซีดเผือด, มีใบหน้าถอดสี"
ซาบ 0,ก.,กระซิบ
ซาบลาบ 0,ว.,ลักษณะของสิ่งของที่แขวน หรือตั้งเรียงกันอยู่เป็ฯแถว
ซาบลาบ 1,ว.,"ที่เรียกกันอยู่เป็นจำนวนมาก เช่น ตั้งซบลบ, ยืนซบลบ, เรียงกันซบลบ"
ซ้าพลู 0,น.,ไม้เถาชนิดหนึ่ง เถาเป็นเหลี่ยมใช้ทำยาได้ มักขึ้นคู่กับพลู = เพชรสังฆาต
ซาม 0,สัน.,จนกว่า
ซาม 1,สัน.,"จนกว่าจะถึงเวลา เช่น ซามดาย = จนกว่าจะถึงเวลาตาย, เช่น อดสาเยื้อนกินลิงดางกระต่าย อดสาเว้าผู้ฮ้าย ซามพ้อผู้ดี"
ซาม 2,ว.,"กำลังไป, กำดัด, เช่น ซามกินซามนอน = กำลังกินกำลังนอน, ซามมีแฮง = กำลังมีเรี่ยวแรง"
ซามซะ 0,ว.,"รุ่มร่าม, รุงรัง, รุ่งริ่ง"
ซาย 0,น.,วัตถุที่เป็นเศษหินขนาดเล็ก มีลักษณะร่วนไม่เกาะกัน
ซ้าย 0,ก.,"เอียง, เท, ลาด, เช่น เฮือนนี้ซ้ายไปทางข้าง"
ซ้าย 1,ว.,ตรงข้ามกับขวา
ซายซู่ 0,น.,ไม้พุ่มชนิดหนึ่ง ผลกินได้ ใช้เป็นยา
ซ้ายล้าย 0,ว.,เรียงราย
ซายวาน 0,น.,ไม้พุ่ม หรือไม้เถาชนิดหนึ่ง
ซ้ายสวย 0,ว.,"พอดี, เหมาะสม, ได้สัดส่วน เช่น ยับย้ายซ้ายสวย"
ซายเหิน 0,น.,ชื่อไม้ล้มลุกชนิดหนึ่ง ดอกใหญ่ สีขาวล้วน หรือมีสีเหลืองตอนกลางกลิ่นหอม = มหาหงส์
ซ่าฦๅ 0,ก.,"ระบือไป, กระจายไป เช่น ไตรโลกย่อมฦๅชา ใช้กับเกียรติคุณ"
ซาว 0,น.,ยี่สิบ
ซ่าว 0,ก.,บุกเบิก เช่น ซ่าวนา
ซาว 1,ก.,"ไขว่คว้า, ควานหา"
ซ่าว 1,ก.,เดาสุ่ม เช่น ยิงซ่าวไป
ซ่าวล่าว 0,ว.,รสจืด
ซ่ำ 0,ก.,"กระซิบ, ส่วนมากว่า ซิ่ม หรือ ซ่ำ"
ซ้ำ 0,ก.,ทำอย่างเดียวกันอีก
ซำ 0,น.,"เรียกพื้นที่ซึ่งมีน้ำไหลซึมออกมาว่า ซับ, ส่วนมากว่า ซำ"
ซำ 1,ก.,นั่งหรือนอนในที่แฉะ เช่น เด็กน้อยนั่งซำเยี่ยว
ซำ 2,ว.,เดินพลางวิ่งพลาง หรือครึ่งเดินครึ่งวิ่ง เช่น แล่นซำ
ซำงำ 0,ว.,"อาการของสิ่งเล็กงองุ้มลง,"
ซ้ำง้ำ 0,ว.,สูงและยื่นชะโงกออกมา
ซ้ำง้ำ 1,ว.,"อาการของสิ่งเล็กงองุ้มลง,"
ซำเรา 0,ก.,"ทุเลา, สร่างจากไข้"
ซ่ำล้าว 0,น.,เวลาโพล้เพล้หรือจวนสว่าง
ซิก 0,ก.,"พลิก, เลื่อนขึ้น เช่น ซิกเข้านึ่งในหวดให้ข้างล่างพลิกขึ้นอยู่ข้างบน = ซิกเข้า, ขยับให้เด็กที่อุ้มอยู่ในเอวให้เลื่อนสูงขึ้น = ซิกเด็กน้อยขึ้นแอว"
ซิกงิก 0,ว.,"ทำหน้างอ, แสดงความไม่พอใจ"
ซิกลิก 0,ว.,"ตรงแน่ว, ตั้งชั้นขึ้น เช่น เส้นผมตั้งชันซิกลิก"
ซิง 0,น.,เครื่องดักสัตว์ชนิดหนึ่ง จำพวกตาข่ายมีคัน
ซิง 1,น.,เครื่องชั่งน้ำหนักชนิดหนึ่ง = ตาชั่ง
ซิง 2,น.,ตาข่ายชนิดหนึ่งสำหรับดักสัตว์ เช่น กระต่ายไก่ป่า นกคุ้ม
ซิง 3,น.,ชื่อหนูตัวเล็ก ๆ ชนิดหนึ่ง หน้าแหลม ตาโปน เรียก หนูซิง
ซิด 0,ว.,ขวิด (ใช้แก่วัวควาย)
ซิม 0,ก.,กินทดลองเพื่อให้รู้รส
ซิ่ม 0,ก.,"กระซิบ, ส่วนมากว่า ซิ่ม หรือ ซ่ำ"
