คำ,POS,ความหมาย
ญวน 0,น.,ชนชาติหนึ่งอยู่ในประเทศซึ่งมีชายแดนติดกับลาวทางด้านทิศตะวันออก
ญวน 1,น.,กล้วยชนิดหนึ่ง เรียก กล้วยญวน
ญัตติ 0,น.,"คำประกาศ หรือคำเผดียงสงฆ์ให้ทราบ เพื่อทำกิจของสงฆ์ร่วมกัน, ข้อเสนอเพื่อลงมติ (ป.)"
ญาณ 0,น.,"ความรู้, ปัญญา, ปรีชาหยั่งรู้ (ป.)"
ญาณทัศน์ 0,น.,"ความรู้, ความเห็น"
ญาณศาสตร์ 0,น.,ตำราพยากรณ์
ญาติ 0,น.,พี่น้องที่นับรู้กันได้ (ป.)
ญาติกา 0,น.,ญาติ
ญาติดี 0,น.,"ดีต่อกัน ถ้าเล่นพนันไม่กินกันได้เสียด้วยกันเป็นพวกเดียวกัน, ผู้เป็นปฏิปักษ์กลับดีกัน"
ญิง 0,น.,คนที่ออกลูกได้ เรียกกันว่า แม่ญิง คู่กับชาย ซึ่งเรียกว่า พ่อซาย หรือผู้ชาย
ญี่ 0,น.,"สอง, เดือนที่สองรองจากเดือนอ้าย หรือเดือนเจียงเรียกว่า เดือนญี่ เช่น ""เดือนเจียงค่อยมาเถิงเดือนญี่"""
ญี่บา 0,น.,กล้วยไม้ชนิดหนึ่ง = กระปรอก
ญี่ปุ่น 0,น.,คนชาติหนึ่งอยู่ทางทิศตะวันออกของจีน
เญยยธรรม 0,น.,ธรรมที่ควรรู้ (ป.)
ไญยธรรม 0,น.,ธรรมที่ควรรู้ (ป.)
