คำ,POS,ความหมาย
ฐปนะ 0,น.,"การก่อสร้าง, การแต่งตั้ง, การแซ่มแซม (ป., ส.)"
ฐาน 0,น.,"ที่, ที่ตั้ง, ตำแหน่ง, หลักแหล่ง"
ฐานันดร 0,น.,ลำดับตำแหน่งยศพระสงฆ์ ที่พระราชามีอำนาจตั้งบรรดาศักดิ์ให้ตามธรรเนียม
ฐานีย 0,น.,"เมือง, ควรแก่เหตุ, ควรแก่ตำแหน่ง (ป., ส)"
ฐาปนะ 0,น.,"การก่อสร้าง, การแต่งตั้ง, การแซ่มแซม (ป., ส.)"
ฐาปนา 0,น.,"การก่อสร้าง, การแต่งตั้ง, การแซ่มแซม (ป., ส.)"
ฐายี 0,ก.,"ตั้งอยู่, ดำรงอยู่"
ฐิต 0,ก.,"ยืนอยู่แล้ว, ตั้งอยู่แล้ว"
ฐิตก 0,ก.,"ยืนอยู่แล้ว, ตั้งอยู่แล้ว"
ฐิติ 0,น.,"การตั้งอยู่, การยืนอยู่, การดำรงอยู่"
