คำ,POS,ความหมาย
ดก 0,ว.,"มาก, หลาย"
ดง 0,น.,"ป่า, ป่าสูง, ป่าทึบ"
ด่ง 0,ก.,"กระโดดสูงขึ้น, กระดอนสูงขึ้น, กระเด็นสูงขึ้น, เช่น กระโดดด่ง หรือกระโดดโด่ง และฟ้งโด่ง"
ด้ง 0,น.,ภาชนะสานรูปแบน มีขอบ
ด้ง 1,?,ดู กระด้ง
ด่ง ๆ 0,ว.,"ลักษณะกระโดด หรือกระเด็น กระดอนสูงขึ้นอย่างต่อเนื่องรวดเร็ว ใช้สำหรับขนาดใหญ่, เช่น วัว ควายวิ่งกระโดด, สำหรับขนาดเล็ก เช่น กบ เขียด ว่า ด่อง ๆ"
ดงดอน 0,น.,"เนินสูง, ป่าละเมาะ, เกาะกลางน้ำ, ป่าที่มีลักษณะเตียนราบโล่งอยู่โดยรอบ"
ด๊ด ๆ 0,ว.,อาการสั่นระริก เช่น มือสั่น หรือตัวสั่นระริก
ดน 0,ว.,"นาน, ช้า บางทีออกเสียงยาวเป็นโดน ก็มี"
ด้น 0,น.,"ท่อน, อัน, ดุ้น, เช่น ด้นฟืน = ดุ้นฟืน"
ด้น 1,ก.,"ดั้น, บุกฝ่าไป, เช่น ย่างด้นป่าดง = เดินบุกป่าดง"
ด้น 2,ก.,พูดเดา ; ว่ากลอนออกมาโดยไม่ได้เตรียมแต่งหรือจดจำมาก่อน
ด้น 3,ก.,ใช้เข็มเย็บผ้าแทงขึ้นแทงลงเรื่อยไป
ดนตรี 0,น.,"ลำดับเสียงอันไพเราะ เช่น ""ฟังยิน ดนตรีประดับกล่อมซอ ซุงไค้"" (ศิลป์.)"
ดนัย 0,น.,"ลูกชายลูกหญิง (ป., ส.)"
ดนุ 0,ส.,"บุรุษที่หนึ่ง, ฉัน, ข้าพเจ้า (ป., ส.)"
ดนู 0,ส.,"บุรุษที่หนึ่ง, ฉัน, ข้าพเจ้า (ป., ส.)"
ดม 0,ว.,สูดเอากลิ่น
ดรุณ 0,ว.,"หนุ่ม, อ่อน, รุ่น (ป.)"
ดรุณี 0,น.,เด็กหญิงรุ่น
ดรุณี 1,ว.,"สาว, อ่อน, รุ่น (ป.)"
ดล 0,น.,"พื้น, ชั้น, เช่น พสุธาดล (ป., ส.)"
ดล 1,ก.,"ถึง เช่น ""แองคอน ดล ฮอดยามยังเช้า"" (ฮุ่ง)"
ดล 2,ก.,"ให้เป็นไป, เผอิญให้เป็นไป, บันดาลให้เป็นไป, เช่น ""ควรที่ฟังคำหยุดอย่า ดล ดู ฮ้าย"" (ศิลป์.)"
ดวง 0,น.,"ลักษณะนาม สำหรับเรยก มีด, จอบ, เสียม, ใบไถ, เช่น มีด ๒ ดวง, จอบ ๓ ดวง"
ด้วง 0,น.,เงินตราโบราณชนิดหนึ่ง
ดวง 1,ว.,"ยอด, จอม, เช่น ""แต่นั้น ดวง กษัตริย์ไท้ทรงเมืองท้าวฮุ่ง"" (ฮุ่ง.)"
ด้วง 1,น.,แมลงปีกแข็งชนิดหนึ่ง ชอบกินใบไม้อ่อน เช่นใบมะพร้าวเป็นอาหาร
ด้วง 2,น.,"ตัวอ่อนของแมลง เช่น ด้วงกุดจี่, ด้วงโสน"
ด้วง 3,น.,เครื่องมือดักหนูชนิดหนึ่ง ทำด้วยกระบอกไม้มีคันยาวมีสายห่วงรัดตัวหนู ลักษณะคล้ายซอด้วง
ด้วง 4,น.,ซอชนิดหนึ่ง ลักษณะคล้ายซอด้วง
ด้วง 5,ว.,มีสีขาว เช่น สีด้วง หรือสีทองด้วง = ทองคำขาว
ดวงเนตร 0,น.,ดวงตา
ด้วงปลี 0,น.,"ยอดเจดีย์ หรือยอดพระธาตุ มีสัณฐาน คล้ายปลี, เช่น ""เจดีย์ดั้ว ดวงปลี พ้นพุ่ง"" (ศิลป์.)"
ดวงพร 0,น.,"พระราชบัญชา, พรที่พระราชทาน, เช่น ""เขือจ่งนำดวงพรพาดผมสองใช้"" (ศิลป์.)"
ด้วงหล้วง 0,*ว.,ลักษณะน้ำที่ค่อนข้างใส เช่น น้ำใสจ่วงล่วง
ดวด 0,น.,ส่วนของเสาระหว่างขื่อถึงหลังคา
ดวด 1,ว.,"สูง เช่น เสาดวด = เสาสูง, หินดวด = หินเป็นแท่งสูง"
ดวด 2,น.,ชื่อบั้งไฟเล็ก ชนิดหนึ่ง มีหาง
ด่วน 0,ว.,"รีบ, เร็ว, เร่ง"
ด้วน 0,ว.,"กุด, ขาด, สั้น, เช่น หมาหางด้วน, คนขาด้วน, ผีหัวด้วน"
ดวน 0,น.,ต้นไม้ชนิดหนึ่ง ดอกเป็นกลีบหนาและสั้น มีกลิ่นหอม
ดวน 1,ว.,"อาการเซซวน หรือคะมำไปข้างหน้า, เช่น หัวดวน = หัวคะมำ"
ด้วม ๆ 0,ว.,อาการคลานอย่างต้วมเตี้ยมหรือไต่ไปอย่างอ้อยอิ่ง
ด้วย 0,ก.,"กระเด้า, เสพ, สัตว์ปีกผสมพันธุ์กันเรียก ด้วยกัน (ข.ควย, กันดวย)"
ดอ 0,ว.,"มาก่อนเวลาที่ควร เช่น เข้าดอ = ข้าวพันธุ์ที่ให้ผลเร็ว, ถั่วคอ = ถั่วพันธุ์ที่ออกผลเร็ว, บ่าวดอ = เด็กชายที่ยังไม่แตกเนื้อหนุ่ม แต่ประพฤติอย่างคนหนุ่ม เช่น แต่งตัววางตัวเหมือนคนหนุ่ม และสนใจเพื่อนหญิงมากเกินวัย"
ด่อ 0,ว.,"ลักษณะของบางสิ่งที่ยื่นออกมา ใช้สำหรับขนาดเล็กและสั้น, สำหรับขนาดใหญ่และยาวใช้ โก่โด่"
ดอก 0,น.,"ส่วนหนึ่งของผลไม้ที่ผลิออกจากก้านหรือกิ่ง, ส่วนมากเรียก ดอกไม้"
ดอก 1,น.,เงินค่าป่วยการจากเงินต้นทุน ซึ่งผู้กู้ไป หรือเอาของไปจำนำจะต้องจ่ายให้ = ดอกเบี้ย
ดอก 2,น.,"การ, ความ, อัน, สิ่ง, เช่น ""ดอกหนึ่งฮว่านฮว่าน ฟ้าดับหนักดอก หนึ่งชูซมฮักบานค่ำ"" (ฮุ่ง.)"
ดอก 3,ว.,"เป็นคำประกอบคำพูดให้ได้ความชัดว่าไม่ใช่อื่น ๆ ไม่เป็นไร เช่น เฮ็ดบ่ได้ดอก, บ่เอาดอก"
ดอกกากะทิง 0,น.,พันธุ์ไม้ดอก ลำต้นใหญ่ดอกหอม
ดอกเขือบ้า 0,น.,ลำโพงขยายเสียง
ดอกจอก 0,น.,เครื่องในชนิดใช้ย่อยอาหารของลัตว์จำพวกบดเอื้องคู่กับคันนา มักเรียกคู่กันว่า คันนาตาเชิง
ดอกสว่าน 0,น.,"เครื่องมือที่ใช้เจาะรูด้วยการหมุน, เรียกเหล็กแหลมที่ทำเป็นเกลียวถอดเข้าออกได้ว่า"
ดอกใหม่ 0,น.,พรรณไม้ดอกประเภทหนึ่ง มีสองชนิด คือชนิดดอกสีแดง และชนิดดอกสีขาว
ดอง 0,น.,"อวัยวะส่วนแข็งที่หุ้มตัวสัตว์ เช่น เต่า, ปู"
ด่อง 0,ก.,ฟอกไหมด้วยน้ำด่าง เช่น ด่องไหม = ฟอกไหมด้วยน้ำด่าง
ดอง 1,น.,"ส่วนที่แข็งหุ้มตัวสัตว์ เช่น ปู, เต่า, เรียกว่า ดองปู, ดองเต่า"
ดอง 2,ว.,ฐานะความเกี่ยวพันระหว่างบิดามารดา ของคู่สมรสทั้งสองฝ่าย เรียกว่า เป็นดองกัน เช่น กินดอง = แต่งงาน
ดอง 3,ก.,"แช่, หมัก, เช่น ดอกผักหรือดองผลไม้"
ด่อง ๆ 0,ว.,"ลักษณะกระโดด หรือกระเด็น กระดอนสูงขึ้นอย่างต่อเนื่องรวดเร็ว ใช้สำหรับขนาดใหญ่, เช่น วัว ควายวิ่งกระโดด, สำหรับขนาดเล็ก เช่น กบ เขียด ว่า ด่อง ๆ"
ดองดึง 0,น.,ไม้เถาชนิดหนึ่ง หัวใช้ทำยาได้
ด้องแด้ง 0,ว.,"ลักษณะสิ่งของที่เล็กคดไปคดมา, คนเอวบางร่างเล็เด็นเอวคดไปคดมา, ท่าทางกร้องแกร้ง"
ดอด 0,ก.,"แอบเข้าไป, สอดเข้าไป"
ด่อน 0,ว.,"ขาว, เผือก, เช่น ควายด่อน = ควายเผือก"
ดอน 0,น.,"เนินสูง, ป่าละเมาะ, เกาะกลางน้ำ, ป่าที่มีลักษณะเตียนราบโล่งอยู่โดยรอบ"
ดอน 1,ก.,กระดอน
ด่อม 0,ก.,"อ่อนน้อม, สยบ, โน้ม, เช่น หมาด่อมหาง"
ด้อม 0,ว.,"แอบเข้าไป, ด้อม ๆ มอง ๆ"
ดอม 0,บุ.,"ด้วย, โดย, กับ, เช่น อยู่ดอม = อยู่ด้วยกัน , กินดอม =กินด้วยกัน, ดอมมุ่งเมียขวัญ = อยู่ร่วมกับเมียรัก, และว่า ""ไผอย่าขันอาสาเลี้ยงงูสาไว้ ดอมไก่ย้าย แต่ทุกข์บ่มั้วเข็ญ ฮ้ายเข้าฮ่วมเฮือน"" (อิน.)"
ดอม 1,ก.,"เอื้อเฟื้อ, อาทร"
ด้อม ด้อม 0,ว.,"อ้อยอิ่ง, ท่อม ๆ , เช่น ย่างด้อม ด้อม ไต่ด้อม ด้อม"
ดอย 0,น.,"ภูเขาสูง, ยอดภูเขา, เช่น จอมดอย = ยอดภูเขา"
ด้อย 0,น.,"โณคลำไส้ชนิดหนึ่งทำให้ถ่ายบ่อย ๆ , เป็นบิด, โรคบิด"
ดอย 1,ก.,"หันศีรษะศพไปทางทิศตะวันตก หรือหันศพให้นอนยาวไปตามความยาวของเรือน เรียกว่า ดอยศพ, การนอนเหยียดยาวไปตามความยาวของเรือน เรียกว่า นอนดอย"
ด้อย 1,ก.,เอาอย่าง
ด้อย 2,ว.,"เคยชินในทางไม่ดี, ชอบทำในสิ่งที่ไม่เหมาะสมบ่อย ๆ เช่น ด้อยอาเพศ = บ้าแต่งตัว"
ดะ 0,ก.,"ปะทะ, กระทบ, เช่น ""ไม้ล้มพาดง่า ดะ พ้นเดื่องมา"""
ดัก 0,ก.,"วาบงเครื่องมือไว้ให้คนหรือสัตว์เข้ามาติด, ส่วนมากว่า ห้าง"
ดัก 1,ว.,ตรงดิ่งลงไป เช่น ฮูดัก = รูที่อาศัยของสัตว์ที่ชันตรงดิ่งลึกลงไป
ดัก 2,ว.,"ลับ, ซ่อนเร้นความรู้สึก, เช่น ดักใน = มีลับลมคมใน"
ดั๊ก ๆ 0,ว.,อาการสั่นระริก เช่น มือสั่น หรือตัวสั่นระริก
ดั๊กดั๊ก 0,ว.,"กระดุกกระดิก เช่น ตีงคีงดึ๊กดั๊ก, ดิ้นดึ๊กดั๊ก"
ดักแด้ 0,น.,"ตัวหนอนขณะอยู่ในรังก่อนมีปีก, ตัวไหม ขณะอยู่ในฝักหลอก"
ดักแด้ 1,น.,ว่านชนิดหนึ่งจำพวกขมิ้น หัวเล็ก ๆ คล้ายตัวดักแด้ เรียกว่านดักแด้
ดัง 0,น.,"จมูก เช่น ดังแหมบ = จมูกบี้, ดังบึ่ง = จมูกบาน มีรูจมูกกว้าง, ดังโม = จมูกโด่ง, ดักวาก, ดังวึก, ดังวีก = จมูกแหว่งมาก, แหว่งขนาดกลาง, แหว่งขนาดเล็ก, ดังเหิน = จมูกเชิด"
ดั่ง 0,ว.,"เช่น, เช่นนั้น, อย่าง,ราวกับ, คล้าย, เหมือน, เช่น ""สงสารนี้เวียนตายเวียนเกิด คือ ดั่ง มดแดง ไต่ขอบด้งเวียนแล้วคอบเลิง"""
ดั้ง 0,น.,เสาไม้เครื่องเรือนทั้งตั้งบนกลางขื่อรับอกไก่ = ดั้งแขวน
