คำ,POS,ความหมาย
ตก 0,ก.,"พลัดตก, หล่นลง, ลดลง, เช่นฝีมือตก"
ตก 1,ก.,"ย่างเข้า, เช่น ตกฤดูหนาว"
ตก 2,ก.,"จางไป, ซีดไป, เช่น สีตก"
ตก 3,ก.,"ได้ถึง, เช่น ตกทุกข์"
ตก 4,ก.,"ขาดไป, เช่น เขียนหนังสือตก"
ตก 5,ก.,"เขียนคำที่ขาดเติมลง, เช่น ตกหนังสือ"
ตก 6,ว.,"ตลอด, บรรจุ, สำเร็จ, ได้, เช่น แก้ตก, ปลงตก"
ตกกระเทิน 0,ว.,"เลยตามเลย, ไหน ๆ ก็, ลงได้, เช่น ""ตกกะเทิน ว่าแต่ลงลายม้วน บ่เป็นบุงให้เป็นด่า"""
ตกกล้า 0,ก.,หว่านเมล็ดข้าวลงไปในแปลงเพาะกล้าในนาเพื่อให้เป็นต้นกล้า
ตกกะทะ 0,ก.,"สะทกสะท้าน, ตกตะลึง, ประหม่า"
ตกคะมะ 0,ก.,"สะทกสะท้าน, ตกตะลึง, ประหม่า"
ตกใจ 0,ก.,สะดุ้งขึ้นโดยไม่รู้ตัว เมื่อได้ยินเสียงดัง ๆ หรือมีใครมาถูกต้องตัว เป็นต้น
ตกตา 0,ว.,ถึงวาระที่จะทำอย่างใดอย่างหนึ่ง เช่น เล่นโยนหลุม หรือหยอดหลุม นายดำโยนก่อน แล้วตกตานายมีเป็นคนหยอดต่อไป
ตกต่ำ 0,ก.,ถอยจากฐานะสูง
ตกแต่ง 0,ก.,"ประดับ, ปรุงจัดให้ดี, ทำให้งาม"
ตกทุกข์ 0,ก.,"ได้รับความทุกข์, ถึงความทุกข์"
ตกปีก 0,ก.,"ตีปีกไม้ซุง คือ เลื่อยเปลือกและกะพี้ออกทั้ง ๔ ด้าน, งอข้อศอกสีข้างเหมือนไก่ปรบปีกเพื่อแสดงความดีใจ"
ตกผ้า 0,ก.,ซักผ้า
ตกลง 0,ก.,ยินยอมพร้อมใจกัน
ตกว่า 0,ว.,"คือว่า, ลงความเห็นว่า, ถือเอาว่า"
ตกอับ 0,ก.,"ถึงความยาก, ถึงความลำบาก, ไม่รุ่งเรือง, ไม่มีชื่อเสียง"
