คำ,POS,ความหมาย
ถก 0,ก.,"ยกมือเท้าออกด้วยอาการรวดเร็ว = กระตุกขึ้น, ถอนหญ้า"
ถง 0,น.,"ผ้าพลาสติก กระดาษนำมาตัดเย็บเป็นรูปสี่เหลี่ยมหรือกลมขนาดเล็กใหญ่ตามต้องการ เพื่อใช้สำหรับใส่ของ = ถุง เช่น ถุงเงิน, ถุงปุ๋ย, ถุงขยะ เป็นต้น"
ถงกระเทียว 0,น.,ถุงตะเคียว
ถงบาตร 0,น.,ถุงบาตรมีสายโยง
ถงเป้ง 0,น.,ย่ามใหญ่
ถงพุงหมู่ 0,น.,ย่ามเล็ก รูปคล้ายกระเพาะหมู
ถงย่าม 0,น.,ถุงย่าม
ถงส้ง 0,น.,กระเป๋ากางเกง
ถงเสื้อ 0,น.,กระเป๋าเสื้อ
ถนน 0,น.,"หนทางที่พูนดินขึ้น, ส่วนมากเรียกว่าทางหลวง"
ถนอม 0,ก.,"คอยระวัง, คอยดูแลรักษา"
ถนัด 0,ว.,"สันทัด, คล่องตัว, มั่นเหมาะ"
ถนำ 0,น.,ชื่อดินชนิดหนึ่งสีเหลืองอ่อนใช้ทำยา = ดินถนำ (ข.)
ถนิม 0,น.,เครื่องประดับ เช่น ถนิมพิมพาภรณ์ เป็นต้น
ถนิมสร้อย 0,ว.,"อ่อนแอ, บอบบาง"
ถนิมสร้อย 1,น.,เครื่องประดับ
ถบ ๆ 0,ว.,เสียงที่ฟังแล้วได้ยิน ถบ ๆ
ถ่ม 0,ก.,บ้วนน้ำลายออกจากปากโดยแรง = ถุย
ถม 0,น.,วิธีทำภาชนะให้เป็นลวดลายโดยการลงยาทับ หรือถมลายต่าง ๆ ซึ่งเรียกว่า เครื่องถม
ถม 1,ก.,"กลบ, ทำให้เต็ม, เช่น ดินถ่มบ่อ เป็นต้น"
ถล 0,น.,"ที่บก, ที่ดอน (ป.)"
ถลกบาตร 0,น.,ถุงบาตรมีสายโยง
ถลา 0,ว.,"แฉลบ, เฉียด, เฉี่ยว, เช่น เครื่องบินถลาลงสนาม"
ถลำ 0,ก.,"ล้ำล่วง เช่น ถลำเข้าไป, พลั้งพลาดตกลงไป เช่น ถลำลงคู"
ถ่วง 0,น.,"เชือก, บ่วง"
ถ่วง 1,น.,เชือกถ่วง หรือสายถ่วงที่หน่วงไว้ดึงไว้
ถ่วง 2,ก.,"เหนี่ยว, ดึง, ตรึง, เช่น ถ่วงน้ำ"
ถ่วง 3,น.,เครื่องดักสัตว์ชนิดหนึ่ง ใช้ดักหนูหรือกระรอก
