คำ,POS,ความหมาย
ทก 0,ก.,กระตุก
ทก 1,ก.,"กระชาก, กระตุก, ดึง, เป็นคำพูดบอกให้วัวหรือควายยกเท้าขึ้น เพื่อเอาเชือกที่ข้องอยู่ในเท้าวัวหรือควายออก"
ทกเชือกว่าว 0,ก.,กระตุกเชือกว่าวโดยเร็ว
ทกบ้วง 0,ก.,กระตุกเชือกบ่วงให้รัดทันที
ท่ง 0,น.,"ที่ราบโล่ง, ท้องนา, เช่น ท่งนา, ท่งกุลาร้องไห้, มักเรียกคู่กันว่า ท่งไฮ่ท่งนา"
ทชี 0,น.,"นักบวช, ย่อมาจาก ท่านชี, ใช้แทนชื่อนักบวชที่เป็นคู่สนทนาที่เคารพนับถือ"
ทด 0,น.,คันกั้นน้ำ (นม.)
ทด 1,ก.,กั้นน้ำไม่ให้ไหลไปสู่ที่อื่น
ทด 2,ก.,"ช่วยเหลือ, ชดเชย, ทดแทน, เช่น เอาเข้าไปทดเงิน = เอาข้าวไปใช้แทนเงิน"
ทด 3,ก.,ยกจำนวนเลขที่เกินกว่าจำนวนสิบไปรวมกับข้างหน้า
ทด ๆ 0,ว.,อาการสั่นระริก เช่น มือสั่น หรือตัวสั่นระริก
ทด ๆ 1,ว.,"อึกทึก, อึงคะนึง, เขย่า, สั่น, เช่น เสียงสัตว์ร้องพร้อมกันหลายตัว เรียกว่า ฮ้องทด ๆ , เสียงน้ำไหลกระทบพื้นดังสนั่นเรียก เสียงน้ำดังทด ๆ , เวลาเป็นไข้จับสั่นว่า สั่นทด ๆ , เกิดอาการหวาดกลัวมากจนตัวสั่น เรียก ย่านจนตัวสั่นทด ๆ"
ทดโทง 0,น.,ชื่อปลาชนิดหนึ่งปากแหลมยามตัวกลม ๆ
ทน 0,ก.,"อดกลั้น, ทนทาน"
ท้น 0,ก.,"ล้น เช่น ""เทื่อนี้ฟองทุ่มท้นแซวเข้า บ่อนฮอม"" (สืบ.) เมื่อเด็กดื่มนมหรือข้าวมากเกินไปแหวะออกมาเรียก ท้นนม"
ทนต์ 0,น.,"ฟัน, งา"
ทนาย 0,น.,"ผู้รับใช้, ผู้นายแทน, ผู้มีสิทธิ์ว่าความต่าง, (ย่อมาจาก แทนนาย)"
ทบ 0,ก.,"หักกลับ, พับ, เช่น ตีหลบทบได้ = สามารถทำตามคำสั่งทุกอย่าง, หนึ่งทบ = หนึ่งพับ, สองทบ = สองพับ"
ทบมวย 0,น.,เชือกที่ผูกให้มีเงื่อนกระตุกแก้ออกได้โดยง่าย รวดเร็ว = เงื่อนกระตุก
ทบวง 0,น.,"หน่วยราชการมีฐานะเทียบเท่ากรม ต่ำกว่ากระทรวง เช่ย ทบวงการเมือง, ทบวงมหาวิทยาลัย"
ท่ม 0,น.,"พรรณไม้ประเภทหนึ่ง เรียก ต้นท่ม มี ๒ ชนิดคือ ท่มโคก หรือท่มพาย และท่มน้ำ, บางถิ่นเรียก ท่มเพ็ง = กระทุ่ม, ท่มโคก หรือ ท่มบก, ท่มน้ำ, ท่มน้ำหรือท่มพาย"
ทม ๆ 0,ว.,"เสียงอึกทึกเฮฮา, เสียงกึกก้อง"
ทมะ 0,ก.,"ข่มใจ, ทรมาน, ฝึกฝนตน (ป., ส.)"
ทมะลา 0,น.,โรคคอตีบ
ทมิฬ 0,น.,ชนชาติหนึ่ง อยู่ในประเทศอินเดียและศรีลังกา
ทมิฬ 1,ว.,"ร้าย, ดุร้าย"
ทเมิน 0,น.,"พวก, ทหาร, เหล่า, พรานป่า (ข.)"
ทแยง 0,ว.,"เฉียงไป, เฉไป (แผลงมาจากแทง)"
ทร 0,ว.,"ชั่ว, ยาก, ลำบาก, ใช้เป็นคำนำหน้าคำอื่นบางคำ, เช่น ทรชน = คนชั่ว, ทรภี = เนรคุณ, เช่น ทรภีชนพ่อ (ส., ป.)"
ทรง 0,น.,"รูปร่าง, ทรวดทรง"
ทรง 1,ว.,"ลักษณะกิริยาอาการ, ท่าทาง เช่น กดวาดกดทรง = วางมาด"
ทรง 2,ก.,"ดำรงอยู่, สถิตอยู่, ตั้งอยุ่, เช่นทรงคัพภ์ = ตั้งครรภ์, มีเช่น ทรงทุกข์, แต่งตัว, เช่น ทรงเครื่อง"
ทรมาน 0,ก.,"ข่ม, ปราบ, ทำให้ลำบาก, ทำให้เสื่อม (ป., ส.)"
ทรวง 0,น.,"อก, มักใช้ควบกัยว่าทรวงอก, เช่น ""ว่าจักลงแช่น้ำก็มาฮ้อนฮุ่มทรวง"" (สุด.)"
ทรัพย์ 0,น.,"วัตถุมีค่า, สิ่งมีค่า"
ทรัพย์สิทธิ์ 0,น.,สิทธิเกี่ยวกับทรัพย์
ทรัพย์สิน 0,น.,วัตถุทั่งที่มีรูปร่างและไม่มีรูปร่างมีค่าซึ่งถือเป็นกรรมสิทธ์ได้
ทรัพยากร 0,น.,สิ่งซึ่งมีอยู่ตามธรรมชาติอันควรเป็นทรัพย์ที่มีค่าได้
ทราม 0,ว.,"กำลังไป, กำดัด, เช่น ซามกินซามนอน = กำลังกินกำลังนอน, ซามมีแฮง = กำลังมีเรี่ยวแรง"
ทราม 1,ว.,"ชั่ว, เสื่อม, เลว, ต่ำ, ลุ่ม"
ทราม 2,ว.,"กำลังไป, กำดัด, เช่น ซามกินซามนอน = กำลังกินกำลังนอน, ซามมีแฮง = กำลังมีเรี่ยวแรง"
ทราย 0,น.,วัตถุที่เป็นเศษหินขนาดเล็ก มีลักษณะร่วนไม่เกาะกัน
ทราย 1,น.,"สัตว์สี่เท้าจำพวกหนึ่งคล้ายกวาง เช่น ""สรรพสิ่งช้างคณาทอกทวายทอง ก็ดี กวาง ทราย ฟานละมั่งหมีเหมือยเหม้น"" (ศิลป.) , โบราณเรียกทวาย เช่น ""โจราได้ ทวาย คำขี่เมื่อดใด"" (ปัสเสนทิ์.)"
ทฤษฎี 0,น.,"ความเห็น, หลักวิชาการ, หลักการสำหรับนำไปปฏิบัติ (ส.)"
ทลาย 0,ก.,"พัง, แตก, กระจาย, ทำลาย"
ทวก 0,น.,ไม้แคร่เกวียนที่ยื่นออกไปต่อกับแอก
ทวกเกวียน 0,น.,ทูปเกวียน
ทวง 0,ก.,"เรียกร้องสิ่งตอบแทน, ขอหนี้สินคืนบ้าง"
ท้วง 0,ก.,"เตือน, ทัก, ทักท้วง"
ทวด 0,น.,อาวุธอย่างหนึ่งด้ามยาวคล้ายหอก
ท่วน 0,ว.,เสียงดังอย่างนั้น เช่น เสียงที่เกิดจากการกระโจนลงปกระทบน้ำ
ทวน 0,น.,"เปลวที่พุ่งขึ้นไปในอากาศ เช่น ทวนควัน = ควันไฟที่พุ่งขึ้นไปในอากาศ, ทวนไฟ = เปลวไฟที่พุ่งขึ้นจากกองไฟ"
ทวน 1,น.,ช่องระบายอากาศตรงหน้าจั่ว เรียกว่าทวนเฮือน
