คำ,POS,ความหมาย
ธนาคาร 0,น.,ธนาคาร
ธนานัติ 0,น.,ธนานัติ
ธนู 0,น.,เครื่องทำเสียงชนิดหนึ่ง สำหรับติดหัวว่าวตุ๋ยตุ่ย เพื่อให้เกิดเสียงดังเวลาถูกลมพัด
ธนู 1,น.,ธนู (ป.)
ธนู 2,น.,เครื่องเล่นชนิดหนึ่งมีคันคล้ายธนู สายทำด้วยไหมสองท่อน ผูก ๒ ข้าง มีหวายบาง ๆ หรือใบลาน ใบตาลไว้ตรงกลางใช้ติดหัวว่าวขนาดกลางถึงขนาดใหญ่เมื่อต้องลมจะเกิดเสียงดัง เรียกว่า ว่าวธนู = ว่าวตุ่ยตุ่ย
ธนู 3,น.,อาวุธลับชนิดหนึ่งทางไสยศาสตร์ ทำด้วยขี้ผึ้งหรืออย่างอื่นปั้นเป็นวัวตัวเล็ก ๆ เรียก วัวธนู เสกด้วยอาคมแล้วปล่อยให้ไปทำร้ายผู้อื่น
ธนู 4,น.,ชื่อราศีที่ ๙ ตามทักษาในทางโหราศาสตร์
ธม 0,ว.,"ใหญ่, ดัง, เช่น ฮ้องธม ๆ , กรน ธม ๆ"
ธรง 0,ก.,"ธำรง, ปกครอง"
ธรณี 0,น.,"โลก, แผ่นดิน"
ธรณี 1,น.,ไม้รองรับกรอบล่างของประตู (ข. ธรณีทวาร)
ธรรม 0,น.,ธรรม
ธรรมชาติ 0,น.,สิ่งที่เกิดขึ้นตามธรรมดา
ธรรมดา 0,น.,"ธรรมดา (ป., ส.)"
ธรรมเนียม 0,น.,ธรรมเนียม (ข.)
ธรรมเนียม 1,น.,ประเพณีที่นับถือถ่ายทอดต่อ ๆ กันมา
ธรัง 0,น.,"แผ่นดิน, พื้นดิน"
ธรัง 1,น.,"สายน้ำ, กระแสน้ำ"
ธรา 0,น.,"สายน้ำ, กระแสน้ำ"
ธัญญาหาร 0,น.,ธัญญาหาร (ป.)
ธันวาคม 0,น.,เดือนธันวาคม
ธัมมะ 0,น.,ธรรม
ธาตุ 0,น.,เจดีย์ที่บรรจุกระดูกคนที่เผาแล้ว
ธำมะรงค์ 0,น.,แหวนธำมรงค์ (ข.)
ธีตา 0,น.,ลูกหญิง
ธุระ 0,น.,"ธุระ (ป., ส.)"
ธุลี 0,น.,"ธุลี (ป., ส.)"
ธูป 0,น.,ธูป (ป.)
โธ 0,อุ.,เสียงเปล่งออกมาด้วยความประหลาดใจ
