คำ,POS,ความหมาย
นก 0,น.,คอกสำหรับให้เป็ด ไก่ อยู่อาศัย = เล้า
นก 1,น.,สัตว์สองเท้ามีปีก ออกลูกเป็นไข่ก่อนแล้วจึงฟักเป็นตัว
นกกก 0,น.,"นกเงือก, บางถิ่นเรียก นกคอก้าก หรือนกกวาด"
นกกด 0,น.,นกกะปูด
นกก้นโดก 0,น.,นกโพระดก
นกกระซุม 0,น.,นกตะกรุม
นกกระแซง 0,น.,นกแซงแซว
นกกะโดก 0,น.,นกโพระดก
นกกะบัว 0,น.,นกชนิดหนึ่งสีขาว
นกกะบัว 1,น.,นกกาบบัว
นกกะบา 0,น.,นกตีทอง
นกก่าง 0,น.,นกแก้วขนเขียวจงอยปากแตง
นกกี้ 0,น.,นกแก้วขนเขียวจงอยปากดำ มีลักษณะเหมือนนกก่าง แต่ตัวเล็กกว่า = นกโนรี
นกกู่ฮูก 0,น.,ชื่อนกชนิดหนึ่ง
นกแกนแก 0,น.,นกพิราบ บางถิ่นว่านกแจนแจ
นกขอด 0,น.,นกปรอด
นกขาบ 0,น.,นกชนิดหนึ่ง = นกตีทอง
นกขาบ 1,น.,นกตะขาบ
นกขี้ไก่ 0,น.,นกขี้ไก่เดียน
นกขี้ไก่เดือน 0,น.,นกขี้ไก่เดียน
นกขี้ถี่ 0,น.,นกทึดทือ
นกขุ้ม 0,น.,"นกชนิดหนึ่ง = นกคุ่ม มีหลายชนิด คือ ๑. ขุมม้าตัวเล็กขนสีเหลือง ลายที่คางสีมอ, ๒. ขุ้มงัว ขนเหลืองลาย, ๓. ขุ้มควาย หรือขุ้มอืด ตัวใหญ่ขนสีเทา ร้องเสียงอืด ๆ, ๔. ขุ้มไฟ ขนสีน้ำตาลแก่, ๕. ขุ้มหลี้ พันธุ์เล็กที่สุด บินเหินสูงอยู่ตามทุ่ง"
นกเขา 0,น.,"มีหลายชนิด ได้แก่เขาเขียว, เขาตู้, เขาชะวา, เขาทอง (บางถิ่นเรียกเขาไฟ), เขาแขก"
นกแขก 0,น.,นกแขกเต้า
นกแขกกะลึง 0,น.,นกจำพวกนกแก้ว ขนเขียวจะงอยปากดำ หางยาวกว่านกแก้ว แต่ตัวเล็กกว่า นกแขกกะลึง ก็เรียก
นกคอก้าก 0,น.,นกกระสา
นกจอก 0,น.,นกกระจอก
นกจอก 1,น.,ปลานกกระจอกเป็นปลาน้ำเค็มปีกบินขึ้นเหนือน้ำได้
นกจาบ 0,น.,นกกระจาบ
นกจิบ 0,น.,นกกระจิบ
นกจิว 0,น.,นกชนิดหนึ่งตัวเล็กสีเขียว
นกจี่จู้ 0,น.,นกคีรีบูน
นกจู่ลู่ 0,น.,"นกชนิดหนึ่ง = นกคุ่ม มีหลายชนิด คือ ๑. ขุมม้าตัวเล็กขนสีเหลือง ลายที่คางสีมอ, ๒. ขุ้มงัว ขนเหลืองลาย, ๓. ขุ้มควาย หรือขุ้มอืด ตัวใหญ่ขนสีเทา ร้องเสียงอืด ๆ, ๔. ขุ้มไฟ ขนสีน้ำตาลแก่, ๕. ขุ้มหลี้ พันธุ์เล็กที่สุด บินเหินสูงอยู่ตามทุ่ง"
นกเจ่า 0,น.,นกกระยาง
นกเจ่าโทน 0,น.,ชื่อนกยางชนิดหนึ่งชอบออกหากินตัวเดียวโดด ๆ เรียก นกยางโทน หรือ
นกแจนแวน 0,น.,นกกระแวน
นกแซว 0,น.,นกแซงแซว
นกต่อ 0,น.,หญิงหากินที่ทำหน้าที่ไปล่อชายให้ติดตามมา
นกต่อ 1,น.,"นกบางชนิด เช่น นกเขา, นกกระทา ใช้เป็นนกต่อ เรียก นกป่าให้มาเข้ากรง"
นกตะขาบ 0,น.,นกชนิดหนึ่ง = นกตีทอง
นกเต็น 0,น.,นกกระเต็น
นกแต้ดแต้ 0,น.,นกต้อยตีวิด
นกทดถี่ 0,น.,นกชนิดหนึ่ง = นกทึดทือ
นกปืน 0,น.,เหล็กรูปงอ ปลายแหลม มีหน้าที่สับแก๊ปให้ปืนลั่น
นกเป้า 0,น.,นกเปล้า
นกยูง 0,น.,นกชนิดหนึ่ง ขนและแพนหางเป็นสีสวยมากปกติอาศัยอยู่ในป่าสูง
