คำ,POS,ความหมาย
ป๊ก 0,ว.,"มีเสียงอย่างนั้น เช่น เสียงที่เกิดจากของหนักตกถูก ที่แข็งใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็กว่า ป๊อก"
ปก 0,น.,ปลาแก้มช้ำ
ปก 1,น.,กระดาษ หรือผ้า หรือหนัง เป็นต้น ที่หุ้มอยู่ภายนอกสมุดหรือหนัง แผ่นผ้าที่ติดปากกระเป๋าเสื้อ
ปก 2,ก.,แผ่ออกคลุมเบื้องบ้น
ปกเกล้า 0,ก.,คุ้มครอง
ปกเกศ 0,ก.,"ปกเกล้า, คุ้มครอง"
ปกคลุม 0,ก.,แผ่คลุมอยู่เบื้องบน
ปกตัตภิกขุ 0,น.,"ภิกษุที่ออกจากอาบัติสังฆาทิเสสแล้วหรือคณะสงฆ์ในพิธีออกอัพภาน เรียก คณะปกตัดหรือคณะปก การนั่งหัตถบาสในพิธีนั้น เรียกว่า นั่งปก, ซุ้มเล็ก ๆ ที่ภิกษุผู้อยู่ปริวาสอาศัยเรียกว่า ซุ้มปก"
ปกติ 0,ว.,"ธรรมดา, เป็นไปตามเคย ไม่แปลกไปจากธรรมดา, ส่วนมากว่า ปักตี"
ปกรณ์ 0,น.,"คัมภีร์, ตำรา, หนังสือ"
ปการ 0,น.,"อย่าง, ชนิด"
ปกิณกะ 0,ว.,"เรี่ยราย, เบ็ดเตล็ด, กระจาย, ระคนกัน, คละกัน"
ปง 0,ว.,เสียงดังอย่างนั้น
ป้ง 0,ว.,"โป่ง, พอง"
ปง 1,น.,น้ำหนักฝิ่น
ป่ง 0,น.,พื้นดินที่มีเกลือสินเธาว์ผุดเกรอะกังอยู่มีรสเค็ม สัตว์ป่าชอบกิน เรียกดินชนิดนี้ว่า ดินป่ง
ปง 2,ก.,"เอาลง เช่น ปงหม้อแกง, ปล่อย หรือเปลื้องให้พ้นไป = ปลง"
ป่ง 1,ก.,"ผลิ, งอก"
ปงไก่ 0,ก.,เอาลูกไก่ออกจากรัง หรือตู้พัก
ปงข้าว 0,ก.,ทำพิธีบูชาข้าวหลังเก็บเกี่ยวเสร็จก่อนที่จะนวดข้าว
ปงคาย 0,ก.,มอบเครื่องบูชาคุณหรือสมนาคุณให้หมอหรือครูเมื่อเรียนสำเร็จ หรือหายป่วยแล้ว
ปงเป้ง 0,น.,ไม้พาดเครือหูก
ปฏัก 0,น.,ไม้ที่ฝั่งเหล็กแหลมข้างปลายใช้แทงสัตว์พาหนะ เช่น วัว
ปฏิการ 0,น.,"การสนองคุณ, การตอบแทนคุณ, การซ่อมแซม (ป.)"
ปฏิกิริยา 0,น.,"การกระทำตอบสนอง, การกระทำต่อต้าน, ผลของการกระทำซึ่งเป็นเหตุให้เกิดกิริยาสะท้อนมาเป็นอีกอย่างหนึ่ง"
ปฏิกูล 0,ว.,สกปรกน่ารังเกียจ (ป.)
ปฏิคม 0,น.,"ผู้ต้อนรับ, ผู้รับแขก, ผู้ดูแลต้อนรับ"
ปฏิญญา 0,น.,การให้คำมั่นสัญญา หรือการแสดงยืนยันโดยถือเอาสิ่งศักดิ์สิทธิ์ หรือความสุจริตใจเป็นที่ตั้ง (ป.)
ปฏิภาณ 0,น.,เชาว์ไวในการกล่าวแก้ หรือโต้ตอบ เป็นต้นได้ฉับพลันทันทีและแยบคาย
ปฏิภาณปฏิสัมภิทา 0,น.,ความเข้าใจทำให้สบเหมาะทันที ในเมื่อเกิดเหตุฉุกเฉินหรือกล่าวโต้ตอบได้ทันท่วงที (ป.)
ปฏิภาณโวหาร 0,น.,การกล่าวเหมาะด้วยเหตุผลในทันที
