คำ,POS,ความหมาย
ผก 0,ก.,"แอบ, ซ่อน, ดัก, เช่น ผกนก = ดักยิงนก"
ผกา 0,น.,ดอกไม้ (ข. ผกา)
ผกากรอง 0,น.,"ชื่อไม้พุ่มหลายชนิด เช่น ชนิดลำต้นตรงกิ่งสี่เหลี่ยม มีหนามเล็กห่าง ๆ ดอกเป็นกระจุกสีชมพู หรือแดงอมเหลือง ปลูกเป็นไม้ประดับและแพร่พันธุ์ออกเป็นวัชพืชในบางท้องที่, ก้ามกุ้งก็เรียก, ชนิดลำต้นเลื้อย กิ่งไม่มีหนาม ดอกสีม่วง, ผกากรองเลื้อย ก็เรียก, ทั้งสองชนิดนี้เป็นไม้ต่างประเทศ ชนิดขึ้นในป่าโปร่งระดับสูงภาคเหนือ ลำต้นกลม ดอกสีม่วง (ข. ผกาย)"
ผกาย 0,น.,"ดาว, แสงกระจาย (ขผฺกาย)"
ผง 0,น.,ต้นปรง (ข.ปฺรง)
ผ่ง 0,น.,ที่ปลาทำรังก่อนวางไข่
ผ้ง 0,น.,กระพุ้ง เช่น ผ้งแก้ม = กระพุ้งแก้ม
ผง 1,ว.,"ไม่เจือน้ำ, ร่วน, ซุย"
ผ่ง 1,ว.,เสียงดังอย่างนั้น
ผ้ง 1,ว.,ส่วนที่ลึกเข้าไปเป็นแอ่งกว้างใหญ่ภายใน
ผง 2,ว.,"เพิ่ง, กำลัง, เช่น นงค์รามผงถ่าว = กำลังหนุ่มสาว"
ผ้ง 2,ว.,"ล้วน, งาม, บริสุทธิ์"
ผจง 0,ก.,"บรรจง, ทำให้ดี"
ผจญ 0,ก.,"ต่อสู้, สู้รบ, ต้านทาน"
ผจญ 1,ก.,สู้รบ (ข.ผฺจัญ = ทำให้แพ้)
ผจาน 0,ก.,ประจาน (ข. ผฺจาล)
ผญา 0,น.,ภาษิตคำคมอีสาน
ผด 0,น.,เม็ดเล็ก ๆ เป็นผื่นขึ้นตามผิวหนัง เมื่อถูกอากาศร้อน มีอาการคัน
ผดแดด 0,น.,ผดที่เกิดเพราะถูกแสงแดดร้อนจัด
ผดุง 0,ก.,"ค้ำ, ค้ำจุน, ระวัง, อุดหนุน (ข.ปฺรฎง)"
ผแดง 0,น.,ใช้เรียกคนที่บวชเป็นพระตั้ังแต่ ๕ พรรษาขึ้นไปแต่ไม่ได้รับเถราภิเษกแล้วสึกออกมา
ผนวช 0,ก.,บวช (ข.ผฺนวกส)
ผม 0,น.,ผม
ผมาท 0,ก.,"ขาดความรอบคอบ, ขาดความระมัดระวัง เพราะทนงตัว ดูหมิ่น"
ผยอง 0,ก.,"เผ่นโผน, เหาะไป"
ผล 0,น.,ผล (ป.)
ผลควร 0,น.,คำเรียกพระราชา พระราชินีและเจ้าฟ้า ใช้คำว่าสาผล ก็มี
ผลคุณ 0,น.,เดือนสี่หรือเดือนมีนาคม
ผลคุณ 1,ว.,"แดง, แดงเรื่อ (ส.)"
ผลคุนี 0,น.,ชื่อนักษัตรสองหมู่ คือ บูรพผล และอุดรผล
ผลคุนี 1,น.,วันเพ็ญในนักษัตรอุดรผลคุนี (ส.)
ผละ 0,ก.,"ออกนอกทาง, หนีไปทางอื่น"
ผลัด 0,ก.,"เปลี่ยน, แทน (ข. ผฺลาส)"
ผลา 0,ก.,"เปลี่ยน, แทน (ข. ผฺลาส)"
ผลาญ 0,ก.,"ทำลาย, ล้าง (ข.ผฺลาญ)"
ผลึก 0,น.,แก้วหินชนิดหนึ่ง (ข.เผฺลก)
ผสม 0,ก.,"รวมกันเข้า, ปน, ระคน, เจือ, คละ"
ผ่อ 0,?,ดู คอยดู
ผอก 0,ก.,การใช้ข้าวสุกเป็นเครื่องมือในการเชื้อเชิญผีออกจากคนที่กำลังเจ็บป่วยเพื่อให้หาย = เซ่น หรือบน
ผอกพ้น 0,ว.,"เกินไป, เกินขีด เช่น หลายผอกพัน"
ผอง 0,ก.,"กะ, คะเน, ตรึกตรอง, ใช้ทะนาน เป็นต้น ตักวัตถุ เช่น ข้าวสาร น้ำมัน, เพื่อรู้ปริมาณ"
ผอง 1,ก.,"ตัก, ตวง"
ผ่อง 0,น.,ชื่อผักชนิดหนึ่งจำพวกบัวสาย
ผอง 2,ว.,"ทั้งปวง, ทั้งหมด (ข.ผง (พอง)), ทั้งผอง = ทั้งหมด"
ผ่อง 1,ว.,"ขาว, เกลี้ยงเกลา, งาม"
ผ่อน 0,ก.,"หย่อน, ลดหย่อนล คลาย, ถอย"
ผ่อนผัน 0,ก.,ลด หย่อนตาม
