คำ,POS,ความหมาย
ฝด 0,น.,เม็ดเล็ก ๆ เป็นผื่นขึ้นตามผิวหนัง เมื่อถูกอากาศร้อน มีอาการคัน
ฝด 1,น.,ผลไม้บางชนิด ที่แตกเป็นช่อ มีลักษณะเป็นเม็ดเล็ก ๆ เกาะกันเป็นพวงแต่ไม่เจริญเติบโต เช่น ฝดมะม่วง
ฝด 2,น.,เม็ดเล็ก ๆ เป็นผื่นขึ้นตามผิวหนังเมื่อถูกอากาศร้อนมีอาการคัน = ผด
ฝดแด 0,น.,ผดที่เกิดเพราะถูกแสงแดดร้อนจัด
ฝดเหื่อ 0,น.,เม็ดเหงื่อ
ฝน 0,น.,น้ำที่ตกลงมาจากเมฆเป็นเม็ด ๆ
ฝน 1,ก.,"ถู, ลับให้คม เช่น ฝนมีด = ลับมีด"
ฝนแสนห่า 0,น.,ดอกไม้ไฟชนิดหนึ่ง มีประกายไฟพุ่งออกมาคล้ายไฟพะเนียงแต่หมุนรอบตัว
ฝนแสนห่า 1,น.,ต้นไม้ขนาดเขื่องชนิดหนึ่ง มีละอองน้ำตกอยู่บริเวณลำต้นทำให้พื้นดินรอบ ๆ เปียกชื้นอยู่เสมอ
ฝ่อ 0,ก.,"เหี่ยว, แฟบ"
ฝอก 0,ว.,"สุรุ่ยสุร่าย, ไม่มัธยัสถ์"
ฝอก 1,ว.,"ดุร้าย, ร้ายกาจ"
ฝอกฝน 0,ก.,"เข้มงวด, เคี่ยวเข็ญ"
ฝอด 0,น.,ฟองน้ำเล็ก ๆ ที่ผุดกระจายขึ้นจากน้ำ
ฝอย 0,น.,มูลฝอย
ฝอย 1,น.,สิ่งที่เป็นเส้นเล็ก ๆ ละเอียด
ฝัก 0,น.,"ส่วนหุ้มเมล็ดของพืชบางชนิด เช่น ถั่ว, ข้าวโพด, ปลอก ที่สวมหอก, ดาบ ฯลฯ รูปร่างคล้ายหอก, ดาบที่อยู่ข้างใน"
ฝักแค 0,น.,"กระดาษ หรือผ้าห่อดินดอกไม้ไฟ ทำเป็นสาย ยาวแบน ๆ สำหรับจุดบั้งไฟใหญ่, ส่วนมากเรียก ขบวนหมากแปบ"
ฝักบัว 0,น.,ขนมชนิดหนึ่งมีลักษณเหมือนฝักบัว
ฝักฝ่าย 0,น.,"พวก, ข้าง"
ฝักใฝ่ 0,ก.,"เอาใจใส่, ผูกพัน"
ฝักหลอก 0,น.,รังที่หุ้มตัวไหม
ฝักหลอกหลีบ 0,น.,เรียกรังไหมที่ไม่มีตัวดักแด้อยู่ภายใน
ฝัง 0,ก.,"เอาของใส่หลุมแล้วกลบ, ทำให้จมติดแน่นอยู่ในสิ่งต่าง ๆ เช่น ฝังใจ, ฝังลาย"
ฝั่ง 0,น.,"ตลิ่ง, ที่ดินริมน้ำ"
ฝั่งฝา 0,น.,"ปึกแผ่น, หลักฐาน"
ฝัด 0,ก.,กระพือข้าว หรือสิ่งอื่นเพื่อให้แกลบ รำ หรือผงปลิวออก
ฝัน 0,น.,การนึกเห็นเป็นเรื่องราวขณะนอนหลับ
ฝั้น 0,ก.,"คละกัน, ปะปนกัน"
ฝัน 1,ก.,"นึกเห็นเป็นเรื่องราวขณะนอนหลับ, นึกเห็นสิ่งที่เป็นไปไม่ได้"
ฝั้น 1,ก.,"ทำสิ่งเป็นเส้นให้เข้าเกลียวกันเป็นเชือก เรียกว่า ฝั้นเชือก, คลึงขี้ผึ้งให้เป็นเล่มเทียน เรียกว่า ฝั้นเทียน"
ฝั่นเฝือน 0,ก.,"ถัก, ปิด, ม้วนเชือก หรือด้ายให้เป็นลวดลายต่าง ๆ"
ฝา 0,น.,เครื่องปิดภาชนะต่าง ๆ
ฝ่า 0,น.,พื้นของมือและเท้า
ฝ้า 0,น.,"เมฆ, เยื่อบาง หรือละอองที่ลอยอยู่บนผิวน้ำ"
ฝา 1,น.,สัตว์ชนิดหนึ่ง คล้ายเต่าแต่ตัวแบน รอบชายกระดอกมีเนื้อยื่นออก เรียก ปลาฝา = ตะพาบน้ำ
ฝ่า 1,น.,มะไฟชนิดหนึ่ง รสเปรี้ยว เมล็ดเป็นสีชมพู เรียกหมากฝ่าคู่กับหมากไฟ
ฝ้า 1,น.,"ผิวเป็นมลทิน เช่น หน้าเป็นฝ้า, เพชรเป็นฝ้า"
ฝ้า 2,ว.,"มัว, หมอง, ไม่สุกใส"
ฝาก 0,ก.,มอบให้ช่วยดูแลรักษาหรือนำส่งให้อีกต่อหนึ่ง
ฝาก 1,ก.,มอบให้ด้วยความรักหรือไมตรีจิตของที่มอบให้ด้วยกิริยาอย่างนั้น เรียกว่า ของฝาก หรือของต้อน
ฝากฝัง 0,ก.,มอบหมายให้ช่วยดูแล
ฝากะตาดต้อน 0,น.,ฝาขัดแตะใช้กั้นเขตรั้ว หรือใช้กั้นดักปลาตามลำห้วย หรือทางน้ำไหล
ฝาง 0,น.,พรรณไม้ชนิดหนึ่ง ต้นและใบคล้ายต้นหางนกยูงไทย แก่นมีสีแดงใช้ย้อมผ้าหรือทำยา
ฝาชี 0,น.,เครื่องสานชนิดหนึ่งรูปคล้ายกรวยใช้ครอบสำรับคาวหวาน
ฝาด 0,ว.,รสชนิดหนึ่ง ทำให้ฝืดคอกลืนไม่ลงน้ำลายแห้ง
ฝาต้อน 0,น.,ฝาขัดแตะใช้กั้นเขตรั้ว หรือใช้กั้นดักปลาตามลำห้วย หรือทางน้ำไหล
ฝาน 0,ก.,"ปาด, เชือด, เฉือนแฉลบบาง ๆ"
ฝ่าฝืน 0,ก.,"ขัดขืน, ล่วง, ละเมิด"
ฝาเมือง 0,น.,สมบัติของเมือง (ครอง.)
ฝาย 0,น.,ที่กั้นน้ำเพื่อการชลประทาน
ฝ้าย 0,น.,พรรณไม้ชนิดหนึ่งลำต้นเล็กลูกคล้ายผลมะพลับข้างในเป็นปุย มีสีต่าง ๆ ใช้ทำด้วยทอผ้า
ฝ่าย 0,น.,"ข้าง, พวก, ส่วน"
ฝ่าย 1,น.,ตำแหน่งข้าราชการลาวในสมัยโบราณ
ฝาละมี 0,น.,เครื่องปิดภาชนะต่าง ๆ
ฝาละไล 0,น.,เครื่องปิดภาชนะต่าง ๆ
ฝาละเอิง 0,น.,ภาชนะสำหรับใส่อาหาร รูปร่างคล้ายฝาละมีแต่โตกว่า
ฝาไล 0,น.,ชื่อปลาอยู่ตามพื้นน้ำ รูปร่างแบนมาก พื้นลำตัวเป็นสีน้ำตาลสันหลังหยาบและคม มีเงี่ย เรียกปลาฝาไล = ปลากระเบน
ฝิง 0,ก.,"ย่าง, อัง = ผิง เช่น ผิงแดด, ผิงไฟ"
ฝิ่น 0,น.,"ต้นไม้ป่าชนิดหนึ่ง ต้นสูง ลูกมียาง ใช้เคี่ยวทำยาได้, ยาเสพติดชนิดหนึ่ง สกัดจากยางขอองลูกฝิ่น เรียก ยาฝิ่น"
ฝี 0,น.,โรคจำพวกหนึ่ง เป็นต่อมบวมขึ้น กลัดหนองข้างใน
ฝีกะซี 0,น.,ฝีหัวขาด
ฝีกะซี้ 0,น.,ฝีหัวขาด
ฝีด 0,ว.,"ไม่คล่อง, ไม่สะดวก"
ฝีดาษ 0,น.,"ชื่อดรคระบาด มักขึ้นตามตัวเป็นเม็ดเล็กดาษทั่วไป, ส่วนมากเรียก หมากห่าง หรือไข้หมากห่าง"
ฝีดิบ 0,น.,ฝีที่เป็นแก่หญิงอยู่ไฟเมื่อคลอดลูก เป็นฝีหัวเดียว มักขึ้นแถวท้อง
ฝีในท้อง 0,น.,วรรณโรค
ฝีปะอาด 0,น.,ฝีที่เป็นแก่หญิงอยู่ไฟเมื่อคลอดลูก เป็นฝีหัวเดียว มักขึ้นแถวท้อง
ฝีแฝด 0,ว.,"คน หรือสิ่งที่ออกมาติดกันผิดธรรมดา = ฝาแฝด เช่น กล้วยฝีแฝด, ลูกฝีแฝด"
ฝีลายโรค 0,น.,ฝีฝักบัว
ฝีสบ 0,น.,"ปาก, ริมฝีปาก, ปากน้ำ, ที่น้ำไหลตก"
ฝีหมากม่วง 0,น.,ฝีมะม่วง
ฝีหัวดำ 0,น.,ฝีมีพิษร้าย
ฝีหัวเผือน 0,น.,ฝีฝักบัว
ฝีหัวเอี่ยน 0,น.,ฝีหัวใหญ่คล้ายหัวปลาไหล
ฝุง 0,ก.,ซ่อมรอยขาดของแห หรือสิ่งที่เป็นตาคล้ายแหให้ดีดังเดิม = ชุน
ฝุง 1,ก.,ใส่ความผู้อื่นด้วยการเอาของผิดกฎหมายไปซุกซ่อนไว้ในครอบครองของผู้นั้น
ฝุ่น 0,น.,ละออง
ฝุ่น 1,น.,ปุ๋ยคอก
ฝูง 0,ก.,ซ่อมรอยขาดของแห หรือสิ่งที่เป็นตาคล้ายแหให้ดีดังเดิม = ชุน
ฝูง 1,น.,"พวก, หมู่"
เฝ้า 0,ก.,"ระวัง, รักษา, คอยประจำอยู่"
เฝิก 0,ก.,ฝึก สอน หัด
เฝือ 0,น.,เครื่องมือประกอบการทอผ้า สำหรับใช้คล้องเส้นด้ายหรือไหมเพื่อทำเส้นผืนหูกทอผ้า หรือเครือหูก เรียก หลักเฝือ
เฝือ 1,ก.,"ถัก, ปิด, ม้วนเชือก หรือด้ายให้เป็นลวดลายต่าง ๆ"
เฝือ 2,ว.,"เกี่ยวกับ, เกี่ยวพัน, พัวพัน"
เฝือก 0,?,ดู เฝือก ๒
เฝื่อน 0,ว.,"รสที่เจือฝาดหรือขื่น, ไม่สนิท"
เฝือน 0,น.,เครื่องมือทำเส้นขนมจีน มีลักษณะเป็นผ้าสี่เหลี่ยม ตรงกลางเป็นแผ่นทองแดงหรือทองเหลืองกลมเจาะเป็นรูเล็ก ๆ เพื่อให้เส้นขนมจีนลอดผ่านได้ = แว่น
เฝือน 1,ก.,แส่หาเรื่อง
แฝก 0,น.,ต้นหญ้าชนิดหนึ่ง ขึ้นเป็นกอ ใบยาวและคม ใช้มุงหลังคาและใช้ทำยาได้
แฝง 0,ก.,"แอบ, ชิด, แนบสนิท"
แฝด 0,ว.,"คน หรือสิ่งที่ออกมาติดกันผิดธรรมดา = ฝาแฝด เช่น กล้วยฝีแฝด, ลูกฝีแฝด"
ใฝ่ 0,ก.,"มุ่ง, หวัง, ผูกพัน, เอาใจใส่"
