คำ,POS,ความหมาย
พก 0,น.,สิ่งที่มีลักษระคล้ายถุงเล็ก ๆ เกิดจากรวบริมผ้านุ่งขึ้นมาเหน็บไว้ข้างหน้า เพื่อใช้บรรจุสิ่งของ
พก 1,น.,"นกยาง (ป., ส.)"
พก 2,ก.,เอาสิ่งของเก็บหรือซ่อนไว้ในพกหรือในสิ่งอื่นที่มีลักษณะคล้ายคลึงกัน
พกขี้ 0,น.,"กระเพาะอาหาร, ส่วนมากเรียก โพ่น"
พกพ่าม 0,ว.,อาการลุกลี้ลุกลน
พกเยี่ยว 0,น.,กระเพาะปัสสาวะ
พง 0,น.,ดงหญ้าหรือดงไม้ที่เป็นหมู่ ๆ
พงไพร 0,น.,"ป่าไม้, ดงไม้"
พงศ์ 0,น.,"เชื้อสาย, เหล่ากอ, สกุล (ส.,ป.)"
พงศ์เชื้อ 0,น.,พวกพ้องหรือญาติพี่น้องที่สืบมาจากบรรพบุรุษเดียวกัน
พงศา 0,น.,"เชื้อสาย, เหล่ากอ, สกุล (ส.,ป.)"
พงศาวดาร 0,น.,เรื่องราวของเหตุการณ์ เกี่ยวกับวงศ์สกุล
พจน์ 0,น.,"คำพูด, ถ้อยคำ (ป.)"
พจนา 0,น.,"การเปล่งวาจา, คำพูด"
พจนานุกรม 0,น.,หนังสือที่แสดงความหมายของคำ เรียงตามลำดับตัวอักษร
พจนารถ 0,น.,เนื้อความของคำพูด (ส.)
พญา 0,น.,ผู้เป็นใหญ่
พญาครุฑ 0,น.,ครุฑผู้เป็นใหญ่
พญาแถน 0,น.,เทวดาอยู่บนฟากฟ้า
พญานาค 0,น.,"นาคผู้เป็นใหญ่, งูใหญ่"
พเญีย 0,น.,นางพญา
พธู 0,น.,"เจ้าสาว, หญิงที่เพิ่งแต่งงาน, หญิงสาว (ส.,ป.)"
พน 0,น.,"ป่า, พง, ดง, แนวป่า, ราวป่า (ป.,ส.)"
พ่น 0,ก.,"ใช้กำลังทำให้ของในปากหลุดออกเป็นฝอย, ส่วนมากออกเสียง โพ่น"
พ้น 0,ก.,"เลย, เกิน, ผ่าน, พ้น, หลุด"
พนม 0,น.,ภูเขา (ข.)
พนวาสี 0,น.,"ผู้อยู่ป่า, ฤาษี (ส.)"
พนอง 0,น.,ภูเขา
พนอม 0,น.,ภูเขา
พนักงาน 0,น.,เจ้าหน้าที่
พนัน 0,ก.,"เล่นเอาเงินหรือสิ่งของด้วยการ เสี่ยงโชคหรือฝีมือ, ส่วนมากว่า พัน"
พนัส 0,น.,ป่า (ส.)
พนา 0,น.,"ป่า, ดง"
พนา 1,น.,"ป่า, พง, ดง, แนวป่า, ราวป่า (ป.,ส.)"
พนาลัย 0,น.,"การอยู่ป่า, ที่อยู่ในป่า (ส.)"
พนาลี 0,น.,แนวป่า (ส.)
พนาวาส 0,น.,ที่อยู่ในป่า (ป.)
พนาเวศ 0,น.,ป่า
พบ 0,ก.,เห็น
พบพาน 0,ก.,"ปะกัน, กัน"
พยศ 0,ก.,แสดงอาการดื้อรั้นหรือถือตัวไม่ยอมทำตาม
พยอม 0,น.,ต้นไม้ขนาดใหญ่ชนิดหนึ่ง ดอกสีขาวเป็นพวงมีกลิ่นหอม เนื้อไม้ใช้ในการก่อสร้าง
พยัก 0,ก.,"แสดงการรับรู้โดยอาการไหวหน้าขึ้นหรือลงเล็กน้อยโดยเร็ว, ส่วนมากว่า งึกหัว"
พยัคฆ์ 0,น.,"เสือโคร่ง (ป., ส.)"
พยัคฆี 0,น.,เสือโคร่งตัวเมีย
พยัญชนะ 0,น.,ตัวหนังสือตั้งแต่ ก-ฮ
พยัญชนะ 1,น.,กับข้าวที่ไม่ใช่แกง ดู เพียญชนะ
พยากรณ์ 0,ก.,"ทำนาย, คาดการณ์ (ป.,ส.)"
พยากรณ์ 1,น.,การทำนาย
พยางค์ 0,น.,ส่วนหนึ่งของคำพูด (ส.)
พยาธิ 0,น.,"ความเจ็บไข้, เชื้อโรคที่เกิดในร่างกาย, เชื้อโรคอย่างหนึ่งที่เกิดที่ผิวหนัง (ป.)"
พยาน 0,น.,"หลักฐาน, ผู้รู้เห็นเหตุการณ์, ส่วนมากว่า พิยาน"
พยาบาท 0,ก.,"ผูกใจเจ็บ และอยากแก้แค้น, ปองร้าย (ป.,ส.)"
พยาบาล 0,ก.,"ดูแลคนไข้, ปรนนิบัติคนไข้, ส่วนมากว่า ปัว หรือบัวรบัติ (ป.)"
พยายาม 0,ก.,ทำโดยมานะบากบั่น
พยุ 0,น.,ลมแรง
พยุห 0,น.,"กระบวน, หมู่, กองทัพ"
พยูง 0,น.,ไม้ต้น เนื้อไม้สีแดงคล้ำ ใช้ทำเครื่องเรือน = ขยุง
พเยีย 0,น.,พวงดอกไม้ (ข.)
พร 0,น.,"คำที่แสดงความปรารถนาดี, สิ่งของที่เลือกเอาตามประสงค์ (ป.)"
พรต 0,น.,"กิจวัตร, การปฏิบัติ, เขตแห่งความประพฤติ, ธรรมเนียม ประเพณี, การสมาทาน (ส., ป.)"
พรม 0,น.,เครื่องลาดทำด้วยขนสัตว์
พรม 1,ก.,เอาน้ำประโปรยให้กระจายเป็นเม็ดเล็ก ๆ
พรม 2,ก.,เป่า (ข.)
พรมแดน 0,น.,"ขีดขั้นเขตแดน, แดนต่อแดน (ข.)"
พรรค์ 0,น.,"หมู่คนที่เข้ารวมกันเป็นพวกเป็นฝ่าย เช่น พรรคการเมือง, พรรคพวก (ส., ป.)"
พรรค 0,น.,"หมู่คนที่เข้ารวมกันเป็นพวกเป็นฝ่าย เช่น พรรคการเมือง, พรรคพวก (ส., ป.)"
พรรณ 0,น.,"สีผิว, ชนิด, คุณธรรมที่ควรสรรเสริญ (ส., ป.)"
พรรณา 0,ก.,กล่าวถ้อยคำให้ผู้ฟังนึกเห็นเป็นภาพ (ออกเสียงพัน-ระ-นา)
พรรษ 0,น.,"ปี, ฝน (ส.,ป.)"
พรรษา 0,น.,"ปี, ฤดูฝน"
พรรษากาล 0,น.,ฤดูฝน
พรวด 0,ก.,อาการที่เป็นไปอย่างรวดเร็วโดยไม่ยับยั้ง
พรหม 0,น.,"พระเป็นเจ้าผู้สร้างโลกตามศาสนาพราหมณ์, เทพในพรหมโลก จำพวกมีรูป เรียกรูปพรม มี ๑๖ ชั้น จำพวกไม่มีรูปเรียก อรูปพรหม มี ๔ ชั้น ตามมติพระพุทธศาสนา"
พรหมกาย 0,น.,"พระกาย (คือรูปกาย นามกาย) ประเสริฐ, เป็นพระนามของพระพุทธเจ้า"
พรหมจรรย์ 0,น.,"การศึกษาปรมัตถ์, การศึกษาพระเวท, การถือพรตหรือการบวชซึ่งเว้นเมถุน เป็นต้น"
