คำ,POS,ความหมาย
ฟก 0,ว.,"บวม, ช้ำ, พอง เช่น ""เจ็บเพราะตกต้นไม้ ฟกใค่เป็นบวม"" (ธรรมดาสอนโลก)"
ฟ้ง 0,ก.,"ปลิว, ตลบ, กระเด็น, เช่น ""ตลบแผ่ฟัง ไปฮอดแดนใดพึงคณาสัตว์ ชอบชุมแซวเฮ้า"" (ศิลป์.)"
ฟด 0,ก.,"เดือด, ส่งเสียงดัง"
ฟด 1,น.,กิ่งไม้สดที่หักออกมาใช้
ฟ้อ 0,ว.,เสียงงูเห่าแผ่แม่เบี้ยขู่ป้องกันตัว
ฟ้อ 1,ว.,"เสียงผู้คนดุด่ากัน เช่น ""มันก็ฮ้ายฟ้อฟ้อ บ่มีฮู้เมื่อคีง"""
ฟอก 0,ก.,"หุ้ม, พูน, โปะให้หนา"
ฟอก 1,ก.,"ซัก, ฟอกล้าง, ชำระ"
ฟ้อง 0,ก.,"กล่าวหา, กล่าวโทษต่อผู้ใหญ่ หรือต่อศาลฃ"
ฟอง 0,น.,"ไข่สัตว์ เช่น ไก่, นก"
ฟอง 1,*น.,ต่อมน้ำที่ผุดขึ้นเป็นรูปโป่ง ๆ อาจเป็นหย่อมหรือแพก็ได้
ฟอน 0,ว.,ที่ไหม้เป็นจุณ หรือเป็นขี้เถ้า แหลก เช่น กองฟอน
ฟ่อน 0,ก.,ข้าวเกี่ยววางไว้ยังไม่มัด เช่น ฟ่อนเข้า = ฟ่อนข้าว
ฟ้อน 0,ก.,"รำสลับเสียงดนตรี ส่วนมากเรียก ฟ้อนรำ เช่น รำโทน, รำวง"
ฟอย 0,น.,"สิ่งที่ทำด้วยไม้ หรือดอกไม้, เพื่อปัดกวาด, ไม้กวาดบ้าน"
ฟะ 0,ว.,ข้าวไม่เต็มเมล็ดเล็กลีบ ไม้ต้องการ เรียก ข้าวฟะ
ฟะ ๆ 0,ว.,"ล้นหลาม, มากมาย เช่น น้ำล้นฟะ ๆ"
ฟัก 0,*น.,"ผลไม้ เช่น ฟักทอง, ฟักเขียว, ฟักข้าว"
ฟัก 1,น.,แก่นคูณสำหรับเคียวหมาก เรียก ฟักแก่นคูน
ฟัก 2,ก.,สับ เช่น สับเนื้อให้ละเอียด = ฟักเนื้อ
ฟัก 3,ก.,กก เช่น ไก่กกไข่ เรียก ฟักไข่
ฟัก 4,ก.,ฟัน เช่น ใช้มีดฟัก
ฟักเขียว 0,น.,พืชเถาชนิดหนึ่ง
ฟักตัว 0,ก.,ก่อให้เกิดการแพร่หลาย
ฟักฟุ้น 0,ว.,"อ่อน, นุ่ม"
ฟักฟูม 0,ก.,"ทะนุถนอม, ประคับประคอง"
ฟัง 0,ก.,"ตั้งใจสดับ, รับเสียงทางหู เช่น ฟังเทศน์, ฟังเพลง"
ฟั่ง 0,ว.,"รีบ, ด่วน"
ฟัด 0,ก.,กอดรัดฟัดเหวี่ยง คาบกัดสบัดไปมา
ฟัด 1,ก.,"ทำให้แกว่ง, เดินไม่ตรง เรียก นอนฟัดขา, เดินฟัดขา, ทำฟัด"
ฟัน 0,น.,กระดูกแข็งในปากคน ๓๒ ซี่ (ดู แข้ว)
ฟัน 1,ก.,ใช้ของมีคม เช่น ดาบฟันลงไป
ฟันน้ำนม 0,น.,"ฟัน, สิ่งที่เป็นซี่คล้ายกัน ก็เรียก แข้ว เช่น แข้วฟืม, แข้วเลื่อย"
ฟันปลา 0,น.,สิ่งที่เป็นรูปเหมือนฟันปลา
ฟันปลา 1,*น.,"ลายฟันเลื่อย, ลายฟันปลาก็เรียก"
ฟั่วฟ้าว 0,ว.,"รีบ, ด่วน"
ฟ้า 0,น.,"เบื้องบนแลดูสูงครอบแผ่นดิน, สวรรค์ชั้นฟ้า"
ฟาก 0,น.,ไม้ไผ่ที่สับเป็นแผ่น ๆ สำหรับปูพื้น เช่น ไม้ไผ่
ฟาก 1,น.,"ที่ไกลกัน, ที่ห่างกัน เช่น ฟากฟ้า, ฟากฝั่ง, ฟากน้ำ"
ฟ่าง 0,ว.,"จวน, เกือบ, ปาง, ลืมตัว เช่น ""ลางคนเถ้าแก่แล้วฟางตายบ่หาฮ่อม"""
ฟาง 0,ว.,มัว มองเห็นไม่ชัด เช่น ตาฟาง = ตามัว
ฟาง 1,ว.,"จวน, เกือบ, ปาง, ลืมตัว เช่น ""ลางคนเถ้าแก่แล้วฟางตายบ่หาฮ่อม"""
ฟาด 0,ก.,"เหวี่ยง, หวด, ตี"
ฟ้าทับเหว 0,น.,เครี่องดักสัตว์สี่เท้าขนาดใหญ่ เช่น อีเห็น และเสือเป็นต้น
ฟาน 0,น.,สัตว์สี่เท้าตัวคล้ายกวาง แต่เล็กกว่า = อีเก้ง
ฟ้าผ่า 0,ก.,อาการสายฟ้าฟาดลงมาถูกต้นไม้ หรือสิ่งใดสิ่งหนึ่ง
ฟ้ามุ่ย 0,น.,ชื่อกล้วยไม้ ดอกสีฟ้าม่วง กลิ่นหอมอ่อน
ฟาย 0,น.,"ชื่อมาตราตวง ๘ ฟายมือเป็น ๑ ทะนาน, บางถิ่นว่า อองมือ, ซองมือ, ฟายมือ"
ฟาย 1,ก.,"ตัด, ตักด้วยอุ้งมือ"
ฟายน้ำตา 0,ก.,ร้องไห้ฟูมฟาย (ลูกคำ ฟาย)
ฟ้าลั่นทับ 0,น.,เครี่องดักสัตว์สี่เท้าขนาดใหญ่ เช่น อีเห็น และเสือเป็นต้น
ฟ้าว 0,ว.,"รีบ, ด่วน, เร่งรัด"
ฟ้าวก่อน 0,ว.,เดี๋ยวก่อน
ฟิด ๆ 0,ว.,เสียงจาม ดังเช่นนั้น
ฟิล์ม 0,น.,แผ่นถ่ายรูป ใช้ถ่ายรูป (อ.)
ฟี่ 0,ว.,เสียง เช่น ลมรั่วจากที่อัดไว้ หรือเสียงลมหายใจออกของคนคัดจมูก = ฟี่ ๆ
ฟึด 0,ก.,"ดิ้น, สะบัด, สลัดเพื่อให้หลุดจากการจับไว้"
ฟืดฟาด 0,ว.,อาการที่โกรธ หรือ แสร้งทำโกรธ = กระฟัดกระเฟียด
ฟืน 0,น.,ไม้ทำเชื้อไฟ
ฟื้น 0,ก.,สลบหมดสติแล้วกลับฟื้นคืนมาใหม่
ฟื้น 1,ก.,"สะเทือน, สนั่นนันเมือง, หวั่นไหว เช่น ""ปราสาทท้าวเฟือนฟื้นหั่วนไหว"" (ลินทอง)"
ฟื้น 2,ก.,"พลิกกลับ, พรวนดิน"
ฟื้น 3,ก.,ตื่น
ฟื้นองค์ 0,ก.,ตื่นใช้แก่พระมหากษัตริย์ (กลอน)
ฟืม 0,น.,"เครื่องทอผ้า มีฟันเป็นซี่ ๆ คล้ายหวี สำหรับสอดเส้นด้าย, ไหม"
ฟุ 0,ว.,"พุ, น่วม ๆ ไม่แน่น (ผู้ไทย)"
ฟุ้ง 0,ก.,"ปลิวไป, ตลบไป, กระจายไป"
ฟุ้ง 1,ว.,"เห่อเหิม, ได้ใจ, คนอง"
ฟุต 0,น.,มาตราวัด ๑๒ นิ้ว เป็น ๑ ฟุต
ฟุน 0,ก.,"โกรธเป็นไฟ, โกรธจัด"
ฟุบ 0,ก.,"หมอบ, ยอบลง เช่น สลบฟุบล้ม"
ฟุย 0,ว.,"ไม่เหนียว, ยุ่ย, เชือกปอที่เป็นขุย"
ฟูด 0,ก.,"อูดขึ้น, ล้นขึ้น"
ฟูด 1,ว.,ฟู
ฟูม 0,ว.,"สง่าผ่าเผย, โอ่โถง, องอาจ, สวยงาม"
ฟูม 1,ก.,"เปื้อน, ลุยกลั้ว, อาบแช่ เช่น ""ควายฟูมตม"""
ฟูม 2,ก.,"รุมจิก, ทึ้ง เช่น ""โกิลาแฮ้ง ฟูมโครงควายเน่า"""
ฟูม 3,ว.,"ภาคภูมิ, สง่า, งาม"
ฟูมน้ำ 0,ก.,"เล่นน้ำ, ลุยน้ำ, นอนน้ำ"
ฟูมฟัก 0,ก.,"ทะนุถนอม, ประคับประคอง"
ฟูมฟัก 1,ก.,"เลี้ยงดู, ประคับประคอง, ทะนุถนอม"
ฟูมฟาย 0,ก.,"ทำให้เกิดฟองมาก, เล่นฟองน้ำ"
ฟูมฟาย 1,ว.,"อาการร้องไห้ฟูมฟาย, มากมาย, ล้นเหลือ, สุรุ่ยสุร่าย"
ฟูมเฟือ 0,ว.,"เหลือหลาย, ใช้จ่ายฟุ่มเฟือย"
เฟ้ง ๆ 0,ว.,"มีเสียงดุด่า เช่น ""พ่อก็ นาบเฟ้งเฟ้ง จำฆ่าผูกตี"""
เฟอะ 0,ว.,เลอะ
เฟอะฟะ 0,ว.,เลอะ
เฟะ 0,ว.,เละ
เฟียด 0,ว.,ล้นกระฉอก เช่น น้ำเฟียดปากขัน
เฟือ 0,ก.,"เกาะ, อาศัยไม่ให้ล้ม"
เฟื้อง 0,น.,มาตราเงินสมัยเก่า ๑ เฟื้อง เท่ากับ ๑๒ สตางค์ครึ่ง
เฟือง 0,น.,เฟืองข้าวแห้งเก็บเกี่ยวไปใช้ประโยชน์
เฟือง 1,น.,ต้นไม้พันธุ์หนึ่ง
เฟื้องถ้วย 0,น.,ชิ้นส่วนของถ้วยดินที่แตกแล้ว
เฟื้องหม้อ 0,น.,ชิ้นส่วนของถ้วยดินที่แตกแล้ว
เฟือด 0,ว.,ล้นกระฉอก เช่น น้ำเฟียดปากขัน
เฟือน 0,ว.,"สะเทือน, หวั่นไหว, สั่นไปถึง"
เฟือย 0,น.,กิ่งไม้เกิดอยู่ริมฝั่งน้ำ จุ่มอยู่ใน้ำ
เฟื้อย 0,น.,พืชน้ำชนิดหนึ่ง ขึ้นอยู่ตามลำห้วย สายและใบคล้ยบัว แต่ใบยาวเล็ก กินได้จัดเข้าประเภทผัก
แฟง 0,น.,พันธุ์ไม้เถาล้มลุก ผลคล้ายฟักเขียว มีขน แต่เล็กกว่า กินได้
ไฟ 0,น.,"ผลจากปฏิกิริยาเคมี เป็นแสงสว่าง, ไหม้สิ่งต่าง ๆ ได้"
ไฟธาตุ 0,น.,ธาตุที่มีลักษณะอบอุ่น ช่วยย่อยอาหารในร่างกายคน สัตว์
ไฟปลัยกัลป์ 0,น.,ล้างโลกเมื่อสิ้นกัปป์
ไฟฟ้า 0,น.,พลังงานรูปหนึ่งซึ่งเกี่ยวข้องกับอิเล็กตรอน หรือโปรตอนใช้ประโยชน์ก่อให้เกิดพลังงานอื่น เช่น ความร้อน แสงว่าง การเคลื่อนที่
ไฟฟ้ากระแส 0,น.,ไฟฟ้าที่เกิดเนื่องจากอีเล็กตรอน หรือโปรตรอน ปรากฎเป็นอิสระอยู่บนวัตถุ และไม่เคลื่อนที่เป็นกระแส
ไฟลามทุ่ง 0,น.,โรคผิวหนังชนิดหนึ่ง มีลักษณะลามออกไป
