คำ,POS,ความหมาย
ภค 0,น.,"โชค, ส่วน, จำแนก, จำเริญ, ความดี (ป.,ส.)"
ภควะ 0,น.,"พระผู้มีพระภาคเจ้า,พระผู้ทรงภาคธรรม (ป.)"
ภควัต 0,น.,"พระเป็นเจ้าทั้งหลาย, พระพุทธเจ้า"
ภควัน 0,น.,"พระเป็นเจ้าทั้งหลาย, พระพุทธเจ้า"
ภควัม 0,น.,"พระปิดทวารทั้ง ๙ มีจักษุ เป็นต้น ใช้เป็นเครื่องรางของขลังหรือรูปสลักจากหิน (ป.,ส.)"
ภควา 0,น.,"ผู้จำแนกธรรม, ผู็จุดแสงสว่าง, ผู้ส่องทางที่มืดให้แจ้ง, ผู้เปิดภาชนะที่ปิด หรือเปิดของที่คว่ำอยู่ให้หงายขึ้น (ปง)"
ภควาน 0,น.,"พระเป็นเจ้า (ป.,ส.)"
ภคันทลา 0,น.,"โรคริดสีดวงทวารหนัก (ป.,ส.)"
ภคินี 0,น.,"น้องหญิง (ป.,ส.)"
ภณิดา 0,น.,"ผู้บอก, ผู้พูด (ส.)"
ภพ 0,น.,"ความเป็น, ที่เกิด, ที่เจริญ (ป.,ส.)"
ภมุ 0,น.,คิ้ว (ป.)
ภมุก 0,น.,คิ้ว (ป.)
ภยะ 0,น.,"ความกลัว, สิ่งน่ากลัว (ป.,ส.)"
ภยาคติ 0,น.,"การลุอำนาจความกลัว, การลำเอียงเพราะกลัว (ป.)"
ภรณี 0,น.,ดาวฤกษ์ที่มี ๓ ดวง
ภรณีภู 0,น.,"ผู้ที่เกิดจากดาวภรณี คือ พระราหู (ป.,ส.)"
ภรต 0,*น.,"ผู้เต้นรำ, แสดงละคร (ส.)"
ภรรดา 0,น.,ผัว
ภรรยา 0,น.,เมีย
ภระ 0,ก.,"เลี้ยงดู, ค้ำจุน (ป.,ส.)"
ภราดรภาพ 0,น.,"ความเป็นพี่น้องกัน (ป.,ส.)"
ภวนะ 0,น.,"ที่เกิด, ที่อยู่ (ป.,ส.)"
ภวปาระ 0,น.,ฝั่งภพ คือ พระนิพพาน (ป.)
ภวะ 0,น.,"ความเป็น, ที่เกิด, ที่เจริญ (ป.,ส.)"
ภวังค์ 0,น.,"ความเป็นอยู่โดยไม่รู้สึกตัว, องค์แห่งภพ (ป.)"
ภวังคจิต 0,น.,"จิตก้าวเข้าสู่ภวังค์, จิตเป็นองค์แห่งภพ, จิตปกติอันบริสุทธิ์ (ป.)"
ภักขา 0,น.,"อาหาร, เหยื่อ (ป.)"
ภักขา 1,ก.,กิน
ภักดี 0,น.,"ความยอมรับ, ความจงรัก, ความนับถือ, ซื่อตรง (ส.,ป.)"
ภักตะ 0,น.,"ผู้ภักดี, สาวก (ส.)"
ภักษา 0,ก.,กิน
ภังคะ 0,น.,"ผ้าฝ้ายปนไหม, ผ้าฝ้ายเจือไหม"
ภังคะ 1,น.,"การแตก, การทำลาย, ความย่อยยับล่มจม (ป.,ส.)"
ภังคี 0,น.,ชื่อโอรสของพญานาค (ผาแดงนางไอ่)
ภังคี 1,น.,ต้นไม้ชนิดหนึ่ง
ภังคีนกขุ้ม 0,น.,ต้นไม้ชนิดหนึ่ง
ภัณฑ์ 0,น.,"สิ่งของ เช่น ตู้, โต๊ะ, เก้าอี้ (ป.)"
ภัณฑนะ 0,น.,"การทะเลาะ, การแก่งแย่ง (ป.)"
ภัณฑา 0,น.,เครื่องใช้ (ป.)
ภัณฑาคาร 0,น.,โรงเก็บของใช้ (ป.)
