คำ,POS,ความหมาย
ม 0,ว.,ไม่
มก ๆ 0,ว.,อาการผงกหัวขึ้นลง เช่น กะปอมสั่นหัวมก ๆ
มกราคม 0,น.,ชื่อเดือนที่ ๑ ตามสุรยคติ มี ๓๑ วัน
มกุฏ 0,น.,มงกุฏ
มกุฏ 1,ว.,"สูงสุด, ยอดเยี่ยม (ป., ส.)"
มคธ 0,น.,"แคว้นใหญ่ในอินเดียครั้งพุทธกาล ในปัจจุบันเรียกว่า พิหาร (ป., ส.)"
มฆวัน 0,น.,พระอินทร์ (ส.)
มฆวา 0,น.,พระอินทร์ (ส.)
มฆวาน 0,น.,พระอินทร์ (ส.)
ม่ง 0,ว.,เสียงดังอย่างเสียงฆ้องขนาดกลาง
มง ๆ 0,ว.,"สว่าง, สุกใส"
ม้ง ๆ 0,ว.,"สว่าง, สุกใส"
ม้ง ๆ 1,ว.,"แจ้ง, ลักษณะของแสงไฟสว่างโพลง"
ม้งก้ง 0,ว.,"ลักษณะสิ่งของที่กลม หรือมนใหญ่ เช่น มึนตาม้งก้ง = เบิกตากว้าง, ถ้าขนาดเล็กว่า ม้องก้อง, ขนาดจิ๋วว่า มิ้งกิ้ง"
มงคล 0,น.,"เหตุที่นำมาซึ่งความเจิญ, ส่วนมากว่า มุงคุล, เรียกด้ายที่ทำเป็นวงสำหรับสวมศีรษะเพื่อเป็นสิริมงคลว่า ด้ายมงคล"
มณฑป 0,น.,"เรือนยอดที่มีรูปสี่เหลี่ยม (ป., ส.)"
มณฑล 0,น.,"บริเวณ, แคว้น, เขตปกครอง (ป., ส.)"
มณฑา 0,น.,ไม้ต้นชนิดหนึ่ง ใบใหญ่ ดอกสีเหลือกนวลกลิ่นหอม
มณเฑียร 0,น.,เรือนหลวง = ในเทียร
มณี 0,น.,"แก้วหินสีแดงในจำพวกนพรัตน์ (ป., ส.)"
มณีกาบ 0,น.,ม้าในวรรณคดี มีปีกบินได้
มณีรัตน์ 0,น.,"แก้วมณี (ป., ส.)"
มด 0,น.,แมลงมีหลายชนิด เช่น มดดำ มดแดง มดตะนอย
มด 1,น.,"หมอเวทมนต์, หมอผี, ถ้าเป็นผู้ชายเรียกว่าพ่อมด, ถ้าเป็นผู้หญิงเรียกว่า แม่มด"
มตกภัต 0,น.,ข้าวที่ทำบุญอุทิศให้คนตาย (ป.)
มตกา 0,น.,"คนตายแล้ว, ผู้ตายแล้ว (ป.)"
มตา 0,ก.,ตายแล้ว (ป.)
มติ 0,น.,"ความคิด, ความเห็น, ความรู้ (ป., ส.)"
มธุ 0,น.,"น้ำผึ้ง, น้ำหวาน (ป.)"
มธุรส 0,น.,"น้ำผึ้ง, ของที่มีรสหวาน (ป., ส.)"
มธู 0,น.,"น้ำผึ้ง, น้ำหวาน (ป.)"
มธูปายาส 0,น.,ข้าวปายาสเจือน้ำผึ้ง ใช้เป็นของหวานในงานเทศกาล
มธูรส 0,น.,"น้ำผึ้ง, ของที่มีรสหวาน (ป., ส.)"
ม้น 0,ว.,"ยุ่ง, สับสน เช่น ไหมหรือด้ายที่หลุดออกจากกลุ่มที่หาเงื่อนไม่พบ"
มน 0,ว.,"กลม ๆ , โค้ง ๆ , ไม่เป็นเหลี่ยม, เรียกผ้าเช็ดหน้าว่า ผ้ามน"
มน 1,ก.,"อยู่กับที่ (ใช้แก่ดาวพนเคราะห์ ซึ่งปรากฎเห็นเป็น ๓ ทาง คือ เสริด ว่าไปข้างหน้า, พัก ว่าถอยหลัง, มน ว่าอยู่กับที่)"
มนต์ 0,น.,"คำศักดิ์สิทธิ์, คำสำหรับสวดหรือเสกเป่า (ป., ส.)"
มนต์ 1,ก.,"นิมนต์, เชื้อเชิญ (ใช้สำหรับพระภิกษุสามเณร) (ป.)"
มนตรี 0,?,ดู มนต์
มนตรี 1,น.,"ที่ปรึกษา, ผู้แนะนำ, ที่ปรึกษาราชการ, ข้าราชการชั้นผู้ใหญ่ (ป., ส.) ส่วนมากว่า มุนตรี"
มนเทียร 0,น.,เรือนหลวง
มนสิการ 0,น.,"การกำหนดไว้ในใจ (ป., ส.)"
มนะ 0,น.,"ใจ (ป., ส.)"
มนัส 0,น.,ใจ
มนิมนา 0,ว.,"เร็วด่วน, ขมีขมัน เช่น ก็มนิมนามาสู่สาลวีน"
มนุมนา 0,ว.,"เร็วด่วน, ขมีขมัน เช่น ก็มนิมนามาสู่สาลวีน"
มนุษย์ 0,น.,"สัตว์ที่รู้จักใช้เหตุผล สัตว์ที่มีจิตใจสูง, คน (ส.)"
มนุษยชาติ 0,น.,จำพวกคน (ส.)
มนุษยเทพ 0,น.,กษัตริย์ (ส.)
มนุษยธรรม 0,น.,"ธรรมของคน (ส.), ธรรมที่ทำให้เป็นคน"
มนุษยโลก 0,น.,โลกมนุษย์ (ส.)
มโน 0,น.,"ใจ (ป., ส.)"
มโนกรรม 0,น.,"การคิด, ความคิด (ป.)"
มโนคติ 0,น.,ความคิด (ส.)
มโนธรรม 0,น.,"ความรู้สึกผิดชอบชั่วดี, ความรู้สึกว่าอะไรควรทำอะไรไม่ควรทำ"
มโนภาพ 0,น.,ความคิดเห็นเป็นภาพขึ้นใจ
มโนมัย 0,ว.,"สำเร็จด้วยใจ, ใช้ประกอบกับ ม้า หมายความว่า ม้าที่ขับขี่รวดเร็วได้ดั่งใจ (ป., ส.)"
มโนรถ 0,น.,"ความหวัง, ความประสงค์, ความใฝ่ฝัน (ป., ส.)"
มโนรม 0,ว.,"เป็นที่ชอบใจ, เป็นที่รื่นรมย์ใจ (ป., ส.)"
มโนราห์ 0,น.,ชื่อหญิงในวรรณคดีเรื่องท้าวสุทนต์ (ส.)
มโนศิลา 0,น.,"ศิลาอ่อนที่ย่อยให้ละเอียดประสมเป็นสีทาสิ่งอื่นได้, สารหนูแดง, ปรอทแดง, ศิลาแดง"
ม้ม 0,ก.,"พ้น, รอดพ้น"
มมังการ 0,น.,"ความถือว่าเป็นของเรา (ป.), ความถือว่าของเราหรือฝ่ายเราถือหรือดี"
มยุรา 0,น.,นกยูง (กลอน) (ป.)
