คำ,POS,ความหมาย
ยก 0,น.,"มาตราวัดไม้ คือ หน้ากว้าง ๑ ศอก ยาว ๑๖ วา เป็น ๑ ยก ตามอัตราไม้นิ้ว, ระยะเวลาหนึ่ง ๆ เช่น มวยยกหนึ่ง ชนไก่ยหหนึ่ง"
ยก 1,น.,"เรียกตัวพิมพ์ที่เรียงเข้าหน้าแล้วว่าเป็นยกโดยกำหนด ๔ หน้า เป็ฯ ๑ ยกบ้าง, ๘ หน้า เป็น ๑ ยกบ้าง, ๑๖ หน้า เป็น ๑ ยก บ้าง, ๓๒ หน้า เป็น ๑ ยกบ้าง"
ยก 2,น.,ผ้าที่ทอโดยวิธียกดอกให้เป็นลาย
ยก 3,ก.,"เอาขึ้นให้สูงพ้นที่เดิม, เคลื่อนไป, พากันไป, งดเว้น, เพิกถอน, มอบ-ให้, อ้าง"
ยกกระบัตร 0,น.,"ตำแหน่งข้าราชการสมัยโบราณ ตำแหน่งหนึ่งน ๔ ตำแหน่ง คือ ๑. ผู้ว่าราชการเมือง ๒. ปลัดเมือง ๓. ยกกระบัตรเมือง ๔. ผู้ช่วยราชการเมือง ตำแหน่งทั้ง ๔ นี้ ปรับปรุงมาจากคณะอาญา ๔ คือ เจ้าเมือง, อุปฮาด, ราชวงศ์, ราชบุตร, ยกกระบัตรเมืองเทียบได้กับอัยการจังหวัดขณะนี้"
ยกครู 0,ก.,ขึ้นครู
ยกคาย 0,ก.,ทำพิธีบูชาครู หรือไหว้ครู
ยกแค้น 0,ว.,อัตคัดขัดสน
ยกตนข่มเพิ่น 0,ก.,ยกตนข่มท่าน
ยกตัวอย่าง 0,ก.,อ้างตัวอย่าง
ยกทรง 0,น.,เสื้อชั้นในของสตรี
ยกทัพ 0,ก.,เคลื่อนทัพ
ยกโทษ 0,ก.,"งดเว้นโทษ, เพิกถอนโทษ"
ยกนัง 0,น.,ตับ (ป.)
ยกภาษี 0,ก.,งดเว้นภาษี
ยกยอ 0,ก.,พูดส่งเสริม ให้ดีขึ้น
ยกย้อง 0,ก.,"ยกย่อง, เชิดชู"
ยกยอด 0,ก.,โอนจำนวนเงินจากหน้าหนึ่งไปไว้อีกหน้าหนึ่ง
ยกเลิก 0,ก.,"เพิกถอน, ไม่ใช้"
ยกเว้น 0,ก.,"ไม่เกี่ยวด้วย, กันเอาออก"
ยกเว้น 1,บุ.,"นอกจาก, เว้น, แต่, เว้นเสียแต่"
ยกไว้ 0,ก.,"งดไว้, พักไว้, หยุดไว้"
ยกให้ 0,ก.,"มอบให้ เช่น ยกลูกสาวให้, ยกสมบัติให้"
ย้ง 0,ว.,"เขียวสด, เขียวอ่อน, เช่น แก้วมรกตเขียวย้ง"
ยง 0,ก.,"ทำสิ่งที่รวมกันอยู่เป็นกอง หรือเป็นกลุ่มให้ขยายตัวสูงขึ้น เช่น ยงเข้า, ยงล้อฝ้าย = หย่งปุยฝ้าย"
ยง 1,ว.,"ฟูงาม, ผุดผ่อง, เช่น ปุยยงยียาบ"
ยง 2,ว.,"มั่นคง, ยึด, ยาว"
ยงดิน 0,ก.,"ทำสิ่งที่รวมกันอยู่เป็นกอง หรือเป็นกลุ่มให้ขยายตัวสูงขึ้น เช่น ยงเข้า, ยงล้อฝ้าย = หย่งปุยฝ้าย"
ยงโย่ 0,ว.,อาการยืนโก้งโค้ง เอามือทั้งสองห้อยลงข้างหน้าจนเกือบถึง หรือถึงพื้น
ยชนะ 0,น.,"พิธีกรรมบูชาเทวดา โดยสวดมนต์ และถวายเครื่องเซ่นสังเวย (ป.,ส.)"
ยชุรเวท 0,น.,ชื่อคัมภีร์ที่ ๓ ของพระเวท เป็นคัมภีร์ว่าด้วยพิธีกรรมของพราหมณ์
ยถากรรม 0,ว.,"ตามกรรม, ตามบุญตามกรรม, ตามแต่จะเป็นไป"
ยนต์ 0,น.,"เครื่องกลไก, เครื่องจักรที่ให้กำเนิดพลังงาน หรือทำให้วัตถุเคลื่อนที่ (ป.,ส.)"
ยนตร์ 0,น.,"เครื่องกลไก, เครื่องจักรที่ให้กำเนิดพลังงาน หรือทำให้วัตถุเคลื่อนที่ (ป.,ส.)"
ยม 0,น.,"น้ำตา, เช่น ยมย้อย = น้ำตาไหล"
ยม 1,น.,ชื่อไม้ต้นมี ๒ ชนิด คือ ยมบ้าน = มะยม และยมผา หรือยมป่า
ยม 2,น.,"พญายม, เทพผู้เป็นใหญ่ประจำโลกของคนตาย (นรก)"
ยมก 0,น.,"คู่, แฝด, สองชั้น, เรียกเเครื่องหมายรูปอย่างนี้ ""ๆ"" ว่าไม้ยมก สำหรับอ่านซ้ำข้อความ หรือซ้ำคำข้างท้าย ๒ หน (ชั้นเดิมเครื่องหมายนี้ใช้เลข ๒)"
ยมกปฎิหารย์ 0,น.,ปาฎิหาริย์ที่แสดงเป็นคู่ ๆ ซึ่งพระพุทธเจ้าทรงแสดงที่ต้นมะม่วงชื่อ คัณฑามพฤกษ์ โดยทรงบันดาลให้มีสิ่งพุ่งออกจากพระวรกายเป็ฯคู่ ๆ เช่น ท่อน้ำคู่กับท่อไฟ
ยมขันธ์ 0,น.,ชื่อยาที่เป็ฯอัปมงคล
ยมทัณฑ์ 0,น.,ไม้อาญาสิทธิ์ของพญายม
ยมทูต 0,น.,ทูตของพญายม ซึ่งทำหน้าที่นำคนตายไปยังบัลลังก์พญายมเพื่อรอคำตัดสิน
ยมนา 0,น.,"ชื่อแม่น้ำใหญ่ในประเทศอินเดีย, โดยปริยาย หมายถึงแม่น้ำทั่วไป"
ยมบาล 0,น.,"ผู้รักษานรก, ผู้ทำโทษสัตว์นรกตามคำสั่งของพญายม"
ยมพบาล 0,น.,"ผู้รักษานรก, ผู้ทำโทษสัตว์นรกตามคำสั่งของพญายม"
ยมภิบาล 0,น.,"ผู้รักษานรก, ผู้ทำโทษสัตว์นรกตามคำสั่งของพญายม"
ยมราช 0,น.,พญายม
ยมโลก 0,น.,โลกของคนตาย (นรก)
ยล 0,ก.,"มองดู, แลดู"
ยวก 0,ก.,"กระเซ้าเย้าแหย่ เช่น ""มึงช่างมายวกเว้าพอให้อยากหัว"""
ยวก 1,ก.,"ผลัก, ดัน, เขย่า เช่น ยวกน้ำใส่กัน"
ยวง 0,น.,เนื้อในของขนุน
ยวง 1,น.,"จุก, ปุย"
ยวง 2,น.,หนูชนิดหนึ่ง ตัวเล็กมาก ขาสั้น มีนิ้วตีนข้างละ ๕ นิ้ว หางยาว ขนนุ่มสั้น ใบหูเล็ก จมูกยื่นเป็นวงยาวออกมาเห็นได้ชัด ตาหยีเล็ก = หนูผี
ยวง 3,ก.,"นำ, พา, เช่น ยวงไพร่"
ยวง 4,ก.,ส่อง เช่น ยวงไต้
ยวง 5,ก.,"ส่ง, ฝาก เช่น ยวงคำเถิง = ส่งคำพูดไปถึง, ส่งสาร"
ยวง 6,ว.,"ขาวใส, ขาวเป็นมัน, เช่น งามยิ่งย้อย คือคู่เงินยวง"
ยวง 7,ว.,ยาวยื่นออก เช่น ขี้มูกย้อยเป็นยวง
ยวงฝ้าย 0,น.,ปุยฝ้าย
ยวด 0,น.,หินชะโงก หรือหน้าผา
ยวด 1,ว.,"ยอด, ยิ่ง, ที่สุด"
ยวด ๆ 0,ว.,"เป็นจำนวนมาก เช่น ยวด ๆ ย้าย ๆ , ยุบยับ เช่น หนอนไตยวด ๆ"
ยวดยาน 0,น.,"เครื่องขับขี่, ยานพาหนะ"
ยวดยิ่ง 0,ว.,"เก่งที่สุด, ยอดเยี่ยม"
ยวน 0,น.,ชื่อชนชาติกรีก โดยเฉพาะกรีกที่อาศัยอยู่ภาคตะวันตกเฉียงเหนือของอินเดีย
ยวน 1,น.,ชาวไทยภาคพายัพ
ยวน 2,น.,ชื่อกล้วยชนิดหนึ่ง ผลใหญ่ และใบดก
ยวบ 0,ว.,อาการที่ไหวและยุบลง เช่น ชานยวบลง
ยวบ ๆ 0,ว.,อาการเคลื่อนไหวขึ้นลงตามแนวนอน เช่น สะพานอ่อนยวบ ๆ
ยวบย้วย 0,ว.,ลักษณะอาการพูดที่มีชั้นเชิงอุปมาอุปมัยด้วยคติสอนใจลึกซึ้ง
ยวบยาบ 0,ว.,อาการไหวช้า ๆ
ย้วย 0,ว.,"แข้น, ข้น เช่น น้ำอ้อยย้วย = น้ำอ้อย แข้น"
ย้วย ๆ 0,ว.,"อาการไหล หรือยืดออกช้า ๆ เช่น ขี้มูกไหลย้วย ๆ ออก, อาการเคลื่อนไหว ช้า ๆ ของฝูงชนหรือฝูงสัตว์ เช่น นักเรียนย่างนำกันย้วย ๆ"
ยศ 0,น.,"ความยกย่องนับถือ, เกียรติคุณ"
ยศ 1,น.,เครื่องกำหนดหมายฐานะ หรือชั้นของบุคคล
ยโส 0,ว.,"อวดดี, จองหอง, หยิ่ง"
ย่อ 0,น.,เครื่องในชนิดใช้ย่อยอาหารของลัตว์จำพวกบดเอื้องคู่กับคันนา มักเรียกคู่กันว่า คันนาตาเชิง
ย่อ 1,ว.,"ยู่ยี่ เช่น คนหน้าย่อ = คนหน้ายู่ยี่, ไส้ย่อ เครื่องในของคนและสัตว์เป็นแผ่นบาง ๆ ยูยี่ = ผ้าขี้ริ้ว"
ย้อ 0,น.,คนไทยเผ่าหนึ่งอยู่ในอยู่ในท้องที่จังหวัดสกลนครและนครพนม เรียก ไทย้อ
