คำ,POS,ความหมาย
รจนา 0,ก.,"แต่ง, ประพันธ์, เขียน เช่น ""รจินาแล้วยามแล ใกล้เที่ยง"" (ป., ส.)"
รจนา 1,ว.,งาม
รจเรข 0,น.,การขีดเขียน
รจเรข 1,ก.,"แต่ง, ประพันธ์ เช่น ""ปางเมื่อรจเลขแต้มสารสร้อยสวากเสน่ห์"""
รจเรข 2,ว.,งาม
รจเลข 0,น.,การขีดเขียน
รจเลข 1,ก.,"แต่ง, ประพันธ์ เช่น ""ปางเมื่อรจเลขแต้มสารสร้อยสวากเสน่ห์"""
รจเลข 2,ว.,งาม
รตนะ 0,น.,แก้ว
รตะ 0,ว.,ประเสริฐ (ป.)
รถ 0,น.,ยานอันมีล้อ (ป.)
รบ 0,ก.,"สู้กัน, ต่อสู้ในทางศึก ส่วนมากว่า รบเศิ๊ก"
รบกวน 0,ก.,ทำให้เกิดความเดือดร้อนรำคาญ ส่วนมากว่ากวน
รบรา 0,ก.,ต่อสู้กัน
รมณีย์ 0,ว.,"น่าชม, น่ารัก, น่าบันเทิงใจ, น่าสนุก, งาม (ป., ส.)"
รวย 0,ก.,"ได้มาก, มีมาก, ส่วนมากว่า ส่วย (ดู ลวย)"
รส 0,น.,"ลักษณะที่รู้ได้ด้วยลิ้นโดยเฉพาะเช่นเปรี้ยว, หวาน"
รสชาติ 0,น.,รส
รหัส 0,น.,"เหตุลับ, ความลับ (ป., ส.)"
รโห 0,น.,"ลับ, สงัด, เงียบ"
รโหฐาน 0,น.,ที่ใหญ่โตกว้างขวางและเงียบสงัด
รอง 0,ว.,เป็นที่สองโดยตำแหน่ง เช่น รองอธิบดี
รอง 1,ว.,ถัดหรือลำดับลงมาโดยอายุหรือตำแหน่ง
รองคอ 0,ก.,"ถัดจากคนแรกในการเล่นพนัน, ส่วนมากว่า ฮอง"
ร้องลำยาว 0,ก.,"ร้องส่งเสียง เช่น ""ใกล้ฮุ่งเค้าครางอั่นอรชอน"" (ศิลป์.) อ่านหนังสือทำนองยาวชนิดหนึ่ง"
รอด 0,ก.,"ถึง, พ้นอันตราย, แคล้วคลาด, เสมอตัว"
ระกา 0,น.,ชื่อปีที่ ๑๐ ของรอบปีนักษัตร มีไก่เป็นเครื่องหมาย
ระกำ 0,น.,ไม้ชนิดหนึ่งเป็นกอ ลำดับมีหนามเนื้อเบา
ระฆัง 0,น.,เครื่องใช้ตีให้เกิดเสียงเป็นสัญญาณ หล่อด้วยทองเหลือง เป็นต้น รูปคล้ายกระดึง แต่ใหญ่กว่า
ระงม 0,ว.,"เสียงเซ้งแซ่, เสียงกระหึ่มไปทั่ว"
ระงมไพร 0,ว.,เสียงเซ้งแซ่ไปทั่วป่า
ระงับ 0,ก.,"ดับ, ยับยั้ง, สงบ, ทำให้สงบ"
ระงุม 0,ว.,เสียงเซ้งแซ่ไปทั่วป่า
ระดะ 0,ว.,"ตกมาก, เกลื่อกล่น, กระจัดกระจายเต็มไปหมด"
ระดา 0,ว.,"ตกมาก, เกลื่อกล่น, กระจัดกระจายเต็มไปหมด"
ระดู 0,น.,"ส่วนของปีที่แบ่งออกเป็น ๓ ส่วน ตามลักษณะของอากาศ คือ ระดูร้อน, ระดูฝน, ระดูหนาว"
ระดู 1,น.,"เวลาที่กำหนดสำหรับงานต่าง ๆ , คราว, สมัย"
ระดู 2,น.,เรียกเลือดประจำเดือนที่ออกจากมดลูก
ระแด 0,น.,ชื่อชนเผ่าข่าชนชาติหนึ่งอยู่ในประเทศลาว เรียก ข่าระแด
ระทม 0,ก.,"ช้ำใจ, ระทมใจ"
ระทึก 0,ก.,ใจเต้นตึก ๆ
ระนาด 0,น.,เครื่องพิณพาทย์ชนิดหนึ่ง มีลูกเหมือนชั้นบันไดร้อยติดกัน ผูกกับรางยาว ใช้ตี
ระนาด 1,ว.,"ล้มทับกัน, วางเกลื่อน, เกะกะ, มักใช้คู่กับคำ ระเนน ว่า ระเนนระนาด"
ระนาม 0,น.,ป่ารถแฉะชายแม่น้ำ หรือชายบึง ถ้าใช้คู่กับคำว่า บุ่ง (ตัดให้สั้นเหลือ นาม คำเดียว) ว่า บุ่งนาม
ระนาว 0,น.,"ราว, สาย, แถว"
ระนาว 1,ว.,เป็นแถว มักใช้สั้น ๆ ว่า นาว
ระนึก 0,ก.,"คิด, คิดถึง, นึกถึง = ระลึก"
ระเน 0,ว.,"ล้มทับกัน, วางเกลื่อน, เกะกะ, มักใช้คู่กับคำ ระเนน ว่า ระเนนระนาด"
ระเนน 0,ว.,"ล้มทับกัน, วางเกลื่อน, เกะกะ, มักใช้คู่กับคำ ระเนน ว่า ระเนนระนาด"
ระเนียด 0,น.,"เสาเขื่อน, หลักรั้ว, เช่น ต้ายวัด"
ระแนง 0,น.,ไม้กลอนที่พาดไปตามยาวสำหรับรับกระเบื้องหลังคา
ระบบ 0,น.,"อย่าง, ทำนอง, ลำดับ, ระเบียบที่รววมส่วนต่าง ๆ เข้าด้วยกัน"
ระบาย 0,ก.,"ราย, วาดเขียนด้วยสี, แรสี, แบ่ง, ถ่าย, ผ่อนออก"
ระบำ 0,ก.,"การเต้น, ฟ้อนรำชนิดหนึ่ง"
ระบือ 0,ว.,"ลือ, เลื่องลือ, เอิกเกริก, ฟุ้งเฟื่อง"
ระเบ็ง 0,ก.,"ตี, ทำให้ดัง"
ระเบ็ง 1,ว.,ดัง
ระเบิด 0,น.,ยุทธปัจจัยชนิดหนึ่งทำด้วยโลหะ บรรจุดินระเบิด เมื่อกระทบของแข็งจะแตกปะทุออกไปทำอันตรายแก่สิ่งอื่น ๆ ได้ เรียก ลูกระเบิด
ระเบิด 1,ก.,"ปะทุแตกออกไป, ทำให้ปะทุแตกออกไป"
ระเบียง 0,น.,ส่วนของเรือที่ติดอยู่ข้าง ๆ ภายนอกฝา
ระเบียน 0,น.,"แบบแผน, ทำเนียบ,ความเรียบร้อย"
ระเบียบ 0,น.,"แบบแผน, ทำเนียบ,ความเรียบร้อย"
ระพี 0,น.,"พระอาทิตย์ (ป., ส.)"
ระมัด 0,ก.,"ระวัง, ประหยัด มักพูดควบกันว่า ระมัดระวัง"
ระมาด 0,น.,แรด
ระยะ 0,น.,"ตอน, ช่อง, ส่วน, จังหวะ"
ระย้า 0,ว.,ลักษะที่ห้อยเป็นแถวหรือเป็นพวง
ระลึก 0,ก.,"ไหว้, เวียน, ทำประทักษิณ, เช่น ""ภูธรถวิลฮอบสถานสามชั้น"" (ศิลป์.)"
ระลึก 1,ก.,"คิด, คิดถึง, นึกถึง = ระลึก"
ระวัง 0,ก.,"คอยดูไว้, เอาใจใส่ไว้โดยไม่ประมาท, ป้องกันไว้ไม่ให้เสียหาย, รักษาไว้"
ระวาง 0,น.,"ส่วน, ตอน, ที่บรรทุกของในเรือหรือรถ"
ระวี 0,น.,"พระอาทิตย์ (ป., ส.)"
ระแวง 0,ก.,"แคลงใจ, สงสัย, เอียงไป, ส่วนมากว่า แวง"
ระแวดระวัง 0,ก.,คอยดูและโดยรอบ
ระหว่าง 0,น.,"ที่, ส่วน, ตอน, ระยะตั้งแต่ แห่งหนึ่งถึงอีกแห่งหนึ่ง, เวลาที่กำลังเป็นอยู่, ส่วนมากว่า หว่าง"
ระหองระแหง 0,น.,"ความบาดหมางกันเพราะเรื่องเล็ก ๆ น้อย ๆ , ความไม่ปรองดองกัน"
ระหองระแหง 1,ว.,"ผิดใจกันเพราะเรื่องเล็ก ๆ น้อย ๆ , ไม่ใคร่ถูกกัน ส่วนมากว่า หองแหง"
ระหัด 0,น.,"เครื่องวิดน้ำชนิดหนึ่ง เป็นรางใช้ถีบด้วยเท้าก็มี, ฉุดด้วยมือ หรือเครื่องจักร ก็มี"
ระเหย 0,ก.,"คลายกลิ่นและรส, กลิ่นหายไป, หมดไป, เหือดแห้ง, กระจายไปในอากาศ ส่วนมากเรียกว่า เหย"
ระเหระหน 0,ว.,"ซัดเซไปตามบุญตามกรรม, เร่ร่อนไป, อยู่ไม่เป็นที่"
รังฆัง 0,น.,เครื่องใช้ตีให้เกิดเสียงเป็นสัญญาณ หล่อด้วยทองเหลือง เป็นต้น รูปคล้ายกระดึง แต่ใหญ่กว่า
รังสี 0,น.,"แสงที่สมติเป็นสาย ๆ , แสงสว่าง, เส้นที่ออกจากจุดศูนย์กลาง, ส่วนมาว่า ศมี (ป., ส)"
รัชนี 0,น.,"กลางคืน, เวลามืด (ป., ส.)"
รัชนีกร 0,น.,"พระจันทร์ (ป., ส.)"
รัฐ 0,น.,"แว่นแคว้น, บ้านเมือง, ประเทศ (ป., ส.)"
รัฐบาล 0,น.,องค์การปกครองบ้านเมือง (ป.)
รัฐมนตรี 0,น.,ผู้รับผิดชอบในนโยบายการบริหารบ้านเมือง
รัฐสภา 0,น.,องค์การนิติบัญญัติ
รัตกัมพล 0,น.,ผ้ากัมพลแดง
รัตจันทน์ 0,น.,ต้นจันทน์แดง
รัตตัญญู 0,น.,"ผู้รู้กาลนาน, ผู้มีอายุมาก จำกิจการต่าง ๆ ได้มาก"
รัตติ 0,น.,กลางคืน (ป.)
รัตติการ 0,น.,เวลากลางคืน (ป.)
รัตน์ 0,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตนตรัย 0,น.,"แก้ว ๓ ดวง คือ พระพุทธ, พระธรรม, พระสงฆ์"
รัตนะ 0,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตนัง 0,น.,แก้ว
รัตนัง 1,ว.,ประเสริฐ (ป.)
รัตนัง 2,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตนา 0,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตมณี 0,น.,"ทับทิม, ส่วนมากว่า แก้วพิลา หรือน้ำครั่ง"
รัน 0,ก.,ตี
รัศมี 0,น.,"แสงที่สมติเป็นสาย ๆ , แสงสว่าง, เส้นที่ออกจากจุดศูนย์กลาง, ส่วนมาว่า ศมี (ป., ส)"
รัสสระ 0,น.,"สระที่มีเสียงสั้น คือ อะ, อิ, อุ"
รัสสะ 0,ว.,"สั้น, ตรงข้ามกับยาว (ป.)"
รัสสี 0,น.,"นักบวชของอินเดียอยู่ในป่า, ชีไพร = ฤษี (ส. ฤษิ; ป. อิสิ)"
รัสสี 1,น.,"ชีไพร, นักบวชผู้อยู่ในป่า, ผู้แต่งพระเวท (ดู ฤๅษี)"
ราคะ 0,น.,"ความกำหนัด, ความยินดี (ป., ส.)"
รางจืด 0,น.,พรรณไม้ชนิดหนึ่งคล้ายต้นนางแซง ใช้รากแก้พิษเบื่อเมาได้ดี
ราช 0,น.,"พระเจ้าแผ่นดิน, พญา ใช้สำหรับสัตว์ เช่น นาคราช, สิงหราช คำนี้มักใช้ประกอบคำอื่น ถ้าคำเดียวใช้ ราชา"
ราชการ 0,น.,การงานของรัฐบาล หรือของพระเจ้าแผ่นดิน
ราชครู 0,น.,"ข้าราชการผู้เป็นหัวหน้าฝ่ายพิธี, อาจารย์ผู้สอนหนังสือแก่ราชตระกูล"
