คำ,POS,ความหมาย
ลก 0,น.,คอกสำหรับให้เป็ด ไก่ อยู่อาศัย = เล้า
ลก 1,ว.,จำนวนนับแบบโบราณต่างจาก ห้า = หก เช่น พระราชโอรสของขุนบรม (บูฮม) องค์ที่ ๖ ชื่อ ลกกม
ลกงก 0,ว.,"ลักษณะสิ่งของขนาดใหญ่ที่ยื่นงอออกมา เช่น งูยอคอซกงก = งูชูคอขึ้นสูง, ถ้าขนาดเล็ก เรียก ซ็อกง็อก"
ลกจ๊ก 0,ว.,"อาการเดินของคนขาแข็ง สำหรับตัวใหญ่, สำหรับตัวเล็ก ว่าล็อกจ๊อก"
ลง 0,ก.,ไปสู่เบื้องต่ำ ตรงข้ามกับขึ้น
ล่ง 0,ว.,"ว่าง, เปล่า, ไม่มีเครื่องกำบัง, ไม่ฝืด, สะดวก เช่น หัวใจล่ง = หายใจสะดวก"
ลงข่วง 0,ก.,หญิงสาวลงไปทำงานรวมกัน เช่น ปั่นด้าย เป็นต้น ที่ลานบ้านในเวลากลางคืน
ลงแขก 0,ก.,ร่วมกันทำงานโดยขอแรงกัน
ลงโขง 0,ก.,เสด็จออกว่าราชการ
ลงคอ 0,สำ.,ทำได้โดยไม่ตะขิดะตะขวง
ลงเงิน 0,ก.,พนันกัน วางเงินเป็นเดิมพัน
ล้งจ้ง 0,ว.,"คดมาก, ไม่ตรง, เก, เช่น คดล้งจ้ง"
ลงแดง 0,ก.,ท้องเดินถ่ายอุจจาระเป็นโลหิต
ลงโต 0,ก.,ซูบผอมลง
ลงโต 1,ก.,หารเลขไม่มีเศษ = ลงตัว
ลงท้อง 0,ก.,ท้องเดินหรือท้องร่วง
ลงทางขว้ำ 0,ก.,อาการที่ล้มคว่ำ
ลงทางข้าง 0,ก.,อาการที่ล้มตะแคง
ลงทางหงาย 0,ก.,อาการที่ล้มหงาย
ลงทึน 0,ก.,ลงทุน
ลงโทษ 0,ก.,ทำโทษผู้ทำผิดกฎ
ลงไท้ 0,ก.,เข้าทรงผีฟ้าเพื่อขับไล่ผีที่สิงคนหรือพิธีไหว้ครูของหมอไท้
ลงธรรม 0,ก.,ทำพิธีกรรมทางไสยศาสตร์เพื่อขับผี
ลงนา 0,ก.,ลงมือทำนาในฤดูฝน
ลงเลข 0,ก.,ดูหมอ ด้วยเลขโบราณ ๗ ตัว เพื่อทำนายโชคเคราะห์
ลงวัด 0,ก.,ชาวบ้านชุมนุมกันทำงานบางอย่าง หรือหารืองานบุญที่วัดเวลากลางคืน
ลงศาล 0,ก.,กระทำการพิจารณาตัดสินคดีที่ศาล
