คำ,POS,ความหมาย
วก 0,ก.,"เลี้ยว เช่น วกซ้าย วกขวา, กลับ, เช่น วกมาวกกลับ"
วก 1,ก.,"คดเคี้ยว, ไม่ตรง, เช่น วกไปวกมา"
วก ๆ 0,ว.,อาการสั่นที่เกิดจากความหนาว เป็นต้น ใช้สำหรับคนหรือสัตว์ขนาดใหญ่ ถ้าขนาดเล็กว่า วัก ๆ
วง 0,น.,"รูปที่มีเส้นล้อมรอบ ไม่มีเหลี่ยม เช่น วงกลม, สิ่งที่กลมโค้ง ไม่มีเหลี่ยม, เช่น วงล้อ, วงแหวน, ฆ้องวง, ลักษณะนาม, เช่น แหวน ๒ วง"
วง 1,ก.,"ล้อมรอบ เช่น วงกลม, แวดล้อม, เช่น แวดวง"
วงกต 0,น.,ชื่อเขาลูกหนึ่งในเวสสันดรชาดก จากคำว่าคิรีวงกต (ป.)
วงกลม 0,น.,"รูปที่มีเส้นล้อมรอบ ไม่มีเหลี่ยม เช่น วงกลม, สิ่งที่กลมโค้ง ไม่มีเหลี่ยม, เช่น วงล้อ, วงแหวน, ฆ้องวง, ลักษณะนาม, เช่น แหวน ๒ วง"
วงกะ 0,ว.,"คดเคี้ยว, ไม่ตรง (ป.)"
วงกา 0,ว.,"คดเคี้ยว, ไม่ตรง (ป.)"
วงเล็บ 0,น.,เครื่องหมาย รูปดังนี้ ( )
วงเวียน 0,น.,"อุปกรณ์สำหรับขีดเขียนวงกลม, ที่ซึ่งมีรูปกลมเป้ฯที่รวมแห่งถนนหลายสาย"
วงศ์ 0,น.,"เชื้อสาย, เหล่ากอ, ตระกูล"
วงศ์วาน 0,น.,"เชื้อสาย, เหล่ากอ, ตระกูล"
วงศา 0,น.,"เชื้อสาย, เหล่ากอ, ตระกูล"
วงศาคณาญาติ 0,น.,"หมู่ญาติเชื้อสายเดียวกัน (ส.,ป.)"
วงษ์ 0,น.,วงศ์
วจนะ 0,น.,"การพูด, การสำแดง, การออกเสียง, คำชี้แจง, คำบอกเล่า, คำพูด, ถ้อยคำ (ป.,ส.)"
วจนัง 0,น.,"การพูด, การสำแดง, การออกเสียง, คำชี้แจง, คำบอกเล่า, คำพูด, ถ้อยคำ (ป.,ส.)"
วจนา 0,น.,"การพูด, การสำแดง, การออกเสียง, คำชี้แจง, คำบอกเล่า, คำพูด, ถ้อยคำ (ป.,ส.)"
