คำ,POS,ความหมาย
ศก 0,น.,ผม (ข.)
ศก 1,น.,"ยุค, ปีหนึ่ง หมวดปีซึ่งตั้งขึ้นเป็นที่หมายเหตุการณ์สำคัญ เช่น พุทธศก ตั้งต้นด้วยวันที่พระพุทธเจ้าปริพพาน (ส.)"
ศกุล 0,น.,นก (ส.)
ศกุลต์ 0,น.,นก (ส.)
ศกุลตลา 0,น.,นกเลี้ยงไว้
ศกุลตลา 1,น.,ชื่อบุตรีของวิศวามิตร เกิดด้วยนางอัปสรชื่อ เมนกา พระดาบสสกัณวะเลี้ยงไว้ ภายหลังเสกสมรสกับท้าวทุษยันต์ นางมีบุตรคนหนึ่งชื่อ ภรต
ศต 0,น.,หนึ่งร้อย
ศตบาท 0,น.,สัตว์ร้อยตีน (ส.)
ศตปที 0,น.,สัตว์ร้อยตีน (ส.)
ศตวรรษ 0,น.,ร้อยปี
ศพ 0,น.,"ซากผี, ร่างคนตาย (ส.)"
ศมี 0,น.,"รัศมี, แสงสว่าง"
ศร 0,น.,"อาวุธชนิดหนึ่งใช้ยิงด้วยกำลังสายให้ดันลูกแล่นออกไป (โบราณเรียก ปืน) ลูกธนู, ลูกหน้าไม้, คันธนู"
ศรัทธา 0,น.,"ความเชื่อถือ, ความเลื่อมใส (ส.)"
ศรี 0,น.,"มิ่ง, ขวัญ, ความสง่า, แสง, ความสุกใส, ความสว่าง, ความเปล่งปลั่ง, ความงาม, ความดี, ความน่ารัก, ความเจริญ, ความร่ำรวย, ลาภ, มงคล, ความเป็นใหญ่, อำนาจ, ใช้เป็นคำขึ้นต้นในการแต่งกาพย์กลอน หรือคำกล่าวเพื่อสิริมงคล เช่น คำสู่ขวัญ เป็นต้น เช่น ""ศรี ๆ สิทธิ พระพร บวรดิเรก เอกนกเตโช"" (ส., ป. สิริ)"
ศรี 1,น.,ผู้หญิง (ข.)
ศศิ 0,น.,พระจันทร์ (ส.)
ศศิธร 0,น.,พระจันทร์ (ส.)
ศศิน 0,น.,พระจันทร์ (ส.)
ศศี 0,น.,พระจันทร์ (ส.)
ศอ 0,น.,คอ
ศอก 0,น.,ส่วนของแขนนับแต่ข้อพับกึ่งกลางลงไปถึงปลายนิ้วกลาง
ศอก 1,น.,มาตราวัดของไทยแต่โบราณ เท่ากับสองคืบ
ศอกกำ 0,น.,ศอกที่มือกำไม่แบมือออก
ศอกกำมา 0,น.,ศอกที่มือกำไม่แบมือออก
ศักดา 0,น.,"อำนาจ, ความสามารถ, เรี่ยวแรง, กำลัง, ความอุสาหะ, คุณวุฒิ, ความเชี่ยวชาญ"
ศักดิ์ 0,น.,"อำนาจ, ความสามารถ, เรี่ยวแรง, กำลัง, ความอุสาหะ, คุณวุฒิ, ความเชี่ยวชาญ"
ศักดินา 0,น.,อำนาจในการปกครองที่ดินในระบอบสมบูรณาญาสิทธิราช
ศักดิ์สิทธิ์ 0,ว.,"สำเร็จด้วยอำนาจ, ขลัง (ส.("
ศักราช 0,น.,"ยุค, ปีหนึ่ง หมวดปีซึ่งตั้งขึ้นเป็นที่หมายเหตุการณ์สำคัญ เช่น พุทธศก ตั้งต้นด้วยวันที่พระพุทธเจ้าปริพพาน (ส.)"
ศัตรู 0,น.,"ข้าศึก, คู่แข่ง, ปรปักษ์ (ส.)"
ศัพท์ 0,น.,"เสียง, เสียงพูด, เสียงร้อง, ทำนอง, คำ (ส., ป.)"
ศัลย 0,น.,"หอก, หลาว, ทวน, ขวาก, ลูกศรและอาวุธปลายแหลมอื่น ๆ (ส.)"
ศัลยกรรม 0,น.,การผ่าตัดรักษาโรค
ศัลยศาสตร์ 0,น.,วิชาว่าด้วยการผ่าตัด
ศัสตรา 0,น.,"ของมีคมเป็นเครื่องฟันแทง เช่น หอก, มีด, ฉมวก, กระบี่ (ส.)"
ศากย 0,น.,ชื่อของกษัตริย์พวกหนึ่งในเมืองกบิลพัสดุ์ ซึ่งเป็นเชื้อสายของพระพุทธเจ้า (ส.)
ศากยมุนี 0,น.,พระนามของพระพุทธเจ้า (ส.)
ศากยวงศ์ 0,น.,ตระกูลพวกศากย (ส.)
ศานต์ 0,ว.,"สงบ, ราบคาบ, นิ่ง"
ศานูปถัมภก 0,น.,ผู้บำรุงศาสนา ใช้สำหรับกษัตริย์ (ส.)
ศาล 0,น.,"สถานที่ชำระความ, ที่เทพารักษ์สถิต"
ศาลา 0,น.,ที่พักสำหรับคนทั่วไป
ศาลา 1,น.,ที่ว่าการของรัฐบาล
ศาลา 2,น.,อาคารที่ปลูกไว้ในวัดสำหรับทำบุญและศึกษาเล่าเรียน (ส.)
ศาลาฉทาน 0,น.,ศาลาเป็นที่ทำงาน ๖ แห่ง
ศาสดา 0,น.,"อาจารย์ผู้อบรมสั่งสอน, ผู้ตั้งศาสนา, นามพระพุทธเจ้า (ส.)"
ศาสตร์ 0,น.,"ตำรา, วิชา (ส.)"
ศาสตร์ศิลป์ 0,น.,ความรู้ที่เกิดจากการศึกษาเล่าเรียน
ศาสตรา 0,น.,"ของมีคมเป็นเครื่องฟันแทง เช่น หอก, มีด, ฉมวก, กระบี่ (ส.)"
ศาสตราจารย์ 0,น.,อาจารย์ชั้นสูงในมหาวิทยาลัย (ส.)
ศาสน์ 0,น.,"คำสั่งสอน, ลัทธิ, ความเชื่อของมนุษย์อันมีหลักธรรมตามลัทธินั้น ๆ เป็นหลัก พร้อมทั้งพิธีที่กระทำตามคำสั่งสอนในลัทธินั้น ๆ (ส.)"
ศาสน์ 1,น.,คำสั่ง โดยปริยายหมายถึง พระราชหัตถเลขาทางราชการและลิขิตของพระสังฆราช เช่น พระราชศาสน์
ศาสโนวาท 0,น.,คำสั่งสอนในศาสนา (ส.)
ศิขร 0,น.,"ปลาย, ยอด, ยอดเขา, สันเขา, ที่สุด"
ศิขริน 0,น.,ภูเขา (ส.)
ศิขริน 1,ว.,มียอด
ศิขรี 0,?,ดู ศิขริน
ศิงขร 0,น.,"ปลาย, ยอด, ยอดเขา, สันเขา, ที่สุด"
ศิงขริน 0,ว.,มียอด
ศิงขรี 0,ว.,มียอด
