คำ,POS,ความหมาย
ส 0,?,"เป็นคำประกอบหน้าคำอื่น มีความหมายว่ากอรปด้วย, พร้อมด้วย, มีร่วมกัน, เช่นเดียวกับ เช่น สเทวก = พร้อมด้วยเทวดา, สธัมมิก = มีธรรมร่วมกัน (ป., ส.)"
สก 0,ว.,ของตนเอง (ส.)
สก 1,น.,ผม (ข.)
สก 2,ก.,ทำให้สะเด็ดน้ำ เช่น เอาข้าวที่ซาวน้ำแล้วใส่ตะแกรงเพื่อให้น้ำแห้ง เรียกว่า สก
สกฏ 0,น.,เกวียน
สกฏภาร 0,น.,ของบรรทุกเกวียน
สกนธ์ 0,น.,"กอง, พวก, จำนวนมาก, ส่วน, ภาค, ร่างกาย, ขันธ์ทั้งห้า (ส.)"
สกปรก 0,ว.,"เลอะ, เปรอะ, เปื้อน, ไม่สะอาด, มีราคี, น่ารังเกียจ, เลวทราม"
สกรณีย์ 0,น.,ผู้ยังมีหน้าที่จะกระทำ
สกรรจ์ 0,ว.,"ฉกรรจ์, หนุ่ม, แข็งแรง, อาจหาญ, เก่งกาจ, ร้าย, ดุร้าย"
สกรรมกริยา 0,น.,คำกริยาที่ต้องมีกรรมมารับ
สกรรมธาตุ 0,น.,ธาตุที่มีกรรมเข้ามารับ
สกล 0,ว.,"เต็ม, พร้อม, สมบูรณ์, ทั่ว, ทั้งหมด, ทั้งสิ้น ใช้"
สกล 1,น.,"ส่วน, ซีก, ครึ่ง (ส.)"
สกลก 0,น.,"กายทั้งหมด, ทั่วร่าง"
สกลโลก 0,น.,"โลกทั้งสิ้น, ทั้งโลก, ทั่วโลก"
สกวาที 0,น.,ผู้กล่าวถ้อยคำฝ่ายตน คือผู้สนับสนุน คู่กับปรวาที ผู้กล่าวถ้อยคำฝ่ายอื่น คือผู้คัดค้าน
สกัด 0,ก.,กั้น หรือขวาง เช่น สกัดหน้า
สกัด 1,ก.,สลัก หรือตอกเจาะของแข็งให้ร่องรอย หรือรูปร่างต่าง ๆ ด้วยเครื่องมือคล้ายลิ่ม เรียกว่า เหล็กสกัด
สกัด 2,ก.,บีบเค้น หรือคั้นเอาออกมา เช่น สกัดน้ำมัน เดิมเขียน สะกัด
สกา 0,น.,"เครื่องเล่นการพนันอย่างหนึ่ง มีกระดานเป็นตาคล้ายหมากรุก ใช้ลูกบาศก์ทอด แล้วเดินตัวสกาตามแต้มลูกบาศก์ตาหมากสกามี ๒๔ ตา มีลูก ๔ ลูก ลูกที่ ๑ ชื่อมาลี ลาวเรียกว่า เพโจกมี ๘ แต้ม, ลูกที่ ๒ ชื่อ สาวะตี ลาวเรียกว่า เพตี มี ๖ แต้ม, ลูกที่ ๓ ชื่อ พะทุลี ลาวเรียก เพทู มี ๔ แต้ม, ลูกที่ ๔ ชื่อ สันติพะทะ ลาวเรียก เพเบ็ง หรือ เพเม มี ๒ แต้ม รวมทั้งหมดมี ๒๐ แต้ม"
สกาว 0,ว.,"ขาว, สะอาด, บริสุทธิ์, หมดจด"
สกุณ 0,น.,"นก (ป., ส.)"
สกุณจาป 0,น.,ลูกนก (ป.)
สกุณา 0,น.,นก
สกุณี 0,น.,"นางนก, นกตัวเมีย (ป., ส.)"
สกุนต์ 0,น.,นก (ส.)
สกุล 0,น.,"ตระกูล, วงศ์, เผ่าพันธุ์, เชื้อสาย"
สกุล 1,น.,"เชื้อชาติผู้ดี, ความเป็นผู้ดี"
สกุลบท 0,น.,"ทางนก คือ ท้องฟ้า, อากาศ (ป.)"
สแก 0,น.,หมา (ข.)
สขะ 0,น.,"เพื่อน, สหาย"
สขี 0,น.,"เพื่อนหญิง, สหายหญิง"
ส่ง 0,ก.,"ยื่นให้, ยื่นให้ถึงมือ, ติดต่อบอกข่าว เช่น ส่งจดหมาย"
ส่ง 1,ก.,"เชิดชู, ทำให้สูงเด่น"
ส่ง 2,ก.,เปล่ง เช่น ส่งเสียง
ส่ง 3,ก.,"พาไปให้ถึงที่, ไว้อาลัยในการจากไป เช่น เลี้ยงส่ง"
ส้ง 0,น.,"กางเกง, ส่วนมากว่า โส้ง"
สง 0,น.,"หย่งให้กระจายตัว หรือยกเขย่าขึ้นลงให้น้ำหรือของเล็ก ๆ ร่วงลง เช่น สงข้าว, สงฟาง"
สง 1,ว.,"สุก, แก่จัด ใช้เรียกหมากที่แก่จัดและเอาเปลือกออกแล้วเพื่อเก็บไว้กินนาน ๆ ว่า หมากสง"
สงกร 0,น.,"การปะปน, ความยุ่งเหยิง, การคาบเกี่ยว (ป.)"
สงกร 1,ว.,"ปลาบปลื้ม, ดีใจ (ส.)"
ส่งกระสุน 0,ก.,"นำกระสุนไปมอบให้, ปริยายหมายความว่า ยิง"
ส่งกระแสจิต 0,ก.,"เพ่งจิตแล้วบังคับให้แล่นติดต่อไปยังความรู้สึกของบุคคลอื่น, โทรจิต"
สงกรานต์ 0,น.,เทศกาลเนื่องด้วยการขึ้นปีใหม่อย่างเก่าซึ่งกำหนดตามสุรยคติ ตกวันที่ ๑๓-๑๔-๑๕ เมษายน
ส่งกลิ่น 0,ก.,"กระจายกลิ่น, กลิ่นฟุ้งกระจายออกไป"
ส้งก้อม 0,น.,กางเกงขาสั้น
สงกะสงเกิ้ง 0,ก.,"เคลือบแคลง, สงสัย, เลือนลาง เช่น พอสงกะสงเกิ้ง = นึกได้พอลาง ๆ"
สงกา 0,น.,"ความแคลงใจ, ความสงสัย"
สงกา 1,ก.,"สงสัย, แคลงใจ (ป., ส.)"
สงโกจ 0,น.,"ความเขม็ง, ความเคร่งเครียด (สำหรับหน้า)"
สงโกจ 1,ก.,"หดเข้า, สั้นเข้า, หน้านิ่วคิ้วขมวด (ป.)"
ส้งขาเก๊าะ 0,น.,กางเกงขาสั้น
ส่งข่าว 0,ก.,ติดต่อบอกข่าวหรือเขียนเป็นจดหมาย
สงค์ 0,น.,"ความข้องอยู่, ความเกี่ยวพัน, ความยึดเหนี่ยว"
สงคร 0,น.,"คำผัดเพี้ยน, คำสัญญา, การตกลง, การรบพุ่ง, ความยุ่งเหยิง (ป.)"
สงคราม 0,น.,"การต่อสู้, การพุ่ง (ส.)"
สงครามปาก 0,ก.,"การโต้เถียง, ทะเลาะกัน, การปะทะคารมกัน"
สงครามเย็น 0,ก.,การขับเคี่ยวกันโดยขู่หรือใช้จิตวิทยา
สงเคราะห์ 0,น.,"การช่วยเหลือ, การอุดหนุน, การรวบรวม, การรวมเข้า"
สงเคราะห์ 1,ก.,"ช่วยเหลือ, อุดหนุน, รวบรวม, ร่วมเข้า (ป., ส.)"
สงฆ์ 0,น.,จำนวนภิกษุในพระพุทธศาสนาตั้งแต่สี่รูปขึ้นไป
สงฆะเจ้า 0,น.,พระภิกษุในพระพุทธศาสนา
ส่งดอก 0,ก.,นำดอกเบี้ยไปชำระให้แก่ผู้รับจำนำ หรือผู้ให้กู้ยืม
ส่งเดช 0,ว.,"ชุ่ย, พอพ้น ๆ ไป, ไม่มีหลักเกณฑ์, ไม่เป็นกิจจะลักษณะ"
ส่งตัว 0,ก.,"นำเจ้าสาวมามอบให้เจ้าบ่าว, นำตัวมามอบให้"
ส่งท้าย 0,ก.,"กระตุ้นท้ายเรือให้แล่นเร็ว, หนุนหลัง"
ส่งท้าย 1,ก.,พูด หรือทำเป็นครั้งสุดท้าย
ส่งทุกข์ 0,ก.,ทำให้พ้นทุกข์ไป
สงบ 0,ว.,"สงัด, ไม่มีเสียง"
สงบ 1,ก.,"นิ่ง, หยุด, เงียบ, ไม่กำเริบ"
ส้งย่าม 0,น.,กางเกงขายาว
ส่งรัศมี 0,ก.,เปล่งรัศมีพุ่งหรือกระจายแสงออกเป็นรัศมี
ส่งลำ 0,ก.,"ร้องส่งครั้งสุดท้าย (มักใช้กับสักวา), กระทำครั้งสุดท้าย"
สงวน 0,ก.,"รักษาไว้, หวงแหนไว้, ถนอม, ระวัง"
ส่งวิญญาณ 0,ก.,"ทำพิธีเพื่อให้วิญญาณล่องลอยไปสู่ที่ชอบ ปริยายหมายความว่า ฆ่า, ทำลายชีวิต"
ส่งศาล 0,ก.,นำตัวผู้ต้องหาไปยังศาลเพื่อให้ผู้พิพากษาตัดสิน
สงส์ 0,ก.,"ไม่แน่ใจ, แคลงใจ, ฉงน, กังขา"
สงสการ 0,น.,"พิธีเกี่ยวกับการปลงศพ, ซากศพ"
ส่งสการ 0,น.,"พิธีเกี่ยวกับการปลงศพ, ซากศพ"
ส่งสการ 1,น.,พิธีการเกี่ยวกับการปลงศพ
ส่งส้น 0,ก.,ส่งท้าย ครั้งสุดท้าย
ส่งส่วย 0,ก.,นำภาษีไปชำระราชการ
สงสัย 0,ก.,"ไม่แน่ใจ, แคลงใจ, ฉงน, กังขา"
สงสาร 0,น.,"การท่องเที่ยวไป, การเวียนว่ายตายเกิด โดยปริยาย หมายถึง โลก"
สงสาร 1,ก.,"สมเพท, เวทนา, รู้สึกเมตตาปรานีต่อสิ่งที่มีชีวิต, สลดใจในความทุกข์ยากของผู้อื่น"
ส่งเสริม 0,ก.,"เกื้อหนุน, หนุนหลัง, เชิดชู"
ส่งเสีย 0,ก.,ให้ความอุปการะเลี้ยงดู
ส่งเสียง 0,ก.,"เปล่งเสียง, แผดเสียง, ร้องเสียงดังหนวกหู"
ส้งหรั่ง 0,น.,กางเกงขายาว
สงัด 0,ว.,"เงียบ, ไม่มีเสียงอะไรอื้ออึง, เรียกเวลาดึกมากที่ปราศจากเสียงว่า ดึกสงัด"
สง่า 0,ว.,"ภาคภูมิดี, ผึ่งผาย, ผ่าเผย, ภูมิฐาน, น่าเกรงขาม, น่าเคารพนับถือ"
สณฑ์ 0,น.,"แนวไม้, ชัฏ, ดง, ที่รก (ป.)"
สด 0,ว.,"ใหม่และยังไม่เหี่ยวเน่า, ชุ่มชื้น"
สด ๆ ร้อน ๆ 0,ว.,"ทันที ทันใด, หยก ๆ , ใหม่ ๆ"
สดก 0,น.,"หมวดร้อย, จำนวนร้อย (ป.)"
สดชื่น 0,ก.,"ชุ่มชื่น, แจ่มใส, เบิกบานใจ"
สดใส 0,ว.,"เปล่งปลั่ง มีน้ำมีนวล, ไม่ขุ่นมัว"
สดับ 0,ก.,"ฟัง, เงี่ยหูฟัง"
สดับตรับฟัง 0,ก.,เอาใจใส่ให้รู้เห็นและมราบเรื่องราว
สดับปกรณ์ 0,น.,พิธีสวดเนื่องด้วยบังสุกุลสำหรับเจ้านาย
สดัมภ์ 0,น.,"เสา, หลัก"
สดายุ 0,น.,ชื่อพญานก
สดำ 0,ว.,ขวา (ข.)
