คำ,POS,ความหมาย
หก 0,น.,จำนวนห้าบวกหนึ่ง; จำนวนเลขหลักหน่วยต่อจาก ๕
ห้ง 0,ก.,ขัง (ใช้แก่น้ำ)
หงด ๆ 0,ว.,"หนาวจนสั่น, อาการที่สะท้าน, เช่น สั่นหงด ๆ"
หง่วมเหงา 0,ก.,"เงียบเหงา, ซึมเซา, ระทม"
หงวย 0,ก.,"เงียบเหงา, เอนล้ม"
หง้วย 0,ก.,"เงียบเหงา, เอนล้ม"
หง้วย ๆ 0,ว.,อาการของคนหรือสิ่งของเอนล้มลงช้า ๆ (ใช่แก่ของใหญ่)
หงส์ 0,น.,"หงส์ในนิยายฮินดูว่าเป็นพาหนะของพระพรหม, นกชนิดหนึ่ง คือ นกหงส์ ค้ลายห่านตัวโต คอยาว, เช่น หงส์ดำ = หงส์ทอง, หงส์รถ = พระพรหม"
หงอก 0,ว.,ขาวใช้สำหรับผมว่า ผมหงอก หรือหัวหงอก
หงอย 0,ว.,"เหงา, เศร้า, ซึม"
หง้อย 0,ว.,อาการของคนหรือสิ่งของล้มลงช้า ๆ (ใช้แก่ของเล็ก)
หง้อย 1,ว.,อาการเดินช้า ๆ เช่น ย่างหง้อย = เดินช้า
หงัย 0,ก.,"สะเทือน, สั่น, เคลื่อน"
หงัวะ 0,ก.,ร้องหาลูก หรือร้องหาแม่ (ใช้แก่ควาย)
หงาก ๆ 0,ว.,มีเสียงดังเช่นนั้น เช่น ไห้งาก ๆ = ร้องไห้โฮ ๆ
หง้าง 0,น.,สัตว์ชนิดหนึ่งจำพวกอึ่งอ่าง ร้องเสียงดัง
หง้าง 1,ก.,"พลิก, แยก หรือถ่างออก, เช่น หง้างขา = ถ่างขา"
หง้าย 0,น.,อึ่งอ่างชนิดใหญ่มียางเหนียวมาก
หงาย 0,ก.,"พลิกเอาข้างหน้า หรือข้างท้องขึ้น, ตรงข้ามกับคว่ำ"
หงาย 1,ว.,เอาด้านหน้าขึ้น เช่น นอนหงาย
หง้าว 0,ว.,มีเสียงเช่นนั้น เช่น เสียงแมวตัวโตร้อง = หง่าว
หงำ 0,ก.,"บัง, ปกคลุม, เช่น ไม้ใหญ่หงำนา"
หงำ 1,ก.,"ผูกพยาบาท, หวังแก้แค้น"
หงำเหงือก 0,ก.,"ผูกพยาบาท, หวังแก้แค้น"
หงำเหงือก 1,ว.,"ทนทุกข์, เดือดร้อน"
หงิด ๆ 0,ว.,อาการรู้สึกเล็กน้อย เช่น คัน หรือ เจ็บพอหยิด ๆ
หงี 0,ก.,กิริยาที่ทำจมูกย่นของสัตว์ ๔ เท้า เช่น วัว ม้า เป็นต้น เวลาตัวผู้ดมปัสสาวะ หรืออวัยวะเพศเมียแล้วจะชูหัวขึ้นทำจมูกย่น เรียว่า หงีดัง
หงี 1,ว.,"หรี่, ย่น, ไม่เรียบ เช่น หยีหน้า = ทำหน้าย่น, หย้าหยี = หย้าย่น, ตาหยี = ตาหรี่"
หญ้า 0,น.,"พืชที่สัตว์ ๔ เท้าชอบ ซึ่งเกิดตามพื้นดิน มีหลายชนิด เช่น หญ้าเข้านก = หญ้าที่คล้าย ๆ ต้นข้าว ขึ้นตามที่ลุ่ม; หญ้าขิว = พืชล้มลุกชนิดหนึ่ง กลิ่นฉุน ลำต้นเปราะ หญ้ากุลา, ต้นเนียมฮ้าง, เหล่าฮ้าง หรือเสือหมอบ ก็เรียก = ต้นสาบเสือ; หญ้าคา = หญ้าชนิดหนึ่งใบยาว ใช้มุงหลังคา; หญ้าคมปาว, หญ้าปักปืด, หมากหญ้า, หญ้าหน้อง หญ้าชนิดนี้ดอกแก่เป็ฯเมล็ดติดขากางเกง หรือผ้านุ่ง = หญ้าเจ้าชู้; หญ้าปล้อง = หญ้าที่เกิดริมน้ำ เส้นยาวเป็นปล้อง ๆ คล้ายผักบุ้ง; หญ้าหาน หรือหญ้าบังหาน = หญ้าชนิดหนึ่งถูกตัวแล้วคัน"
หญ้าเกล็ดหอย 0,น.,ผักต้นเล็ก ๆ ใบกลมคล้ายเกล็ดหอย
หญ้าโค็ยงู 0,น.,ต้นเป็นปล้อง ๆ ใบมนมีดอกแข็งเป็ฯเดือยเหมือนโค็ยงู
หญ้างวงช้าง 0,น.,พืชชนิดหนึ่งใบเป็ฯขน ดอกสีขาวค้อมลงคล้ายงวงช้าง
หญ้านบ 0,น.,วัชพืชชนิดหนึ่ง
หญ้าปากคอก 0,สำ.,ง่าย ๆ ไม่ต้องคิด
หญ้าเพ็ก 0,น.,ไผ่ชนิดหนึ่ง มีขนาดเล็ก ขึ้นหนาแน่นในป่าเต็งรัง
หญ้ายอบแยบ 0,น.,วัชพืชชนิดหนึ่ง
หญ้าโสมง 0,น.,หญ้าชนิดหนึ่งใบคม เกิดในที่ลุ่มหรือเป็นมาบ
หญ้าหน้อง 0,น.,หญ้าเจ้าชู้
หญ้าหมากหญ้า 0,น.,หญ้าเจ้าชู้
หด 0,ก.,"รดน้ำ, ราดน้ำ"
หด 1,ก.,ร่นเข้า ย่นเข้า
หด 2,ก.,"รดด้วยน้ำ, สรง, เช่น หดผัก, หดน้ำพระ, พิธีหดพระ คือ พิธีสรงน้ำพระสงฆ์ ตั้งมสมณศักดิ์ (เถราภิเษก)"
หทยะ 0,น.,"หัวใจ (ป.,ส.), ส่วนมากว่า หือ ระทัย"
หทัย 0,น.,"หัวใจ (ป.,ส.), ส่วนมากว่า หือ ระทัย"
หน 0,น.,"ด้าน, ทิศ, ทาง, ฝ่าย, นิยมใช้คู่กับคำอื่นว่า หนก้ำ, หนแห่ง"
หน 1,น.,ครั้ง
