คำ,POS,ความหมาย
อก 0,น.,อวัยวะด้านหน้าถัดคอลงมา ถัดท้องขึ้นไป ส่วมากว่า เอิก
อก ๆ 0,ว.,เสียงดัง เช่น เสียงลูกอัณฑะของม้าขณะวิ่ง
อง 0,น.,ละมั่ง
อง 1,น.,ละมั่งตัวผู้ = ละออ
อ่ง 0,ก.,"ถือตัว, หยิ่ง, ทะนง"
อ้ง 0,น.,อุ้ง เช่น อ้งมือ = อุ้งมือ
อ้ง 1,น.,เนื้อขาส่วนบนของคนและสัตว์ เรียกว่า อ้งขา หรือ ขาอ้ง
อ้ง 2,ว.,ใหญ่ เช่น เป็นอ้งเป็นเหนียง
องคะ 0,น.,"ส่วนของร่างกาย, อวัยวะ, ตัว, รูปโฉม"
อ่งต่ง 0,ว.,"อิ่มเอิบ, เปล่งปลั่ง เช่น แก้มอ่งต่ง = แก้มเปล่งปลั่ง, ปลั่ง ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็ก เรียกว่า อ่องต่อง (เอก.) อ่องต่องแอ่งแต่ง (พหู.)"
อ้งป้ง 0,ว.,"ลักษณะสิ่งของที่พองหรือป่องขึ้น ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็กว่า อ้องป้อง"
อ้งป้งเอ้งเป้ง 0,ว.,"ลักษณะสิ่งของที่พองหรือป่องขึ้น ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็กว่า อ้องป้อง"
อ่งล่ง 0,ว.,"ลอยฟ่อง ใช้สำหรับขนาดใหญ่, ถ้าขนาเล็กว่า อ่องล่อง"
อ่งล่งเอ่งเล่ง 0,ว.,"ลอยฟ่อง ใช้สำหรับขนาดใหญ่, ถ้าขนาเล็กว่า อ่องล่อง"
องศา 0,น.,หน่วยในการวัดขนาดของมุม โดยกำหนดให้มุมที่รับรองโค้ง ๑ ใน ๓๖๐ ส่วนของเส้นรอบวง มีขนาด ๑ องศาและ ๓๐ องศา เป็น ๑ มุมฉาก
องศา 1,น.,หน่วยในมาตราวัดจักรราศี คือ ๓๐ องศาเป็นเป็น ๑ ราศี
องศา 2,น.,หน่วยในการวัดอุณหภูมิตามชนิดของเครื่องวัด
องอาจ 0,ว.,องอาจ มักให้อาจ เป็นพื้น (ข. อ่งอาจ)
องีย 0,น.,เหยื่อ
องุ่น 0,น.,องุ่น
อด 0,น.,ชื่อไม้ยืนต้นชนิดหนึ่ง = ต้นอ้อยช้าง
อด 1,ก.,กลั้น
อดถะแนม 0,สัน.,"โปรดคอยดู, จงคอยดูเถิด, ถ้าแม้นว่า"
