คำ,POS,ความหมาย
ฮก 0,ว.,"รก, รุงรัง, ไม่เตียน"
ฮ้ง 0,ก.,อาการช้ำของหัวแม่มือ
ฮ้ง 1,ก.,อาการที่น้ำไหลลอดคันนาหรือทำนบ
ฮง 0,ก.,"พุง, ทะลาย ใช้แก่เขื่อนหรือดินที่ถูกน้ำเซาะ"
ฮง 1,ว.,"ร้อนเต็มที่, ระอุ เช่น เตากำลังฮง"
ฮง ๆ 0,ว.,"สุกใส, แวววาวเป็นประกาย ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็กว่า ฮอง ๆ"
ฮด 0,ก.,"รดน้ำ, ราดน้ำ"
ฮดฮ่วง 0,ว.,หอมตลบอบอวล
ฮดฮ่วงเฮ้า 0,ว.,หอมตลบอบอวล
ฮน 0,ก.,"ดิ้นรน, เร่าร้อน, รน"
ฮนฮวาย 0,ก.,"ทุรนทุราย, กระสับกระส่าย"
ฮนฮ้อน 0,*ก.,"ร้อนรน, กระวนกระวาย"
ฮบ 0,ก.,"รบ, ต่อสู้กัน, ชน (ใช้แก่ไก่และสัตว์ปีกอื่น ๆ )"
ฮบงัน 0,ก.,"ฉลอง, สมโภช"
ฮ่ม 0,น.,ร่มเงา
ฮ่ม 1,น.,ร่มกันแดดกันฝน ส่วนมากเรียก คันฮ่ม (เป็นคำรวมทั้งร่มที่ทำด้วยผ้าและทำด้วยกระดาษ)
ฮ่มเพิง 0,ก.,"รำพึง, รำพัน"
ฮมมนา 0,ก.,"ปั่นป่วนใจ, ปวดร้าวใจ, เร่าร้อนใจ"
ฮมมเนส 0,ก.,"ปั่นป่วนใจ, ปวดร้าวใจ, เร่าร้อนใจ"
ฮมมฺนัง 0,ก.,"ปั่นป่วนใจ, ปวดร้าวใจ, เร่าร้อนใจ"
ฮมย์ 0,ว.,"ยินดี, พอใจ = อภิรมย์"
ฮวก 0,*น.,ลูกกบลูกเขียดเมื่อยังเล็ก ๆ = ลูกอ๊อด
ฮวก 1,ก.,ไม้รวก
ฮวง 0,น.,ส่วนที่ยื่นโค้งเป็นวงสำหรับหิ้ว หรือถือสิ่งของอย่างตะกร้า เป็นต้น เช่น งวงคุ
ฮ่วง 0,?,ดู ห่วง ๒
ฮ่วง 1,ก.,ร่วงโรย
ฮวง 1,น.,"พวง เช่น ฮวงดอกไม้, ร่วง เช่น ฮวงข้าว, รัง เช่น ฮวงเผิ้ง, ช่อ เช่น ฮวงหมากเดือย"
ฮวง 2,น.,หูหิ้ว เช่น ฮวงกะต่า = หูตะกร้า
ฮวงช้าง 0,น.,พืชล้มลุกชนิดหนึ่ง มีดอกสีขาว ช่อของดอกมีสัณฐานคล้ายงวงช้าง
ฮ่วงโฮย 0,ก.,ร่วงโรย
ฮวด 0,น.,พวงดอกไม้หรือพวงปลาที่ถูกร้อยรวมกัน
ฮวด 1,*ก.,"ราดน้ำ, ราดน้ำแกง"
