คำ,POS,ความหมาย
กก 0,น.,โคน อย่าง โคนต้นไม้
กก 1,น.,ชื่อเรียกนกเงือก
กก 2,น.,ชื่อแม่น้ำใน จังหวัดเชียงราย
กก 3,น.,ชื่อหญ้าชนิดหนึ่งใช้ทำเลื่อ เรียกว่าเลื่อกก
กก 4,ก.,สับ บั่น ฟัน ตัด เช่น กก เกง
กก 5,สำนวน.,กกหางปล่อยวัด กกหัวกกหาง
กกดก 0,ก.,กระดกขึ้น เผยอขึ้น
กกหงก 0,ว.,ทนโท่
กง 0,น.,คันธนู คันกระสุน คันดีดฝ้าย หนังสะติ๊ก
กง 1,น.,หญ้าชนิดหนึ่งนิยมใช้ก้านดอกทำไม้กวาด เรียก หญ้าตองกง
กงกอน 0,น.,เครื่องยิงทำด้วยไม้ไผ่ มีสายป่าน ลองลาย มีที่บรรจุลูกยิงเรียก ลูกกง
กงกาง 0,น.,เถากระดูกกบ
กงเกง 0,น.,ไม้สูง - เครื่องเล่นเด็กที่ใช้ต่อขา ให้สูง
กงเกวียน 0,น.,กงล้อของเกวียน
กงไกว 0,น.,เครื่องมือเจาะไม้ชนิดหนึ่งมี ลักษณะเป็นสว่าน แต่ใช้คันชักคล้ายคันธนู
กงธนู 0,น.,คันธนู
กงปีดฝ้าย 0,น.,กงดีดสาย - คือคัน อย่างคันกระสุนใช้ดีดสายให้ขึ้นปุย
กงสายใจ 0,น.,เส้นเลือดใหญ่ที่ไปเลี้ยงหัวใจ เส้นที่หล่อเลี้ยงชีวิต
กงหาง 0,น.,ซองหางสำหรับยึดหลัง อานม้า
กงเฮง 0,น.,เสื้อกุยเฮงแบบจีน เป็นเสื้อคอกลมผ่าอกใช้กระดุมหรือเชือกเพื่อยึดช่วงอก มักย้อมคราม
กดค่า 0,ก.,กำหนดราคา
กดพูด 0,น.,นกกะปูด
กทำ 0,ก.,กระทำ ทำ คิดทำ คำนวณหา คำนวณเทียบ (ทวี สว่างปัญญางกูร)
ก้นแต็บ 0,น.,ก้นแฟบ
ก้นปูด 0,น.,นกกะปูด
ก้นเป็นขาก ปากเป็นหมุย ตีลูกคุย ขี้แร้เหม็นอุ่ย 0,?,เอกลักษณ์ของ ชายคนเมือง
ก้นพูด 0,น.,นกกะปูด
ก้นมูลี 0,น.,ก้นบุหรี่ - บุหรี่ที่สูบแล้วเหลือส่วนส้น
ก้นล้ง 0,ว.,เรียกภาชนะที่ก้นทะลุ เซ่น หม้อก้นด้ง
ก้นล้ง 1,สำนวน.,เรียกผู้หญิงสำส่อนทางเพศ
ก้นห้วย 0,น.,ท้องลำธาร ในท้องห้วย
ก้นอย่อน 0,น.,ก้นกบ
กบกินเดือน 0,น.,จันทรคราส
กบกินเดือน 1,น.,จันทรคราส ราหูอมจันทร์
กบทือเดือน 0,น.,จันทรคราส ราหูอมจันทร์
กม 0,ว.,ทั้งปวง ทั้งหมด ทั้งสิ้น
กรง 0,น.,กรง
กรอก 0,น.,นกยางกรอก
กร็อก 0,น.,ธัมมกรก - เครื่องกรองน้ำดื่มสำหรับภิกษูสงฆ์
กรอง 0,ก.,ร้อยมาลัย
กรอม 0,น.,ชาวเขมรโบราณ
กรอม 1,น.,ชนชาติขอม
กระกูล 0,น.,สกุล วงศ์ เชื้อสาย
กระกูล 1,น.,ตระกูล
กระจก 0,น.,กระจกหุง กระจกเงา
กระจวน 0,น.,ฝุ่นผง
กระจวน 1,ว.,ละเอียดเป็นจุณ
กระจอนหู 0,น.,เครื่องประดับหูต่อจากกรอบหน้าใช้กับตัวพระ
กระจอนหู 1,น.,ตุ้มหู
กระจุก 0,ว.,กระจุยกระจาย
กระจุม 0,น.,มงกุฎ ชฎา
กระจุย 0,ว.,กระจุยกระจาย
กระแจ 0,น.,กุญแจ
กระแจขำ 0,น.,ชื่อลายสลัก หรือฉลุในศิลปะล้านนา ภาคกลางเรียก ลาย ประแจจีน
กระแจะ 0,น.,ปลอกเหล็กสวมเท้าหน้าช้างเพื่อมิให้ช้างเดินเร็ว
กระแจะ 1,น.,โซ่ล่ามเท้าช้าง เพื่อมิให้ ช้างเดินเร็วจนไถลลื่น
กระแจะ 2,น.,ชื่อไม้พุ่ม (พญายา) ต้น และกิ่งมีหนาม ส่วนเปลือกขรุขระสีเทา ดอก ขนาดเล็กสีขาวเป็นช่อยาวประมาณ ๒ เซนติเมตร กลิ่นหอมอ่อน เนื้อไม้ใช้ฝนกับน้ำเพื่อประทินผิว รากใช้ทำยา
กระโจ้ 0,น.,โชงโลง โพง - เครื่องมือวิดน้ำ มี ด้ามถือหรือแขวนกับขาหยั่ง แล้วจับด้ามวิดน้ำตามต้องการ
กระโจม 0,น.,มงกุฎ ชฎา
