คำ,POS,ความหมาย
ขกบก 0,น.,จอบ
ขกอยาก 0,ก.,กระโดดขึ้น
ขง 0,น.,กรุง เมืองอาณาบริเวณ
ขง 1,น.,กรง - สิ่งที่ทำเป็นซี่ๆ สำหรับขัง สัตว์เล็ก
ขง 2,ก.,กลัด - อาการที่เลือดหรือหนองคั่งอยู่ในผิวหรือแผล เช่น ขงหนอง
ขง 3,น.,กรง
ขง 4,น.,ขอบเขตน่านน้ำ
ขงขวาย 0,ก.,แสวงหา เสาะหา
ขงเขต 0,น.,อาณาบริเวณ
ขงเลือดขงหนอง 0,ว.,ช้ำเลือดช้ำหนอง
ขงหนอง 0,ก.,กลัดหนอง มีหนองเกิดที่แผล
ขงหนอง 1,ก.,กลัดหนอง
ขจิต 0,ก.,"ประดับ, ตกแต่ง"
ขด 0,ก.,กระถด ถอยเลื่อนไปเล็กน้อย
ขด 1,ล.,เรียกของที่เป็นวง เช่น เชือก ๒ ขด
ขด 2,ก.,ม้วนเป็นวง
ขด 3,ก.,ขยดเขยิบ กระเถิบ
ขดก้องหง้อง 0,ว.,อาการที่คน สัตว์หรือสิ่งของขนาดไม่ใหญ่ ขดตัวทอดอยู่บนพื้น
ขดขององอด 0,ก.,งอก่องอขิง
ขดฅ้าย 0,ก.,ขยับ กระเถิบ ย้าย
ขดฅู้ 0,ก.,คุดคู้
ขดถวาย 0,ก.,ขัดสมาธิ
ขดหล้องหง้อง 0,ว.,อาการที่คน สัตว์หรือสิ่งของขนาดไม่ใหญ่ ขดตัวทอดอยู่บนพื้น
ขน 0,น.,ขน
ขน 1,น.,ชื่อหญ้าชนิดหนึ่ง
ขน 2,ก.,เคลื่อน ย้าย อพยพ
ขน 3,ก.,กรน
ขนค่าง 0,น.,เอื้องชะนีหรือเอื้องนางนี
ขนฅิง 0,น.,ขนตามลำตัวคน
ขนฅิงลุก 0,ก.,ขนลุกขนพอง
ขนดัง 0,น.,ขนจมูก
ขนบั่ว 0,น.,ขนอ่อน อย่างขนนก
ขนยุย 0,น.,ขนอ่อนยาว
ขนแร้ 0,น.,ขนรักแร้
ขนหนอน 0,น.,ต้นกลอนคู่
ขนหัวพุ 0,ก.,ขนหัวลุก (ด้วยความหวาดกลัว)
ขนอุย 0,น.,ขนอ่อน
ขนาน 0,น.,คำเรียกผู้ที่สิกขาขณะเป็นพระภิกษุ
ขนาบ 0,น.,กระหนาบ ประชิดเช้า ไปทั้งสองข้าง บังคับให้อยู่ในระหว่าง
ขบ 0,ก.,กัด ขบกัด เอาฟันเน้นเพื่อให้แตกหรือขาด
ขบ 1,ก.,อาการปวดจากการกลัดหนอง ขบหนอง
ขบเนื้อขบตัว 0,ก.,ปวดเมื่อย ครั่นเนื้อครั่นตัว
ขม 0,น.,ชื่อหอยชนิดหนึ่ง
ขม 1,น.,ชื่อผักชนิดหนึ่ง
ขม 2,ว.,รสขมอย่างรสสะเดาหรือบอระเพ็ด
